"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
72516,73907,74,20296,20303,59,576,651,0,1588,1404,18,3412,3379,34,5613,6045,37,148195,142604,93,0.129778
131064,121295,86,36243,32762,84,1712,1522,18,3649,2933,38,7926,7106,47,12459,11192,64,356072,321692,103,0.162223
119461,116922,84,36926,36260,80,1271,1217,15,2593,2687,28,7143,6969,43,9853,9623,52,295648,278771,99,0.185248
89611,87223,83,18748,18600,53,1250,1094,13,2201,1856,24,5286,5029,41,7955,7708,49,213981,202701,96,0.193621
85971,82613,83,26534,25983,77,730,646,0,1836,1434,21,4232,3869,36,7831,7912,47,216170,211259,96,0.385148
70927,69130,92,25237,25395,70,754,739,0,1451,1454,16,3653,3387,35,5885,5671,43,162752,156227,94,0.476202
80777,80776,79,19479,19194,56,832,745,0,1749,1699,26,4074,4253,34,6428,6195,43,193063,188260,94,0.501321
227980,177225,106,50516,37927,104,577,557,0,1920,1786,21,1269,876,0,1203,779,0,233,338,0,0.51702
173980,152006,92,54850,47302,90,1724,1600,18,4098,3807,36,10141,9058,55,15711,13801,78,439560,380957,108,0.526439
81350,81840,77,26517,26500,75,1042,1105,8,1925,1794,21,4571,4120,39,7064,6643,50,183408,176359,93,0.585049
133608,128060,88,26879,25628,80,1464,1343,16,3068,2935,32,7284,6943,50,10869,10726,59,317842,298947,102,0.596561
83896,83030,82,29124,29127,76,857,787,0,2253,1806,28,4223,4320,36,6007,5852,43,181323,172035,94,0.782856
114424,116132,81,27420,27382,77,1160,1092,9,3011,2665,33,6657,6300,44,10743,9980,56,302632,282302,98,0.801694
111116,110045,87,30064,29635,80,1524,1325,17,2223,1987,27,6451,6358,46,9973,9716,53,275786,263263,98,0.827859
161858,141207,92,37400,31285,88,1845,1531,18,3863,3184,38,8657,7245,54,13779,11610,67,384710,339338,108,0.837279
214740,171899,100,73637,60458,97,2407,2081,26,4659,4220,42,11971,9948,61,18156,15068,75,515204,420503,116,0.907401
77917,80411,77,9598,9695,42,-24,61,0,392,589,0,151,190,0,299,202,0,-241,246,0,0.922053
97893,96930,80,16626,16247,52,973,971,0,1886,2089,23,5330,5164,38,8727,8296,51,244252,231604,96,1.01101
35036,35224,74,16507,16958,50,367,323,0,732,874,0,1531,1639,19,2749,2927,28,67950,68051,84,1.06334
88697,86524,83,29290,29041,77,495,726,0,1829,1564,18,4572,4517,36,7273,6767,49,196346,191645,96,1.10939
304424,213530,122,83897,57024,119,3028,2201,32,7833,5260,53,17850,13067,83,26541,19492,101,770311,535945,138,1.19312
133798,128754,84,39770,38316,82,951,1053,7,2992,2686,31,6868,6710,43,10776,10840,51,307533,290759,100,1.20463
104270,103778,81,33994,33884,78,1199,1272,13,2256,2214,26,4680,4598,37,8254,8187,46,237863,232287,97,1.34907
134401,124047,87,43740,39417,84,1425,1222,13,3674,3275,34,8527,7440,50,14060,13026,65,374964,330710,103,1.36162
208917,151085,102,58813,43765,100,2166,1542,26,4278,3194,39,11065,8123,63,18436,13493,79,504636,364330,118,1.3993
119388,116391,86,30761,30425,80,1271,1487,13,3001,3064,33,8077,7697,49,11258,10851,60,332205,318892,99,1.55943
87724,85020,83,21859,21668,62,705,719,0,1677,1409,21,4506,4189,37,6872,6466,50,197058,183530,96,1.61386
105862,104051,81,24646,24185,68,1220,1396,13,2258,2631,26,6166,5927,43,9912,9725,61,281909,272716,97,1.70596
120207,117297,84,35510,34481,81,1351,1490,14,3046,3038,29,6695,6313,44,10863,9813,59,298155,285079,100,1.74363
133916,129453,90,33592,32674,81,1534,1343,16,3278,3235,33,8768,8668,51,12808,12491,60,371164,347787,100,1.8305
88949,88735,81,22324,22065,61,788,1010,2,1825,1577,18,4434,4022,38,6783,6567,45,185145,179793,94,1.99482
106996,105316,86,34183,33749,78,1164,973,0,2846,2898,32,7786,7812,48,10838,10338,54,318151,300422,97,2.22088
94312,92031,91,28474,27632,77,876,1037,4,2027,2265,21,5293,5171,40,9724,9205,62,248907,238524,96,2.4166
132660,130091,87,35276,34578,81,1670,1452,20,2971,3232,30,8043,7737,46,13370,12884,66,348824,332022,101,2.45218
94243,91093,88,25580,25238,70,816,778,0,2436,2244,26,5179,4875,42,8095,8238,45,233131,227409,96,2.71906
219467,166471,108,1.04858e+06,1.04858e+06,160,11237,2485,134,27654,7824,160,2628,1730,27,3618,1936,21,20138,9149,77,5.49464
123361,116292,90,33938,31774,82,1542,1377,18,2763,2749,28,7530,7239,50,11601,11729,62,324973,307661,101,6.57369
260917,214828,116,132201,110926,106,3355,2927,31,7489,6173,51,16587,15125,75,25123,22832,98,734043,671587,115,6.63543
53833,53981,73,15916,16002,51,381,374,0,872,956,0,2347,2453,24,3922,3658,39,115621,110164,87,6.64904
181920,154803,94,57731,48646,91,2076,1809,24,4140,3293,35,9726,8434,57,14814,13012,70,413251,355881,110,6.65427
99068,96921,79,17081,16724,52,319,283,0,998,1155,9,695,514,0,962,1025,5,173,383,0,6.70451
94715,90095,85,24217,23833,65,1069,967,0,1918,2024,23,5012,4634,42,8665,7789,54,235652,226625,86,6.71393
