"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
173840,142763,98,60645,48834,92,2220,1556,25,3653,2919,37,7988,6319,54,11538,9080,62,292334,233507,111,0.00420128
156549,131687,100,58791,47862,94,1698,1472,19,3716,3047,38,7768,6847,51,11996,10171,61,333495,278543,110,0.00420128
160459,127046,98,45205,36245,89,2404,1863,27,3440,2909,36,6716,5292,48,9351,7347,54,218608,180191,110,0.0126038
124137,118035,85,47374,44712,83,1770,1695,22,3752,3556,33,7815,7566,47,11410,10740,56,333689,318494,101,0.0126038
149856,139287,93,59160,54957,86,2275,2184,26,3793,3696,32,9344,8750,53,12814,12100,75,383722,349621,104,0.0157548
155520,125169,94,52458,40496,92,2186,1717,25,3790,3124,39,7941,6648,54,10048,8202,62,223883,176292,109,0.0168051
100973,99993,81,50299,49954,79,1510,1355,14,2613,2685,29,5173,4852,40,8515,8242,49,224489,220040,96,0.0199561
83302,78371,92,27644,24798,80,1146,856,0,1926,1592,26,3406,2828,37,5126,4949,41,115485,110263,96,0.0220567
255952,203601,108,105274,83883,107,4012,2999,34,7225,5706,51,12222,9475,64,18104,14124,89,418968,331592,125,0.0220567
124779,119480,86,41203,39108,82,1891,1879,21,3033,2741,34,6792,6302,47,12415,11806,60,315609,297274,96,0.0315096
200927,163671,108,84001,70531,98,2862,2596,29,5398,4622,41,11359,9298,62,16073,12865,70,443074,372040,117,0.0315096
167938,158902,91,80401,78151,88,2472,2386,25,5780,5148,44,8088,7657,47,11566,10687,69,242220,229233,106,0.0357109
142030,113567,92,52696,42559,89,2020,1598,24,3171,2649,32,5940,4709,47,8287,6802,50,189504,150296,108,0.0367612
264913,182968,118,81932,54231,115,3872,2742,35,6363,4518,54,11888,8131,62,16543,11116,80,355600,251863,133,0.0420128
82603,81508,89,30814,30426,77,1079,1014,4,1744,1890,19,3960,3751,35,6456,6467,45,157024,149491,94,0.0451638
188689,163434,99,68337,57565,94,2764,2165,31,5094,4410,46,10114,9028,56,17563,14955,83,455523,394934,111,0.0451638
131080,112307,90,53082,44819,87,1238,1101,9,2752,2745,30,6071,5273,45,8260,6806,57,226536,194747,105,0.0483147
152294,125989,98,66183,54962,90,2125,1951,26,3118,2827,30,7477,6567,47,13798,12171,63,370324,307454,108,0.0504154
