"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
179937,145486,98,67341,54398,93,2454,1987,27,3778,3141,40,8075,6841,51,12371,10040,64,301593,248363,112,0.0633885
193643,156236,95,52325,41147,92,2461,1865,27,5718,4831,43,9926,8214,61,14675,11826,72,417801,349417,112,0.0858812
96844,94643,81,31482,31082,78,1202,976,0,2992,2305,32,4729,4746,38,7251,7533,42,218721,204721,97,0.0940604
67085,66984,88,28001,28019,75,687,752,0,830,1311,10,3241,3111,29,3902,3570,36,113703,112056,92,0.104284
93582,81661,84,39882,34867,81,1413,1242,13,2404,1798,31,4250,3458,42,6205,5237,47,148835,124628,99,0.138023
102619,97477,89,31457,30749,78,1411,1360,15,2473,2391,27,5875,5891,41,8248,7773,51,256794,242580,98,0.154382
72820,70786,79,26564,25829,74,830,970,0,1400,1607,13,2995,3036,30,5022,5058,38,126760,124475,94,0.154382
157450,150567,90,51715,48402,87,2456,2265,25,6468,5974,45,9896,9530,56,15579,14737,65,432880,418385,104,0.158471
90545,89448,91,43389,42930,78,1404,1327,15,2826,2600,29,4873,4550,40,8964,8929,52,195803,187074,95,0.165628
173277,140718,96,71057,58234,94,2189,1880,23,4557,3787,38,8298,6703,53,12272,9417,66,336487,274080,112,0.172785
168403,139802,96,54358,45585,93,1934,1603,22,3689,2889,35,6559,5406,47,10722,9353,63,240728,207678,111,0.193233
87041,85480,83,29419,29315,76,1029,941,0,1987,1814,21,3649,3654,34,5107,4951,42,136160,128483,95,0.198345
96491,88154,86,39476,35749,80,1207,1069,7,2134,2011,26,3855,3584,38,5906,5508,42,148175,139033,99,0.214703
285005,228152,124,137236,110161,114,5328,4601,39,9605,8151,53,17350,13972,74,26685,22309,110,661682,542689,132,0.218793
73952,71049,92,26660,26343,75,1138,1055,7,1459,1359,15,2699,2556,29,5093,4815,38,119836,115479,93,0.231061
37477,38817,69,14854,14641,49,452,472,0,516,823,0,1346,1368,17,2569,2197,30,59652,58230,85,0.246397
171673,143521,97,57267,46548,92,2281,1831,24,4474,3869,40,8711,6874,53,14161,12075,70,393530,325265,109,0.252532
78697,76602,79,14433,14204,49,1343,1437,16,2068,2013,24,3965,3612,37,6469,5562,44,154246,150432,94,0.266845
67596,70116,76,22553,22397,65,806,874,0,1468,1338,17,3291,3174,31,5852,5406,42,154566,149663,89,0.270935
68150,68885,79,26049,26000,74,866,911,0,1266,1206,10,2501,2362,27,4125,4322,35,107553,102237,92,0.303651
105454,102588,88,39847,38952,80,1428,1359,16,2680,2389,28,4489,4356,36,6420,6045,42,182510,174514,99,0.318987
250356,187762,110,101449,73558,110,2799,2347,28,5567,4271,46,12787,9502,68,19462,14654,87,522015,396321,126,0.37113
243414,202384,104,90952,73190,103,3489,2671,36,8421,7282,48,10342,8441,64,17048,14285,77,379114,310187,121,0.37113
225464,170539,112,66777,50251,104,3326,2377,34,5641,4186,43,9941,7473,59,15194,11612,75,350128,272449,123,0.479503
