"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
226672,169611,102,99005,73500,102,2800,2020,32,5033,3886,45,12738,9632,68,19235,14910,90,494035,386400,119,0.00292424
188569,148041,101,49922,39060,94,2424,1762,28,4055,3092,44,9937,7587,59,12584,9972,68,359289,275922,113,0.00877271
50405,49510,80,13445,13548,46,378,378,0,1021,907,0,1940,1822,22,2688,2551,29,71001,70130,89,0.0146212
96229,92372,81,23006,21791,67,1075,1244,13,3505,3114,33,8751,8625,48,8119,8249,49,282081,272061,96,0.0155959
51852,50689,76,24063,24630,72,487,603,0,230,447,0,2435,2091,27,2811,3091,26,69326,67849,89,0.0165707
84316,82495,80,21518,21065,61,750,800,0,2028,1880,22,4069,3940,34,6082,5492,45,155928,147587,95,0.0214444
148301,122020,94,51466,41846,90,1318,1082,7,2500,1871,31,5459,4709,42,8037,6346,52,217966,177164,109,0.0253434
37542,37746,73,11095,11337,44,264,310,0,356,564,0,1412,1623,19,2243,2664,24,68635,69675,84,0.0272929
59070,59075,75,25757,26146,73,630,446,0,1333,1300,12,2325,2254,22,3956,3582,34,89045,85630,91,0.0292424
54333,55539,75,14289,14342,47,589,675,0,584,1015,3,2318,2140,28,3248,3316,31,87067,83831,89,0.0389898
71677,67937,86,22843,22347,68,443,565,0,948,1429,12,2557,2709,29,3111,3214,29,109919,108365,93,0.0399646
70759,66759,81,32667,29947,79,739,742,0,1155,1082,10,3154,3330,30,4962,4580,39,123723,111114,94,0.0409393
159860,147048,91,53323,48317,88,2526,2154,26,3826,3943,32,8456,7841,52,12281,11542,60,316442,288513,107,0.053611
81225,73183,84,39167,35264,80,782,675,0,1580,1225,10,3086,2610,33,4196,3268,42,117868,104259,97,0.0565352
82178,79219,92,33194,33054,78,916,802,0,2025,1442,21,3227,3303,30,4593,4385,38,121814,119230,95,0.0623837
46948,48705,71,12513,12566,45,534,416,0,791,519,0,2455,2306,26,2972,3023,29,84910,84514,87,0.0643332
106601,100668,84,41833,39632,81,1165,1009,3,2662,2121,29,4702,4423,36,6805,6069,42,177922,168750,98,0.0643332
160486,141330,96,66441,58232,91,2555,1879,27,3655,3230,35,7964,7191,56,10846,9369,66,278348,253914,107,0.0692069
125480,107539,90,47974,41574,87,1795,1616,20,2835,2454,33,5831,5484,42,8758,7920,53,233702,208934,103,0.0740806
183325,149191,95,64359,50996,95,2125,1530,23,4295,3182,41,8811,7122,53,13829,11713,71,378135,311658,112,0.0779796
32364,33320,56,8634,9137,40,405,420,0,872,758,0,1454,1440,17,2241,2210,26,57784,56040,83,0.0887018
