"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
153628,120906,97,65950,51975,94,2097,1824,25,2726,2452,32,6205,5187,46,9497,7668,55,225761,186414,111,0.00492633
57749,60444,73,19498,19530,55,878,917,0,805,991,0,2492,2425,26,3212,3302,31,85970,84986,90,0.00985266
75940,72642,78,31808,29639,79,1082,793,0,1350,1322,15,2656,2260,29,3651,3372,36,98680,90464,95,0.0128085
335179,248432,135,258844,212636,134,12069,10069,50,15053,12103,72,30837,24932,113,40265,32720,138,1.01988e+06,818571,151,0.0128085
216908,167349,106,69083,51762,103,2710,2165,28,4730,3707,40,9238,7096,56,12064,9426,65,302112,233549,121,0.014779
70836,68566,90,23873,22821,77,739,834,0,1431,1515,19,2980,2942,28,3366,3094,31,107488,108113,93,0.0226611
262255,183540,122,76376,52534,115,3775,2750,38,5644,4097,46,11360,7928,62,15241,10986,72,373071,271524,133,0.0275874
217111,173872,109,64200,50620,96,2602,2385,28,4844,4036,44,11614,9473,65,12522,10195,67,472939,393033,116,0.0285727
102303,94526,84,42581,37200,82,1274,1260,16,2146,2000,23,4760,3988,40,6268,6050,44,170046,154165,97,0.0305432
52319,53032,84,18423,18325,54,1167,1268,11,1684,1411,16,2232,2249,26,2880,2799,30,78623,79429,88,0.033499
79512,70495,88,29023,25147,82,1072,1067,6,1822,1241,21,3254,2866,34,4290,4294,35,106113,93401,97,0.0364548
94267,90985,84,31942,30163,78,1210,1007,1,2354,2068,22,3755,3198,36,4836,5000,39,125634,118878,97,0.044337
82272,75262,93,35767,31611,81,1223,1085,10,1915,1652,21,4496,3770,45,4695,3938,43,134470,114684,96,0.0472928
204854,157876,98,67831,52762,96,2983,1949,32,5879,4660,51,10513,8335,59,12278,10095,58,440340,348898,114,0.048278
