"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
166604,145982,93,49639,41210,92,1445,1312,14,3422,3267,33,7709,6885,50,8872,7765,50,314956,274926,109,0.00801928
37317,36411,71,11743,11904,43,311,292,0,175,230,0,1319,1432,14,1735,1858,20,58898,56759,85,0.0190458
36421,38220,57,10604,10596,43,225,366,0,433,543,0,1669,1825,21,2033,1752,24,64723,62130,84,0.0190458
26442,28188,58,9861,9954,41,400,233,0,631,625,0,988,1168,9,1514,1633,18,42355,42604,80,0.0260627
59923,60815,89,19218,19340,59,773,722,0,1170,1126,7,2207,2297,26,2663,2282,31,97397,95067,90,0.0330795
81045,80886,93,30137,29800,75,995,698,0,1184,1078,8,2947,3016,28,3281,3915,29,133727,128209,93,0.0360868
179698,152680,97,72169,58677,93,2071,1714,22,3757,3752,34,10293,8843,54,12046,10124,62,398097,343911,110,0.0501205
217788,166722,102,77307,60018,97,1950,1498,26,4657,3447,41,10189,7583,60,11050,8611,59,420003,320610,116,0.0591422
169482,147445,96,62560,54469,92,1298,1251,12,3214,2819,34,7688,7063,47,8349,7266,51,296962,269388,109,0.061147
101242,99092,83,29489,28531,77,1060,995,0,1680,1923,22,4943,4925,37,5337,5391,37,219921,212848,96,0.0621494
106481,105816,82,48892,48421,80,1032,1135,7,2429,2540,26,4940,5122,39,6478,5918,46,209443,201504,97,0.0651567
76800,78452,75,30326,29910,76,510,502,0,1254,1365,19,2996,2841,29,4021,3722,34,131920,126912,92,0.078188
45017,45120,86,13597,13788,47,319,515,0,949,637,0,1646,1969,20,2129,2279,23,75757,74489,86,0.0872097
22386,23775,57,13437,13978,46,299,272,0,486,590,0,1185,1200,10,873,969,0,35986,34652,77,0.0992386
230541,168482,104,77954,57391,99,1984,1513,25,4422,3266,44,10518,7205,63,11115,8175,67,424140,305622,117,0.105253
35287,34425,71,11355,11570,44,182,306,0,524,639,0,1212,1333,15,1950,1958,22,59637,56383,83,0.126304
34863,36135,68,11803,12260,43,462,310,0,719,755,0,1139,1240,9,1679,1533,20,52332,51974,83,0.126304
100680,98263,85,39757,39108,79,949,1024,3,1772,1870,19,4655,4681,37,5270,5301,40,190515,183856,97,0.127306
155178,134830,95,46184,39918,90,1470,1533,19,3093,3145,28,8719,7850,54,9862,8749,59,349308,318717,109,0.129311
286323,182592,121,106385,67605,120,2211,1443,26,5801,4580,50,12863,8649,73,14886,8950,79,548428,357587,137,0.134323
182847,155373,95,70882,60897,91,1895,1480,19,4012,3702,39,10127,8975,56,11747,10839,61,420629,369050,109,0.140337
45435,46244,78,14425,15060,46,149,489,0,903,1014,2,1555,1460,16,1573,1677,19,63297,65266,87,0.140337
71380,71251,76,16997,17005,53,615,694,0,1128,1174,13,2470,2611,26,3161,2788,28,114036,110680,92,0.14134
150655,126601,92,51204,42808,89,1570,1226,16,3195,2880,32,6829,5989,45,7770,6667,52,309451,266564,108,0.142342
306694,228346,130,116511,86909,125,4227,2809,39,7905,5961,52,21911,16872,91,23982,17657,89,884119,685454,142,0.148357
227817,174672,112,89677,71679,107,1952,1458,22,4780,4040,42,9737,7610,57,11838,9494,63,413613,328237,125,0.148357
25827,25138,80,11806,11885,46,424,265,0,395,509,0,1140,1106,8,1627,1631,18,52805,52086,80,0.153369
36290,37281,71,12620,12981,45,115,181,0,666,556,0,1636,1683,17,1791,1770,18,51292,50827,78,0.154371
141299,136428,85,69442,67296,85,1213,1284,13,3211,2921,31,6755,6472,45,7824,7544,50,279025,262989,99,0.168405
21089,24873,43,8221,8494,40,71,113,0,347,521,0,1160,1164,8,809,828,0,36913,36791,77,0.168405
107668,105485,85,31862,31124,79,814,971,0,2225,1972,24,4716,4654,38,5920,5593,40,205317,197035,98,0.17041
37185,37257,82,13885,13967,46,366,326,0,730,671,0,1505,1413,20,1836,1987,18,63090,64620,84,0.172415
141222,121665,99,42389,36269,89,1235,1135,9,2567,2385,33,5848,5095,46,6299,5308,47,250806,215524,106,0.173417
155826,139897,106,86655,79176,90,1519,1674,17,3679,3014,37,8153,7295,50,9246,7732,59,314953,273885,101,0.185446
117232,113500,84,48480,46840,81,1201,1120,7,2382,2333,27,6394,5926,45,7680,7738,47,245588,231249,98,0.200482
23214,22741,73,12368,12634,46,184,251,0,448,493,0,958,949,0,1408,1093,15,45820,45540,78,0.206496
171591,139724,99,56022,45178,91,1585,1376,18,3196,2973,30,8210,6868,50,8926,7395,56,330132,266348,110,0.208501
141930,135144,87,41220,39601,84,1621,1614,19,4907,4562,40,7408,7358,47,8577,8022,52,279791,264541,103,0.210506
31316,34331,52,15243,15405,49,297,383,0,513,611,0,1585,1613,18,1955,2171,23,60304,59069,82,0.217523
109614,108864,80,55891,54973,81,1139,994,0,2044,2416,28,5299,5420,37,6428,6153,43,226045,215321,98,0.218525
140491,123268,88,52270,46700,86,1572,1402,15,4020,3671,36,9175,8710,51,9585,8915,52,371712,341441,103,0.232559
69616,70883,91,32762,32993,75,753,760,0,743,1025,4,2600,2562,27,3508,3326,31,129321,132628,90,0.237571
218762,170247,105,67462,53004,99,1356,1204,11,3045,2878,32,9160,7285,55,9899,7817,60,365117,293799,116,0.241581
25364,26106,62,11438,11609,44,80,230,0,217,475,0,1079,1106,9,1579,1418,14,40588,41873,79,0.258622
84742,81532,93,18724,18134,58,711,764,0,1546,1468,16,3826,3625,35,4492,5022,35,147709,144683,96,0.270651
109258,98086,88,39357,34142,83,604,715,0,1952,1716,26,5206,4707,42,5414,4924,45,195895,174787,102,0.270651
109805,108736,91,22119,21939,63,809,856,0,2394,2074,29,5052,4897,39,5819,5703,43,201281,197117,98,0.271653
42858,43667,71,10629,10915,44,122,409,0,565,708,0,1625,1529,18,2274,2312,27,70212,70413,87,0.27466
55842,54430,75,14617,14755,48,368,544,0,793,839,0,2202,2150,25,2596,2404,28,103432,102570,90,0.285687
177761,145971,96,76489,63183,95,1770,1562,18,4238,3469,35,8653,7302,54,8942,7185,54,337971,278485,111,0.287692
291775,221680,120,112205,85956,116,3104,2201,32,6416,5078,48,15390,12668,69,17992,14311,74,634142,507569,135,0.296713
194310,157842,108,91717,75524,98,1964,1665,20,4473,3365,41,9009,7729,60,9647,7566,57,369366,300666,114,0.296713
198587,165729,100,97804,83731,97,1865,1798,21,4354,3912,37,10194,8940,57,13270,11235,60,477835,416052,112,0.301725
295787,188977,137,113077,75962,119,2469,1497,28,5748,4307,50,13476,9110,80,15223,10522,73,544524,360758,137,0.30373
173964,145531,98,59774,48411,93,1501,1070,12,3284,2927,29,8022,7123,52,8663,7753,52,334528,282046,110,0.312752
113654,102002,87,43528,38680,84,1098,797,0,1649,1990,21,5056,4952,40,5499,5070,43,218757,192239,102,0.317764
84554,82655,84,14839,14680,48,607,752,0,1441,1586,15,3957,3766,35,4307,4371,36,156357,150688,94,0.3328
92724,92005,81,22746,22201,63,1195,1213,11,1983,2095,19,4062,4085,33,4636,4675,38,169729,160461,95,0.335807
64408,65730,75,16445,16364,50,374,557,0,1388,1151,12,2514,2438,27,2440,2721,24,101064,101079,90,0.348839
232576,166643,107,79267,55584,104,2047,1480,26,4903,3510,42,11038,7094,66,10830,7663,65,429339,302068,122,0.349841
163243,139707,96,46761,39131,92,2020,1597,22,3275,3147,32,8278,7689,49,8750,8001,50,339074,298675,110,0.350844
44876,44384,76,13929,14002,47,215,219,0,617,700,0,1615,1505,20,2048,2238,22,63019,64051,87,0.351846
