"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
87430,85999,84,29695,29101,78,662,683,0,1794,1482,18,3705,3542,32,3471,3903,32,130564,124528,95,0.008118
145751,124610,93,50319,42573,91,1497,1292,18,3715,3133,36,7482,6274,48,8044,6878,47,297588,253569,108,0.0101475
115515,109639,85,42134,38503,84,1221,978,0,2772,2327,29,5107,4636,41,5769,5299,45,207071,194739,100,0.0111623
120425,114910,84,32520,31845,81,1461,1289,16,2669,2550,31,6452,6153,44,7352,7286,46,261800,249452,100,0.0152213
172147,144625,94,79303,66988,93,1914,1529,22,4508,3808,38,10093,8812,57,11923,9687,60,382007,334181,109,0.0213098
186719,168507,93,99533,90468,94,2023,1878,23,3933,3432,35,8393,7873,50,10247,9472,59,312173,291793,110,0.0273983
74869,74839,79,31815,32054,76,811,826,0,1700,1650,16,3452,3541,31,4161,4437,34,136455,135928,94,0.028413
150572,133083,102,52429,46174,88,1328,991,0,3249,3248,32,7024,6262,49,8941,7707,50,278835,255414,106,0.0436343
195516,160152,99,68942,55923,92,2298,1601,28,4578,4163,40,10913,8892,62,12299,10390,63,417615,359276,111,0.044649
61740,63177,80,25672,26099,67,530,496,0,1216,1076,7,1933,1945,24,2675,2741,28,75324,72582,91,0.044649
126372,122466,86,41919,41018,81,1347,1233,14,2793,2596,31,6531,6289,47,7710,7199,47,268927,248735,99,0.0618998
55904,57101,78,21010,21096,57,423,527,0,1122,1215,11,1993,2090,24,3192,2746,31,81854,80986,89,0.064944
256499,205069,107,158173,131145,103,3779,3025,34,9070,7614,52,19798,15747,90,25260,21434,91,728687,605432,121,0.064944
112603,100451,101,48031,42619,83,829,801,0,1873,1799,23,3867,3706,36,4948,4290,41,162952,144872,101,0.0659588
