"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
220417,172327,105,81614,64324,101,2302,1794,26,4191,3241,42,9471,7514,52,10689,8361,55,322287,259827,118,0.00475039
107246,92671,86,44416,37695,86,1059,999,0,1807,1879,20,4188,3222,40,5278,4246,42,141229,116884,103,0.00665054
53493,52451,79,24747,24939,69,556,753,0,1437,1354,23,2188,2339,24,2504,2756,28,59153,58666,90,0.00760062
59244,60717,75,20057,19883,58,820,617,0,842,973,0,2032,1824,24,2924,2815,28,69394,65103,90,0.0085507
69086,67978,80,24388,24102,70,393,588,0,967,1659,13,2613,2330,27,3033,3023,30,106164,102892,93,0.00950078
111809,93019,93,42117,35140,87,956,920,0,2091,2171,23,3856,3017,39,5741,5444,44,126016,107243,102,0.00950078
116366,102116,91,46759,40309,86,1023,874,0,3062,2282,31,4834,4372,40,5847,4635,48,194047,169098,102,0.0114009
125999,119420,85,26299,24780,81,1976,1778,21,2793,2631,31,7349,7212,44,9880,9484,53,308265,293274,100,0.0133011
184483,156961,93,61181,51243,92,2124,1772,24,3580,2637,40,6304,5394,45,8799,7361,56,204394,178489,109,0.0133011
61150,57469,92,22995,21952,64,840,637,0,990,878,0,1962,1971,22,3228,3177,33,73247,72623,92,0.0190016
243199,170535,127,77987,54197,109,3082,2210,34,4790,3351,42,9358,6404,58,12941,10075,71,295108,211999,127,0.0199516
131361,126618,86,49566,48795,83,1550,1733,21,3638,3885,31,7896,7293,48,9942,9531,56,325363,305684,101,0.0218518
120633,98390,90,46586,38955,88,1592,1207,14,2576,1909,33,4561,3651,42,6262,5225,44,130610,110897,105,0.0237519
140102,132046,95,19327,18646,56,1924,1607,19,2765,2714,29,5720,5493,43,7710,6944,47,178285,171704,102,0.0256521
44151,43540,86,16318,16430,54,181,375,0,900,869,0,1564,1441,18,2752,2604,27,55127,56090,87,0.0256521
168402,142429,95,71492,58928,92,1496,1207,14,3327,2709,35,6599,4997,51,8708,6688,55,269176,223398,110,0.0380031
210972,158502,111,102262,81572,104,3000,2724,30,7173,6272,49,12787,10891,64,15821,13175,72,453737,392290,113,0.0389532
105662,93483,88,34994,30397,84,1232,1015,4,2326,1961,27,4263,3422,38,6552,5036,50,142769,123508,101,0.0389532
208729,154437,107,71520,54476,103,2425,1630,25,4204,3345,43,6928,5398,51,10378,7317,63,263604,189419,121,0.0399033
66711,67312,77,21381,21002,60,680,612,0,1614,1399,18,2732,2649,31,3357,3609,31,93927,94138,92,0.0427535
96813,92208,82,34768,32736,79,1252,1329,12,1788,1686,21,4132,4154,35,5821,5352,40,132045,122435,97,0.0427535
181992,152094,95,66090,54878,92,2307,1784,27,4606,3999,40,7032,6512,46,10171,8671,57,210000,186149,109,0.0456037
147520,121484,91,63291,51465,91,1860,1088,16,2201,1815,33,5378,4181,43,7456,5685,55,168083,133645,108,0.0475039
130970,120624,97,60923,57480,85,1303,1114,12,3323,3371,30,5196,4955,40,6303,5927,45,211716,194027,102,0.049404
122438,108774,93,37618,32115,83,1274,1255,16,2668,2590,26,5537,4520,42,7378,6694,45,178307,159567,102,0.0513042
104166,91512,95,35557,31321,83,983,915,0,2242,1960,24,3537,3087,35,5546,5142,43,143558,123374,100,0.0541544
198386,149779,98,67417,50538,96,2208,1406,27,3606,2953,39,7844,5673,56,9770,6799,57,231763,171872,113,0.0560546
155296,134246,104,42620,35224,91,2079,1721,24,3244,3097,32,6381,5404,48,9455,7816,58,240752,208106,107,0.0579547
189267,149347,100,72422,58601,97,2093,1570,22,3392,2644,33,6245,5322,47,9281,7807,58,238389,189885,115,0.0579547
113690,99128,102,42391,37043,84,1572,1453,18,2788,2259,29,4585,4014,39,5805,5069,47,129135,113665,102,0.0589048
72121,71757,77,27075,27246,75,958,852,0,1320,1624,15,2614,2615,28,3091,3137,29,102995,103203,93,0.0627051
51429,51757,73,13753,13876,47,369,618,0,624,843,0,1763,1676,21,2578,2425,28,58561,57666,88,0.0627051
71130,68289,81,25140,23190,72,835,629,0,1599,1261,16,2749,2769,29,3611,3604,30,91404,89306,94,0.0636552
79213,78911,78,22747,22299,63,846,961,0,1372,1576,20,2999,3084,30,4049,3881,38,113084,110769,94,0.0636552
62285,64590,75,27014,27039,74,849,681,0,1440,1349,17,2572,2724,27,2896,2678,29,79452,77915,91,0.0646053
176661,138796,98,73370,58982,94,2304,1590,28,4143,3257,39,7375,5989,49,9178,6949,56,213724,172664,111,0.0655554
103695,98042,93,29643,27965,79,1279,1147,11,2239,2308,27,4934,4886,38,5912,6053,41,138286,130593,99,0.0665054
148589,128678,94,41773,35769,86,1601,1366,20,2891,2631,31,5680,4877,44,8454,7799,50,174630,164927,98,0.0684056
113553,98667,89,40431,34285,86,1252,1039,5,2552,1907,30,4508,3999,37,5933,5530,43,132934,114284,102,0.0693557
