"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
118527,96154,90,40571,33356,88,2175,1634,25,2575,2071,26,4801,4178,42,6369,4973,45,151775,118446,106,0.00400802
161015,132798,108,51484,42767,90,1564,1356,16,3017,2189,31,5423,4593,45,8206,6935,53,186615,163091,106,0.00601202
179361,152346,105,65864,55101,91,3201,2884,29,4106,4155,36,8761,7420,56,10909,9746,58,240304,204047,110,0.011022
31537,31820,65,13851,14086,48,416,417,0,248,820,0,1190,1331,13,1584,1655,18,46660,45299,82,0.012024
149770,117959,104,54745,44055,93,1852,1495,23,2488,1888,36,4873,3958,42,6939,5683,48,188521,153930,111,0.0140281
152764,123407,94,55012,44666,91,1981,1485,26,3078,2285,37,5695,4721,45,8435,6888,55,169383,136581,109,0.0150301
66011,59687,83,26254,22997,78,1010,899,0,1292,1142,16,2810,2417,29,3443,2958,35,85052,72946,95,0.0160321
90430,90165,78,32377,32603,77,1212,1158,10,1944,1914,20,3510,3313,33,4847,4603,36,95511,90198,95,0.0170341
109182,91500,103,41126,34148,86,1295,1055,6,2270,2008,24,4316,3839,39,6193,4842,47,130769,107820,103,0.0200401
64175,63848,87,23065,22870,73,1094,1031,4,1641,1577,16,2151,2191,26,3811,3629,36,71813,71584,87,0.0280561
236016,184585,108,103938,83729,98,3134,2728,31,5019,4318,42,10058,7894,57,14801,11691,68,315916,254986,116,0.0330661
184337,139026,102,71013,54009,96,2822,1901,31,4158,3284,41,7108,5451,50,8774,6431,59,227043,167836,114,0.0390782
63447,63149,82,38101,38211,76,657,765,0,1404,1013,3,2521,2295,27,2796,2768,31,100424,100306,91,0.0430862
97197,90948,82,30653,28029,81,1600,1403,17,2093,1790,24,3802,3284,36,5331,5251,39,111491,103900,99,0.0430862
48782,49042,70,18557,18722,53,540,639,0,860,1067,5,1253,1450,15,2095,2139,24,52740,51697,87,0.0480962
137170,119057,90,42633,36939,86,1577,1405,19,3070,2655,32,7453,6590,49,10190,7919,64,324076,283679,106,0.0501002
141566,132400,87,52899,49480,84,1702,1717,18,3194,2811,35,7434,6901,51,10027,9652,54,353528,327451,103,0.0501002
335917,215519,137,124823,85635,133,5534,3753,44,8608,5239,65,15088,10135,69,21401,14271,89,434045,284573,152,0.0521042
83256,74927,82,27379,23799,81,956,841,0,1605,1221,23,3211,2888,34,3972,3835,36,99643,89830,97,0.0531062
146107,119328,92,45037,36090,88,2124,1716,23,2747,2091,26,5205,4226,42,7176,5699,48,147432,116502,106,0.0551102
158971,131352,97,53793,43507,90,2281,2213,23,3349,2563,37,6557,5328,47,8736,7429,53,201196,169273,108,0.0601202
29654,30467,67,12455,12569,46,256,243,0,728,590,0,777,738,0,1499,1603,18,49323,47708,81,0.0611222
147165,114993,99,48055,38275,89,2065,1710,23,3317,2564,33,5634,4305,47,7130,5572,52,174254,141353,108,0.0661323
115624,104091,93,39296,36011,83,1036,1012,3,1778,1913,24,4482,3509,39,5445,4894,39,176844,156522,102,0.0681363
207898,160507,109,68122,51516,98,3244,2531,33,3750,3223,38,7625,6063,54,10764,8057,64,217345,166442,117,0.0771543
155136,134140,94,50780,42439,91,2659,2460,27,3257,2604,34,6511,5542,46,9350,7862,55,194357,158330,107,0.0781563
38298,40105,56,18425,18747,55,392,398,0,506,519,0,1728,1817,18,2242,2396,24,60666,59923,85,0.0781563
98822,85639,87,33320,28754,84,1459,1417,16,1923,1899,22,4029,3516,38,5005,4678,43,119207,100241,101,0.0781563
68781,66661,78,28770,27062,76,1314,931,0,1403,1437,18,2455,2349,27,3830,3432,33,99268,91846,94,0.0801603
322841,245880,139,298035,237729,131,12744,9974,50,19192,14974,89,35513,27695,125,48409,36967,135,962238,760085,146,0.0851703
283887,199604,116,89554,62724,110,3744,2817,35,5406,3993,47,11381,7955,65,15058,10864,69,354476,257357,129,0.0881764
102485,82288,97,38270,31229,84,1400,1023,5,1648,1418,23,3930,3572,37,5345,4710,48,112531,93766,103,0.0891784
79570,80252,79,20690,20441,58,1065,1186,12,1394,1584,18,2824,3161,28,4783,4961,37,95059,92539,94,0.0921844
155947,130553,90,56948,46760,89,2432,1867,29,2822,2419,38,5907,4701,45,8158,7175,49,190702,168950,107,0.0921844
115447,113217,94,43564,42636,80,1524,1497,18,2790,2801,25,6431,6355,47,8220,7907,53,292863,283041,98,0.0931864
294759,192727,124,94066,62124,122,4285,2825,41,7012,4418,53,12795,8542,66,16523,10376,79,364010,237516,140,0.0941884
204369,160306,102,90850,70580,99,2170,1946,23,4706,3624,42,11316,8659,61,11651,9082,63,401111,320563,116,0.0961924
103936,86110,89,41026,33423,85,1560,1205,13,1852,1711,25,4282,3533,40,5627,4401,43,120084,98029,103,0.0961924
95499,91333,81,26995,24855,81,1404,1339,15,2591,2031,32,3676,3534,36,5357,4749,42,103239,96947,98,0.0971944
262990,179228,114,81525,57356,108,4170,2572,43,5763,3791,50,11387,8117,66,16015,11035,70,329551,229905,128,0.0981964
301520,182958,115,97067,61473,113,4880,3027,44,8374,5036,59,14426,8559,76,18518,11530,85,410936,252215,132,0.0991984
175139,138575,99,51625,41250,94,3034,2601,28,3512,3223,36,7619,6051,49,10577,8456,61,224820,174964,112,0.1002
46122,45455,72,10562,10715,44,503,533,0,508,1004,2,1521,1792,20,2599,2644,25,59963,59815,88,0.102204
38347,37213,73,7377,7362,39,432,502,0,534,709,0,1310,1501,16,1963,1709,25,41068,40892,86,0.103206
65095,62912,81,20693,19721,60,836,793,0,1135,1115,9,2631,2720,29,3572,3477,31,78787,75644,93,0.107214
285496,219541,135,126761,94872,129,4159,3432,36,8269,6202,54,15376,11937,70,20321,16630,87,486352,378607,146,0.114228
43787,42556,75,11527,11476,44,324,363,0,417,614,0,1265,1414,14,2867,2720,29,66348,64167,87,0.116232
110840,106568,83,40200,38025,82,1777,1604,17,2799,2706,29,5879,5433,42,7447,6639,49,258053,242983,98,0.121242
66296,68886,74,25295,25366,72,857,934,0,948,1162,8,2419,2592,27,3681,3837,31,85143,84660,91,0.121242
90749,80408,82,29491,25430,81,998,1031,6,2164,1771,20,3330,3061,34,5538,4671,45,100357,84249,98,0.124248
152739,128556,98,54291,45158,89,1743,1451,21,2995,2081,34,5661,4559,43,6462,6298,43,190270,159554,108,0.130261
105439,95148,90,41767,37465,82,1468,1180,19,2433,2021,27,3720,3330,35,5699,4862,45,109994,98735,100,0.130261
132325,128161,84,78364,74955,85,2113,2054,22,4491,3555,43,8972,8747,50,11513,10865,61,385116,346157,101,0.130261
117303,102814,90,34645,29658,83,1923,1858,19,2498,2342,28,4472,4000,39,5985,5403,42,141541,129570,102,0.136273
125490,97309,93,39790,30524,90,1689,1328,18,1811,1945,21,4136,3713,40,6318,4748,48,138323,105221,107,0.139279
122334,105048,89,38998,32749,87,1408,1242,14,2620,2420,31,5097,4353,40,7707,6809,50,154168,127597,104,0.140281
98847,81971,88,35135,29894,83,1286,1103,9,2133,1607,29,3776,3169,38,5248,4172,43,119758,96691,102,0.140281
216518,154955,107,68754,48192,103,2493,1955,29,4824,3706,41,11195,8298,64,14682,10521,68,489990,345353,121,0.141283
98166,82358,89,38850,32452,84,1414,1061,9,1749,1647,19,3917,3183,38,5041,4861,38,129038,103530,101,0.145291
215473,161507,109,64949,49032,98,3129,2313,35,3757,2585,39,7451,5441,51,9780,7283,54,224694,165280,116,0.151303
265961,178615,127,54534,35304,118,3803,2276,38,6366,4940,48,11118,7092,62,14367,9930,67,307819,209778,138,0.154309
75864,70415,80,30108,27196,77,1159,1190,9,1487,1422,21,2510,2241,29,4005,3950,36,92910,85458,95,0.155311
127140,98617,106,35729,27492,87,2275,1532,25,2591,2460,31,4710,3517,42,6420,4840,52,134051,111503,106,0.156313
69059,67822,80,28015,27020,75,1031,923,0,1397,1367,12,2281,2195,28,3707,3431,37,86299,81023,87,0.158317
125798,102415,92,36777,29469,87,1534,1230,14,3498,2227,42,5031,4154,43,7300,5995,51,153930,118997,104,0.158317
93744,81447,89,36958,32055,82,1201,1286,12,1695,1376,16,3623,3008,36,5536,4523,46,102486,91201,99,0.158317
86524,82038,81,29608,27599,77,1115,1013,3,1287,1514,19,3196,3001,31,5054,4406,40,112706,101974,96,0.164329
75512,68555,87,31776,28279,81,1013,750,0,1191,886,0,2613,2484,28,3277,2822,35,89600,78540,96,0.178357
258933,178561,114,74253,50756,110,4604,2768,42,6149,4079,49,10623,7369,60,15476,10184,76,310029,215013,128,0.180361
58534,61548,77,21210,21111,59,500,530,0,1369,1017,6,2970,2804,30,2846,2911,27,110622,107369,90,0.182365
328710,238428,134,142510,104481,125,5595,4224,41,9788,7970,54,16647,12960,77,23114,17826,85,520372,400231,144,0.183367
211641,169746,105,72496,57373,98,2843,2348,30,4984,4470,41,10131,8032,57,13328,10621,68,311880,253277,114,0.189379
101668,101667,85,38697,38199,79,1213,1066,9,2401,2019,26,5968,5885,39,7024,6837,43,246821,237981,97,0.194389
324966,239989,143,161709,126164,138,5533,3940,42,11083,8005,60,23160,18137,97,29812,23528,108,1.0153e+06,792526,157,0.194389
39153,39085,70,15996,16302,50,429,494,0,855,668,0,1510,1408,19,1797,1838,23,52655,51604,82,0.198397
37285,38052,76,10014,10161,42,700,623,0,584,941,0,1432,1354,15,2245,2268,28,52661,53251,84,0.201403
196647,168647,100,91970,79260,97,3464,2788,32,5076,4487,43,11514,9850,66,14310,12562,73,357815,314243,114,0.203407
117849,92958,91,38919,30687,87,1860,1470,22,2597,2135,32,4560,3803,44,6183,4491,48,136534,106737,105,0.204409
126358,113762,87,51404,44838,85,1334,940,0,2935,2274,31,5434,4701,43,6487,5352,50,211347,188369,103,0.205411
192052,164517,108,88422,77719,93,3697,3178,33,5482,4514,43,9764,8558,57,13666,11879,63,272428,242379,111,0.206413
130032,114550,90,45845,39197,87,1395,1285,14,3119,3187,30,6900,6388,46,9399,8082,48,326265,279455,105,0.211423
63862,63704,75,17163,17374,52,438,583,0,1363,1355,11,2467,2258,27,2760,3037,28,89605,85478,91,0.215431
186465,170499,100,83330,77694,95,2127,1767,24,4698,4104,40,8369,7727,52,12063,11115,61,237975,209546,112,0.218437
97340,81986,89,34694,28474,84,1417,1179,11,2133,1682,21,4011,3316,40,5030,4352,40,124997,105702,102,0.219439
86403,73993,88,33595,28249,82,1472,1250,12,1482,1054,8,3005,2536,36,3585,3392,34,98110,80777,99,0.228457
135742,114329,98,54777,46714,88,2277,1845,27,2790,2180,30,4948,4579,40,6101,4823,49,141431,120257,105,0.230461
