"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
192587,147844,98,87227,65924,98,2441,1863,27,4886,3263,44,8623,6819,54,10661,7987,59,292556,233268,114,0.00405019
183568,149801,103,75182,59752,94,2384,2167,25,4642,4315,40,9321,8028,52,11583,9399,59,341714,292232,109,0.00506273
153365,118305,110,51673,40328,93,1407,1005,3,3423,2501,38,5624,4545,46,7878,5773,53,208917,163036,110,0.00708783
121763,97709,101,51306,41914,89,1395,1254,13,2482,2149,26,4518,3536,41,6308,5352,50,174543,145955,103,0.0172133
85716,90720,74,22544,23676,50,1389,1270,13,2926,2644,32,5903,6124,45,6854,6965,40,251674,247387,93,0.022276
32895,33864,53,19117,19614,54,180,297,0,473,548,0,1008,1221,12,1532,1690,17,50325,52124,85,0.022276
75011,73886,91,23071,22827,74,1032,982,0,1047,1349,11,2795,2832,30,4335,4609,34,100695,101078,90,0.0243011
66411,62081,82,31307,28833,79,921,803,0,1657,1503,19,3170,2718,31,4808,4438,40,116849,110657,93,0.0293639
121155,102646,98,37593,30925,86,1448,1427,15,2718,2237,32,4460,3921,41,6587,5867,49,181741,161378,103,0.0374642
65481,64395,92,16723,16627,51,887,915,0,1327,1458,14,2940,2858,30,4234,4227,33,113335,111719,92,0.0415144
48618,47790,75,14430,14019,48,376,369,0,928,912,0,2081,1842,24,2556,2595,25,73803,72380,88,0.042527
145920,134362,93,45136,41698,87,1678,1473,18,4223,3640,40,6925,6328,48,8919,8470,52,228958,213752,105,0.0445521
117665,98067,90,44504,37519,87,1193,1023,4,2292,2060,30,4669,3982,41,5686,5275,45,166564,137991,105,0.0445521
84053,72555,84,42156,35063,82,640,601,0,1255,1149,10,3085,2729,33,4506,3824,42,119532,99619,99,0.0445521
