"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
33114,34800,58,12770,13027,47,235,233,0,238,501,0,1322,1239,14,1519,1363,20,44471,43202,83,0.00308008
214562,165524,106,79683,62269,99,2257,1666,28,4114,3147,40,9009,7129,57,12535,9243,64,283250,228572,113,0.0102669
52863,53671,75,19799,19617,59,432,523,0,1250,1258,11,2457,2583,27,2651,2647,30,77372,75995,90,0.0164271
45566,47297,62,13104,13129,45,414,666,0,938,875,0,1886,1930,21,2687,2745,28,65862,65949,87,0.0215606
32214,31835,63,7047,7209,38,391,458,0,616,827,0,1376,1331,13,2297,2481,24,56340,55844,83,0.0215606
87062,81726,86,28374,26140,79,1589,1488,21,1882,1786,22,3532,3356,34,4950,4050,41,119615,113872,97,0.0225873
43797,43220,73,11028,11068,44,379,566,0,867,860,0,1571,1671,17,2205,1727,23,53851,53543,87,0.023614
50643,52045,72,14412,14390,47,631,587,0,1218,1195,9,1896,1812,23,2560,2284,26,70618,67921,89,0.0246407
94068,84570,88,30652,26365,83,1640,1322,17,1906,1979,25,4230,3733,39,6041,5450,44,144081,125319,99,0.0287474
69889,70647,77,36003,36035,75,1028,1049,7,1866,1904,21,3060,2838,31,4567,4709,36,107844,105927,92,0.0287474
119154,115900,84,39162,38457,81,1364,1242,12,2988,2683,32,7176,7003,47,7309,7109,43,282496,267064,99,0.0308008
170805,135600,109,61299,48411,95,2078,1748,23,3745,2986,40,8735,6762,52,11266,8787,67,366405,289723,113,0.0318275
117584,92694,94,48617,39129,89,1201,1217,9,1911,1730,22,4218,3236,38,6120,4793,49,131925,104966,104,0.0379877
174981,138558,100,72857,60430,95,2935,2364,30,5041,4125,42,7697,5838,52,8540,7311,54,239277,194609,112,0.0379877
209471,147827,104,71752,51844,100,3222,2279,35,4998,4061,44,8908,6042,57,12259,8952,68,268016,189515,118,0.0410678
51578,52278,76,18300,18305,54,443,475,0,1086,1079,6,1943,2011,22,1969,2233,23,85603,81604,89,0.0420945
168709,129590,95,58325,45523,94,2582,1885,32,3363,2343,36,6259,4784,49,9928,7465,58,205423,157264,111,0.0462012
84164,74984,87,32825,28476,80,1456,1271,14,1345,1347,15,3259,2793,35,4889,4195,43,101738,84164,98,0.0482546
64508,62503,92,20064,19550,57,677,691,0,1117,1194,11,2197,2608,23,2918,2798,29,86112,86290,92,0.0492813
213818,178037,113,78534,65713,95,2769,2257,30,5981,4377,53,10883,9226,61,13078,11442,62,482557,421595,113,0.0544148
171515,152256,97,101981,93203,92,3484,2994,31,5852,5582,39,9940,9537,57,13041,12070,59,316384,289961,107,0.0544148
54227,55278,75,25652,26120,72,774,821,0,1285,1357,17,2431,2520,27,3221,2894,32,73178,73079,85,0.0554415
81929,71543,90,32954,29197,81,1003,861,0,1596,1134,10,2903,2646,30,4515,4167,42,107754,95628,98,0.0554415
76338,73457,82,19129,18493,56,1190,1172,9,1513,1643,18,3525,3350,35,4423,4227,38,106996,104642,95,0.0574949
151197,132108,95,56675,49116,88,1958,2134,21,3586,2845,36,8285,7663,52,11211,9584,56,381462,341455,106,0.0585216
67624,59138,95,28611,24991,79,1155,865,0,1480,1741,21,2789,2528,32,3920,3504,36,107638,95776,96,0.060575
95975,82979,86,30562,25790,82,1657,1379,18,1997,1776,28,4175,3637,40,5371,4954,41,120549,99939,100,0.060575
280161,201104,125,84108,61992,112,4073,3038,37,5878,4631,48,11667,8746,61,15799,11903,76,358150,266504,132,0.0626283
37808,40070,71,13440,13816,47,359,416,0,880,722,0,1354,1322,14,1570,1471,19,52832,52882,84,0.0677618
102791,92601,101,37531,33785,84,1269,1309,14,2074,1672,24,4633,3942,41,6236,5358,45,152715,133647,101,0.0698152
113045,93550,92,41282,34386,86,1885,1505,19,2563,1975,33,4451,3463,41,6194,4558,48,142761,114710,104,0.073922
65830,65517,75,12497,12311,46,661,787,0,658,1022,3,2609,2475,27,3305,3184,30,72296,67082,92,0.0811088
99928,99215,81,28389,28226,77,1233,1109,13,2714,2945,29,6066,5483,43,6867,6846,41,244148,234026,96,0.0811088
110481,107926,85,38146,37786,80,1200,1280,11,2639,2361,29,5682,5389,43,7786,7692,44,251589,242464,98,0.0821355
132260,129241,82,50407,48756,82,1399,1542,16,3297,3302,34,7307,7261,44,10339,9797,62,304439,287974,100,0.0831622
67588,63799,78,29582,27176,78,801,715,0,1132,1399,14,2967,2976,29,4678,4003,41,104711,98281,93,0.0862423
243203,175911,107,83058,60614,102,3784,2599,39,4393,3361,40,8509,6295,54,13993,10540,70,327942,239581,121,0.0882957
65113,63080,83,22247,21958,66,514,593,0,1388,1035,6,2192,2014,24,2477,2390,27,69104,69826,84,0.0913758
148579,123541,92,79618,68404,90,2110,1788,22,3495,2729,36,8085,7326,51,10094,9333,61,311210,262233,107,0.0924025
193103,142315,99,70332,52877,95,3105,2140,33,4425,3118,46,7961,5788,55,10441,7305,59,248167,185206,114,0.0924025
125196,102613,91,45734,38099,87,1338,1202,12,2203,1921,26,4749,3508,46,7033,5984,47,164768,135014,104,0.0954826
98876,94461,86,54525,52383,82,1880,1763,19,3099,3365,29,5361,5326,43,7009,6480,44,148497,141781,89,0.0975359
274866,199651,128,88797,65320,125,4196,2862,37,5504,4786,43,10757,8895,61,14893,11215,70,353793,301501,135,0.0975359
59872,57964,81,16736,16522,51,650,772,0,1444,1121,13,2105,1902,24,3152,3668,29,68797,67709,91,0.100616
67653,63231,89,21520,21375,67,948,901,0,873,1022,3,2819,2702,29,3921,3368,37,79023,76915,88,0.101643
41141,41433,72,13220,13140,47,355,417,0,691,678,0,1632,1727,18,1833,1724,22,57459,57395,85,0.102669
54955,57440,75,21628,21785,66,696,610,0,784,885,0,1941,1707,22,2717,2606,29,77789,77974,89,0.103696
132746,112562,92,45970,38798,88,1404,1226,11,2193,2064,27,4786,3914,42,6917,5886,48,155748,137258,105,0.104723
62060,62306,76,25177,24389,71,926,1037,5,1383,1009,2,2146,2015,23,3111,2953,34,69001,66454,92,0.109856
103998,87292,91,46401,39219,86,1451,1263,15,1871,1400,22,4447,3627,40,5833,4927,44,132294,108098,102,0.112936
96197,81934,87,35425,30300,83,1525,1157,17,2160,1651,19,4044,3591,36,4987,4059,44,116019,95112,101,0.116016
106688,98905,86,41585,37802,82,1672,1476,19,2083,1800,26,4556,4163,38,7016,5884,49,143040,137032,99,0.117043
108531,104326,87,36057,35146,80,1463,1305,12,2940,3035,28,6328,5872,45,8410,7569,50,258470,249683,97,0.117043
115664,105806,87,42375,37712,83,1637,1661,18,2440,2121,23,4620,4020,41,6152,5272,44,129843,116255,102,0.126283
94194,87439,97,28230,24686,82,1556,1326,19,1980,1731,26,4222,4014,37,6551,5877,46,138650,126426,97,0.129363
90952,90319,86,42360,40727,80,1387,1226,12,2080,2340,24,3754,3494,35,5624,5243,42,115155,113848,93,0.147844
326364,261281,128,163122,131696,122,6608,5299,41,11729,9256,66,22080,17659,84,31140,25592,122,681526,535577,138,0.154004
183701,147109,99,77416,61595,96,2871,2333,30,3963,3166,39,7899,5931,56,11343,9489,62,264088,218120,114,0.156058
140431,133060,87,79103,75991,87,2427,2431,27,3905,3678,33,6267,6182,44,8271,8230,50,206622,193220,97,0.169405
156371,143829,95,88456,81649,90,2718,2258,28,4579,4199,37,8043,7236,50,10606,8921,56,256508,220379,103,0.173511
62027,62025,90,20271,20343,59,790,722,0,1450,1500,17,2383,2452,26,2582,2675,28,70962,69737,91,0.182752
145998,126710,95,38897,33262,86,1930,1541,22,2583,2238,30,5430,4530,43,7271,5965,46,182199,158901,104,0.184805
56201,56657,86,22071,22121,61,564,606,0,503,821,0,1761,1811,22,3024,3153,31,65616,62654,85,0.186858
75022,75566,76,20397,20018,59,599,737,0,885,989,0,2685,2287,30,3290,3180,33,103991,102492,92,0.187885
119133,96409,90,38795,31900,87,2043,1449,24,3137,1910,35,4692,3603,40,6411,5301,46,139628,118136,106,0.194045
103529,84579,93,35319,29481,85,1258,763,0,1929,1658,22,4283,3688,38,5733,4876,48,135679,110016,103,0.197125
40710,41927,71,17730,17646,52,439,318,0,911,755,0,1824,1621,21,2046,2090,24,50337,50966,86,0.202259
53482,53593,80,19134,19163,58,750,840,0,685,739,0,2236,2414,27,2642,2844,26,66325,64502,84,0.203285
54660,56760,73,18114,18263,55,597,636,0,1196,920,0,2366,2272,26,2722,2666,27,69005,68882,89,0.208419
71176,67221,85,29101,26775,79,817,841,0,1490,1330,17,3325,3243,31,4905,4324,43,111507,98992,95,0.210472
56680,56984,64,13022,12915,45,695,719,0,1303,1277,14,2164,2192,23,2332,2519,27,68773,64183,91,0.214579
51789,53256,73,15437,15688,49,706,797,0,863,728,0,1834,1813,21,2517,2221,30,56325,54852,89,0.216632
126725,116397,87,53543,48951,85,2032,1651,23,2798,2636,28,6021,5401,43,7788,6978,51,172160,164626,100,0.216632
157656,134613,93,53837,45955,89,1801,1573,20,2791,2629,32,5920,4878,48,7687,6655,47,184345,160721,104,0.219713
110356,93133,90,34826,28923,85,1153,1123,7,1978,1879,23,4340,3398,43,5985,4853,48,146992,122776,103,0.219713
186273,142522,99,53467,41995,96,2266,1621,26,3406,2360,39,6950,5430,50,10097,6873,69,231353,175509,114,0.232033
60726,58678,81,26005,25221,75,723,805,0,1108,1376,13,3276,3289,33,5373,5356,40,120609,115375,92,0.23306
58815,58433,76,12327,12129,46,690,534,0,1005,777,0,2067,1917,22,2550,2685,27,71373,71297,91,0.2423
67888,66812,79,19532,18893,55,702,745,0,1372,1391,15,2163,2436,24,3484,3254,33,92113,94114,92,0.247433
54101,52445,75,24571,22933,69,459,491,0,1183,1439,12,2178,1960,24,3483,3080,33,82632,75725,90,0.25154
215340,161454,109,93034,72465,103,2437,1917,28,5812,3833,49,11138,8280,59,13127,10113,67,467802,349888,122,0.252567
166380,132850,99,47076,35090,95,2141,1625,24,3303,2987,33,6907,5063,52,8667,6667,53,246693,190951,112,0.253593
100448,83703,92,29397,24429,83,1724,1256,16,1687,1582,19,3514,2693,34,4858,4208,40,108092,87878,101,0.255647
87354,76691,87,33517,29256,83,1631,1169,13,2610,1932,29,3512,2830,35,4855,4005,41,98836,84315,99,0.26078
53663,55397,74,23298,23752,64,480,576,0,1029,1023,3,2145,2002,25,3034,3122,33,70819,69731,82,0.26078
120398,96899,91,46707,37747,89,1451,1266,16,2305,2021,30,4705,3566,44,6035,5042,46,155498,125202,105,0.264887
51530,50139,82,17664,17299,55,801,890,0,735,1044,4,2305,2232,26,2927,2682,30,68467,68143,87,0.265914
287265,201488,126,86869,62458,122,4154,2624,41,7525,5309,55,12013,8443,61,16241,11766,69,358832,259258,140,0.26694
118820,117411,83,51557,50047,81,1527,1598,19,2378,2426,26,5219,5285,39,6511,6262,42,148622,142273,94,0.26694
54842,56406,73,20367,21341,51,808,856,0,893,1175,10,2292,2124,26,2979,3369,27,68250,69281,89,0.26694
31893,31803,66,10588,10767,43,114,219,0,602,602,0,1294,1258,12,1291,1370,13,42274,42104,83,0.267967
104754,102085,80,29022,28412,78,839,912,0,1933,2059,25,4023,3694,37,5807,5185,44,165969,158050,96,0.273101
155516,125659,96,52738,41119,92,1622,1540,15,2532,2346,30,5890,4623,47,9331,7370,54,180570,145943,110,0.273101
229277,189850,102,139453,114092,100,5203,4284,38,8910,7337,54,15785,13590,68,22170,18612,78,512117,432208,116,0.275154
78932,68071,88,30021,25713,82,958,830,0,1520,1377,18,2614,2308,29,4590,4029,42,92563,78153,98,0.284394
193482,155154,99,72298,57011,97,2338,1979,26,5245,4394,45,10451,8975,56,11653,9394,71,397419,344934,113,0.284394
26971,27271,67,13017,13386,47,124,298,0,347,588,0,864,856,0,1211,1250,13,32658,33232,81,0.286448
112164,108311,87,28669,28288,79,1311,1228,11,2548,2528,27,5884,5505,44,7813,7963,51,250187,239121,98,0.286448
111342,105995,84,26838,24880,73,1520,1438,17,2760,2601,28,5442,5031,41,6991,7212,44,176916,161061,99,0.290554
137172,110161,94,46497,37496,90,1819,1341,21,2929,2028,34,5145,4085,42,7550,5456,54,165864,135906,108,0.298768
62648,61003,85,26175,26153,72,1108,1036,5,1021,1146,8,2261,2409,25,3521,3349,33,72657,65884,87,0.302875
68389,59733,85,29270,25820,79,603,591,0,1300,1459,14,2554,2170,28,3376,2641,36,82787,66650,96,0.304928
88395,78814,98,31448,27439,82,898,840,0,2023,1338,16,3422,3261,33,4166,3802,39,122671,111570,98,0.308008
62698,62177,78,16749,16784,51,961,958,0,1126,1199,9,2463,2404,26,2632,2703,28,67546,67023,90,0.318275
85500,85795,85,29693,29397,76,1061,889,0,2158,1808,26,3869,3854,34,4855,4667,38,118263,116971,94,0.320329
65239,65537,91,27964,28038,74,979,633,0,1223,1377,14,2386,2281,26,2858,2416,38,84289,82921,91,0.325462
210853,152999,103,63818,46058,100,3019,2127,31,3927,2971,40,7745,5796,53,10847,8039,61,247786,185638,119,0.326489
147040,116787,97,44803,35429,91,1996,1547,24,2882,2233,35,6080,4765,45,9007,7283,57,198739,160283,110,0.328542
63211,64323,75,21011,21104,63,955,889,0,1405,1472,16,2569,2652,27,3402,3670,29,79982,80659,91,0.330595
135146,117453,95,29934,24981,84,1662,1490,17,3234,2717,36,5441,4839,43,7497,6538,49,186443,161868,105,0.330595
89968,88726,86,21255,21471,59,1031,1052,5,2158,2310,25,4958,4637,40,5813,5408,42,200171,189050,96,0.334702
274967,175150,124,88464,56903,120,3614,2236,38,7070,4881,55,11912,7158,66,17129,11103,81,367785,235939,138,0.335729
85301,74806,89,34886,30545,83,1073,842,0,1438,1162,19,3738,3003,38,5057,4091,42,128405,110464,99,0.337782
104937,89353,88,37003,30774,83,1428,1108,10,2228,1822,29,4125,3505,38,6116,5562,44,134282,107436,101,0.340862
106649,98141,98,39203,36272,82,1520,1513,16,2497,2174,27,4343,4008,38,5482,4593,43,126529,117089,92,0.350103
94596,81557,90,34455,29639,83,1239,1041,6,1798,1412,25,3961,3532,36,5618,4891,42,114681,99911,99,0.352156
70683,69063,78,16467,16220,51,914,673,0,1775,1394,19,2639,2552,29,3412,3600,31,89925,86498,93,0.353183
58356,60331,73,21987,22078,61,515,710,0,1219,1082,6,2348,2374,27,2695,3045,26,99687,101308,90,0.359343
52288,51922,89,21415,21748,60,663,406,0,887,785,0,1597,1683,17,2336,2163,27,56681,54255,89,0.359343
85550,79930,90,31628,29031,81,1152,928,0,1533,1160,13,3020,3010,32,4196,3966,35,102739,98750,97,0.367556
43269,44057,73,14362,14550,48,787,650,0,894,1076,6,1399,1570,18,2163,2178,24,42949,43140,87,0.373717
168533,136096,93,46914,37726,92,2432,1694,27,3847,3234,32,7311,5467,55,11423,8864,64,218364,173172,110,0.37577
73694,68205,84,29141,26181,78,1020,871,0,1046,1169,10,2492,2494,25,3883,3574,36,79454,73535,95,0.376797
188959,159380,98,76019,63870,95,2231,1984,24,4572,3927,39,10470,8683,60,11569,9526,61,425864,368080,111,0.380904
178891,140737,95,53440,40090,93,2368,1777,26,4499,3373,39,7392,5581,54,10290,7516,61,237755,179874,110,0.380904
114676,94397,88,42762,34718,87,1311,934,0,1738,1334,24,4011,3305,41,6083,4966,44,140964,113900,104,0.390144
101929,86757,90,40239,34003,85,1345,1065,7,2161,1954,31,3847,2874,39,5667,4388,44,134343,112397,103,0.39117
235529,159597,117,71067,48445,112,3753,2812,36,5362,3901,45,9771,6600,63,13025,8795,69,304090,213004,132,0.39117
244267,186801,107,104832,81246,106,4356,3338,38,6280,4738,52,12203,9360,62,17212,13369,76,386907,313032,123,0.406571
98541,97368,81,31689,30071,78,1031,1016,3,1995,1567,24,3819,3787,34,5555,5113,42,125216,118790,98,0.406571
112918,88163,93,41765,32791,88,1716,1081,13,2323,1929,31,4288,3139,43,5987,4734,46,134837,102026,106,0.413758
77151,75165,84,23340,22899,71,891,782,0,1074,1212,10,2707,2623,29,3998,3666,36,95535,92899,94,0.414784
69175,66955,81,23969,22690,75,678,601,0,1768,1388,18,2934,2568,31,2995,3026,31,79217,75884,93,0.416838
94655,82441,88,30796,25776,81,1268,1177,12,1884,1583,25,3868,3367,37,5063,4332,41,124338,104951,101,0.417865
140514,114963,104,52487,43469,88,1796,1485,18,2434,2179,27,5222,4150,42,6390,5408,48,157229,128359,106,0.418891
72598,64860,87,27016,23869,79,814,740,0,1245,1329,11,2911,2602,30,4040,3556,37,90617,79260,96,0.419918
197537,142875,110,66789,49218,99,2886,2183,32,4203,2952,42,7415,5161,56,10421,7949,56,242257,172672,117,0.420945
110250,106899,96,49487,49058,80,1457,1351,16,2825,3056,27,5687,5622,44,7487,7545,44,267750,261090,96,0.427105
54205,54324,73,18129,17984,53,584,487,0,416,636,0,2034,1903,23,3050,2760,30,74124,72535,89,0.428131
155081,128239,100,56209,46623,90,1345,962,0,3196,2765,34,5807,5154,45,8421,6509,59,202013,164528,108,0.431212
70025,69808,77,28039,26676,77,922,803,0,1540,1467,17,2814,2633,30,3214,3163,32,89357,85127,93,0.432238
80394,77476,82,26856,24977,79,1410,1233,15,1874,1724,23,3549,3360,33,4631,4311,38,107176,102263,96,0.434292
254857,194444,114,92994,71127,111,3341,2433,35,6070,4743,46,12075,9115,63,15190,11590,72,458268,352705,130,0.440452
82203,79912,90,19108,18707,56,1263,1122,9,1880,2012,22,4225,4230,35,4979,5219,39,109053,107936,94,0.447639
295357,228731,116,136804,103373,112,5437,3907,42,8954,7071,51,17215,13242,83,23175,18156,94,508407,397323,129,0.448665
100662,91356,88,26710,24163,79,992,921,0,2292,1954,24,3978,3956,36,4893,4588,38,146507,138246,99,0.449692
79572,79429,79,36579,36069,77,834,683,0,1639,1423,17,2921,3143,27,3435,3542,32,100987,97251,89,0.450719
218194,163597,105,86595,65426,101,2415,1738,32,5274,4062,47,11369,8350,65,13699,10190,63,477555,360387,118,0.451745
67441,64648,81,22825,22398,68,1131,1342,11,1296,1345,16,2578,2421,27,3382,3302,35,80138,78980,90,0.452772
100396,98812,92,38666,38276,78,1270,1286,13,2270,2339,24,4634,4536,38,5759,5628,41,127862,125048,96,0.459959
144771,117757,96,59044,48648,91,1935,1433,19,3047,2231,32,5290,4391,44,7512,5589,53,153485,124365,108,0.464066
83802,72561,85,27884,24422,80,1234,971,0,1767,1627,24,3376,2976,35,5443,4476,45,110934,94080,99,0.466119
150681,144577,88,97073,92302,87,2786,2897,27,5579,4783,44,9602,8759,53,13029,11768,67,293077,258398,100,0.470226
121528,105834,89,36438,31585,83,1641,1244,19,2416,2136,26,4057,3862,34,6052,5378,42,125248,109798,100,0.471253
128567,106071,93,52519,43872,87,1634,1303,15,2057,1500,24,3906,3271,40,5670,4432,45,170009,139480,105,0.471253
171260,138336,96,46156,36659,90,2359,2106,25,3303,2626,34,6491,5735,45,8836,7265,53,205540,160824,109,0.477413
43855,42663,83,19802,19997,55,468,496,0,543,608,0,1526,1671,19,2181,2137,25,52848,54118,86,0.478439
73996,73381,78,19898,19113,57,1248,1246,10,1289,1253,16,3396,3178,33,3804,3661,37,100593,94906,93,0.479466
58748,59113,77,20708,20138,62,681,850,0,1202,1359,12,2099,1982,25,3164,2921,31,69782,70230,86,0.4846
164521,142693,94,43220,37072,87,2290,1881,28,3768,3334,42,6311,5424,46,9311,7907,59,199531,186211,103,0.486653
213416,158833,114,83281,64411,108,3039,2097,32,5115,3860,42,8465,6514,55,11696,8323,63,266511,208362,127,0.497947
135988,111290,96,45218,37468,88,1730,1263,20,2520,2376,29,4548,3984,39,6278,5531,44,154374,122048,107,0.5
135848,108654,94,57767,47381,90,1824,1288,21,2881,2431,33,5676,4618,46,7512,7034,49,179958,146197,108,0.504107
131252,110207,90,42281,35000,86,1911,1597,22,2483,2307,29,5791,5053,44,6315,5467,45,154934,133279,105,0.504107
55799,56032,74,11922,12310,45,550,501,0,1175,1154,7,1654,1660,18,2118,2035,27,65304,66909,90,0.505134
246804,165706,124,85408,58437,106,3244,1902,37,4622,2918,47,9223,5925,61,12334,8250,66,296919,195584,124,0.507187
78815,73898,84,28878,26572,79,1230,1111,9,1459,1323,20,3009,2734,32,4767,4714,37,102453,91842,96,0.508214
145582,116159,103,49654,38627,92,2690,2044,28,3183,2517,37,6339,4740,49,8974,7917,54,202246,161115,108,0.51232
115380,93265,89,48262,39570,88,1722,1458,19,2185,2084,31,4886,3802,42,6838,5857,49,153642,128433,104,0.5154
46117,48682,66,16831,16985,51,430,475,0,778,777,0,1723,1505,20,2621,2724,25,64402,64631,88,0.5154
51354,51431,74,15961,16083,49,947,1059,4,704,897,0,2101,2132,23,3465,3066,33,67616,63003,89,0.516427
57450,57990,73,25520,24086,75,796,970,0,1488,1559,17,2348,2408,26,2811,2268,32,76493,74169,90,0.517454
139212,123364,92,55173,48219,88,1262,1101,10,3220,2789,34,5961,5558,44,8254,7019,54,215913,192562,104,0.519507
142417,129771,89,43026,38797,87,2327,2080,25,3634,3076,35,6742,6372,45,8790,7211,54,192726,170720,104,0.521561
78217,73804,84,25507,23794,78,1247,1088,8,1438,1395,18,3080,2544,34,4224,3861,35,97549,93615,94,0.525667
78574,79160,77,35462,33856,78,1383,1168,12,1444,1526,14,3201,3465,29,4987,4542,39,111023,107868,94,0.527721
106289,98494,89,36224,32598,83,1680,1446,17,2344,1698,29,4224,3635,37,6011,5424,47,136114,128204,98,0.528747
217620,157042,103,69839,50915,101,3309,2342,38,4859,3600,46,7869,5344,55,11384,8041,61,231839,164645,118,0.528747
45497,45955,76,20615,20823,60,263,366,0,676,977,0,1647,1732,19,2157,2089,25,64153,66555,87,0.529774
92928,81647,86,37407,32023,82,1456,1238,11,1778,1368,22,3628,3118,34,5285,4442,45,108196,95319,101,0.530801
89760,82322,91,27016,24022,80,1040,1022,4,2028,1612,24,3759,3261,36,4142,4051,37,104014,94248,97,0.532854
166177,130847,96,48659,37770,93,2092,1784,20,3527,2928,38,6474,5107,49,8444,6447,54,206245,159407,112,0.533881
41447,42412,71,9067,9187,41,320,488,0,773,763,0,1611,1726,20,1873,2066,22,58309,58026,86,0.536961
41306,41168,85,14495,14676,48,444,374,0,580,770,0,1629,1383,16,2442,2372,26,50841,49525,85,0.536961
91449,79590,85,35526,30786,82,1273,1090,7,1899,1540,23,3498,2882,36,5599,4636,46,113253,95978,99,0.540041
144160,113089,94,55308,44837,91,2035,1760,24,3419,3196,33,6150,5136,47,8800,6571,60,191145,154402,109,0.540041
127340,107908,96,45022,38411,88,1312,1362,16,2245,2225,23,5491,4386,45,6166,5400,49,173848,145680,105,0.544148
63922,63894,91,19789,19944,55,966,1069,5,1059,1206,10,2221,2200,25,3386,3553,32,74964,72084,91,0.544148
173261,137176,106,68895,56873,92,1825,1706,20,3654,2791,38,8033,6465,52,10670,9399,68,354317,287619,111,0.547228
191142,153811,104,83731,66213,95,3073,2637,31,4983,3666,43,9786,8182,54,12369,10340,60,319459,262879,113,0.552361
306332,239357,125,106988,82240,123,7385,5499,44,11191,8558,59,21030,16013,80,27313,21350,113,642728,497737,141,0.554415
84116,83317,80,29171,28671,75,792,807,0,2014,1958,22,2672,2748,29,4068,4127,38,98756,95153,90,0.555441
119592,111591,89,44430,40760,83,1715,1601,18,2433,2194,26,4344,3943,38,6349,5852,48,145369,130641,99,0.559548
33492,33161,68,12518,12709,46,296,327,0,222,257,0,1357,1274,13,1361,1509,17,49488,49369,84,0.561602
118743,116567,83,40279,40040,82,2060,2014,23,3288,3224,31,5951,5716,39,8189,7504,52,183738,171733,99,0.562628
208712,154845,101,77953,56888,100,2238,1640,25,5145,3546,50,11639,8640,66,13996,10522,65,477864,357142,117,0.563655
