"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
24780,25296,59,7892,8156,39,274,216,0,390,437,0,1054,1030,4,1925,1950,22,47437,46422,79,0.0151251
102927,103144,80,28299,27791,77,1107,978,0,2193,2372,24,4918,4808,38,6901,6808,42,211279,209139,96,0.0322669
113340,110673,85,37853,36946,79,1742,1630,17,4057,3778,34,7045,7034,46,7771,7299,49,280336,266752,98,0.0403337
111884,107178,85,36034,34666,81,1186,1097,7,2240,2256,25,4878,4885,37,5894,5631,45,194507,184466,99,0.0433587
54311,53484,79,20555,20724,60,363,623,0,699,791,0,2129,2240,24,2761,2371,28,86103,85264,88,0.0504171
49308,50430,76,12062,12178,44,495,433,0,1049,739,0,1739,1807,20,2247,2280,24,69759,67408,88,0.0534421
74074,74017,85,24613,24634,74,788,831,0,1169,1154,11,2892,2987,29,3179,3114,32,112893,110217,93,0.0574755
57065,56914,78,9426,9559,41,503,596,0,919,874,0,1952,1978,23,2791,2900,31,79270,77992,90,0.0715923
243276,200673,104,89949,72868,103,3429,2815,32,5784,5013,41,12726,10312,66,16675,14040,76,476725,394578,119,0.0715923
35012,36838,62,14613,14637,46,233,283,0,498,755,0,1647,1590,19,1801,2074,21,62944,63918,85,0.0715923
145439,125188,90,57839,49327,89,1473,1190,12,2687,2488,32,7854,6727,50,7323,6006,49,290256,253185,106,0.0726006
235819,173865,101,71983,51741,99,2563,2010,29,5723,4474,50,12961,9829,69,14714,11107,72,527106,384992,118,0.082684
33502,35694,57,13791,14001,48,389,439,0,729,809,0,1297,1343,13,1173,1519,16,52562,51528,83,0.0847007
80098,80949,77,22607,22645,62,685,785,0,1294,1477,13,3108,3206,28,3651,3757,32,117149,116172,94,0.103859
139948,124196,90,53705,46650,87,1151,911,0,2374,2210,26,5290,4514,41,7089,5907,53,192188,162983,104,0.105876
98708,99226,82,45074,44409,79,1165,1111,8,2815,2756,30,4896,4558,39,6682,6800,43,194411,184623,94,0.114951
199991,157891,100,70625,56158,95,2128,1789,23,3736,2945,40,9498,7746,58,10918,8778,65,339486,265863,115,0.114951
179400,142252,96,56991,44335,93,1998,1715,22,4298,3265,45,8476,7309,52,8698,7146,54,313869,255447,111,0.121001
40207,40558,75,21728,22211,67,355,425,0,668,1038,3,1430,1500,18,1825,1917,25,67260,67348,85,0.122009
143292,125283,105,50042,42704,89,1668,1655,22,3541,3127,35,7616,6875,50,7220,6494,52,297741,261867,105,0.123018
35541,34370,78,13565,13789,46,197,224,0,858,738,0,1453,1361,15,2005,2035,21,56535,55844,84,0.128059
79450,80264,78,32750,32964,75,761,749,0,1700,1807,19,3452,3363,32,3879,3492,36,122364,116702,93,0.128059
65243,65009,78,15071,15209,49,536,525,0,516,986,0,2131,2104,26,2708,2761,26,88608,84806,91,0.131084
113482,111054,89,18181,18054,52,1628,1711,16,3208,3101,33,6997,6864,44,7031,7302,43,277172,268863,98,0.138143
59650,58772,80,27725,27972,73,476,634,0,1659,1318,15,2237,2387,26,3013,3185,30,89956,89176,90,0.143185
125932,124280,82,37674,37096,80,1338,1549,15,3483,3506,31,8630,8459,53,8508,8032,49,320054,304581,100,0.147218
73208,71619,78,19385,19065,60,785,888,0,1384,1403,16,3039,2777,30,3749,3815,32,119259,116839,93,0.148226
52235,51249,80,19515,19359,59,477,395,0,884,974,0,2184,2109,25,2857,3127,27,89846,89444,85,0.153268
45753,44348,82,16093,16151,49,308,336,0,917,1040,3,1388,1570,18,2029,1982,25,68521,66062,87,0.161335
208757,174635,104,64847,52258,100,2138,1838,22,4537,4016,37,9290,7879,54,11420,10149,57,338218,290599,117,0.175451
194266,167705,103,95786,84517,99,2799,2557,30,5660,5468,41,13412,12330,65,15187,13469,71,544675,492651,116,0.183518
33394,32374,77,11518,11675,46,522,357,0,594,605,0,918,1298,11,1771,1714,22,54938,56134,84,0.185535
