"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
71584,70188,78,20760,19877,61,1095,1021,4,1816,1595,21,3438,3250,32,5011,4737,41,134953,128488,93,0.0189992
77459,76777,88,25920,25786,74,760,825,0,1298,1387,12,3668,3613,33,5385,5374,40,130798,128253,93,0.0389983
66115,65044,90,28434,28404,75,730,879,0,964,1102,8,2515,2264,28,4107,4120,37,112807,107875,92,0.0529977
165194,137832,94,63513,52460,92,2080,1464,24,2917,2451,31,6857,5688,48,9851,7420,62,289313,238217,110,0.0589975
176469,141824,97,70109,57044,92,2048,1540,25,4619,3422,41,7847,6117,48,10892,8379,60,295694,236983,111,0.0739968
83979,82896,85,47328,47557,77,1135,1173,9,2381,2217,25,3913,3434,38,5779,5874,39,145931,140727,91,0.0759968
164316,150702,95,52040,48011,88,1903,1825,23,3296,3414,38,6511,6137,44,10487,9543,53,258012,234523,107,0.0759968
178175,159122,93,57895,51093,89,2091,1705,22,4005,3295,36,6766,5980,46,9531,8707,51,254422,227770,103,0.0869963
87130,84748,85,28257,28012,76,1117,1360,12,1621,1494,19,3460,3517,34,4819,4546,39,127043,127231,95,0.100996
75593,62196,91,24831,19452,76,168,161,0,1029,802,0,408,412,0,80,163,0,190,307,0,0.102996
68605,67968,80,27726,28148,75,934,1051,5,2431,2086,26,1324,1200,13,1698,1653,21,154363,150900,92,0.108995
123918,115613,90,39657,38043,83,1377,1252,15,2060,2248,25,5667,5340,41,7494,7502,43,220934,208697,101,0.123995
178997,154885,104,65327,56185,91,1928,1989,22,3125,2802,31,7762,6892,48,12521,10960,63,356877,318686,110,0.130994
81481,82240,78,18275,18281,55,974,938,0,1477,1544,20,3520,3476,33,6209,5705,44,140608,135666,93,0.136994
106008,103708,88,32531,31834,80,1309,1254,13,2413,2330,23,4431,4427,35,6033,5586,40,173513,166576,99,0.147994
128751,114412,101,49000,43328,86,1503,1230,11,1553,1371,20,5179,4497,40,7127,6467,44,188626,161187,102,0.152993
149197,127013,93,49127,41203,88,1498,1441,18,3040,2347,30,6852,6146,47,10555,9871,52,333291,303108,107,0.159993
178581,144010,104,58012,47042,92,1788,1414,22,3266,2558,32,6178,5094,46,9162,7385,57,236356,193773,112,0.167993
119545,118053,85,75986,74765,83,1754,1502,20,2618,2843,26,6488,6033,44,10112,10079,59,315447,302141,99,0.177992
129545,117058,90,40652,36195,84,1560,1318,22,2569,2356,31,5243,4866,39,7342,6926,47,200613,187388,101,0.190992
82584,79570,93,18451,18284,56,948,885,0,1466,1294,16,2853,2921,31,4311,4291,36,121906,115352,95,0.199991
135590,129786,87,53131,52004,84,1827,1678,21,3309,3036,30,6896,6661,46,10269,9988,58,287411,264897,102,0.202991
144467,118482,93,39069,31934,89,1372,1044,7,3219,2461,35,6065,5086,45,9076,6844,56,238939,195035,109,0.205991
77573,79112,79,33521,33437,76,1313,1281,14,1409,1544,20,2990,3174,31,4702,5093,38,122077,117907,93,0.218991
226551,174276,105,78981,60520,102,2261,1666,25,4256,3814,40,10184,7964,58,14270,10501,74,505546,406371,120,0.220991
84590,83462,78,31721,31516,77,950,994,0,1478,1702,16,3141,3378,29,4795,4855,37,129624,125507,94,0.23699
120977,117712,87,32789,32110,80,1296,1398,15,2580,2786,24,5903,5954,40,8349,7904,61,262012,246842,100,0.24099
52969,52252,74,18065,18221,53,620,698,0,1126,1265,11,2334,2388,26,3538,3610,32,103482,103988,89,0.256989
193996,155458,101,67840,54033,94,2327,1822,28,4222,3762,40,8522,6341,59,13156,10370,69,317873,252264,113,0.274988
141201,135370,90,46516,44805,85,1756,1524,20,3321,3305,32,8029,7503,48,11130,10876,59,342225,322559,102,0.290988
100119,90768,84,37259,32532,84,978,823,0,1743,1582,23,3898,3523,36,6284,5522,46,162122,140046,100,0.320986
197823,165388,98,84861,70978,94,2545,2095,30,4180,3716,37,9316,8000,54,13653,11134,69,357338,303389,112,0.322986
292969,225966,117,107353,86598,111,4002,3668,32,6037,4330,52,12782,10344,60,17310,14465,75,457858,373566,130,0.342985
283301,191429,123,115828,74317,122,4144,2733,38,8319,5511,59,15833,9692,74,21419,13172,83,605370,397780,139,0.372984
218388,173127,104,84431,69298,99,2341,1707,27,4575,3537,41,9502,8030,56,12720,10616,64,332765,269709,117,0.379984
246382,176116,106,74060,52748,103,2834,2103,32,4683,3705,43,10200,7601,60,16149,11112,73,402840,289873,122,0.388983
73580,71889,79,27207,26623,75,862,784,0,1417,1853,16,2551,2650,28,4515,4496,35,109506,106203,93,0.389983
71683,70500,81,17929,17861,52,1002,775,0,1388,1371,15,2943,3069,29,4691,4678,35,129388,124780,93,0.395983
169183,139930,96,52757,43634,91,1969,1774,24,3249,2981,35,6891,5894,46,8777,7701,55,248463,211399,110,0.402983
87065,84456,89,16564,16254,52,1219,1145,14,1248,1383,15,3801,3638,34,5449,5088,42,144215,140617,95,0.411982
86949,87500,79,30061,30103,77,1121,1029,4,1997,1776,18,4092,4321,34,6384,6419,43,210516,202482,95,0.413982
84183,83894,81,37469,37611,79,1353,1222,12,1931,1542,22,3693,3321,37,5623,5382,41,136110,130508,96,0.416982
131303,123278,86,41993,37609,85,1381,1083,13,2588,2445,28,5116,4232,41,8018,7365,50,205058,185026,102,0.419982
69900,71188,87,27368,27432,74,399,659,0,1250,1316,15,2746,2922,27,3779,4194,35,111752,111077,92,0.419982
229398,172925,121,69983,53228,103,2478,1662,31,4820,3327,44,9759,7232,58,12981,8854,71,369547,282316,122,0.424982
93089,91795,91,33648,33531,79,1252,1043,6,2005,1946,26,3756,3707,33,5048,5025,36,139564,134354,96,0.426982
212549,165303,105,73476,57925,97,2326,1556,28,4215,3513,38,9001,6903,52,13615,10479,65,339898,268522,115,0.440981
144832,118895,92,49509,39689,89,1896,1450,18,2040,1868,21,5165,4035,45,9054,7436,56,219709,182202,107,0.451981
63241,63744,76,19492,19691,55,1001,1182,9,1038,1333,12,3143,3110,30,4531,4356,38,115789,114317,91,0.45898
200496,156105,97,59693,45532,95,2305,1662,29,3970,3142,39,8799,6718,54,12242,9119,67,327425,249650,114,0.46998
228831,166742,103,92375,66727,101,2396,1685,28,5143,3631,46,11222,8354,66,14102,10766,69,482759,366227,118,0.47698
235059,176936,112,156990,122177,113,4556,3824,37,8798,6673,56,18544,13937,73,25136,19605,100,857687,655191,127,0.500979
308506,204120,129,126311,88776,126,3628,2071,39,8872,6233,55,17615,11489,79,25808,16973,87,830142,545709,144,0.509978
138468,132083,93,44718,42804,83,1752,1468,19,2728,2343,31,5147,5059,39,8487,7814,51,226298,212022,95,0.538977
122520,103619,91,46528,38881,87,1173,861,0,2150,1822,27,4804,3965,43,7127,5792,55,178610,142457,105,0.542977
67121,67262,81,22591,22675,64,430,572,0,1415,939,0,3033,2976,30,4291,4089,37,110211,106606,92,0.546977
140486,133869,92,43826,41743,83,1964,1878,21,3869,3254,34,6707,6336,45,9262,8806,58,251695,238389,102,0.559976
67227,64632,92,15837,16049,49,740,749,0,940,1010,2,2227,2286,25,3810,3728,32,102424,99864,92,0.569976
95363,94058,80,30261,29598,79,1379,1264,14,2034,1774,22,4014,3910,35,5481,5591,41,148753,142486,97,0.583975
49404,48548,80,19998,20097,56,612,565,0,652,629,0,1871,2064,22,2682,3027,25,75530,77056,88,0.590975
144422,125259,97,51704,45074,88,1427,1502,18,2830,2431,28,5210,4547,42,8304,7677,51,205625,177436,105,0.594975
115766,114538,85,37883,36975,80,1631,1598,19,3020,2772,31,6321,6460,40,9495,9266,54,307309,293792,98,0.594975
80397,78809,78,20887,20623,57,1146,1209,10,1582,1520,21,3105,2927,30,4545,4583,36,134424,128613,94,0.603974
124543,120719,84,36253,34575,79,1757,1474,20,2704,2543,32,6414,5733,47,9417,9019,55,232834,219484,99,0.603974
73371,71631,84,22410,21787,63,955,978,0,1627,1590,22,3200,3023,32,4462,4420,36,116827,110841,94,0.604974
127804,124609,84,68133,66606,83,1272,1330,16,2867,2842,27,6540,6362,44,9912,9519,49,324937,309091,100,0.612974
132018,124182,90,43422,39920,84,1332,1449,13,2993,2948,31,5533,4989,40,7597,7547,44,228018,213753,101,0.624973
92658,92892,81,32992,32302,77,812,658,0,2104,1898,25,3927,3543,36,5380,5479,41,144282,142532,93,0.629973
90649,89705,95,23712,23914,73,1217,1206,12,1761,1722,21,3742,3682,33,5554,5491,44,137210,131863,94,0.631973
67622,66086,78,11715,11778,44,790,957,0,1555,1606,16,2942,2890,30,4735,4702,37,120676,117476,92,0.640973
130856,117799,90,38946,33620,87,1356,1345,15,2426,2205,25,5892,5274,44,8422,7356,52,233083,205334,104,0.646972
183796,144892,99,61292,48390,93,2592,1940,29,3517,2318,37,7938,6298,50,10794,8893,67,299268,235163,111,0.652972
100426,97773,81,30854,30312,78,1540,1260,18,2124,2382,23,5199,4900,41,7197,7033,48,214149,205578,97,0.656972
141486,136394,85,55716,53481,84,2172,1813,25,3757,3525,34,7452,6663,52,10586,10023,64,253370,233691,97,0.665972
161963,141254,93,36319,30279,86,2496,1970,23,3672,2900,34,6595,5516,44,10501,9037,62,251068,223492,107,0.672971
64416,62169,86,23622,22921,74,504,556,0,1480,1486,14,2628,2659,27,3766,3847,34,105028,101312,92,0.675971
209431,168964,104,82064,66974,99,2440,2054,28,4402,3360,40,8512,6963,55,12429,10507,64,319330,255757,117,0.689971
169571,142343,93,60747,49312,92,1986,1582,25,3280,2502,32,6609,5876,49,10343,8591,59,263477,217086,109,0.69397
188545,148875,105,58545,46431,95,2087,1689,24,4036,3063,42,7178,5924,50,11274,8711,57,302820,236459,113,0.69797
316756,216192,129,117113,83124,123,4462,2575,41,8180,5899,61,14884,9686,74,22762,14426,92,558790,381450,142,0.70497
193475,158124,97,74495,61933,94,2808,2497,27,3657,3196,35,8072,6891,52,11706,9270,57,341714,278959,112,0.71197
64697,63285,78,18964,19189,57,861,936,0,1150,1076,6,2597,2716,26,3880,3485,37,105167,101448,91,0.720969
68823,67481,82,27251,26978,75,673,717,0,763,1092,7,2522,2443,29,4269,4421,35,105377,101970,92,0.722969
110082,105038,86,48137,47289,82,1407,1509,17,2014,2168,26,5266,4970,41,7064,6834,48,174235,164796,99,0.722969
92171,90172,81,26915,26380,77,1181,1060,7,1551,1543,15,3442,3443,33,5262,5392,41,146552,141698,96,0.736969
56053,57080,72,16624,16667,51,632,750,0,1080,1219,10,2607,2758,26,3515,3403,31,109966,106749,89,0.737969
40043,39469,75,8087,8169,40,499,442,0,1591,1709,17,1763,1688,20,304,499,0,16524,16955,63,0.745968
98295,94836,94,16942,16884,53,1597,1448,16,2043,2051,23,4389,4534,37,5862,5590,40,144753,139638,97,0.751968
75663,76436,78,23915,24151,70,1261,1307,12,1819,1549,20,3237,3467,29,4713,5176,35,126587,127231,93,0.755968
106046,102347,84,27493,26927,78,1230,1321,13,1324,1887,20,4870,4513,36,6762,6474,45,181453,172910,97,0.759968
178100,146888,96,63743,52218,92,2313,1745,26,3368,2827,34,7628,5917,52,11094,9509,59,283622,237991,110,0.769967
118727,117315,82,34966,33465,79,1133,1080,9,2800,2438,31,5136,4866,39,7011,6589,45,212739,198846,98,0.779967
107505,94973,86,34359,29633,82,1213,1115,12,2307,2070,29,4755,4363,38,6735,5502,48,169341,150418,100,0.794966
188803,143920,99,72316,55700,94,1750,1333,21,3408,2583,37,8113,6775,51,11467,7737,64,394166,297882,113,0.794966
128585,123579,85,49825,47795,83,1825,1779,19,3137,2936,29,7102,6787,45,10056,9764,51,341160,331467,100,0.797966
211312,155863,116,72518,53218,109,2407,1697,29,5102,3784,48,11586,8844,63,16987,12703,77,563924,429026,126,0.799966
122203,115349,94,32350,30642,81,1119,1057,6,2767,2300,28,7114,6690,46,9591,9680,51,332822,316066,100,0.801966
