"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
165725,142803,92,71115,61051,90,2470,1950,27,4216,3571,37,8879,7052,56,11163,9304,61,406238,356460,107,0.00313742
173160,123573,114,65952,47172,95,3137,2324,34,4276,2879,45,7565,5240,53,10736,8204,59,269201,188137,114,0.00522903
127314,123606,87,30535,29889,79,1623,1408,20,3551,3435,34,7949,7885,49,8181,7880,49,332630,314624,99,0.00836645
185708,147485,96,59055,45874,94,3780,3159,33,4118,3428,37,7794,5922,50,11148,8814,58,238114,189405,112,0.00836645
56921,57559,79,21840,22151,63,980,893,0,1428,1095,7,2102,2229,23,4140,3783,40,74266,72001,90,0.0125497
161543,137416,95,45131,38555,91,3177,2356,31,3022,2538,32,6473,5362,46,9875,8566,55,217007,192794,109,0.0135955
79505,74306,89,25773,24302,78,1317,1254,13,1631,1720,23,3534,3198,32,4252,4048,34,94870,90940,95,0.0135955
91809,82690,86,43541,38924,83,1274,1181,14,1727,1347,14,3369,3010,35,4206,3512,37,141177,125568,100,0.0146413
137381,128379,92,44081,41877,86,1952,2025,21,2350,2300,27,4496,4193,36,7749,6833,47,164742,154583,104,0.0188245
193997,157898,97,72760,60608,95,2743,2105,31,3603,2900,39,8259,6789,53,8905,7344,55,305794,243541,113,0.0188245
68039,68649,78,24124,23972,72,944,704,0,1296,1130,9,2083,2149,23,3562,3443,32,92209,89393,92,0.0209161
253228,200833,106,95953,77358,104,4996,4447,39,5774,4703,49,11267,8797,60,16208,13075,78,338033,286061,120,0.0209161
157049,122734,92,54812,42221,92,2493,2013,27,3576,2646,34,6433,4911,51,9002,7158,52,192898,145576,110,0.0219619
103593,101028,86,40990,39842,80,2049,1948,23,2554,2023,31,4694,4769,37,7520,7215,50,146818,142433,97,0.0230077
115398,94609,89,42786,35027,87,1965,1727,22,2367,1938,30,4767,4044,40,7384,6312,49,157332,129213,104,0.0261452
54891,53168,76,24844,23553,74,1105,1070,6,1006,940,0,1974,1890,25,3666,3376,34,76562,73575,90,0.0292826
180050,152636,99,74005,64617,93,2179,1756,23,3490,3270,33,7693,6636,53,10512,8984,63,352616,302884,111,0.0292826
158013,128205,111,64196,52943,93,2089,1793,21,3423,2974,34,8710,7008,57,10074,7807,57,345485,291915,111,0.0292826
67137,60784,79,27618,24503,72,1257,1161,11,1116,790,0,2719,2228,28,3524,2935,36,81422,71678,94,0.0303284
140866,117795,98,58797,49739,89,1719,1376,21,2675,2281,32,5531,4583,43,7044,5626,49,216182,180481,107,0.0303284
30137,30884,65,11809,11860,45,753,604,0,684,700,0,1146,1440,15,2044,2050,25,42552,44073,82,0.03242
64796,64347,76,15843,16025,50,827,941,0,1412,1361,15,2777,2541,28,4121,3598,34,88005,85791,92,0.03242
111687,95071,92,41735,36182,85,1830,1723,19,1396,1665,17,4263,3660,39,6300,5339,45,133855,113956,103,0.0345116
146184,121706,99,53923,45106,90,1864,1715,23,3343,2503,34,5264,4419,43,7869,6399,51,185360,153265,108,0.0355574
186667,145106,101,77841,62385,96,3207,2414,33,3417,2853,37,7086,5131,51,9802,7961,62,212378,160467,114,0.0386948
65614,59952,83,24646,22053,71,966,855,0,1605,1316,17,2268,2274,26,3580,3217,36,89605,81094,94,0.0397406
54928,53028,90,17834,17836,55,575,705,0,880,915,0,2104,2298,24,3055,2608,30,79511,77564,90,0.0418323
195574,145909,101,69386,51547,99,2554,2053,29,4394,3221,41,9808,7352,59,12187,9276,67,426676,318890,116,0.0481071
71606,69513,72,21589,19948,62,1369,1442,16,1296,1148,16,2993,3212,29,4782,4688,40,102342,96515,94,0.0501987
58268,58889,89,10535,10975,42,431,368,0,802,1086,7,1793,2083,23,2116,2301,26,80207,82233,89,0.0575193
102240,101061,80,39658,39146,80,2142,2082,24,2462,2404,23,4703,4606,38,7219,6993,45,148832,142676,96,0.0575193
180791,141648,100,65212,51064,95,2150,1803,25,3941,3134,38,8980,7274,54,12097,9800,65,413228,329247,112,0.06484
80151,75555,80,31987,29478,79,1355,1384,15,1479,1605,16,3348,3067,31,5298,4663,43,107507,99294,95,0.0658858
79903,71161,85,29430,26077,80,1444,1081,7,1199,1426,14,2780,2336,31,4265,3715,36,87684,74431,98,0.0669316
204922,152599,101,69644,50460,96,3470,2230,37,4005,2924,40,7531,5677,52,11162,8078,64,254051,184666,114,0.0742522
