"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
102947,99715,83,41671,40939,79,985,1035,4,2525,2462,28,4576,4478,37,6182,5533,44,204952,200438,97,0
184417,146126,104,84917,69860,96,2584,1659,30,3681,2601,40,7266,5519,49,10553,8241,62,271439,215029,113,0.000962464
57077,55033,90,14548,14656,50,574,669,0,690,907,0,2174,2354,24,2889,3413,29,82839,83049,90,0.00288739
107563,102415,83,45384,41044,82,1110,936,0,1899,1547,23,4348,4015,36,5521,4553,44,175278,161452,98,0.00384986
234510,176561,110,78438,58078,105,2889,2035,31,4695,3522,43,11713,9087,60,14358,11331,73,505904,386061,123,0.00481232
60495,58180,82,15326,15304,50,880,911,0,638,615,0,2487,2416,27,3091,2848,30,81488,82442,92,0.00673725
160461,127850,97,59719,48047,91,1868,1487,22,2771,2555,32,5844,4854,46,8683,6446,50,198553,150402,109,0.00962464
279357,182517,127,108073,72023,124,3133,2280,33,5063,3046,49,11100,7149,62,16806,10387,74,381091,241922,142,0.012512
213651,184844,106,133077,118618,101,3991,3665,32,7182,6285,43,14037,12161,71,21143,18915,78,489832,418980,118,0.0153994
119442,108713,87,47540,42289,86,1707,1424,17,3305,3081,35,4611,4171,40,7023,5857,48,175626,155496,103,0.0163619
212632,176866,101,97223,81358,98,3608,2982,32,6102,4324,48,11704,9148,64,17868,14841,75,379796,305232,111,0.0182868
162299,154217,88,68867,66649,86,2429,2590,26,4158,3979,35,7405,7028,47,10533,10281,57,247113,229631,104,0.0211742
203356,159870,103,98076,80447,99,2866,2235,28,4886,3463,44,8706,6774,55,12682,9858,69,284780,221735,116,0.0221367
229154,180334,103,96068,76757,102,2958,2330,31,5205,4211,44,11268,8956,63,15011,12044,68,386250,302727,119,0.0230991
190485,139983,105,105945,84446,98,3576,2744,34,4676,4022,40,10094,8220,60,15228,12590,71,352903,277370,115,0.0240616
91771,90396,80,23773,23511,77,1102,1187,11,1963,1737,20,4236,4023,35,5648,5353,43,139363,132987,97,0.0259865
302093,229709,116,120460,93632,114,4863,3728,39,8483,6714,52,15884,12448,70,22649,17292,102,521121,411750,131,0.0259865
161261,142785,92,63528,55300,90,1445,1365,16,3496,2939,33,7659,6761,48,7856,6760,53,288866,253296,107,0.0279115
135338,119677,89,58445,51176,87,1734,1693,20,3210,2545,34,4535,4233,39,8481,6975,52,178071,158042,105,0.0279115
218932,165936,102,105344,83489,101,4186,3212,37,6813,5195,51,12668,10046,65,18480,15139,77,423482,339739,119,0.0279115
66694,66043,78,16211,16209,50,770,749,0,1601,1707,24,2539,2575,27,3452,3584,32,91268,90800,92,0.0298364
172124,131992,99,56624,42006,97,2084,1778,23,3605,2684,38,6986,5806,50,9683,7982,61,233284,178479,114,0.0327238
135618,118159,91,51901,45288,87,1254,1382,14,2689,2620,30,5730,4691,45,7012,6262,46,175709,155516,105,0.0336862
91835,91061,84,26143,26212,77,983,931,0,1705,1755,24,4011,3896,39,5587,5326,42,185262,173146,96,0.0346487
104058,103081,81,45378,44600,79,1189,1212,15,2005,1994,27,5806,5891,40,7880,7201,48,257161,247438,97,0.0346487
290582,195636,130,93862,64113,125,4101,3131,37,6681,4651,48,13611,9432,69,20288,14494,87,427127,289358,144,0.0384986
153925,125654,99,54532,44079,92,2024,1482,24,3526,2804,39,6156,5375,44,9437,7997,53,216991,177203,110,0.0442733
