"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
139389,129698,89,65729,61938,86,1629,1797,19,2784,2550,30,5602,5469,39,9887,8904,57,235215,216533,103,0.0188205
40460,42629,71,24364,25120,59,583,654,0,1088,699,0,1477,1317,16,2187,2223,26,58957,61531,86,0.0208016
126432,120071,100,42879,41632,82,1198,1233,13,2350,2386,27,5657,5358,43,7886,8183,46,259895,250250,95,0.0287261
228718,179193,109,64680,50307,101,2687,2186,30,3868,3307,38,8144,6503,55,12262,9421,70,307153,247345,120,0.037641
117949,106477,85,46601,42008,84,1330,1258,15,1278,1571,16,3610,3419,32,5466,5064,43,160813,144221,101,0.055471
137225,131673,89,53779,51977,84,1558,1590,19,3054,2854,29,6425,6215,43,8248,7200,52,283084,268014,96,0.0624049
178459,144976,106,73759,59394,93,1348,1160,13,3221,3114,34,7514,5999,52,9301,7618,53,340669,282311,111,0.0633954
99188,98938,80,45846,45000,79,964,1244,10,2305,2202,24,4415,4286,37,6125,6090,44,210729,204253,96,0.0693387
104156,99948,87,21905,21214,64,1211,848,0,1857,1473,21,3861,3933,33,5562,5222,40,162691,155763,98,0.0723104
116460,110667,85,28378,27707,79,1260,1279,13,2780,2662,28,5654,5562,39,8565,8562,49,304698,286706,99,0.0792443
174061,155629,92,46860,40326,88,1815,1492,19,2713,2449,28,5924,5000,46,9128,8571,59,250104,228204,100,0.093112
232123,187593,114,90173,72514,99,2462,1914,25,4146,3016,41,7890,6396,48,12226,9812,59,338486,276520,112,0.0990553
71937,73342,77,30600,31123,74,396,514,0,921,1073,6,2414,2259,27,3760,3354,36,105140,101720,81,0.109951
116698,114568,85,49347,47986,83,1358,1434,14,2805,2530,27,6132,6092,42,7143,6703,47,262364,254751,92,0.109951
180867,153567,104,73620,62060,94,1769,1453,20,3297,3103,31,7920,6933,51,11185,9148,59,391245,334944,111,0.118866
109901,94046,89,47690,40386,85,1087,1049,6,1465,1651,20,3981,3468,38,6474,5601,49,164100,137617,98,0.121838
115643,112830,88,33857,32981,81,1191,1417,14,2507,2474,25,5895,5891,40,6714,6320,44,240348,233325,97,0.122829
186726,160684,96,81179,69556,93,1660,1488,17,3715,3569,35,8671,7450,55,9798,8059,55,352012,310433,109,0.123819
109089,109124,82,67971,65820,82,1331,1297,13,2484,2131,28,5366,5296,38,8879,8277,53,205052,198554,89,0.130753
57793,57204,75,25101,25274,73,363,380,0,867,1194,9,1696,1665,18,2333,1956,25,73910,72011,81,0.133725
92975,91622,84,49145,48445,80,833,876,0,1443,1350,15,3117,3110,30,4503,4278,40,138015,134412,97,0.135706
158277,136998,90,53536,45286,89,1351,1471,16,2553,2256,29,5972,5169,45,9403,7812,54,231722,193059,107,0.14363
77694,77598,79,23995,23866,71,640,1018,2,942,941,0,2465,2596,26,4144,3726,37,107012,106477,94,0.147592
120591,117183,86,41735,40351,81,1050,1157,9,1932,1869,23,3921,3992,34,4879,4845,39,171993,159011,96,0.147592
93395,90260,83,38647,37574,78,777,977,0,1019,1729,15,3609,3436,33,4631,4814,36,148466,147723,88,0.148583
88276,87261,80,26573,26177,77,709,627,0,1087,948,0,3379,3305,32,3773,3498,36,141512,141078,93,0.149574
84000,83907,78,23541,23691,72,959,924,0,1372,1622,18,2818,2726,28,5111,5423,37,118563,113592,90,0.152545
95282,92694,88,33091,33014,78,866,900,0,1674,2087,24,3251,3447,33,5120,5020,38,127566,126044,92,0.154526
66666,67707,79,27627,27234,74,300,552,0,895,1143,8,2297,2221,26,2979,2643,33,90825,88447,91,0.162451
137948,118265,100,50382,43536,87,1292,1155,12,3092,2300,36,5776,4995,42,8235,7038,52,288428,241202,106,0.162451
155132,137066,91,60349,52834,90,1593,1438,16,3623,3020,34,7200,6424,47,9514,7915,56,326054,284281,107,0.166413
91421,90544,78,44475,44415,78,882,857,0,2001,1627,20,3330,3423,31,4681,4818,41,129322,128121,89,0.167404
106332,105548,83,42836,42016,80,812,1045,5,1794,1668,17,3648,3459,35,6134,5807,45,146246,136271,98,0.173347
292063,209928,125,104093,74953,118,4110,2735,37,6121,4697,47,11546,8477,59,18180,12934,82,476778,349772,137,0.1783
208797,167701,99,78927,62930,97,2077,1811,25,4767,3774,42,9310,7541,57,12280,9583,67,445576,353616,115,0.191177
87685,87903,83,29858,29583,77,924,993,0,1201,1187,10,3720,3527,35,3959,4090,36,146488,144051,94,0.193158
41517,40682,72,14312,14654,47,506,544,0,591,614,0,1609,1356,17,1787,1599,22,63990,63205,86,0.206035
86590,86352,80,35928,35856,77,781,939,0,1607,1281,17,2701,2773,28,4523,4633,36,125633,122966,94,0.208016
54450,54760,75,8440,8805,40,402,434,0,769,843,0,2002,2157,22,2341,2334,27,78333,77366,85,0.208016
171607,152507,93,68352,58880,92,1862,1839,19,3284,3664,34,8674,7609,58,9988,8623,55,385395,348298,104,0.21495
134922,127510,87,49772,46547,83,1858,1541,20,3103,2432,29,6787,6409,45,8222,7526,50,315666,293681,102,0.219903
67746,68611,77,31868,31715,74,792,581,0,1108,1232,11,2624,2954,26,3834,3898,34,94681,95777,91,0.226837
104787,105195,88,43331,42521,80,1373,1282,12,1788,2013,23,5725,5638,40,6056,6608,38,203562,195858,97,0.235752
169580,142499,93,62623,49825,91,1622,1303,13,2804,2660,29,7909,6665,54,10595,8538,64,342856,291501,107,0.237733
97688,95606,85,27022,26463,78,1285,1190,11,1839,2031,25,4649,4710,36,6408,6447,40,212171,208320,97,0.237733
89936,89499,83,21975,21665,70,817,845,0,1562,1474,15,3423,3463,30,4645,4296,40,131005,119294,95,0.239714
98837,97392,81,34469,34184,79,841,780,0,1878,2094,22,3991,3667,35,6707,6543,45,166940,161517,97,0.240705
232919,183059,107,93166,73570,100,1952,1548,22,3784,2697,41,8282,6520,53,10112,8328,62,356229,279947,115,0.241695
207633,167824,99,72171,57994,97,2395,1963,25,3629,2815,38,6616,5761,45,10872,8652,60,277255,233231,111,0.247638
293470,216920,122,137926,106605,116,4208,3261,36,6529,5217,52,13686,10690,65,21605,17232,89,560541,453560,130,0.280327
223214,170624,103,84283,65238,100,2909,2077,31,5770,4709,50,14278,11535,70,18503,15138,76,672893,539987,119,0.280327
309913,211562,125,116124,79136,122,4084,2747,39,5453,3761,48,11552,8547,65,18033,13079,83,472733,339324,139,0.28627
18960,18886,58,139384,139925,74,943,872,0,10514,10442,64,835,731,0,654,857,0,2206,2322,22,0.292213
100767,97834,84,48890,47758,80,1032,1070,6,2090,2020,25,5472,5357,39,6727,6757,41,242192,233207,98,0.3041
97115,98312,80,40708,40627,78,1074,922,0,1725,1894,22,4652,4627,37,5862,5824,41,209193,199610,96,0.3041
126047,122780,83,53722,52160,82,1483,1411,15,2999,2885,29,5277,5136,41,7676,7692,48,227183,216407,95,0.306081
62455,62036,84,28720,28882,74,719,597,0,768,654,0,1967,1863,23,2874,3293,28,79400,78958,91,0.324902
193015,170353,100,60985,53897,90,2039,1682,25,2922,3005,30,6482,6372,42,9265,7816,54,254668,233413,101,0.331835
279111,207616,114,173741,143677,112,4131,3509,35,6552,5669,45,14746,11773,69,22068,17614,91,574263,478619,130,0.333817
97354,94323,87,39209,38229,78,1261,1266,11,1843,1649,26,3970,3715,36,6019,5924,39,147693,144186,84,0.333817
107944,104603,83,30493,29800,79,955,926,0,1957,2082,24,3717,3671,32,6010,5599,41,170876,166769,93,0.337779
171394,147124,92,91316,79046,91,1795,1494,18,2973,2524,33,5747,4940,45,8407,6881,52,239605,207028,106,0.345703
94799,93514,86,36370,35943,77,894,790,0,2103,1691,24,3190,3304,30,5361,4704,40,140976,138642,96,0.346694
224124,179621,101,90186,71168,99,2217,1975,27,4847,3500,40,8454,6728,52,12475,10026,69,343204,274470,113,0.346694
