"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
218948,172986,112,85673,67932,104,3173,2366,34,4393,3434,40,9936,8035,61,13953,10935,67,359527,294624,121,0.0117471
274103,200032,115,114364,89374,110,5638,4529,41,7442,5934,52,17336,13610,79,24973,19729,100,636052,515468,128,0.0195785
64963,66448,75,14306,14738,46,707,637,0,1290,1370,13,2461,2503,27,3495,3468,30,99665,100353,91,0.0195785
173997,151905,108,81130,70854,92,1959,1913,22,3805,3282,34,9123,8085,55,12077,11226,68,407114,353606,108,0.0411147
56898,56083,80,24146,24423,69,856,800,0,830,995,0,1955,1991,21,3021,3021,30,72020,68672,91,0.050904
60250,59341,76,24281,24255,71,573,642,0,826,894,0,2521,2462,26,3269,3241,33,92191,90784,91,0.0548197
83564,84449,78,20867,20511,58,1387,1349,16,1257,1366,20,3508,3554,33,4953,5099,39,145896,145844,93,0.0616721
68872,70214,81,35283,35412,75,796,812,0,1190,1557,16,2729,2570,30,2974,3012,33,100018,97329,91,0.0665667
193105,149118,100,78784,60683,97,2214,1834,25,3693,3018,40,9375,7882,53,11964,10316,66,404901,316644,115,0.0773349
262884,186886,114,101995,76148,111,3403,2217,36,5803,4210,50,11676,7902,70,16043,11200,76,443225,307980,129,0.0783138
176549,145046,100,71318,59606,95,2649,2296,28,3626,2865,33,7372,6437,50,9646,8579,55,277217,232595,113,0.0783138
132599,126864,101,35947,34910,82,2364,2179,27,2803,2635,30,6085,5956,43,8740,7907,52,218076,206384,101,0.0802717
113868,112313,83,52606,51106,82,1803,1789,20,3137,2798,31,6574,6455,43,7555,7415,45,261291,246572,99,0.0851663
184483,165103,96,92396,83815,94,2186,2045,26,3358,3145,35,8279,7141,51,11167,9714,58,305814,260141,110,0.0920187
