"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
24220,25506,62,14714,15355,46,154,199,0,429,378,0,1087,948,0,1100,1055,7,43504,45212,79,0
21740,20764,65,10250,10546,43,243,243,0,359,558,0,796,829,0,1334,1482,15,30144,31288,77,0.00197634
117879,111471,86,60181,56348,84,1125,966,0,2415,2320,26,5247,4971,38,6522,6066,48,178963,168795,97,0.00494085
128947,123123,85,53750,51900,85,1724,1659,18,3073,2840,32,7804,7130,53,9398,9164,55,275632,258955,102,0.00494085
69265,68446,83,28990,29180,75,628,566,0,1089,822,0,2576,2677,27,3199,2963,32,93878,88709,88,0.00889354
53014,52772,75,21782,22302,57,339,422,0,881,1048,5,1566,1875,19,2782,2892,27,84417,86342,90,0.00889354
142856,124421,96,68794,58470,89,1432,1153,13,2487,2191,27,5335,4673,44,7257,6542,46,201663,180055,102,0.00988171
115422,110193,88,52342,50613,83,1531,1526,17,3363,2913,32,6245,5963,44,7828,7654,47,269143,264968,99,0.0138344
163551,148226,90,71489,63960,90,1469,1602,16,3440,3100,30,7505,6925,46,8141,7260,49,279451,255802,105,0.0217398
220210,186615,99,126152,107367,97,2613,2434,26,4442,3726,39,9661,8039,57,13750,11392,67,402207,343085,113,0.0217398
211407,163297,104,88145,68175,102,2235,1661,26,4443,3696,44,8667,6731,55,11868,8792,63,353307,278899,120,0.0237161
68742,67928,83,21387,21352,60,531,529,0,985,844,0,2360,2488,24,3126,2884,32,99757,100201,92,0.0424914
95004,91981,81,23238,22881,68,890,826,0,1711,1968,18,4391,4460,35,6341,6541,43,187806,184207,97,0.0434795
111062,102515,86,45006,40946,83,1174,1116,9,2168,2091,29,3969,3698,35,6340,5899,47,189102,173363,101,0.0484204
203947,160711,105,93024,73746,100,1971,1719,23,3342,2847,36,7542,6093,51,11193,8878,65,313550,253844,116,0.0484204
140386,123282,94,65386,55830,88,1655,1382,16,1951,1885,24,4906,4307,42,6804,5907,46,189087,159657,106,0.0503967
107436,105970,92,46836,46415,80,1354,1263,12,3191,2856,31,6977,6848,44,7253,7250,42,261300,254312,98,0.0503967
139676,136073,84,83647,82413,84,1415,1373,16,3210,2845,31,7345,6887,50,9334,8475,56,281924,259621,99,0.0513849
42233,41801,84,19692,19790,55,275,396,0,593,449,0,1072,1210,14,1734,1770,22,59018,57443,86,0.0513849
209591,156075,100,83520,61325,99,2801,2300,31,5193,3537,44,10995,8011,61,12857,9519,61,464117,342757,115,0.0583021
159299,133379,100,74557,62533,94,1597,1240,17,3414,2874,34,5758,5228,44,7449,6589,45,236320,201195,111,0.0592903
48753,48071,83,22720,23005,70,334,352,0,695,583,0,1645,1666,18,2468,2486,26,69222,70262,88,0.0681838
271247,206763,119,92679,68688,115,3461,2777,31,5311,4619,44,13104,10648,65,17166,13616,73,508614,402501,133,0.0770773
94956,94212,93,42474,41993,78,997,1072,6,1512,1382,13,3526,3446,34,5126,5238,38,158905,153054,95,0.08103
64459,66096,79,17268,17268,56,446,330,0,815,894,0,2290,2358,26,3008,3171,29,98678,97891,91,0.086959
74964,74942,79,28251,28043,74,465,681,0,867,1118,7,3290,3183,33,4395,4148,41,133230,128711,92,0.0889354
92652,90800,84,28732,28405,77,1171,992,0,1783,1509,16,3650,3667,34,4850,4622,38,155186,146930,96,0.0938762
31736,31362,69,15540,15898,48,350,468,0,733,675,0,1178,1306,12,1582,1833,17,54467,56735,83,0.10277
149491,139945,93,94455,90696,89,1956,2160,21,3561,3399,32,8226,7824,50,11319,10730,60,312160,290282,105,0.118581
90739,90184,83,29718,29479,76,850,867,0,1833,1764,24,4274,4243,36,5559,5689,41,189081,178545,94,0.120557
130789,114887,87,56847,49203,86,1250,885,0,1804,1670,23,4907,4197,42,5488,4657,41,179935,157503,103,0.127474
127166,123073,84,55683,53979,84,1867,1798,20,3376,3148,29,6989,6462,46,8380,8118,49,304756,293969,101,0.147237
120303,114401,92,47982,44218,83,1420,1316,15,1875,1568,26,5323,4592,46,7618,7245,48,213445,198630,99,0.150202
178688,153741,95,71764,59962,92,1933,1633,24,3661,3205,36,8660,6951,56,11062,9603,60,378824,317733,108,0.15119
71783,72887,77,16896,16828,52,404,375,0,966,1089,7,2576,2722,28,3689,3862,31,117767,117730,93,0.153167
100427,96661,83,40678,39731,81,1335,1356,14,2711,2637,29,5426,5304,38,7651,7299,56,240186,228883,99,0.153167
179246,155688,95,98691,86175,92,2293,1817,24,3860,3380,37,8122,7172,50,11989,10557,61,334430,291501,109,0.153167
44507,44414,72,11930,11984,45,489,423,0,807,750,0,1152,1263,13,1733,1619,20,60445,60703,86,0.155143
38180,37526,73,13080,13285,46,345,411,0,817,758,0,1243,1366,16,1459,1365,18,52827,52755,85,0.156131
105872,102437,87,60985,59486,81,1350,1208,11,2118,2381,24,4701,4265,38,6023,5893,39,177969,164875,91,0.166013
118694,114230,94,46329,45299,81,1213,1140,12,2619,2470,26,5798,5742,42,7955,7680,59,239168,225686,99,0.167989
71030,71863,76,34057,33895,76,507,470,0,1028,1217,11,2191,2216,26,3488,3387,32,97244,96116,93,0.180835
138595,121214,102,57898,51141,87,1896,1400,20,2207,2283,24,6153,5693,47,7366,6275,47,249595,222064,105,0.182812
24900,26721,57,18065,18093,53,180,181,0,467,545,0,957,920,0,1712,1826,20,40979,39903,81,0.1838
136497,118587,92,57683,50298,87,1400,1334,13,3068,2347,34,6250,6006,43,5835,5601,44,229428,200228,106,0.191705
195400,165140,107,90803,78657,97,2769,2321,30,4823,3806,41,8052,6928,49,11335,10049,62,326721,283359,112,0.192693
129893,116072,90,55114,48368,89,1315,1156,10,2208,2107,25,5358,4943,43,7034,6851,43,219239,193913,105,0.19467
80254,79771,78,22149,22289,62,628,685,0,989,1024,4,2495,2654,26,4476,4568,36,119803,117911,94,0.196646
88960,82816,87,44072,40002,80,992,1020,5,1278,1136,12,3215,3120,31,3897,3536,37,135720,126577,97,0.200599
156492,133412,92,72671,62022,93,1502,1005,3,2718,2402,30,5780,5158,42,7352,6331,49,239318,205486,108,0.201587
206677,157580,99,75087,56974,95,2007,1669,19,3298,2960,35,8575,6338,55,11754,9034,58,353020,271292,114,0.209492
124528,112606,90,54207,48753,86,1602,1570,19,2649,2264,30,5567,5459,40,7294,7226,47,242694,225331,101,0.212457
193241,149492,101,73896,56858,97,2156,1669,26,3740,2918,43,7019,5239,50,10732,8342,62,306066,229736,115,0.217398
100188,98060,88,41337,40698,79,635,807,0,1617,1553,18,3989,4148,34,5089,5376,38,165923,158327,92,0.218386
127222,121101,91,33913,32340,82,1865,1684,20,2207,2325,28,6615,6616,40,8122,7733,53,285556,274238,101,0.225303
159097,147197,92,57349,54661,86,1753,1528,18,3155,2784,31,7092,6569,45,10696,10287,56,308922,285763,103,0.228267
110493,103963,83,49072,47446,82,1189,1038,7,1633,1975,21,4292,4014,35,5675,4958,44,186559,180183,97,0.233208
85833,84453,78,28086,27135,76,953,716,0,1256,1417,19,3411,3296,32,4325,4166,39,136579,131674,94,0.242102
74143,73037,78,30223,30150,76,728,697,0,1154,830,0,2054,1989,24,2907,2980,31,95953,92938,94,0.249019
212355,154823,117,79542,58349,99,2661,2270,30,5077,3778,45,11274,8735,62,13219,10141,75,484287,363056,117,0.25396
112890,108245,95,37033,36302,81,1113,898,0,1944,1971,18,4008,3708,36,6520,6072,49,179519,168997,99,0.255936
133956,124783,89,54494,51073,84,1262,1092,9,2142,2207,26,5264,5256,39,6371,5576,47,220609,203230,103,0.257913
