"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
98397,98331,80,48241,47661,79,1391,1563,13,2366,2252,25,4689,4306,40,5016,5175,35,182143,177362,96,0.0130861
89992,89306,90,39707,39236,79,1162,1006,3,1700,2140,20,3963,3749,36,6195,6034,44,151823,144566,96,0.0231523
146797,127146,104,59439,51162,88,1635,1533,18,3428,2805,35,6941,6119,48,8475,6990,54,286619,249490,105,0.0281854
127097,110577,90,47402,40431,86,1491,1358,20,2788,2366,32,6500,5615,48,7900,6953,51,263180,220824,104,0.0281854
189744,159474,111,74383,61271,94,2218,1932,28,4515,3788,40,8421,6803,54,11714,10170,58,327143,271824,111,0.0332185
143823,126786,88,52756,46256,87,1608,1580,17,3023,2596,31,6329,5715,42,9005,8026,55,257770,230059,105,0.0342251
335784,266728,130,141562,110235,129,6906,5355,43,11265,8729,63,23955,19364,90,34283,28947,130,933881,768950,147,0.0563708
44616,46160,66,13845,13903,47,736,740,0,1091,1248,9,2094,1929,24,2859,3237,30,91708,88426,87,0.0734834
45644,47509,72,18045,18345,54,451,515,0,493,907,0,1573,1536,16,2445,2327,26,76570,75948,87,0.0875761
26489,28035,66,13123,13452,46,388,515,0,656,611,0,1273,1426,13,1306,1536,18,57584,58702,80,0.126834
119914,110915,88,46856,43064,85,1138,919,0,2106,1660,24,5052,4951,39,6248,5799,44,223626,207653,99,0.130861
136931,118588,91,53894,45805,89,2207,1609,26,3129,2589,34,6800,5786,49,9761,9072,57,293964,255204,106,0.1369
67275,66930,79,21759,21952,68,665,833,0,708,742,0,2876,2934,29,3058,2810,33,110130,107729,92,0.13992
33986,35216,52,15423,15658,50,439,370,0,618,750,0,1541,1430,20,1962,1770,20,69722,69626,85,0.15502
25274,26483,64,9766,9735,42,396,393,0,317,407,0,1139,1064,7,1752,1640,21,47605,46899,80,0.15502
106992,101572,84,35786,34641,79,1389,1357,17,2063,1923,27,5066,4863,39,7185,7084,46,209428,196055,98,0.169112
194152,171604,97,81311,72863,95,2958,2107,32,5355,4935,40,10422,9607,54,13411,12055,59,439874,406744,112,0.173139
28600,29632,78,13495,13705,47,315,394,0,498,743,0,1293,1441,15,1754,1584,23,52009,52632,80,0.179179
102109,100066,81,47426,46629,80,1713,1309,18,2483,2144,27,4897,4519,39,6852,6857,46,202083,195632,98,0.191258
24971,25748,60,9382,9710,42,396,393,0,563,587,0,1240,924,0,1403,1427,17,47877,50871,79,0.195285
186581,150632,113,77799,63638,97,2334,1761,26,3603,2803,38,8177,7019,53,10422,8788,57,319405,254224,113,0.198304
148865,126361,93,59392,50001,90,1810,1422,22,2431,2451,30,6287,5538,46,7499,5756,49,237128,194731,107,0.199311
69264,69028,87,27844,27685,75,957,1010,2,1186,1426,15,2222,2209,28,2555,2808,25,98736,97926,92,0.200318
48042,47662,81,12485,12463,46,450,401,0,679,968,0,2005,2168,22,3033,2432,31,81932,79644,88,0.218437
56928,58607,68,12471,12569,46,411,517,0,894,847,0,2164,2130,25,2324,2670,26,92840,91953,90,0.22347
197129,153918,96,62258,46250,95,2199,1799,26,4574,3865,39,10277,7948,56,11941,9245,62,407564,316776,113,0.235549
184091,162946,99,72388,63125,93,2242,2042,24,4106,3634,41,8830,8106,53,10717,9699,63,377962,343680,112,0.243602
41879,43617,71,16863,17196,53,383,449,0,1007,811,0,1636,1908,19,2679,2885,26,80602,80153,86,0.247629
151243,134139,92,64119,56044,89,1445,1416,17,3107,3005,33,6247,5705,44,7661,7507,45,288310,262186,106,0.249642
118990,114687,84,42042,40484,81,1546,1462,19,2843,2494,29,6870,6941,45,8024,8093,45,283651,269196,100,0.251655
61054,60885,86,19820,20042,56,708,644,0,1028,1407,14,2344,2401,25,3434,3496,30,95772,94027,91,0.252662
51584,50723,77,18280,18295,57,353,272,0,809,963,0,1760,1661,21,2885,3027,29,68424,66308,89,0.254675
149573,137914,92,68583,62328,86,2326,2034,26,3199,3125,33,6708,5840,46,9224,8370,52,292327,266155,104,0.263735
199104,158880,107,77442,61070,99,2025,1749,22,3547,2662,35,8242,6330,57,10898,8388,60,322770,257893,118,0.265748
189301,157732,98,60931,51305,92,2474,2121,27,3405,3215,38,8476,7972,50,11827,10280,57,332122,284030,112,0.274808
193294,162262,97,91877,78568,94,2713,2310,28,3911,3350,36,9060,7400,52,12476,10095,68,386580,325208,111,0.281854
261010,196832,112,118045,94506,108,2388,2171,26,4791,3687,42,10552,7727,60,15916,11669,76,453378,355264,126,0.290914
149412,141968,88,78492,73529,88,2945,2967,28,3863,3264,39,9006,8295,52,12335,11464,63,340985,301766,102,0.29796
127985,123335,86,35144,34453,81,1627,1684,18,2698,2309,27,5741,5566,41,8504,7707,58,224754,213746,100,0.306013
97075,91087,82,38633,34075,80,1238,1131,9,1868,1692,25,5234,4789,43,5585,4677,47,189225,171958,98,0.314066
180436,111461,118,53671,28173,116,2414,1670,18,3932,2672,47,8716,5467,76,11737,7641,78,331086,206487,135,0.314066
168638,153254,90,81580,73993,90,2585,2146,26,4711,4314,35,7880,7297,50,10498,8980,67,321514,303553,107,0.319099
149673,129859,89,60993,50539,88,2075,1880,23,3661,2647,38,7144,5482,51,10355,8938,53,279468,228725,106,0.334198
134994,130199,90,64869,62133,83,1645,1506,18,2890,2538,28,6581,6386,46,10534,10083,58,278356,264566,101,0.340238
194386,157490,118,79529,65131,101,2241,1950,24,3449,2961,36,7870,6604,54,9062,8014,50,324764,263449,118,0.344264
30270,33091,58,14356,14702,48,304,408,0,520,547,0,1301,1653,16,2452,2379,24,66725,65891,82,0.364397
127532,117060,86,42850,39230,84,1531,1452,16,2394,2144,31,5150,4873,41,7476,6520,55,226088,206127,102,0.367417
42976,42848,71,15708,16309,50,567,546,0,914,844,0,1599,1763,18,2107,2277,24,70870,71330,87,0.368423
58339,59136,75,19930,19991,56,733,771,0,1236,1341,15,2368,2545,25,3364,3173,31,96980,94691,91,0.377483
56439,56003,78,18329,18365,53,521,489,0,926,805,0,2451,2584,26,3890,3954,34,97700,93586,90,0.384529
51775,50595,80,21471,21229,61,598,644,0,1120,1066,6,1964,2019,23,3209,3452,30,82115,82249,89,0.400635
140848,125163,91,51313,44702,85,1331,1023,7,2738,2420,29,6685,5919,44,7201,6194,48,257004,223443,105,0.403655
30465,32804,58,13365,13680,46,215,265,0,581,540,0,1412,1251,13,1782,1757,21,51489,52608,81,0.404662
106538,103532,90,51356,50921,80,1899,1541,18,2470,2532,26,5528,5329,40,7208,6810,49,216613,211925,98,0.405668
65392,65444,76,15506,15545,49,635,729,0,1713,1263,21,2480,2794,25,4004,3654,35,107822,102825,91,0.406675
180884,147101,106,77849,63421,95,1758,1398,18,3463,2989,32,7746,5934,51,9603,7833,57,303106,245470,111,0.408688
