"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
215829,185202,99,85485,71579,96,3948,3205,36,5270,4548,41,11244,9791,55,14328,11820,66,344218,293174,113,0
234139,177472,111,78964,61002,109,3569,2487,37,4929,3752,42,9148,6525,55,13317,10269,72,281156,213450,127,0
71193,66929,80,28767,26356,79,796,712,0,1377,1307,10,2770,2612,29,3620,3281,36,88565,82675,94,0.00103842
81811,84466,79,33889,34688,76,1062,1110,7,1917,1628,22,4338,4205,38,5554,5522,42,187984,187517,94,0.00103842
36658,40674,52,14226,15095,45,404,490,0,540,656,0,1488,1527,18,2600,2306,29,53579,54760,84,0.00103842
140763,112803,102,55626,44982,89,2254,1664,26,2564,2204,29,5755,4602,45,7856,6376,52,178647,143639,107,0.00207684
84096,78803,84,32085,29715,81,913,798,0,1755,1392,18,3073,2951,32,4777,4606,37,104014,92516,96,0.00311526
62082,64557,75,25781,26258,68,820,632,0,1501,1443,18,2832,2834,29,2766,2729,29,100795,97605,90,0.00311526
115456,112746,90,27856,26946,80,1476,1299,16,2789,2764,31,6735,6605,43,8905,8420,53,316809,294391,99,0.00519211
45617,45464,71,22014,21845,61,275,451,0,1030,709,0,1331,1307,14,1993,2276,21,58251,60334,86,0.00519211
188623,142757,98,75330,57064,97,2527,2023,31,4427,3368,44,8101,5756,60,8828,7205,58,228453,171287,114,0.00519211
42462,41019,80,9887,10034,42,654,713,0,1039,1085,6,1901,1908,21,2670,3011,27,61761,60693,86,0.00623053
42350,41649,85,14768,14565,49,592,480,0,446,720,0,1520,1419,17,2332,2299,24,51811,50202,86,0.00623053
43053,43771,72,15483,16084,48,196,251,0,915,769,0,1548,1527,18,2065,2070,23,60000,58927,87,0.00623053
125900,124844,83,42834,41678,82,2295,1924,25,3180,3368,28,7852,7281,53,10155,9198,54,195334,186697,95,0.00623053
81123,80324,81,16625,16929,50,707,806,0,1213,1492,16,3105,2807,34,3391,3260,32,123460,120009,94,0.00623053
62459,62905,83,24527,24687,61,689,1011,2,1326,1259,11,2206,2307,23,2607,3037,27,57482,58099,92,0.00623053
131283,111287,92,44456,36615,87,1628,1395,16,2122,2077,31,4853,4301,43,7570,6757,52,173488,145441,106,0.00726895
228020,169721,108,82496,60350,106,2888,2612,28,5072,3919,45,9036,6818,61,11332,7795,58,288810,209536,121,0.00726895
85554,83222,95,22563,22563,63,1352,1203,11,2377,2228,24,3463,3730,32,4695,4733,38,108369,104923,95,0.00726895
135012,124022,103,46549,42632,87,2079,1775,26,3094,3226,30,6214,5948,42,8815,8250,54,178318,160147,103,0.00726895
143030,128033,92,49547,44658,86,1598,1415,17,3205,2868,34,7588,7323,46,9246,7929,50,336888,301552,104,0.00830737
126088,107083,89,53780,45191,87,1160,1181,9,2785,2608,31,5975,4735,47,6931,5833,48,252676,212166,105,0.00830737
301716,203840,134,108390,71485,118,5120,3541,43,9599,6920,61,15840,11562,75,21886,14503,107,462586,336275,134,0.00830737
215544,159655,111,91409,69209,105,2550,1970,27,4042,3437,37,8157,5907,54,10514,7932,62,258576,193090,122,0.0093458
225614,162827,122,92198,67399,104,2499,1735,30,4614,3551,43,11988,8824,62,12910,9468,62,479991,353319,122,0.0093458
104298,101034,89,29648,28939,79,1863,1683,19,1915,1787,25,4014,4096,33,4975,4976,37,109780,102378,98,0.0103842
86333,74607,86,38186,32671,82,1319,1143,9,1402,1444,17,3463,2956,35,5163,4018,45,114604,98219,99,0.0114226
90224,88127,87,33834,33350,78,777,888,0,2167,2044,27,4713,4491,37,5991,5438,42,193406,193105,96,0.0114226
150463,124930,92,63208,53051,92,2476,1916,29,3787,3034,41,6721,5136,47,10076,7952,59,210555,177606,108,0.0124611
162697,146673,97,51340,44995,89,1654,1683,18,3661,3294,34,8359,7892,50,11918,10567,67,380449,345953,106,0.0134995
226200,139053,115,77605,46671,113,2888,1735,33,4566,2648,45,8733,5478,62,12536,8791,73,298950,210516,129,0.0134995
91635,93327,79,32583,32224,76,828,828,0,1776,1751,22,3839,3794,34,4898,4990,37,144605,141712,92,0.0134995
169293,142204,95,67729,57353,92,2162,1718,24,3222,2435,33,7285,6039,49,9121,8080,54,329106,280478,109,0.0145379
44016,44593,72,10466,10770,42,566,638,0,818,879,0,1433,1492,17,2347,2045,25,47745,48631,88,0.0155763
213156,166735,100,89468,71499,99,2487,1847,27,4483,3043,47,9903,7556,57,11081,8929,61,389859,302427,116,0.0155763
112989,107976,94,39465,39238,81,883,1133,9,2878,2283,29,5344,5165,40,7776,7429,49,242731,234969,94,0.0155763
323783,243354,136,181411,144289,132,6735,5484,41,10242,8125,60,19671,15400,80,27302,21033,120,536352,411406,145,0.0166147
114835,100387,86,50949,41050,89,1632,1315,15,2114,1786,31,4153,3172,40,6819,4910,55,137765,112464,102,0.0166147
57987,55667,76,24063,22836,58,559,554,0,949,1233,12,2022,1907,25,3260,3183,29,80847,74792,91,0.0166147
199674,150981,111,70125,54906,103,2477,1921,31,3738,3188,38,7602,5379,52,10997,8705,57,267808,220963,120,0.0176532
173444,131835,98,59663,44951,93,2186,1785,25,2941,2208,40,6876,5060,51,9509,6712,58,196415,148803,111,0.0186916
156954,146482,92,61833,58295,86,2060,2223,20,3196,3196,33,7283,6989,46,11215,10096,58,255374,237818,104,0.0186916
154508,144218,89,72448,66866,87,2446,2136,24,4567,4395,36,9907,9664,51,13206,11395,65,430755,404649,102,0.01973
334713,243280,119,120470,86827,116,5363,3919,45,7677,5910,52,15414,11839,69,18953,15105,76,422630,326260,135,0.01973
85995,86162,78,32735,31547,80,1968,1567,20,2018,1707,26,3383,3056,33,4592,4751,34,97843,93715,95,0.01973
339921,254138,136,129171,95520,130,7531,5441,46,11747,8911,61,21060,16058,82,28843,21752,117,627289,479616,147,0.01973
207685,155721,110,71891,56092,101,3574,2735,33,4111,3285,40,8904,6816,57,12557,9832,67,272619,206624,120,0.0207684
90805,80718,83,32534,28532,82,1162,947,0,1423,1159,12,2913,2266,33,4608,3829,42,105161,93447,99,0.0207684
98110,83575,87,36066,30830,85,1047,967,0,1566,1433,18,3138,2834,33,4622,4136,42,117239,99404,102,0.0207684
124343,95881,107,42470,32459,107,1789,1378,19,2669,1763,28,4572,3539,39,6171,5360,45,134860,106601,107,0.0207684
102881,97789,90,40401,37445,82,971,941,0,1876,1836,23,3531,3249,35,4580,4125,42,114118,108361,98,0.0218069
120829,113268,85,35414,34442,81,1370,1534,17,2580,2426,29,6691,6344,47,9268,8419,55,315956,297466,100,0.0218069
144033,123526,90,49499,41644,89,2663,1995,28,3177,2640,35,5393,4873,44,7481,5757,54,156353,138697,102,0.0238837
296859,210751,120,104310,73353,115,5157,3777,39,6655,5057,48,13925,10490,69,19457,14501,80,457238,331374,133,0.0249221
206737,155427,101,66639,51033,98,2795,2041,33,3969,3249,39,7707,5698,55,10908,8027,63,226785,167731,117,0.0249221
144766,113599,94,46737,37791,91,2053,1612,23,2735,2687,30,6243,4821,46,8333,6797,52,170583,132045,109,0.0249221
86878,75325,88,31997,27155,82,1695,1484,16,2182,1779,29,3630,2710,39,4682,4373,41,104419,92936,100,0.0259605
65825,65684,77,18891,18686,56,683,727,0,961,954,0,2149,2351,23,4275,3751,37,91543,95357,93,0.0259605
69066,69405,80,25477,25184,74,755,787,0,1626,1543,20,2533,2364,28,3737,3464,34,85040,80903,92,0.026999
103132,88270,87,35505,29795,84,1312,1211,14,2180,1492,23,3462,3132,32,5109,4025,43,109289,91034,101,0.0280374
137296,107080,94,49694,38884,91,1817,1233,22,2850,2200,33,4666,3462,44,7868,6520,52,168816,130317,108,0.0290758
109501,93068,88,42146,35488,86,1569,1503,15,2295,2016,25,4012,3434,36,6787,5480,47,132572,110081,103,0.0290758
133540,130946,85,48725,47614,81,1845,1528,21,3764,3610,33,8150,7878,49,11251,10775,53,370778,344999,100,0.0290758
248449,186373,107,101198,72855,107,3921,3001,35,5809,4739,45,12262,9952,62,15199,11725,72,450932,353337,123,0.0290758
295412,201254,127,97421,66318,124,4996,3665,42,6165,4090,44,13935,9566,72,18468,11947,84,394114,262600,143,0.0290758
145047,131119,89,50414,43656,88,1585,1526,20,3509,3177,31,7172,6559,47,7648,7158,51,302508,280210,104,0.0321911
77790,71944,81,32302,29178,79,896,899,0,1444,1382,16,2751,2758,32,3418,3070,34,74084,65866,96,0.0321911
117252,100695,89,43590,37299,86,1483,1372,13,1806,1483,22,3265,3016,35,5266,4494,41,126957,105759,103,0.0321911
126734,109818,93,50602,43563,86,1269,1182,13,3094,2698,37,6622,5948,44,8156,6658,53,286737,244745,103,0.0332295
124804,112858,88,51560,46762,84,1747,1509,18,2343,2303,29,4775,4460,43,6009,5379,45,143229,132028,102,0.0332295
147813,126748,99,51350,43265,87,1681,1557,17,4298,3577,42,8440,7301,51,11111,9412,62,356781,311030,106,0.0353063
68743,69351,77,20745,20544,58,1190,1137,10,1090,1429,13,2866,3160,28,4437,4083,36,92495,87151,91,0.0363448
173417,133710,94,59993,46230,94,2938,2269,31,3326,2867,37,7030,5072,52,9855,7881,56,213432,159315,111,0.0373832
307436,209165,111,91149,61344,109,5660,3472,43,7603,4988,55,13895,8925,74,18842,11584,89,392773,251793,129,0.0373832
34232,36922,54,14378,15782,43,819,715,0,394,726,0,1770,1731,19,1934,2110,21,44231,44329,78,0.0373832
55603,58260,67,20968,21137,53,798,766,0,1795,1456,16,2069,2253,24,3016,3247,28,72515,72964,89,0.0373832
137703,113602,92,44538,36230,89,2593,2352,26,2873,2282,39,5532,4648,43,7911,6758,47,158776,128476,107,0.0373832
67066,68669,73,29685,29695,74,473,592,0,1266,1271,16,2517,2632,25,3720,3600,33,102001,101904,91,0.0384216
111149,101531,95,41848,38049,84,1337,1186,13,2173,2152,21,4276,3633,37,6346,5943,42,123709,109466,100,0.03946
65774,64876,79,28522,28216,75,964,895,0,566,1034,5,2118,2064,23,3381,3106,37,72254,71052,92,0.03946
147844,136395,91,48290,43650,86,1695,1449,21,3295,2979,32,8278,8258,48,9574,9206,52,362256,343042,103,0.03946
166803,133552,100,67831,54891,94,1513,1366,15,3257,2642,36,7946,6606,50,10821,8586,60,349138,277463,111,0.0404984
142365,126793,87,61419,53778,86,2295,1884,26,3522,2832,36,6164,5482,46,9535,8102,54,206660,177139,104,0.0415369
122849,101597,88,50995,42774,88,1614,1496,18,2173,1751,25,4962,4244,42,7328,5200,50,150880,117254,105,0.0436137
121948,101586,94,49975,41514,89,1771,1430,16,2879,1920,32,4773,3994,40,6192,5166,48,150555,122940,106,0.0436137
250569,190939,107,90117,68443,106,2731,1865,31,5171,3796,42,9737,7417,61,13465,9968,66,333383,268044,122,0.0436137
138782,121244,90,59403,53643,86,2000,1693,23,2091,2066,26,4866,4335,38,5752,5326,42,138928,125504,102,0.0446521
99073,95745,83,23973,23896,68,1274,1270,12,1815,1892,22,5252,5068,40,6587,6795,45,237423,229056,98,0.0446521
118752,102624,96,46129,40137,85,938,819,0,1932,1837,22,4405,3835,39,5238,4249,45,162141,141617,103,0.0456906
277201,190047,119,82875,57336,111,4069,3017,39,6824,4883,52,11279,7660,63,16732,11809,79,346319,241029,129,0.0456906
202772,147861,100,70899,51654,98,3582,2493,35,4034,3067,42,7983,5895,55,12214,9106,66,248981,186752,116,0.0488058
155956,131442,92,58023,48305,91,2272,2093,23,3150,3134,32,8786,7375,53,11362,9370,61,370416,305881,108,0.0488058
200683,173599,98,106245,94599,96,4559,4286,35,8622,6943,54,20399,17414,86,26327,24520,92,868708,742300,113,0.0498442
120980,98600,96,43543,35914,87,1821,1633,20,3003,2109,28,4637,3978,39,7019,5688,52,139118,109711,105,0.0498442
94306,85996,83,46666,43016,82,1262,991,0,1896,1281,27,3088,2857,30,4205,3777,36,92666,81729,99,0.0498442
160905,152307,93,76455,72453,89,2916,2792,28,5111,4751,36,8653,8461,48,12754,11898,63,257988,241125,100,0.0508827
325240,231585,123,126740,93191,119,5924,4024,44,8600,6320,55,15822,11587,70,23389,16291,90,489478,359559,138,0.0508827
144213,111197,96,55396,43078,90,2792,2233,30,3084,2476,38,6419,4906,50,8074,6444,50,191160,147004,109,0.0519211
155347,139796,97,65373,57986,92,1315,1164,10,2855,2426,33,6053,5568,42,7346,6956,46,243497,220936,108,0.0519211
83359,83198,83,34593,34434,76,1115,1193,13,2024,1957,23,3591,3944,32,6260,5846,44,122847,122677,88,0.0519211
241834,183237,120,77506,59952,114,3929,3304,35,5110,3996,41,9875,8128,56,13118,10622,60,295842,236349,130,0.0519211
117967,96760,101,41441,34244,86,1541,1408,16,1861,1832,20,4221,3726,38,6053,5206,44,133774,112646,104,0.0539979
228268,192982,102,109625,90153,103,4453,3515,35,6219,4696,49,11528,9412,60,16480,13047,77,346827,284774,119,0.0539979
309092,231796,130,113833,83756,127,7498,5359,45,8369,6536,53,18218,14142,79,24203,17386,99,528483,384573,143,0.0581516
307897,192410,132,100635,64253,125,5402,3008,45,6889,4108,55,12845,8018,76,16431,10323,68,332332,202585,144,0.05919
110221,89220,102,38042,30836,87,1822,1504,21,1818,1630,23,4259,3418,40,5924,4800,46,116083,95197,104,0.0602285
182680,143965,101,65283,51982,93,2725,2184,30,3585,2941,35,7260,5668,50,10312,7986,62,212980,165998,112,0.0602285
91248,89845,94,59115,58362,81,1497,1566,16,1891,1635,26,3538,3458,32,5271,5025,42,116897,108154,93,0.0612669
117052,99110,87,37334,30876,86,1635,1310,23,2343,1864,28,4819,4020,40,6888,5681,46,145965,116012,103,0.0612669
144983,123693,91,98506,88674,91,2887,2485,28,4238,4016,38,8936,7713,52,12445,11220,61,280911,258489,103,0.0612669
99727,91252,85,30178,26242,75,1583,1162,15,1509,1403,19,4262,3647,38,5779,4906,46,115533,102647,100,0.0623053
143522,129510,90,34522,30330,85,1640,1291,16,2776,2712,29,7656,6282,52,9169,7836,56,308352,266504,105,0.0623053
97422,89762,83,43326,39522,82,1244,950,0,2223,1829,24,3251,2931,33,5005,4389,40,103555,90503,99,0.0623053
145983,122287,103,43503,37024,86,1819,1507,22,2599,1917,33,5228,4291,45,7407,6430,49,156665,121599,107,0.0623053
205960,178103,99,108094,92525,95,3178,2662,32,5738,5282,46,11199,9962,56,14438,12771,65,429381,375272,113,0.0633437
59565,60637,73,11045,11440,42,1100,1198,11,1432,1577,16,2656,2988,27,3969,3681,33,80876,78439,90,0.0633437
110643,108735,82,41475,40995,79,1486,1598,18,2649,2257,29,6904,6304,48,7524,7810,44,284789,270735,98,0.0633437
186062,138860,98,60458,45122,95,2940,2146,32,4146,3230,38,8244,6141,54,11341,8084,65,248565,188295,113,0.066459
197025,145749,99,63686,47777,95,3109,2192,35,3950,3221,40,6804,4894,51,10266,6940,64,233383,176141,114,0.0674974
95354,93576,85,31358,30488,77,794,984,0,2127,2097,27,4713,4977,35,6962,7154,43,231838,225308,95,0.0685358
68367,67624,78,24213,23811,72,1027,920,0,1051,1227,9,2539,2640,27,3545,3465,33,80284,77152,92,0.0695743
170478,140121,98,58309,45736,94,2207,1746,24,3667,2812,39,6213,5236,46,9068,7479,58,195974,163692,112,0.0716511
134098,104291,98,51154,39980,90,2016,1676,23,2437,2191,28,5292,4135,46,6811,5431,50,152395,122286,108,0.0716511
102435,102668,82,28912,28891,76,1424,1503,17,3276,2796,30,6440,6314,43,9327,9061,53,293731,287653,97,0.0747664
88521,84255,91,18405,18099,52,1299,1097,10,1943,1424,21,4425,4304,37,6418,6122,44,220787,214208,97,0.0758048
52617,50088,86,25448,25497,72,643,715,0,872,879,0,2221,2226,23,2812,3151,27,61014,61152,89,0.0768432
184615,164844,96,103258,92509,91,2141,1761,27,4616,3862,41,9716,8878,53,11535,9954,66,350761,323414,107,0.0768432
218871,174989,113,52948,42686,107,2297,1733,25,5020,4369,37,11982,10559,61,14737,11909,74,476760,397776,125,0.07892
173665,154002,93,61260,54000,92,2795,2301,30,4106,3376,39,8004,7256,49,11454,10677,56,260416,233485,109,0.0799585
