"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
137746,130766,88,53520,51479,84,1456,1534,17,2210,2399,28,6186,5878,41,7229,6675,48,249099,233244,102,0.00497091
154511,125671,92,59313,47448,91,1782,1420,22,2556,2586,25,5806,4596,46,7731,6603,49,226680,176578,108,0.00695928
26085,27331,54,7462,7602,39,293,418,0,635,648,0,970,1103,8,1481,1330,17,42554,44323,80,0.00894764
44330,44256,66,12973,13113,44,597,493,0,244,466,0,1636,1633,18,2601,2990,26,69743,72791,88,0.0228662
86171,84512,85,20423,20019,57,988,990,0,1468,1292,21,3409,3214,33,5907,5838,41,144963,140733,94,0.0447382
71957,69541,80,32497,32552,77,533,577,0,1516,1212,16,2373,2497,27,2853,2907,28,96079,92322,94,0.0457324
181470,160367,97,87553,77189,93,1866,1862,21,3920,3169,38,8347,7748,47,10699,8998,60,320620,297226,107,0.0487149
81738,77988,81,29075,28437,72,1249,935,0,1403,1656,19,3612,3429,34,5440,5227,41,141514,135292,89,0.0487149
159442,141919,102,62696,55399,90,1628,1490,15,3915,3282,43,7494,6869,49,9149,8379,59,269550,249899,107,0.0516975
170495,135631,100,44470,34726,93,2231,1805,27,3812,2765,42,8163,6475,51,9764,7965,58,304533,250246,113,0.0536858
53924,52564,77,24476,23160,71,788,961,0,1405,955,0,2261,2093,25,3037,2811,32,78142,73056,91,0.0596509
68871,67774,80,17812,17606,53,848,736,0,1153,1088,6,2488,2590,25,4433,4604,35,125004,117838,93,0.065616
143364,127921,91,60349,51699,88,1282,1197,11,2999,2564,36,6562,5627,46,7932,7046,46,268001,240125,105,0.065616
43795,44791,69,13937,14031,49,638,527,0,407,570,0,1514,1312,16,2097,1882,24,57134,56318,88,0.0795346
37216,39136,62,15328,15533,52,421,440,0,827,686,0,1329,1452,15,1880,1873,23,52788,52756,80,0.0795346
127107,123507,92,38887,37745,81,1385,1270,15,2612,2798,29,6989,6637,47,7917,7610,48,298700,286058,100,0.0815229
50545,50644,77,21863,22328,58,531,476,0,392,429,0,1845,1875,22,2618,2615,28,70309,66731,88,0.0845055
173947,143890,93,62607,50861,91,2148,1747,23,2496,2088,32,7374,5792,54,8977,7225,60,295129,236794,109,0.0894764
60292,61234,74,23347,22352,67,784,764,0,1110,1225,10,2700,2569,29,3782,3560,34,104401,102026,90,0.0924589
55264,54177,79,17450,17638,50,379,398,0,1232,1093,9,2112,2075,23,2855,2579,30,90195,89506,90,0.102401
121085,115520,83,39131,36467,83,1809,1688,21,2304,2190,23,5185,5238,41,6682,6649,43,187179,177060,101,0.108366
337841,220253,138,115986,73789,128,5229,3351,45,6869,4718,56,15153,10078,75,20789,13828,84,584943,398595,147,0.111348
119937,99654,97,44589,36929,85,1842,1576,20,1915,1959,21,4479,3739,39,6343,5761,43,185455,151264,105,0.112343
81955,78253,95,27278,26550,77,937,1113,8,1494,1455,23,2677,2701,27,4187,4037,34,103029,96681,95,0.116319
111291,103695,84,46054,41784,82,1704,1529,20,2608,2619,25,5208,5002,40,7710,7284,49,199788,181921,99,0.119302
63270,62080,81,17189,17235,52,1027,877,0,1432,1685,16,2376,2398,27,3421,3346,30,105158,102894,92,0.125267
93296,90582,80,20652,20665,58,965,991,0,2251,1997,22,4672,4444,37,5549,5486,42,195801,186182,96,0.126261
136457,124169,88,49568,43397,88,1797,1703,22,2723,2365,28,5921,5555,40,7918,7450,50,207431,184186,104,0.127255
221093,174866,104,71343,56757,99,2501,1910,29,4214,3848,38,9059,7021,57,11759,9169,64,363718,295926,118,0.129244
136082,120166,88,60989,54032,87,1363,1058,8,2654,2598,29,5309,4932,40,6241,6031,42,206135,185871,104,0.131232
283628,186291,115,117908,75994,114,4059,2525,42,6248,4132,56,11765,7923,68,17927,11731,82,448987,303918,132,0.131232
34408,35667,70,7205,7296,38,216,208,0,443,409,0,1169,1149,11,1339,1470,14,46427,48114,83,0.136203
65063,62911,82,21216,20596,62,981,1064,5,1096,1125,8,2375,2501,28,3702,3221,37,92195,88718,93,0.137197
330568,230761,123,137517,99455,121,6064,3960,45,9187,6176,64,16703,11451,80,22418,16300,87,609863,432052,139,0.138191
72298,71564,79,27878,27116,76,578,771,0,1699,1991,20,2943,3260,28,5550,4971,42,117484,109927,94,0.146145
182863,168363,95,51150,46573,90,3090,2982,27,4079,4001,36,8706,8101,51,11188,10540,61,310259,280918,108,0.155092
40423,41463,70,17676,17792,54,512,490,0,1107,804,0,1763,1646,22,2004,1946,24,60692,61444,85,0.155092
294770,223220,135,112427,81934,125,4360,3232,40,7991,6592,53,15471,12158,69,20763,15648,91,507545,396689,143,0.155092
60036,61627,74,22673,22467,65,545,511,0,639,844,0,1934,2099,21,2501,2581,27,78673,76004,91,0.159069
62829,61183,86,22206,21629,66,824,665,0,925,1094,6,1889,1806,23,3603,3352,35,83458,81751,92,0.160063
59000,60851,77,25242,25283,73,790,750,0,1380,1450,15,2273,2331,26,3005,2946,29,89411,88902,90,0.173982
51554,51717,75,19836,20180,57,379,423,0,726,761,0,1583,1736,18,2276,2341,25,73840,75078,89,0.177959
65726,65952,81,23665,23802,73,751,736,0,1224,989,0,2410,2510,26,3368,3016,35,112959,107011,91,0.177959
75134,73578,85,19846,20083,58,679,747,0,1450,1306,13,3079,2887,31,3032,2998,33,122747,122906,94,0.178953
45626,45350,74,15844,15997,51,497,439,0,1099,770,0,1437,1494,17,2274,2120,26,68949,67923,87,0.18293
120562,110906,89,49197,44790,85,1291,1228,13,2196,1981,26,6134,5651,42,6786,6017,48,224681,200974,102,0.183924
61116,61254,77,22173,22159,66,493,432,0,1204,1104,6,2321,2320,25,2829,2702,30,94523,91104,90,0.189889
27302,26879,65,14152,14458,48,-43,163,0,353,506,0,909,1022,4,1079,1144,9,45222,46478,82,0.191877
47495,49426,71,15231,15345,51,475,581,0,742,1148,8,1865,1824,21,2053,2379,23,86914,89059,87,0.192871
192382,149872,108,68260,51960,97,1943,1553,25,3537,2145,37,8129,6140,53,10662,8892,64,328442,265467,114,0.195854
45869,46235,84,19446,19359,59,648,592,0,771,758,0,1372,1441,16,2494,2651,24,63054,59958,86,0.196848
37274,35976,80,16876,17130,52,603,516,0,850,526,0,1306,1560,17,2240,2588,24,52045,50061,84,0.198836
164097,136827,92,62148,52067,91,1657,1411,16,3293,3256,32,6247,5489,44,7958,7055,52,262913,222115,108,0.199831
56685,55764,75,14351,14115,48,751,692,0,996,967,0,2191,2170,26,3143,3298,29,101838,98798,89,0.20679
55175,55569,73,17311,17350,53,517,692,0,1560,1210,9,2272,2261,25,3272,3389,33,88056,82286,89,0.210767
181241,134247,102,63491,46667,98,2458,2163,28,3424,2529,34,7049,5387,52,9652,7135,57,272327,202319,115,0.210767
58809,56698,79,21889,21766,68,608,632,0,1135,1011,3,3218,3431,30,3485,3216,32,133824,129740,89,0.214743
317239,227258,139,109058,78867,134,4792,3231,39,8160,5610,52,15026,11388,67,22207,15493,83,535344,403793,152,0.219714
20295,20200,57,10691,11255,43,117,211,0,287,284,0,897,700,0,1822,1876,20,34225,32765,77,0.222697
154654,130191,91,41972,34194,90,2076,1912,23,2837,2426,34,6341,5646,45,8907,7686,52,233229,197316,108,0.223691
34330,33356,70,13414,13659,46,384,350,0,552,570,0,1452,1386,15,1389,1540,16,49265,49410,85,0.226674
32506,33385,67,16354,16664,55,303,419,0,817,635,0,1727,1570,18,2145,1967,22,62038,64775,82,0.229656
64955,65543,85,15599,15514,49,903,713,0,1284,1317,13,2497,2619,26,3948,4101,32,102854,102288,91,0.232639
