"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
88493,84137,80,34537,33454,79,1252,1244,13,1534,1832,20,3976,3627,36,5861,5769,41,158892,152589,96,0.00201111
119739,105139,94,57887,50146,87,986,910,0,2139,1909,28,4260,3700,37,5753,4600,46,156668,135209,104,0.00502778
70340,69092,81,19967,20165,55,980,1107,7,1781,1142,8,2945,2799,30,3767,3561,33,100623,97351,93,0.0070389
43003,42230,83,11149,11123,44,275,325,0,1081,972,0,1255,1253,12,2180,2175,25,54306,51583,86,0.00804446
151471,115992,97,57328,43934,93,1674,1281,19,2348,1742,28,4659,3554,42,7144,5697,49,171600,131304,110,0.00905001
40146,41794,71,19278,19527,58,281,292,0,625,1011,2,1547,1239,13,2196,2258,22,56915,55986,86,0.0100556
72155,71365,77,28208,27806,75,701,814,0,1153,1382,14,2875,2673,30,3476,3719,30,94186,91236,93,0.0110611
90258,84113,88,38012,34713,80,924,1028,4,1576,1537,17,2932,3234,28,4646,4451,38,119695,109263,97,0.0120667
31973,30707,74,14983,15374,48,170,265,0,235,467,0,867,852,0,2064,2187,23,36723,36911,83,0.0140778
120894,104858,92,48417,42469,85,1445,1525,17,3019,2287,33,5246,4388,43,6913,5813,51,180704,161522,103,0.0160889
112258,95819,88,46461,39663,85,1194,1173,10,1646,1672,22,3421,2927,36,5000,4464,44,144243,120023,103,0.0170945
213676,167988,108,117642,95505,99,3330,2549,33,4211,3219,37,9254,7275,57,12398,9771,63,339183,269096,115,0.0170945
77919,73769,90,26353,23770,79,926,832,0,1152,1058,8,2034,2106,25,3562,3431,34,94193,88733,94,0.0181
96337,93283,87,40542,39776,79,1285,1333,13,2164,2289,24,4969,4787,38,5474,5550,38,213635,203321,97,0.0181
114560,110122,83,47137,43632,82,1233,1186,10,2540,2378,29,4077,3898,35,6013,5785,46,170649,159979,100,0.0201111
114660,101641,88,44608,39428,84,1319,1162,15,1431,1459,20,3963,3558,38,6444,5395,48,146302,135271,99,0.0221223
75456,68767,96,32297,29132,80,911,925,0,1535,1017,4,2533,2253,27,3453,3201,36,103419,92239,96,0.0241334
25526,25906,60,7889,7943,39,364,377,0,303,438,0,811,874,0,1299,1469,17,34605,35143,80,0.02715
64527,68538,65,20295,20501,59,871,782,0,1158,1415,17,2450,2679,27,2980,2919,30,97291,96394,91,0.0281556
68870,65030,92,27605,26204,77,557,517,0,1131,1021,3,2556,2444,28,3792,3824,34,94011,84871,93,0.0281556
218719,161952,103,81236,59981,101,2760,2167,30,4744,3261,45,11163,7895,64,12350,8978,60,474607,352187,120,0.0281556
151410,130267,94,53546,44913,90,1469,1349,15,3637,3349,36,6970,6012,48,7449,6208,53,305763,268552,106,0.0301667
191626,144915,101,91813,70483,99,2563,2288,28,4252,3517,36,8900,6999,54,11764,9072,60,326438,257813,116,0.0311723
136312,109166,98,61296,48881,90,1594,1229,16,2057,1901,29,4660,3520,43,7148,5807,47,202475,165427,107,0.0311723
63561,57523,91,25070,22430,79,813,744,0,1398,1065,10,2147,2018,26,3257,3331,32,90896,84860,93,0.0331834
226905,186723,121,117900,96398,104,3100,2360,32,5508,4664,42,11718,9912,58,14486,12359,66,423239,349968,121,0.0382112
110601,94080,87,43197,35981,86,1467,1091,8,2033,1638,20,4221,3651,38,5420,4759,42,154449,128179,103,0.0382112
45358,46894,73,11290,11601,44,319,287,0,636,878,0,1582,1459,18,1998,2067,23,61063,63261,87,0.0392167
279061,194870,132,117067,82797,126,3236,2186,37,5288,4138,43,10053,7179,59,13941,10102,67,402552,296279,145,0.0502779
131656,120850,88,40015,35634,85,1293,1204,11,1791,1831,22,4990,4787,40,6195,5952,48,185307,166613,104,0.0563112
52782,49156,77,25033,23077,72,373,390,0,906,766,0,2161,1905,27,2881,2774,30,79160,70507,91,0.0593279
84524,74527,87,39652,34529,84,905,1023,4,1665,1246,16,3346,3024,33,4083,4096,37,119352,104798,99,0.0593279
69038,69627,76,22372,22545,57,770,641,0,1521,1329,14,2631,2736,28,3188,3232,31,98084,95581,92,0.0593279
89818,77385,88,35078,30748,83,1040,1008,3,1973,1494,20,3371,3312,34,4941,4396,40,117913,97729,100,0.061339
60380,58006,81,27659,26869,76,308,349,0,1347,1244,15,2485,2371,26,3466,3480,32,88704,87013,92,0.0633501
48539,49964,73,9310,9438,41,821,595,0,1195,877,0,2048,2100,24,2548,2458,27,72959,69089,88,0.0633501
45594,47000,75,14760,15056,47,499,489,0,565,683,0,2022,1950,21,2207,2609,25,70999,72636,86,0.0643556
271951,188562,122,110053,76642,119,2349,1613,25,5447,4103,48,12532,8421,66,13348,9424,68,492942,333905,136,0.070389
193389,172863,94,111033,101080,93,2782,2563,28,4925,4468,39,9638,8977,52,13944,12222,62,380701,337955,110,0.0713945
