"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
51942,52282,71,15702,16027,42,20128,20821,48,115,211,0,1115,1134,9,752,785,0,0.0131121
130916,127448,80,50904,49620,76,64419,61975,77,722,590,0,3513,3259,28,198,476,0,0.0174828
81497,80901,73,29755,29961,71,27490,27701,63,352,407,0,1423,1508,16,-194,301,0,0.0196681
206730,169954,89,70046,57464,86,110969,89565,87,1588,1312,16,5945,4751,40,1432,1368,13,0.0218534
43107,43171,67,18935,19567,46,16546,17362,43,175,203,0,784,776,0,749,628,0,0.0240388
60250,59450,71,21219,21363,51,22315,22179,49,128,193,0,1286,1245,12,-208,167,0,0.0360582
86764,86247,74,22217,22204,48,44564,44555,72,386,403,0,2367,2463,23,342,498,0,0.0415215
34940,35578,67,15528,15796,43,14885,15194,42,240,190,0,646,793,0,-293,204,0,0.0415215
94698,96015,78,43730,43718,73,46528,45401,73,648,556,0,2677,2555,23,46,340,0,0.0480776
160825,142519,84,61191,54494,82,69786,60586,82,930,869,0,3842,3367,30,460,344,0,0.0513556
256801,202525,108,109046,88214,100,120749,96548,101,1704,1264,17,6450,5243,39,256,843,0,0.0535409
97319,95654,87,29519,29845,71,47271,46916,72,583,623,0,2599,2754,22,1045,1205,7,0.056819
194447,154907,91,68746,54521,87,108642,85749,88,912,800,0,6616,5074,43,1285,1291,9,0.0611896
48746,49373,67,26995,27658,62,18801,18929,45,274,224,0,1168,1150,9,133,313,0,0.0622823
149300,132706,90,53924,48432,80,85921,77240,81,820,637,0,4763,4380,33,355,884,0,0.0710237
112332,109802,75,40441,39983,73,67240,65788,75,1074,801,0,3852,3928,29,1765,1948,17,0.0721164
43896,45367,62,15191,15359,43,16521,16614,42,409,354,0,933,911,0,239,350,0,0.0743017
108610,106546,76,40873,40282,74,59895,58240,76,432,641,0,3223,3060,27,779,592,0,0.0743017
149261,133776,83,59653,53851,80,75462,66263,82,835,913,0,4493,3844,34,371,398,0,0.0753944
60139,60257,73,13769,14671,39,26889,26970,64,232,189,0,1638,1674,15,388,430,0,0.0764871
51205,52516,69,23658,24206,55,22520,22547,54,125,222,0,1217,1113,8,-552,90,0,0.0786724
21825,22605,51,12677,12965,39,10267,10440,37,-33,126,0,468,599,0,-122,550,0,0.0808577
86479,81246,77,34433,31880,73,26611,25094,66,896,523,0,1354,1259,12,464,571,0,0.0819504
64157,65096,75,25568,26103,63,25662,25805,65,176,364,0,1442,1495,14,82,255,0,0.0852284
191939,168131,94,75541,67742,88,79628,70530,88,1146,1038,4,4840,4114,34,-280,509,0,0.0885065
130178,120942,96,49039,44596,96,70742,64164,96,981,708,0,3629,3481,28,219,539,0,0.0885065
233167,183504,92,92405,73349,91,98911,75917,92,1450,1066,8,5568,4237,40,509,738,0,0.0906918
36471,36523,67,16905,17156,43,16630,16375,45,210,358,0,947,806,0,40,358,0,0.0917845
114393,113368,79,54321,53672,75,63689,62139,76,819,892,0,3793,3911,28,1122,673,0,0.0939698
21241,20605,48,6719,6776,33,9036,8906,37,-25,100,0,408,404,0,389,745,0,0.0972478
96840,97361,77,22659,22716,50,56339,55907,74,774,598,0,2986,2954,26,-140,509,0,0.0983405
30464,31491,55,12479,12727,40,14709,14644,43,87,138,0,650,819,0,-207,208,0,0.100526
244556,190591,95,89290,68942,92,127890,98226,94,1474,1258,15,6795,5172,42,591,593,0,0.100526
182722,148770,90,58919,47616,87,90863,74334,87,1172,965,0,5328,4421,38,1220,831,0,0.104897
63888,65676,68,25283,25309,62,25235,25382,64,388,359,0,1302,1329,13,90,429,0,0.108175
128055,113314,80,54486,47660,78,61092,53394,80,583,489,0,3496,3103,29,499,475,0,0.109267
95200,95301,81,38879,38742,72,58835,58923,73,720,681,0,3070,3165,27,740,1155,9,0.111453
110388,109530,90,49415,48780,74,49667,48122,74,679,568,0,2952,2932,25,158,530,0,0.113638
39716,38603,67,11864,12050,39,16430,16862,43,296,234,0,916,914,0,70,791,0,0.114731
131517,121695,92,65842,62053,78,56405,52120,79,720,700,0,3169,2898,27,793,856,0,0.130028
34211,34269,71,12343,12648,39,14051,14368,41,5,109,0,657,621,0,702,1107,4,0.135491
160926,153096,83,62452,59826,79,66774,63746,80,557,791,0,3795,3715,28,524,684,0,0.14314
22763,25559,41,14111,14627,40,12722,13181,38,-2,77,0,614,603,0,208,529,0,0.145325
70273,71539,74,25012,24924,60,27451,27627,64,128,305,0,1487,1609,15,1041,931,0,0.148603
123075,120985,76,42135,41173,74,62086,61011,76,887,757,0,3698,3530,28,898,709,0,0.148603
50397,50951,73,19436,19813,48,21425,21481,49,203,287,0,1135,1156,8,82,336,0,0.149696
195482,155024,87,63959,50783,86,105173,82806,88,1166,912,0,5990,4922,39,1200,816,0,0.151881
27131,28264,53,12874,12954,40,14013,14273,40,39,210,0,802,815,0,-293,96,0,0.154067
132460,126006,81,48979,45343,77,57231,52888,78,555,656,0,3017,2788,26,186,402,0,0.156252
47191,50167,65,20849,21565,47,21503,21658,49,210,235,0,1163,1254,11,-166,323,0,0.156252
118424,116318,78,37125,36680,74,63100,61054,76,695,642,0,3541,3437,27,844,1003,1,0.168272
122240,115985,79,40244,36732,77,58550,54674,78,823,686,0,3329,3041,27,655,421,0,0.17155
150747,135868,85,62629,55635,82,68534,59975,81,1034,736,0,3881,3428,32,1822,1653,14,0.172642
37562,40458,52,15316,15699,42,18731,18664,48,332,236,0,1113,1172,8,-399,51,0,0.177013
109094,104750,81,48452,45760,76,47173,44155,77,433,462,0,2417,2216,24,609,549,0,0.181384
167728,141098,84,62234,51791,83,90957,76662,83,1065,856,0,4702,3998,36,584,494,0,0.18794
32758,32948,65,17262,17680,44,13416,13418,41,135,176,0,745,748,0,735,561,0,0.194496
95482,96343,75,28627,28502,70,54282,53544,73,625,602,0,3004,2926,25,1119,969,0,0.195588
107268,107584,79,39269,38889,73,50671,49454,74,753,704,0,2896,2924,25,-180,175,0,0.197774
107018,106051,87,48528,48215,74,65010,63235,75,595,660,0,3451,3200,29,705,933,0,0.201052
158489,136630,84,39847,33224,83,66218,57050,83,784,817,0,3713,3126,30,-224,387,0,0.202144
25246,25053,56,8513,8775,35,12591,12882,40,167,184,0,733,693,0,383,618,0,0.203237
80171,79157,76,26723,26158,64,29135,28461,69,341,511,0,1539,1548,15,7,425,0,0.207608
34019,35839,65,12619,12975,39,15223,15489,41,197,264,0,742,784,0,437,436,0,0.207608
32482,35495,50,14480,14698,42,14652,14584,43,300,293,0,750,787,0,-541,94,0,0.2087
85093,85864,73,25643,25883,61,41796,40806,71,410,422,0,2458,2250,23,230,525,0,0.215256
118478,116392,80,46597,44063,76,59548,56106,78,864,797,0,3273,3240,28,359,612,0,0.226183
118860,118017,76,39337,39034,75,69358,67602,76,768,691,0,3924,3723,29,1254,1417,11,0.228368
87619,89484,75,35656,36185,70,33471,33263,70,776,727,0,1726,1910,18,563,549,0,0.233832
127229,101646,93,46712,34615,91,59567,45947,93,1033,693,0,3544,2764,37,243,549,0,0.236017
143275,120185,84,50271,41624,82,57337,48240,82,545,514,0,3207,2747,29,-234,322,0,0.240388
112823,112874,75,38376,37781,74,56400,54450,75,674,686,0,3186,3111,26,1992,1071,7,0.240388
35312,37369,65,13984,14373,41,15131,14947,42,159,145,0,853,874,0,757,658,0,0.246944
40352,41102,65,12384,12687,39,14723,14537,42,260,253,0,874,946,0,665,759,0,0.246944
112768,111498,76,35747,35122,73,60094,58150,74,823,922,0,3243,3032,27,752,609,0,0.251315
80836,83424,72,30245,30061,70,41471,41127,72,406,515,0,2453,2312,23,522,667,0,0.256778
111070,110986,76,27603,27492,68,73457,71679,76,897,689,0,3975,3989,28,383,433,0,0.258963
220652,176923,93,70309,55670,88,106431,84458,89,1247,944,0,6285,4855,40,685,843,0,0.262241
48838,50458,61,20446,20765,48,18346,18316,46,224,255,0,1236,1221,10,-254,315,0,0.262241
188451,153342,86,65649,53554,85,75987,61324,86,1087,809,0,4030,3236,34,193,463,0,0.263334
123492,121196,76,36874,35777,74,42725,41657,74,758,611,0,2561,2553,22,691,718,0,0.264427
122045,116379,78,45414,43940,75,48139,44990,76,604,596,0,2534,2311,25,-231,299,0,0.268797
34919,36252,69,17994,18696,44,16124,16770,44,197,196,0,842,804,0,15,415,0,0.278631
97799,97164,81,39656,39614,73,44460,44438,73,664,566,0,2503,2518,23,378,435,0,0.279724
173932,149597,88,51513,43740,85,86501,76377,85,1156,1055,5,4888,4450,33,304,633,0,0.284095
120400,110299,81,42543,38481,78,57734,51270,80,706,649,0,3417,3144,28,432,697,0,0.28628
105167,105811,74,55508,55306,74,53727,53299,74,530,620,0,2858,2943,25,-394,0,0,0.288465
