"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
133131,110726,92,60310,50177,89,1540,1402,17,2614,2001,27,5615,4736,44,9549,7412,58,194563,161134,104,0.00298789
31586,34450,57,13012,13091,46,337,515,0,521,771,0,1674,1646,20,2671,2737,30,50760,49211,81,0.00796771
130551,104544,90,54507,43672,89,1367,1222,13,2712,2177,32,6006,4855,48,10571,8930,57,182077,146286,99,0.0119516
180241,138272,102,66577,51524,92,2413,1970,26,4231,3319,43,8728,6773,55,16169,12140,71,317474,246201,109,0.0139435
121030,113838,94,33376,32154,79,2152,2197,22,2935,2625,30,7008,6950,46,11353,11067,57,248325,237683,97,0.0209152
95993,90643,89,46168,44742,80,737,731,0,2225,2156,24,4353,4075,37,6583,6294,41,146480,133626,90,0.0229072
236237,168248,113,84938,61538,107,3130,2523,31,4898,3240,47,9898,7244,61,17260,13371,77,348664,251822,123,0.0298789
123263,110446,89,45457,39565,84,1761,1626,21,2929,2557,28,6050,5518,45,10977,9717,55,216676,190238,98,0.0308749
180757,138580,114,76647,60714,96,2458,1920,26,3838,3431,39,9082,6881,57,15424,12220,71,317776,242268,112,0.0318708
96041,94592,82,32665,31529,78,1511,1312,15,2127,1982,23,5009,4915,38,7745,7567,46,168315,159845,90,0.0318708
78894,77651,82,29919,29476,75,1258,1170,10,1878,1672,22,4230,4356,34,7392,7768,42,145096,141983,88,0.0328668
161542,144510,101,72062,66427,90,2319,2183,25,4334,3793,39,8508,7558,52,13014,11621,60,288370,248585,94,0.0368507
90293,86626,84,31812,30787,78,1233,1076,6,2217,2546,25,5319,5112,40,8422,8453,45,182013,175545,93,0.0388426
101985,98258,86,39811,38793,79,1364,1432,14,2743,2481,26,5719,5554,42,9530,9159,53,197727,190646,94,0.0408345
105072,100564,84,37781,36277,80,1420,1116,12,1981,2076,23,5094,5006,40,9130,8562,55,183248,174636,86,0.0408345
65210,61079,88,25279,24697,66,457,635,0,1481,1468,17,2975,2861,32,4929,5565,35,106507,102753,83,0.0418305
184598,139911,104,78693,59045,99,1702,1379,18,4108,3062,44,9168,6771,56,14277,11595,69,307892,242263,112,0.054778
106857,100073,82,39307,35197,80,2084,2055,22,2348,2398,25,6442,6338,44,11160,10365,57,216845,195731,95,0.055774
17916,16762,53,6444,6527,37,85,174,0,412,493,0,950,769,0,1564,1384,16,28031,28024,73,0.0567699
206698,154596,101,79190,59157,98,2031,1264,26,4455,3260,43,11262,8293,64,16667,12502,71,383928,289773,110,0.0577659
116541,110655,88,43334,41940,81,1704,1774,19,2990,2817,33,6244,6055,42,11288,11203,55,215647,204742,89,0.0617497
195738,162626,97,80874,68383,94,2337,1962,26,5161,4553,46,10921,9098,60,17832,15427,72,364558,328405,102,0.0627457
169247,147788,92,83634,72401,90,1990,1738,20,4115,3422,39,8561,7396,51,13178,11339,62,276061,238415,105,0.0637417
162414,135293,92,64328,51964,93,1692,1385,18,3675,3412,35,9346,7953,55,14624,12015,68,312944,255189,105,0.0637417
133843,121253,90,51401,45927,87,1786,1859,19,2604,2527,27,5939,5415,44,9572,9301,51,201069,189854,95,0.0707134
87304,85510,78,23383,23189,67,1263,1175,11,1925,1623,22,4910,5075,38,8255,7492,49,180715,171682,93,0.0766892
112783,90310,91,46587,37384,89,1694,1275,15,2062,1854,25,5355,4256,42,9436,6823,59,177904,144526,104,0.0776852
160628,129463,94,64531,51798,91,2223,1898,25,4889,3877,40,9538,8086,58,15233,12374,77,300066,247062,103,0.082665
127571,116635,89,59756,54375,86,1414,1244,15,3136,2437,32,5856,5354,42,8454,7814,50,185656,169129,97,0.0886408
89931,88324,80,25845,25277,75,726,789,0,2556,2246,27,4845,4689,37,8967,8561,54,173593,173854,91,0.0976044
100120,98747,85,38782,37816,78,1550,1255,19,2114,2566,24,5243,5019,39,8449,7638,55,180980,177954,95,0.0976044
193528,140164,106,90138,65165,98,2602,1619,34,5015,3628,45,8917,6580,55,14869,10457,74,307627,226918,111,0.0986004
186305,159346,98,77534,66454,91,2124,2050,23,4288,3726,38,9167,7902,58,14739,12534,73,298797,255392,102,0.0995964
133264,112301,90,55397,47742,87,1861,1713,22,3208,2370,34,6564,5661,46,11055,10016,57,221326,186997,100,0.0995964
164614,129268,97,68102,53462,95,2068,1885,25,3460,2885,32,8324,6572,55,14041,10553,71,281822,214672,110,0.102584
227971,163244,108,89333,67363,102,3048,2458,31,5428,3964,47,11370,8381,59,18799,13985,90,391338,278750,115,0.102584
56116,56735,69,14343,14421,48,245,539,0,577,801,0,2323,1929,25,3468,3328,32,71459,68792,84,0.109556
98035,95683,81,21487,20919,61,1181,1308,13,2194,2474,23,4710,4224,44,8053,7827,52,168108,159893,92,0.109556
269423,194836,116,118990,85821,114,3480,2575,34,6331,4464,50,12708,10036,65,21758,16510,85,438413,335221,126,0.111548
137055,115663,91,59299,50157,91,1376,1239,14,2768,2560,32,5599,4673,42,9937,8794,54,194366,162600,103,0.11354
92983,89117,87,32427,31497,77,1265,1362,14,2000,2108,21,4890,5050,36,8579,8163,58,177142,172607,89,0.114536
122045,110606,89,59087,54823,85,1593,1302,18,2833,2228,30,6079,5693,43,10000,9071,62,202010,197304,92,0.117524
81298,78420,83,32813,32106,76,935,834,0,2450,2065,29,3594,3804,32,7321,7460,47,134751,134696,80,0.11852
108984,104462,81,42667,40477,80,1439,1393,18,2456,2335,28,6007,5592,42,9539,9143,51,208147,199464,89,0.119516
173024,135468,96,52043,40613,93,2555,2024,26,4186,3409,40,8610,7011,57,14668,11549,65,294550,239011,109,0.119516
35707,36744,57,16688,16604,52,412,332,0,546,704,0,1535,1705,17,2612,2795,25,48400,49185,80,0.121508
363369,212946,144,144719,83306,142,4588,2571,45,8211,5998,54,18700,12047,81,30143,19796,116,628882,404295,152,0.121508
159907,124535,103,70800,56709,92,2209,1561,26,3678,2850,39,7697,6504,50,11743,8758,66,248258,210359,97,0.124495
109676,98389,87,44088,38685,85,1452,1315,13,2555,2119,26,5071,4839,41,8089,7425,51,176481,158958,95,0.125491
40841,39858,72,18391,18362,54,391,429,0,620,706,0,1544,1647,18,2280,2247,24,52805,53612,73,0.128479
104833,101770,88,51142,49918,82,930,991,0,2019,2555,23,4742,4966,36,7291,7226,47,135310,130175,88,0.129475
142142,120258,90,75620,64346,90,1505,1233,12,3519,3290,34,6948,5804,49,10697,9544,57,225111,185760,102,0.130471
154599,128082,97,67066,57336,91,1544,1454,16,3478,3036,38,7845,6669,52,13199,11983,62,260782,228874,102,0.135451
83907,80706,83,34124,33193,76,1100,911,0,2004,1938,24,3810,3851,33,6067,6102,41,130656,127189,89,0.141427
166160,138100,94,68798,58008,89,1896,1578,22,4055,3359,39,8046,7226,50,12920,11134,61,274318,245960,96,0.143419
96234,93431,79,19627,19091,56,1717,1492,18,2610,2443,27,5778,5710,38,9908,9372,52,206302,198615,94,0.145411
51216,50990,74,12778,12511,45,627,700,0,1052,1092,8,2312,2213,26,3624,3555,34,79836,78662,89,0.145411
438915,230875,226,266270,155990,223,7368,3947,52,15944,9746,97,31577,19680,137,52419,32516,198,1.04858e+06,692969,245,0.154374
119807,107847,90,51651,44838,84,1762,1669,20,2701,2379,32,6367,5648,47,10862,10160,60,231839,203567,100,0.162342
