"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
196792,163207,96,89009,74998,95,3470,2690,33,4514,3810,44,10363,9004,53,17802,14956,79,357699,302210,108,0.000997714
224246,159102,105,86344,61179,102,2719,2137,31,5186,3475,46,10591,7477,68,17572,12902,78,394609,279154,117,0.000997714
95061,91482,91,32791,32523,77,1435,1445,15,2205,1838,24,3968,4084,33,6276,5935,47,118227,112114,92,0.00299314
254843,176741,114,96954,67546,110,3659,2400,38,4799,3692,42,11292,8260,61,18118,12889,89,382519,264541,125,0.00598628
221801,181686,103,80310,65964,97,3367,2937,33,5755,4492,45,12095,9939,63,20321,16094,79,372134,293496,105,0.00798171
354548,168419,202,154472,77500,197,4450,2091,47,8710,4054,81,17238,9216,104,28392,13843,133,580334,286005,221,0.0149657
104991,101649,85,36094,35158,79,1496,1332,17,3046,2719,30,5494,5506,38,9635,9957,50,196571,186017,94,0.0239451
187635,151028,96,81947,66297,95,2284,1656,29,4332,3836,36,9355,7601,54,16205,13610,70,328615,259464,111,0.0259406
144827,123534,91,52596,44531,89,1974,1655,21,2644,2554,27,6578,5784,44,9681,8373,55,231772,192398,102,0.0299314
206076,152415,99,78120,57351,98,2691,2040,31,3967,2947,41,9726,7106,62,16648,12211,80,335331,246845,113,0.03492
93807,86183,83,39011,35626,79,1242,1173,9,2162,1749,26,5152,4475,41,8220,7429,47,163413,145079,95,0.0379131
278969,198394,120,101097,71306,118,3845,2980,37,6561,4988,49,12599,8771,69,21582,15236,85,439834,304367,133,0.0578674
165338,136243,90,63762,51212,90,2224,1646,27,3619,3047,37,7768,6126,57,13432,10076,73,258441,208228,105,0.0588651
151586,139177,93,69899,64976,89,2604,2578,26,3904,3679,36,8757,8053,50,14813,13509,62,307693,269754,94,0.0668468
222468,164301,111,91381,66772,100,2719,2269,28,4511,3621,41,10740,8562,59,17610,13082,84,362497,272353,115,0.0668468
133742,113570,92,52461,44534,88,1804,1613,18,3263,2631,36,7175,6530,45,12901,10579,66,267132,232964,103,0.0688422
191023,162285,96,102066,85824,95,2677,2388,27,4408,3441,37,8510,7481,50,12954,11100,63,278549,256760,101,0.0698399
181885,143959,97,82235,66142,94,2613,1816,27,4357,2825,43,8531,7008,55,13227,10819,66,278027,221012,107,0.0708377
99409,95970,80,24494,23579,68,1069,1115,9,2112,2007,23,4672,5001,35,7479,7444,43,152517,145970,92,0.0768239
75510,70248,86,29806,27370,77,1099,1009,2,1740,1813,22,3985,3862,36,6510,5288,46,123705,115031,87,0.0887965
123332,116364,86,53164,50668,82,1629,1626,18,2933,2710,30,6522,6164,43,10688,9998,59,210337,197364,96,0.0997714
210677,162828,101,80520,62624,100,2586,2018,27,4833,3869,44,10428,8291,60,17110,13584,79,366127,276298,114,0.100769
144354,123354,97,62013,53220,87,2049,1673,24,3079,2308,31,7020,5848,50,11724,10846,61,243929,209060,101,0.107753
165460,134662,95,66165,54063,92,2358,1847,27,3874,2943,36,7786,6619,50,12937,11710,58,274277,221577,106,0.11773
127349,105574,92,60121,51447,87,1613,1209,15,2922,2571,33,5921,5114,46,9600,8093,61,206408,169590,98,0.11773
96373,92201,87,33675,32136,79,1412,1301,17,1971,1813,23,4645,4354,36,8591,8384,53,161104,153734,90,0.118728
145119,118231,94,52478,42124,90,1874,1550,22,3545,2986,39,7722,5627,55,13345,10449,65,278199,221373,107,0.125712
105679,99998,82,33241,31822,79,1048,1107,10,2436,2496,25,5323,5267,40,8853,8354,56,174544,164976,92,0.140678
125558,109892,99,46868,42013,85,1423,1091,10,2913,2613,32,6237,5540,49,12225,10993,58,231293,203972,98,0.145666
209502,157305,114,86836,66873,99,2919,2035,34,5393,3849,46,11303,8203,60,18227,13957,79,381791,283830,116,0.15265
105887,102358,82,27372,26607,72,1796,1728,21,2687,2786,28,6400,5916,43,11103,10598,59,234488,227782,93,0.154646
55316,55775,75,23963,23811,67,535,471,0,1094,1012,2,2217,2220,24,3509,3601,30,73439,72188,86,0.162627
120075,104975,85,42520,36866,85,1790,1498,23,2756,2709,33,6344,5410,47,10065,8518,59,212783,187149,96,0.162627
109269,102833,88,27785,26784,79,1799,1581,20,2768,2240,33,6372,6063,44,10449,10100,55,233284,221502,92,0.16562
248669,172122,122,92185,62698,117,3347,2235,37,4718,3048,42,10705,7962,60,17804,11873,90,370345,262071,129,0.169611
243546,182674,108,94466,70312,104,3703,2622,36,5470,4675,43,12754,9450,70,19746,14935,92,414196,313780,119,0.1746
94333,89816,80,33724,32566,79,1335,1398,14,1736,1832,18,4197,3773,36,6803,6539,43,167288,162662,88,0.178591
111078,105394,85,46739,42872,83,1738,1535,17,2326,2312,26,5601,4932,42,8478,7543,51,177183,163827,97,0.178591
64237,61708,82,27721,26920,75,738,796,0,817,896,0,2522,2447,27,4467,4591,37,101321,98578,89,0.181584
85617,84167,80,24233,23772,73,1194,1046,7,2415,2115,25,4419,4355,37,7896,7796,46,174984,164917,92,0.182582
202958,169974,102,83601,70521,95,2931,2619,28,5379,4110,41,9320,8214,55,14412,12749,61,308913,266111,112,0.183579
166203,133565,110,64446,51882,92,2699,2153,29,4262,3477,38,9752,8012,57,16480,12762,75,356645,299818,103,0.192559
152515,129880,92,45938,37183,90,1786,1569,22,3430,2708,39,7392,6570,46,11550,9573,55,245790,214357,104,0.19655
251991,177865,120,106909,79603,110,2813,2069,33,4559,3281,47,10407,7661,65,17378,11846,80,350670,255167,119,0.203534
89386,87129,80,41985,41299,78,1485,1278,14,2373,2461,28,4557,4595,36,7657,7416,47,170059,165658,91,0.204531
184160,156011,103,67641,58137,91,2985,2546,29,4861,4315,42,11055,9305,59,16623,14248,72,361733,311571,107,0.205529
224722,161044,120,86681,64232,107,3304,2135,35,5162,3603,50,10493,7609,57,17653,12519,77,352419,274867,117,0.207524
121596,114815,85,42500,40626,81,1694,1815,19,3396,3293,29,7989,7622,50,12917,12489,59,272367,250515,96,0.208522
213011,178909,97,95277,78833,96,3595,3003,33,5707,5551,44,14591,11985,70,23723,20814,95,477890,415985,105,0.220495
201727,153080,101,79064,60159,97,2446,1750,29,4445,3426,40,9644,7102,64,17193,12644,75,341706,254547,110,0.225483
132447,111477,90,56227,47659,87,2126,1578,24,3253,2879,34,6831,5470,48,11163,9535,60,241157,204194,103,0.230472
196947,146545,101,85949,64216,97,3229,2235,35,3957,3278,40,9344,6872,57,16091,11885,76,340645,253851,113,0.230472
104369,99435,84,45761,43217,79,1347,1298,14,1973,2004,29,5387,5176,40,9657,8829,52,189558,178048,95,0.23147
101937,97883,81,42512,41623,78,1140,1498,14,2437,2478,26,4874,4578,37,8727,8322,53,168969,163081,85,0.232467
93537,91032,79,32137,31479,77,1514,1384,17,2509,2303,28,5582,5218,42,9424,9308,48,184960,171946,93,0.233465
133335,109318,91,54579,44887,88,1996,1517,26,2375,2431,27,6456,4779,49,10597,8487,60,223266,175887,102,0.249428
208075,145305,105,86523,61882,101,3329,2334,36,5055,3319,50,10205,7242,58,16813,11794,84,348944,245632,111,0.268385
167008,135721,103,69381,56009,92,2682,2163,27,4100,3130,41,8715,6810,57,13941,11343,66,287469,227547,103,0.272376
203044,153428,100,89220,68972,98,3001,2328,34,5043,3803,47,8985,6758,59,14915,11924,71,290153,231942,112,0.273374
136523,118878,104,54089,47395,86,1952,1762,21,3165,2945,32,6685,5832,51,11066,9863,60,226941,204775,95,0.274371
146516,121918,90,62116,50728,90,2178,1782,24,3314,2831,34,7654,6606,49,12159,10172,62,259202,210835,103,0.274371
105074,100284,86,35507,34037,79,1691,1671,19,2322,2621,27,5259,5103,41,7970,7525,51,175672,168389,93,0.276367
174680,137544,95,65614,50729,94,2552,2000,28,3868,3051,39,8333,6509,52,13589,10821,69,283898,228574,104,0.278362
98109,92521,96,36483,33762,82,1712,1655,18,2529,2567,25,5318,5462,40,9206,8682,50,188860,172692,96,0.278362
194080,147206,99,56151,44135,93,3315,2524,34,4169,3350,38,9000,7383,55,16431,12457,79,317144,254988,107,0.286344
155801,144071,88,45193,40949,86,2115,2113,23,3943,3845,35,8598,8060,52,15821,14583,70,298427,280548,97,0.288339
207743,166593,104,60284,47464,96,2547,2104,27,4262,3684,40,8648,7084,52,14610,11666,67,302622,243992,109,0.294326
140093,123666,104,64036,56194,88,2111,1939,21,2996,2738,31,6748,6273,47,11707,10538,61,247338,223102,99,0.309291
126947,109069,97,45890,38881,86,1930,1657,20,2773,2590,29,6362,5051,48,11581,9857,71,218008,186580,103,0.310289
127893,115438,89,40940,36048,83,2011,1592,20,3537,3421,31,6959,6563,45,11383,10506,57,242096,216332,98,0.313282
191328,148959,105,80322,62565,99,2975,2461,30,3973,2803,40,8938,7037,55,14006,11662,64,283800,236381,112,0.31428
161880,132671,94,52334,42781,91,2491,1873,28,3128,2727,35,8007,6356,51,13903,11673,73,277241,221355,105,0.318271
227611,163331,106,92294,67380,101,2811,2025,31,4677,3013,44,10683,7630,62,17160,12492,81,336847,239351,116,0.342216
104129,98814,86,29555,28637,79,1614,1644,19,2615,2525,26,6263,6151,41,10832,10677,63,234280,222916,99,0.344211
107916,104005,83,32731,31518,80,1422,1284,15,2555,2211,27,6026,5440,42,9361,8390,57,202845,195327,97,0.347204
91731,90749,80,29878,28980,77,1390,1148,12,1845,1828,18,4136,4352,34,7536,7450,45,143763,144652,90,0.348202
91535,87648,83,25847,25386,75,1466,1329,14,2044,1934,22,4821,4514,39,8357,8446,51,154950,148705,95,0.350197
121968,104098,88,50820,43314,87,1497,1276,13,2908,2442,28,5561,4752,44,7887,6412,52,192763,157786,101,0.352193
118981,106120,94,56133,51029,86,1597,1448,19,2123,2162,28,5110,4861,40,9717,9171,53,182894,166848,93,0.363168
106150,101750,84,34682,33568,80,1571,1386,17,2674,2567,24,5500,5056,41,9531,8963,53,199012,189222,93,0.370152
91088,88782,83,39446,38564,78,1439,1331,14,1740,2133,20,4497,4498,36,8434,8219,48,178122,174235,92,0.378133
202607,151523,100,71772,53317,99,2902,2120,29,4682,3421,40,10185,7944,59,17637,12871,77,384265,276700,111,0.383122
252203,184959,103,146174,106453,102,4841,3420,40,7057,4905,52,15264,11534,74,26357,20243,103,500380,378907,119,0.383122
213301,182331,116,124235,110555,98,4399,3596,35,6795,6105,42,15362,13278,66,23645,20466,90,484403,418856,110,0.385117
34694,34436,68,16574,16035,53,379,425,0,457,485,0,1250,1359,14,2450,2359,27,51566,48477,84,0.385117
44794,44017,76,13490,13398,47,867,677,0,1379,1396,18,2303,2545,25,3686,3574,33,69631,69610,83,0.391104
147793,127562,95,50745,43176,89,1626,1562,17,3364,3204,37,7329,6402,47,11811,10235,67,244340,209711,97,0.396092
142087,112861,90,56502,44025,89,1889,1542,19,3333,2826,33,7286,5938,51,12208,9829,61,247621,188558,104,0.402079
169644,137497,96,62826,51240,94,2623,2084,28,4564,3475,39,9696,8169,55,16148,13372,71,316001,271586,100,0.403076
165073,133956,103,76103,63306,92,2076,1515,23,4103,3287,39,7042,6103,47,12076,10296,64,243053,204464,103,0.404074
96142,93030,83,40732,39563,79,1333,1333,13,1979,2328,22,4092,3858,35,7847,7385,44,159229,148443,90,0.405072
99198,95821,81,27361,26508,77,1197,1062,7,1907,2020,23,4852,4512,37,7321,7280,46,165817,157706,92,0.406069
160377,125438,96,57076,44813,93,2496,1687,29,3817,2529,40,7997,6497,51,13204,11096,66,278958,218001,108,0.408065
125456,117201,91,63648,61199,83,1932,1791,20,2592,2930,27,5276,4939,40,8556,8275,45,176122,163128,99,0.411058
92965,90520,81,31539,30906,77,1382,1247,15,1943,1840,20,4973,5043,38,8888,9048,50,184699,182075,92,0.411058
242117,178481,111,94362,70786,110,2965,2316,30,5382,4118,44,10576,7882,61,17051,12069,72,346732,257067,123,0.415049
137631,123762,89,61702,53749,88,1682,1439,16,3505,2973,33,5818,5222,44,8963,8563,48,197862,176372,99,0.424028
88638,86110,80,24730,23941,73,1192,1170,10,1612,1867,23,3841,3932,34,6288,6180,47,145023,143975,91,0.426024
89573,87322,80,45364,44479,77,1306,1390,13,1966,1954,24,4017,4046,33,6888,6279,46,146927,139668,87,0.427021
188757,141495,98,76229,57600,96,2672,1936,29,3952,2745,43,8107,5981,54,13291,9917,66,291189,221467,110,0.428019
179765,135654,97,73731,56598,95,2759,2143,28,4109,3361,40,9144,6954,55,16072,12260,80,350857,266670,111,0.431012
130344,104146,93,50366,40096,88,1940,1417,21,2864,2255,29,6221,5239,48,10779,8048,55,216198,172976,101,0.435003
179215,139437,101,72790,58491,94,2681,1815,29,3688,3378,37,8543,6605,55,14853,11235,70,295443,234995,109,0.438994
102416,93465,91,39603,34208,85,1680,1553,17,2239,2314,25,6134,5129,48,10596,9694,63,216952,193043,100,0.446976
256256,189649,106,93061,67402,106,3295,2269,36,5631,4042,47,12394,9304,65,19716,14878,75,387234,286584,120,0.447973
170846,141212,96,66578,55170,93,2207,1831,25,4185,3174,41,8371,6860,58,14488,11415,73,283896,234766,102,0.454957
138027,120346,90,56653,48795,88,1899,1599,23,3350,2810,34,6359,5658,44,10752,9163,62,226158,196684,99,0.461941
311443,233011,136,159277,122420,122,6506,5152,42,9704,7934,54,21276,16915,87,33667,27604,111,670852,525500,132,0.467928
168890,138125,110,60735,49342,95,2769,2037,28,4168,3676,38,9157,7695,54,15137,12894,73,313018,261047,106,0.468925
65208,63833,80,22681,22478,63,812,745,0,1305,1381,16,3055,3446,27,4341,4157,36,91501,88620,88,0.472916
191731,152072,109,79982,64777,93,2442,2041,28,3980,2810,44,8969,7081,57,13222,11096,60,287807,230918,107,0.472916
143902,132142,87,59386,54068,86,2279,2331,21,3328,3504,31,7879,7175,48,13665,12662,62,259682,243269,95,0.473914
131721,119947,88,50635,44305,85,1726,1366,20,3324,3011,32,6258,5520,44,9720,8321,57,207318,184461,98,0.475909
317535,207322,143,118892,79433,130,3425,2235,35,7501,4817,55,16904,11266,83,27039,16850,101,610267,402299,141,0.4799
193198,140603,107,80471,59427,97,2696,2014,30,4009,3212,40,8982,6755,57,14530,11100,72,311407,240518,103,0.480898
