"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
31312,32641,68,10430,10454,43,404,323,0,1049,1043,4,1436,1375,17,2405,2508,24,45712,47163,80,0.00612408
155445,130928,95,57278,49522,89,1793,1698,22,2984,3202,31,7374,6112,49,11027,9388,56,232683,199373,105,0.00918612
93667,89947,95,20712,20195,60,1167,1120,13,2116,1991,23,5209,5348,38,8378,8045,56,183319,182280,95,0.0132688
95600,93013,88,21527,21349,60,807,867,0,2554,2403,22,4312,4319,36,6966,6851,42,159632,153837,92,0.0153102
209129,171696,103,65397,52701,99,2626,2216,30,5540,4521,47,12727,11025,60,20356,16830,80,413392,354521,107,0.0183722
148041,139119,90,74907,72100,85,1626,1678,19,3935,3229,35,7985,7457,47,12969,11971,58,284762,260057,98,0.0295997
238287,172772,109,80970,58215,104,2463,1874,28,5008,4218,42,11130,8329,67,17454,12602,82,366893,266692,118,0.0316411
227520,169554,103,98050,74912,100,3077,2112,33,5056,3529,44,11759,8484,62,18807,14138,83,381388,279766,115,0.0387858
109252,94764,87,42442,36917,85,1512,1236,14,2933,2376,32,6475,5988,43,9649,8172,53,218639,191224,101,0.0398065
111544,106956,82,48328,46167,81,1257,1050,6,2562,2227,27,5549,5315,39,8659,7830,50,178744,171663,93,0.0408272
111427,106197,81,37097,34912,78,922,1185,9,2504,2256,26,5259,4914,40,8676,8519,47,184244,176745,94,0.0438892
95124,95894,79,43819,43427,79,1196,1370,12,2328,2467,28,4668,4459,39,7909,7903,51,167223,161596,95,0.0438892
93867,90344,85,46997,45432,79,1309,1142,12,2313,2237,28,5217,5145,38,7449,7047,52,180402,174168,90,0.047972
98748,97951,79,38885,37738,78,1444,1407,15,2555,2570,28,5844,5883,41,9809,9255,60,213632,207648,91,0.0489926
175830,133571,112,54045,39921,95,2357,1601,28,4671,3283,43,8974,6758,56,14058,11327,68,300349,235678,108,0.054096
37816,37765,71,8855,8756,41,478,361,0,1250,1010,2,1812,1873,20,2980,2974,30,68061,68812,83,0.0561374
151361,120727,95,53299,42575,90,1499,1282,14,2804,2639,32,7188,5806,49,10357,8200,56,243854,194939,108,0.0571581
90326,85176,96,26595,25848,73,1213,1050,5,1823,2005,21,4423,4589,36,6849,7037,40,144493,139185,91,0.0602201
101283,97290,91,29608,28769,77,1029,1142,9,2136,2436,25,5568,5509,40,9365,9495,51,185943,179193,94,0.0612408
194293,151549,100,63034,49119,95,2466,1948,27,4599,3295,48,10410,8089,59,16612,13426,81,330198,274107,105,0.0632821
104937,100879,84,25413,24964,75,1407,1398,15,2693,2326,26,6024,5953,40,10757,10076,61,196040,186726,94,0.0643028
100341,97859,81,32249,31577,78,1631,1541,17,2524,2595,24,5730,5820,38,9482,9810,50,188605,179300,92,0.0643028
191323,161854,95,67815,57460,92,2004,1876,22,4490,3326,40,7713,6808,50,12252,10609,61,255604,231545,103,0.0704269
155260,133318,91,64730,56285,89,2028,1663,22,3927,3049,36,6990,6245,46,12512,10886,66,253433,232033,101,0.0755303
100199,95770,89,34799,34005,78,882,786,0,2179,2367,26,4567,4202,37,6918,6813,44,149799,143307,95,0.076551
106314,101527,90,23247,22487,71,994,815,0,1958,2227,25,4710,4858,38,6858,6003,48,151254,141245,93,0.079613
233293,179163,108,123122,98093,101,3796,2924,34,7818,6654,51,17916,15316,74,28715,23160,106,617422,519738,116,0.0939025
186402,144542,102,70778,55429,97,1870,1350,18,3604,3102,35,9020,7004,57,14585,11195,78,301728,240750,106,0.0949232
174280,137646,102,62947,49125,94,1847,1418,21,4196,3589,38,8110,6765,50,12911,9652,76,289899,228237,109,0.0959439
157251,146799,90,92355,87082,87,2951,2470,28,4786,4614,39,9638,9048,53,15705,14630,70,323140,307926,100,0.0979853
170905,147576,108,64217,56795,90,1806,1664,20,3346,3378,34,8119,7599,46,12144,10873,58,258773,247448,99,0.100027
107537,101410,84,47971,45424,80,1276,1026,5,2153,2336,26,5667,5070,43,8612,8282,50,187426,178466,94,0.101047
99032,92306,84,33141,30783,79,912,894,0,2185,2264,27,4615,4224,39,7470,6331,52,154387,139715,95,0.10513
241580,178102,110,102610,75514,101,2804,2081,31,24113,22086,83,12243,9404,66,18313,13959,87,381273,289846,116,0.108192
148441,127101,94,56868,47921,90,2156,1749,22,4103,3584,39,8641,7261,55,12967,11214,65,285883,239688,105,0.109213
115228,110017,83,29814,28862,80,1318,1231,13,2702,2197,29,5740,5288,42,8625,7685,50,182100,175945,98,0.114316
83501,82451,79,28457,28359,76,963,1179,9,1316,1556,19,3975,4115,33,6422,6572,39,137660,129840,85,0.114316
138579,121115,88,51368,43109,88,1785,1406,17,3383,2789,34,7938,6881,56,11653,10337,62,256371,215495,103,0.117378
364381,228358,139,159497,112127,134,4608,3590,40,11157,7969,60,23119,15693,98,37736,25106,135,775643,520502,146,0.11942
120794,97015,100,43904,35422,88,1763,1442,18,3056,2601,30,6047,5017,46,9576,7795,57,214903,172879,101,0.12044
114299,110667,83,27211,26030,79,1414,1556,15,3187,3146,32,6709,6208,47,10787,9421,66,214017,205144,92,0.122482
244964,183110,112,95724,76257,107,3157,2370,32,6726,4878,51,12428,9792,62,19723,14823,80,448472,341681,121,0.13575
89001,86661,82,36580,35582,77,1231,1300,13,3004,2914,31,5779,5860,43,8630,8548,52,188616,181513,92,0.136771
265327,197461,108,103290,77666,107,3576,2525,36,6817,5120,49,14276,10508,77,23110,16854,88,506389,375138,122,0.138812
124378,117808,87,41851,39753,81,1587,1463,19,2899,2497,34,6770,6604,42,10712,10203,55,234065,229659,90,0.142895
