"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
402897,263469,154,205893,141928,152,8511,5685,50,14147,9704,81,30723,20765,117,45675,32927,148,892563,626616,168,0.0030462
206064,162126,108,70811,55385,96,3001,2142,31,4205,3448,36,9021,7462,53,14224,11852,72,291656,231590,115,0.0060924
191372,151219,103,62434,49097,94,2135,1572,25,4195,3752,37,8282,6694,50,14429,11118,72,278006,218942,111,0.0071078
88244,85499,80,29727,29430,76,1045,1132,9,1855,1906,26,4745,4704,38,8664,8242,45,159861,151707,95,0.0091386
126292,119581,85,44294,42170,81,1958,1778,22,3345,3633,31,7294,6671,47,13245,12416,60,241004,232288,100,0.0132002
94563,92300,84,31266,30432,78,1408,1315,15,2249,2208,24,4832,4829,36,8069,7124,51,163884,151624,90,0.015231
122541,114379,86,42477,39263,83,1524,1346,15,2862,2390,31,5763,5517,42,9674,8638,54,175569,162324,97,0.0192926
126505,108909,88,42007,35031,87,1602,1319,15,2552,2166,31,6841,6329,47,11336,9669,60,229327,194367,104,0.0213234
212818,174053,100,91084,76482,97,3174,2389,34,4621,4119,39,10395,8626,59,16456,14030,76,322379,268767,114,0.0233542
197947,156920,109,69231,55644,97,2641,2394,28,4567,3651,41,9909,8179,54,16229,13589,69,313929,264397,114,0.025385
105222,100811,84,35860,33921,80,1433,1281,13,3224,2786,34,6037,5554,41,10906,10492,60,215123,204223,98,0.0294466
152916,124688,93,52107,41866,91,1310,980,0,3145,2473,33,6149,4812,51,10163,7790,59,205717,162944,107,0.030462
86967,81526,79,25203,24081,76,1068,981,0,1566,1648,21,3616,3803,33,6422,6280,50,127181,120125,93,0.030462
108874,101483,85,34843,30823,82,1210,901,0,1949,1829,22,5509,5367,41,8979,8636,54,203839,188203,100,0.035539
121690,116730,96,45739,44082,81,1483,1259,16,1982,2102,21,4888,4762,38,8735,8087,51,169358,162271,95,0.0375698
133467,120786,95,42862,37720,86,1771,1786,21,3446,2785,33,7488,6840,48,12944,12409,67,259779,238330,101,0.0385852
145738,120532,93,56531,45980,90,1538,1319,12,3510,2874,37,7062,5409,49,11987,9436,61,243711,195232,107,0.0385852
50115,49651,75,22482,23010,61,360,279,0,786,991,0,1964,1914,23,3067,3044,31,65451,63988,86,0.0396006
107781,105013,81,42673,41423,79,1087,1048,7,2622,2449,31,6074,5757,44,9499,9076,54,200968,193639,97,0.0416314
88180,86886,80,36005,35563,77,997,1060,5,1864,1946,22,4339,4503,35,7644,7295,51,157565,152531,95,0.0497546
235180,169222,122,81983,60084,103,2699,1869,31,4831,3470,45,9998,7342,64,15818,10951,73,314869,226066,121,0.0497546
136258,110387,92,49775,40984,89,1772,1425,18,2901,2594,29,5087,4450,40,9360,7527,58,192615,155626,108,0.0568624
199969,147332,100,74292,55226,96,2076,1808,25,4217,2975,42,9106,6909,55,14623,10507,68,313993,235877,111,0.0578778
214327,153891,116,72066,51673,104,2780,1924,34,4654,3725,45,9648,7237,59,17111,12964,79,339227,248215,123,0.0599086
251432,200523,105,82915,65273,101,2909,2310,30,4927,3903,40,11332,9021,59,19784,16473,79,353601,285297,119,0.0629548
96583,89920,87,66757,63793,80,2600,2279,28,4486,4042,38,9912,9467,55,15306,13672,78,303415,278610,97,0.0639702
95507,90883,83,40639,40023,79,962,834,0,1353,1128,17,4053,4013,35,6499,6157,42,126792,121848,96,0.066001
51286,52074,72,14159,14175,48,716,829,0,660,834,0,1997,2175,23,3556,3606,32,66351,66466,88,0.0670164
154546,127186,93,60240,49419,90,1913,1525,19,4012,2976,40,7886,6361,52,13867,12114,62,290732,244745,108,0.0690472
87999,87356,86,33041,32549,76,923,938,0,1193,1275,15,4383,4043,38,7168,6556,51,160087,155285,94,0.0700626
98992,96948,80,37650,36143,79,1209,1342,13,1748,2031,19,4962,4557,39,8000,7433,48,163040,152437,92,0.0700626
219496,160894,104,76622,55825,101,3126,2111,35,4781,4060,40,9813,7270,61,15532,11104,71,323118,226421,119,0.071078
195309,148887,106,65891,51799,97,2582,1876,28,4749,3641,41,11265,8384,61,17853,13812,79,352600,271590,116,0.0731088
273946,193858,124,87961,62550,109,3387,2824,32,6155,4467,49,12741,9044,69,20358,15010,89,395580,280707,128,0.0731088
195023,145269,106,54068,40343,98,2220,1679,27,4332,2986,42,9830,7638,60,17401,12514,78,336546,252915,118,0.076155
410211,246411,157,144971,90079,155,7168,4335,50,11126,7272,60,25322,17330,104,40187,26767,158,768331,508538,174,0.081232
75409,67219,81,26014,22897,78,790,757,0,1461,1353,13,2999,2799,31,5151,4109,42,101956,87974,95,0.0832628
205798,158353,102,58176,44730,99,2307,1896,27,4672,3839,40,8155,6714,51,13265,10020,65,266778,206864,117,0.0832628
162084,126144,111,59179,46458,93,2097,1560,27,3230,2442,37,6999,5296,50,11704,8954,70,242226,183154,111,0.086309
167613,138035,109,47369,38498,91,1858,1590,23,3383,2518,35,8070,6733,52,13387,10991,73,244369,201180,109,0.0893552
120656,114542,83,29356,26382,80,1435,1308,15,3043,2267,29,6337,6187,42,8948,8605,46,194004,179825,98,0.0893552
169025,134219,96,65816,53327,92,2193,1661,22,3391,2416,36,6952,5545,52,12024,8940,62,222667,170143,110,0.0893552
302769,220245,124,100393,74780,118,4717,3271,38,8843,6135,59,18022,13491,75,28645,21386,98,564659,433109,137,0.0924014
170180,147001,95,60267,52347,91,2762,2143,28,4542,3751,42,9071,7888,55,16130,14360,76,299873,267700,103,0.096463
132712,119339,92,45607,40752,85,1275,1130,12,2723,2496,30,6207,5928,42,9611,8403,57,202579,183086,102,0.0974784
83387,81764,81,35683,35122,77,989,1013,3,1955,1971,25,4145,4228,35,7178,7227,42,147435,147278,93,0.0995092
205864,157060,110,60022,45440,94,3133,2549,32,4787,3637,39,10335,7890,61,15956,12702,71,302561,235813,112,0.102555
149051,121372,92,48055,37703,90,2249,1517,25,3384,2680,38,7392,5582,48,11972,9273,70,229971,181176,107,0.102555
86013,81638,82,30814,28895,78,974,1022,4,1799,2020,18,3829,3760,37,6394,5797,45,126944,115251,95,0.102555
177647,135234,99,55194,41592,94,2186,1878,25,3932,3186,37,8188,6425,54,15453,12204,68,300374,240903,111,0.105602
94042,89611,89,27864,27243,76,1365,1281,12,2276,2205,24,5446,5261,42,9715,9324,49,178010,166186,95,0.106617
43388,42041,73,16051,15944,50,444,507,0,788,840,0,1575,1746,18,2911,2878,28,59342,58510,87,0.108648
184761,145770,99,63567,49725,95,2084,1503,24,3974,3030,37,7850,6097,53,13097,10508,63,236827,185395,111,0.110679
195929,160549,97,57997,48332,93,2134,1794,24,4182,3858,38,8032,6300,53,13892,11199,72,269603,224293,111,0.113725
199090,145255,116,67570,49710,98,2030,1557,24,3781,3025,40,9036,6359,57,14258,10634,66,266716,194819,116,0.11474
157708,132044,97,48866,40085,88,1797,1420,17,3626,2753,34,8159,7301,50,14352,12815,70,294715,246888,108,0.115756
178165,142247,103,65549,51800,91,2229,1864,24,4169,3136,41,8581,7046,52,15198,12254,69,316688,260081,109,0.116771
207158,157080,120,55413,41528,101,2590,1771,30,3040,3050,34,7892,5789,55,11952,8966,66,244024,190259,119,0.117786
191365,154091,98,71395,57118,97,2287,1782,24,4928,3990,46,8366,6606,54,14031,11224,70,277863,214821,114,0.123879
193475,151571,97,67249,53017,95,2384,1845,28,3358,2518,37,7216,6069,52,11523,8739,62,228021,178796,113,0.128956
337865,236499,128,97541,69808,124,4558,3291,39,8112,6166,53,17506,12855,77,29776,21190,109,559727,411574,143,0.130987
124088,110150,93,46357,40020,83,1772,1502,18,2902,2456,26,5863,5238,43,9848,8155,55,190721,169923,101,0.133017
137418,120848,91,50971,44863,86,1673,1487,21,3120,2729,33,6129,5527,43,10436,8887,58,187154,164064,101,0.134033
135884,128567,85,47729,44354,83,1609,1718,18,3912,3772,34,7466,6746,48,13037,12221,54,242845,229908,101,0.135048
