"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
172056,130013,96,66302,50867,94,2168,1970,23,3752,2685,37,7847,5520,52,13332,10111,67,274757,214204,111,0.00295276
137172,112901,92,49816,40690,89,1368,1126,11,2927,2251,34,5417,4471,44,9541,8118,58,199247,165508,106,0.00787402
101585,95603,86,23692,22967,66,1162,1172,10,2223,2435,23,5011,4580,38,8137,8001,49,166735,162251,97,0.00984252
114999,111450,83,53374,51918,81,1367,1413,14,2698,2644,27,6388,6068,42,10955,10446,59,208954,199635,90,0.00984252
208960,160711,106,81085,62771,96,2543,1981,26,5497,4127,44,9279,7086,57,14404,11395,67,277054,207639,110,0.00984252
104535,104460,78,35454,34648,78,1289,1219,15,2418,2816,29,5587,5540,40,8107,8292,46,181512,169358,91,0.00984252
120839,111367,87,41852,39147,83,1455,1349,14,3245,2818,30,5454,5162,40,8669,8112,56,163276,153594,101,0.00984252
126846,110260,91,45003,38600,86,1633,1469,19,2654,2480,29,6061,5231,44,10676,9247,56,198967,171706,104,0.0127953
194883,166236,98,60352,48841,95,2422,2070,26,4917,4677,39,10224,8975,58,18050,15453,81,348767,297599,107,0.0147638
131261,123473,89,68166,64753,86,1994,1661,19,2871,2935,27,6973,6273,45,11610,11000,56,225531,207950,95,0.015748
213889,165845,109,67865,52711,96,2523,2002,29,4722,3957,40,9839,7524,57,14375,10721,68,304436,238128,109,0.0187008
217926,167507,105,86817,69147,99,2342,1974,27,4779,3917,40,9849,7566,54,15338,12673,71,310086,240779,111,0.019685
165989,142081,97,56556,49440,89,2497,2166,27,4078,3380,38,8991,7607,54,14730,13219,68,307242,281200,98,0.019685
292383,224112,120,160682,124660,113,5226,3984,39,9307,6984,60,18996,15450,80,29632,22772,112,571380,451727,126,0.0226378
150546,128319,93,54423,45023,89,2318,1936,27,3875,3219,36,8683,7221,52,15308,12713,74,296641,252692,104,0.0246063
85961,82312,93,23593,23007,74,639,605,0,1845,1829,23,4277,4330,35,7176,7235,43,136374,130441,94,0.0265748
182405,154576,106,75047,64413,93,2869,2278,29,4400,4083,36,9825,8709,56,14561,13032,66,312757,274901,105,0.0275591
86244,84835,81,12308,12047,46,4407,3996,35,18744,18114,79,7975,7777,49,6028,5941,42,4192,4805,34,0.0275591
196273,155373,106,79207,64126,101,2338,2031,25,5478,4165,45,10295,8310,59,18977,15685,77,368223,300613,117,0.0295276
214290,160176,107,61674,44558,101,2514,1700,29,4175,2917,42,9155,6502,61,15266,11859,81,304307,228743,118,0.0305118
183683,156657,98,79640,68459,93,2154,2116,24,4323,4139,36,8970,8206,53,15449,13228,72,303258,275490,98,0.0314961
217966,163857,106,80895,61149,102,3260,2453,33,6050,4478,48,12508,9621,62,20958,16498,85,388665,297860,117,0.0314961
128495,112411,86,41098,35837,85,2088,1651,23,2969,2499,34,7230,6321,48,12108,10941,66,240620,217076,100,0.0354331
225384,172731,107,84429,61792,104,3019,2361,31,5205,3856,47,11064,8239,58,18524,14289,77,363112,283066,118,0.0364173
246254,179282,126,90900,71161,107,3223,2123,36,5884,4412,50,11820,9189,61,17710,13067,78,353123,261742,122,0.0374016
85029,86659,77,28126,27718,75,1252,1311,12,1822,1819,20,3889,3932,35,7235,7181,48,135437,129379,85,0.0374016
101742,96071,89,40846,37511,83,1347,1274,14,2626,2551,27,5538,5455,39,10262,9023,56,193687,173985,98,0.0374016
129870,110332,100,41141,34691,86,1602,1528,19,3206,2932,34,6996,6222,50,12677,10891,66,259217,228074,105,0.0393701
236714,171516,109,82819,61030,103,3425,2405,34,5543,4144,47,12365,8836,63,20644,15137,83,405340,286802,119,0.0433071
90072,86988,87,22764,22486,69,1462,1430,16,2331,2433,25,5216,5255,38,8665,8360,53,179408,168983,94,0.0442913
168183,128894,97,60550,45750,94,2177,1866,24,3859,3043,39,9184,6853,57,14312,10603,66,289109,212101,110,0.0452756
163851,132322,98,53228,42294,92,2287,1791,24,3013,2722,34,7652,6001,50,13211,10873,65,246516,195394,106,0.0462598
267132,223432,108,130617,110316,105,5134,4524,36,9474,7985,56,18535,15928,75,28871,24897,106,562104,482110,120,0.0472441
232555,138973,116,80659,49197,108,2842,2000,34,5663,3347,56,11629,6756,67,19600,11610,85,405251,241276,122,0.0482283
207734,168187,100,97334,79182,98,2857,2699,26,4927,4234,42,11753,10446,56,20021,17380,78,391275,333115,110,0.0501968
74341,72619,81,23629,23471,65,973,769,0,2390,1815,25,3725,3959,31,5268,5245,44,126736,123401,82,0.0511811
