"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
113066,106881,86,50008,47205,81,1926,1598,18,3165,3005,31,6411,5790,45,10287,10063,56,196080,190101,84,0
95448,93938,79,39110,38408,78,1285,993,0,1867,2153,22,4980,4802,39,8824,8797,58,180844,172462,88,0.0009996
99411,96728,96,48340,47318,79,1416,1247,13,2018,2056,24,4828,4704,39,9086,8451,61,179761,171839,93,0.0009996
124979,112086,89,46178,40879,85,1796,1743,21,3505,2530,36,7402,6263,51,12944,11781,61,256222,232110,99,0.0019992
228224,189873,105,121089,102231,98,4223,3540,36,6431,5574,47,15269,13303,66,27275,22700,97,550060,480036,105,0.004998
100567,95924,81,36264,34487,79,1592,1605,17,2451,2237,28,5649,5284,39,9250,9132,48,186669,179461,92,0.0179928
153354,127059,92,55108,44299,91,1790,1523,20,3385,2730,34,7457,6587,48,13276,11159,67,263660,216894,101,0.0189924
131997,117219,88,53167,46826,86,1874,1708,22,3611,3566,31,7740,7220,48,13731,12062,63,283322,249466,98,0.019992
163470,134424,108,51851,42135,91,2436,1746,27,4418,3392,41,8764,7468,55,14715,12276,73,286079,239511,102,0.0209916
187528,153937,98,76820,63375,91,2425,1996,26,4060,3368,38,9380,7531,59,14813,11966,70,311879,253940,104,0.0209916
116980,102295,86,23235,19967,71,2005,1448,23,9406,8223,55,3833,3254,37,1975,1978,22,2131,1473,31,0.0219912
136696,120725,89,49630,42818,88,1385,1280,16,2934,2334,32,6615,5539,48,12348,10027,62,223490,187911,104,0.0239904
12151,13453,39,45013,42184,67,669,631,0,8122,7328,54,1565,1586,18,736,693,0,51,857,0,0.0239904
108441,104444,82,40925,38882,81,1472,1435,18,2633,2499,28,5079,4314,44,9809,9395,58,181825,174580,86,0.0269892
194961,150077,103,62245,47246,97,2668,2014,31,4943,3669,47,8820,6639,57,12854,9767,67,245035,189556,111,0.0279888
122876,101095,92,46940,38099,88,1607,1170,14,3124,2323,37,6200,4931,46,9025,7936,50,201635,159054,101,0.029988
87543,85251,85,27019,26148,77,1630,1318,14,2075,1917,21,4601,4458,39,8183,7692,51,150112,140093,91,0.0309876
84644,82352,86,17658,17265,54,1092,1078,7,2024,2322,21,4667,4429,37,8025,7480,50,165852,158340,90,0.0319872
127708,108764,89,41803,35110,87,1639,1352,20,3297,2201,34,5798,5176,41,8992,8409,50,187700,157386,99,0.0319872
103904,96856,86,40146,36664,82,1058,1008,2,1601,1901,24,5010,4572,40,9467,8613,54,171377,159289,95,0.0369852
84666,83542,80,15956,15865,49,1184,1180,10,2128,1955,26,4690,4313,38,7316,7428,49,165066,161791,89,0.0369852
96342,94741,80,25644,25020,71,1416,1267,12,2555,2396,31,5235,4892,40,8645,8208,47,179276,168492,90,0.0419832
131842,106419,90,54246,42687,90,1873,1449,20,3334,2229,36,6697,5408,50,11182,8330,62,247824,200225,102,0.0419832
91742,91241,90,43643,42956,78,1435,1400,18,1484,1732,19,4348,4017,38,8416,7887,51,146578,144218,84,0.0419832
181657,150152,100,56826,46146,96,2245,1616,27,4107,3627,35,9903,8049,54,17122,14503,90,328014,283605,104,0.0429828
145807,119720,91,53651,43121,88,1920,1614,22,3601,2576,37,7037,5663,49,10544,8214,58,216053,174555,100,0.0439824
68453,69743,76,28898,28681,73,1158,1201,11,1926,1925,21,3470,3461,31,6451,6138,42,127000,123622,84,0.0439824
60143,60800,72,19571,19196,59,1014,976,0,1541,1528,20,2985,2962,31,4339,4082,36,100976,97568,85,0.044982
195053,160396,103,74096,60925,94,2631,1797,27,3641,3294,39,9374,7805,55,14007,12389,62,278110,236907,106,0.0539784
59866,59691,74,12181,12388,44,714,582,0,1198,1180,12,2810,2594,32,4402,4019,37,87620,84358,84,0.054978
46114,46321,61,15763,15316,49,478,477,0,732,445,0,1587,1628,18,2517,2404,27,59213,57219,77,0.0559776
198760,164225,97,71796,57687,94,2563,2173,28,4514,3614,40,9452,7941,57,16305,13172,72,327303,261005,106,0.0579768
