"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
110692,103628,86,32934,31760,81,1207,1064,6,2336,1976,28,5461,5080,39,8280,7734,56,169857,162114,87,0.00409076
168457,138577,95,49938,40094,92,1787,1441,18,3473,2802,39,7955,6604,50,11984,9945,63,263631,216144,107,0.00511345
113624,109435,83,21620,20698,60,1493,1321,17,2837,2480,30,5377,5449,38,8708,8256,51,193661,185263,92,0.00613615
348756,273037,136,238401,193656,131,8175,6433,46,17337,13116,82,36969,29997,131,58591,47206,133,1.04858e+06,941656,141,0.00613615
204314,150969,100,70740,53345,96,2834,2014,31,5619,4369,46,10627,7705,61,18005,13187,75,377872,282412,110,0.00613615
171181,138980,106,55934,46127,92,1770,1363,17,3652,3252,35,7581,6566,50,11683,9820,66,271760,228139,103,0.00715884
98394,97230,80,43240,41953,80,1330,1164,9,2203,2220,24,4908,4673,39,8179,8099,47,165515,165438,89,0.0122723
175213,139126,97,75442,59041,96,1977,1602,20,4159,3332,37,7883,6121,52,12766,10533,66,281921,226935,104,0.0122723
44118,43983,73,19588,19385,60,526,633,0,652,548,0,1933,1834,20,3382,3615,32,70236,70716,80,0.0173857
204169,152187,104,67138,49563,100,2342,1772,29,6020,4014,50,10983,7943,63,17298,13436,70,368498,275786,111,0.0194311
147735,126084,96,44621,36360,89,1893,1688,22,3173,2631,36,8095,6759,51,12806,11415,64,249477,212843,102,0.0204538
176492,141691,111,69881,57139,94,1882,1465,22,3361,3089,34,8721,6978,55,13462,10813,65,258318,204694,106,0.0204538
176171,145506,96,61499,50096,93,2066,1879,20,4032,3739,35,8692,7233,53,12794,10735,59,268999,218124,108,0.0224992
121649,118907,84,54363,52256,81,1713,1648,19,3501,3073,34,7453,7452,44,11971,11480,69,245822,236021,86,0.0255673
115271,109271,85,38728,37472,82,1733,1545,19,2884,2485,31,5621,5603,39,9231,8968,51,206529,197353,96,0.0276127
305822,234126,123,142432,109527,123,5119,3826,40,9488,7523,57,20424,15733,84,32845,25414,123,634204,515466,130,0.0347715
167845,134309,101,48648,38323,92,1955,1596,20,3753,3532,32,8652,7030,52,13254,11047,71,275696,221753,105,0.0449984
148811,129059,90,53271,45509,88,1995,1592,17,3097,2773,32,7728,6466,50,12118,10830,62,249929,217609,103,0.0501119
244295,195464,104,81025,63271,101,2969,2302,31,6397,5526,44,13455,11342,63,21611,17717,85,430069,363788,114,0.0613615
113215,99006,90,50311,44689,85,1416,1201,21,2405,2258,28,6434,5676,45,10107,8771,60,200353,176737,98,0.0613615
90059,87503,79,28171,27337,77,1120,1036,5,1566,1628,21,4882,4820,36,6603,6152,44,143265,142074,89,0.0623841
109073,103651,88,47088,45744,80,1499,1213,16,2714,2319,32,5634,5642,40,9012,8454,48,192169,188595,90,0.0664749
87187,85509,80,24658,24472,66,961,1045,5,2292,2131,23,4406,4105,37,6127,5855,42,139169,134763,89,0.0664749
254193,201303,102,104162,85602,99,4024,3336,37,7965,6649,53,16996,14097,73,24791,21123,100,531178,445397,115,0.0705657
93713,88986,79,31378,29625,79,947,881,0,1943,1615,25,4332,3804,36,6710,5876,44,158324,148211,91,0.0736337
188787,149260,100,77562,61027,95,2448,1657,27,4275,3336,41,8996,6711,54,14462,10711,69,309187,241066,112,0.0736337
116873,106088,90,39687,35215,86,1634,1463,17,3170,2677,36,6329,6357,45,10873,9412,63,215630,196314,94,0.0767018
141177,123053,97,44761,38515,88,1442,1128,14,2814,2933,28,6835,6058,44,10488,9365,61,205810,189254,95,0.0777245
103875,98413,87,36458,34896,79,1316,1420,13,1923,2115,23,5109,4967,37,8403,7978,49,169977,160151,93,0.082838
211223,173870,98,78176,65062,95,2856,2319,29,4883,4427,40,11570,9614,66,18758,16000,73,385499,326770,109,0.0848833
119646,113692,84,27119,25910,78,1540,1413,18,3224,3251,31,6790,6535,45,11250,10705,56,218132,211092,90,0.0889741
