"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
134173,111227,94,54680,45024,87,1504,1373,13,2921,2051,32,6527,5363,45,11201,10087,57,231021,187040,101,0
91925,87418,80,21206,20765,57,1350,1274,15,2236,2066,25,5038,4694,38,7946,7974,43,166097,160838,92,0.000974079
243020,176527,109,75999,55437,103,3134,2467,31,5784,4192,45,11101,8017,61,19841,14806,90,405635,300871,117,0.00487039
108465,101076,83,41261,38276,82,1553,1615,16,2534,2387,27,5692,5422,41,9103,9147,50,186171,173151,93,0.00584447
120304,108042,101,36026,31023,83,1447,1239,13,2955,2679,30,5800,4951,44,9054,7771,57,178484,159937,95,0.00876671
97948,92742,86,37012,35788,79,1487,1502,16,2196,2087,22,5175,4677,40,9199,8966,51,182512,171817,92,0.0146112
91575,79551,89,35115,30500,82,1028,1003,1,2638,1749,34,4414,3987,37,7249,6119,50,148470,130009,96,0.0204557
87191,83442,81,34740,33139,78,1062,1014,4,1989,1683,21,4053,4041,36,6150,5597,43,128939,127585,88,0.0292224
214458,160191,106,140985,106818,100,3853,2633,38,6715,5371,50,14572,11064,72,23240,17573,87,482198,353149,113,0.0331187
167886,134141,110,68511,55788,92,2048,1732,24,3934,2971,37,8195,6702,51,14147,10652,66,291230,233771,106,0.0340928
100809,98235,83,34185,33256,79,1165,1254,12,2404,2175,29,4876,5133,35,8152,7477,47,178240,173478,90,0.0340928
138506,117100,89,53249,43951,88,1760,1436,22,3338,3155,33,6842,5837,45,11775,9547,57,244774,201073,103,0.0438335
99166,95569,96,43086,41662,79,1479,1350,15,2424,2551,26,5633,5677,40,9772,9284,52,185001,184609,93,0.0448076
37912,37875,71,17517,17484,51,526,686,0,604,768,0,1931,1695,23,2499,2445,26,56392,56392,80,0.0506521
164989,137092,99,63116,52715,90,1830,1681,23,3360,3087,37,7538,6515,51,13077,10901,65,248910,206812,102,0.0506521
158954,145279,89,51924,46962,87,2021,1983,21,4336,3895,39,7901,7497,48,12802,11796,61,261523,249189,92,0.0526002
154672,129129,100,54890,46438,91,2029,1743,24,3480,3045,35,7761,6760,49,11444,9680,61,247273,209536,104,0.0545484
145052,125959,89,51356,44347,87,1572,1620,18,3801,2978,37,7336,6241,49,13039,11469,66,250481,229330,98,0.0564966
139481,117323,93,41687,34090,86,1770,1533,20,3281,2391,36,6147,5589,42,9478,8098,50,213035,183158,101,0.0564966
120500,105782,87,46358,40312,84,1516,1351,15,2580,2295,30,6104,5205,47,9776,7850,62,200624,175682,97,0.0603929
131749,118151,89,53981,48082,85,1886,1577,19,2966,3046,32,7447,6890,49,12511,10831,62,259269,236063,101,0.0603929
198736,153285,100,65366,50233,98,2778,2148,28,5091,3732,47,10359,8027,59,17339,12602,76,366705,289608,112,0.0633151
192922,148627,100,47105,33616,98,2543,2034,26,4401,3487,42,8790,6897,53,13381,10268,79,287065,229483,109,0.0642892
179345,140988,96,67317,53700,93,2624,1758,28,4042,3658,41,9252,7395,59,16153,12058,75,311908,258743,105,0.0681855
265772,200691,115,97089,73354,111,3360,2580,33,7168,5320,48,14210,10815,68,23699,17490,104,484510,371563,127,0.0691596
101268,97006,82,32761,30577,78,1453,1404,16,2309,2292,22,5231,4778,42,8200,8039,50,163895,156536,93,0.0720818
200782,163524,103,81993,66173,96,2372,2058,24,4714,3842,41,9413,7676,61,15284,12605,72,305940,264654,104,0.07403
