"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
126320,119758,91,38759,36535,81,1780,1600,21,2713,2415,32,6097,5917,43,9318,9117,52,187681,176808,90,0.00795772
275129,202462,118,92379,67765,115,4471,2977,40,6579,5216,50,12656,9354,62,17516,13518,78,335410,259324,126,0.00895244
140970,107243,94,51498,39678,91,1481,1313,17,3124,2338,34,6442,4786,52,10532,8354,60,219447,169241,103,0.0159154
112879,100982,88,38779,33793,86,1358,1137,11,2709,2121,29,5661,5281,43,8558,7564,52,180907,162634,102,0.0169102
187623,147462,99,58612,46518,94,2237,1650,28,5043,3684,43,10432,8663,56,16506,13043,79,329015,265089,109,0.0198943
142291,133181,88,45467,42992,85,2162,2103,23,3563,3612,37,7981,7790,52,12806,11924,65,229254,222281,97,0.0258626
236178,169404,111,84610,62635,102,3427,2672,34,6241,4859,51,13807,10440,70,23905,17639,94,490149,360420,121,0.0338203
140441,117258,88,59410,48824,87,1904,1475,19,3576,3148,35,6761,5131,48,10804,9101,59,224243,181208,100,0.0338203
107823,101797,89,31137,29295,80,1403,1442,17,2791,2563,32,5821,5637,41,9998,9543,55,191048,181501,94,0.034815
302272,231533,124,124163,97401,119,5151,3990,39,9068,7396,52,19114,14439,80,28134,22271,108,557554,433120,131,0.0358098
183306,146391,97,62592,48869,93,2260,1952,25,4044,3359,39,8282,6374,54,12527,10481,62,274194,222983,109,0.0417781
50871,49771,81,23126,22808,64,440,466,0,1434,1235,12,1940,2136,21,2799,2681,32,62245,62266,85,0.0427728
93648,91611,79,36247,35504,78,1087,1130,9,2399,2195,24,4541,4434,36,7828,7716,50,163998,163465,91,0.0537146
201149,153801,105,70159,53212,99,3319,2436,34,5615,4350,47,11156,8598,67,18198,14430,87,360987,283591,114,0.0547094
136345,112468,95,45308,38128,89,1444,1184,14,3021,2803,32,6986,6022,45,10991,9161,62,227444,190378,107,0.0557041
199573,161717,101,81683,69067,98,3518,3137,34,5812,5411,44,12083,9677,64,19412,16035,82,380618,316356,110,0.0557041
170676,130647,99,54180,41374,92,2013,1621,22,2764,2499,30,7653,5850,53,12344,9596,62,267623,207821,106,0.0576935
194910,155985,95,71486,55122,96,2590,2127,28,5539,4062,46,10992,8723,63,17211,14073,82,346136,277580,107,0.0576935
126516,112517,89,54116,47579,86,1837,1523,23,3345,2484,32,6185,5618,43,11069,9919,60,195718,174677,98,0.0636618
174610,131722,102,63115,48913,94,2314,1814,25,3468,2498,40,8147,6220,54,13443,10084,72,257984,195049,107,0.0636618
118097,111090,99,34120,31960,83,1847,1617,19,2950,3037,30,7330,7369,45,12798,12287,67,241971,221519,99,0.0636618
145213,121746,90,49255,39215,89,1919,1372,21,2351,2275,29,6670,5476,48,10894,8827,60,239809,205416,100,0.0646565
167660,134151,104,66649,53837,91,2014,1578,23,3481,2602,37,6972,5516,49,11567,9643,63,240215,196476,105,0.073609
