"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
69800,69492,80,17640,17336,51,738,594,0,1277,1433,15,3477,3406,32,6178,5927,41,130720,127113,89,0.00596224
89412,85446,93,21156,20582,58,623,704,0,1868,1561,18,4858,4535,37,7913,7951,47,147895,143191,92,0.00695595
216866,171796,104,63550,50101,99,2378,1892,26,6313,4659,48,12666,10159,62,19336,15798,83,415251,345686,115,0.00894336
94680,91177,82,18022,17712,53,1131,1122,8,2199,2691,27,6192,6122,44,10787,10225,58,202688,196867,94,0.0109308
321610,199595,133,95239,59311,131,3789,2518,38,8208,5044,60,17977,12125,81,30576,18861,134,614598,376209,146,0.016893
122230,114336,85,28268,25391,84,1634,1600,19,3255,3148,31,8048,7054,54,12497,11846,62,260355,247410,99,0.0248427
170902,155645,96,57382,52104,89,1814,1516,21,4791,4386,40,10481,9602,59,17564,16005,68,348977,316914,103,0.0278238
161924,141281,92,54320,48127,89,2055,1656,23,3789,3523,32,9650,8853,53,14235,13642,73,314021,278671,103,0.0278238
202345,149244,109,63695,48023,97,2198,1744,27,3816,3338,41,11297,8329,60,17276,12504,84,374933,279488,111,0.0288175
104184,102156,81,35405,34487,78,1127,1274,14,2837,2639,28,6094,5889,44,10535,9412,65,205667,193592,95,0.0308049
164772,142640,94,47054,40266,90,1727,1609,18,5305,4822,41,10133,9199,59,15911,14452,68,337666,295968,105,0.0317986
109629,98572,87,30326,26691,81,1352,1236,12,2793,2404,30,6314,5453,44,10115,9282,54,202773,186914,98,0.033786
125357,117975,99,44976,42745,81,1057,1215,11,3072,3063,30,7024,6789,44,10722,10573,63,229662,214824,95,0.040742
233709,165522,108,73564,52789,105,2837,2177,30,5828,4178,48,13821,9422,77,23203,16307,91,491808,337075,123,0.0447168
95722,92912,80,35363,34413,78,997,1014,3,2316,1787,28,5846,5979,41,9519,9435,57,198577,189220,93,0.0496853
106882,101275,89,44157,42903,82,1186,1121,8,2587,2905,26,5777,5391,42,9176,8834,57,184508,180528,92,0.0556476
158790,147972,89,64105,59251,88,2097,1811,24,4629,4610,35,11167,10910,61,19069,17451,79,358378,338046,94,0.057635
97640,94365,85,25662,24802,72,1073,840,0,2336,2048,27,5101,4683,42,8081,8126,45,169846,167011,85,0.0665783
193977,136485,102,52355,36152,99,1754,1301,20,4716,3179,43,10440,7493,57,17327,11176,80,358574,251511,113,0.067572
121720,117884,83,41757,40076,80,1624,1575,17,3655,3305,33,7704,7053,48,12993,12567,66,263534,248861,94,0.0685657
201907,150090,102,50423,37969,97,2327,1960,28,5861,4455,44,13044,9859,65,20799,16018,79,426316,323496,114,0.0685657
329636,207533,140,114788,73970,127,3771,2351,41,8387,5434,54,20835,13135,103,32683,19620,128,683849,426103,142,0.0725406
197140,130251,108,58430,38909,103,2325,1638,24,4849,3199,45,11421,7869,65,19218,13609,87,396503,275850,111,0.0755217
210514,151315,102,47703,35617,98,1970,1481,22,5278,3712,49,10533,7785,56,16977,12520,77,336941,252120,112,0.0765154
83046,82348,79,19576,19441,56,966,1052,4,1663,1724,24,4937,4318,40,7900,7585,56,157589,152466,92,0.0814839
94085,90433,82,34585,33539,79,807,983,0,2483,2296,24,4828,4829,38,8066,7591,50,172113,161447,95,0.0814839
95123,93313,79,35922,34931,78,988,1193,9,2266,2067,22,5380,5261,39,8600,8113,48,174328,165239,94,0.0824776
193207,147543,107,43898,32846,97,2117,1490,23,4732,3888,42,10300,8286,58,16755,12658,75,363486,277298,111,0.0874462
162456,125926,95,52396,41170,92,1687,1132,19,3985,3433,37,8484,6774,56,14800,12202,74,319469,252015,108,0.091421
111084,105756,85,32283,30097,81,1096,1110,10,2766,2861,27,6616,6099,43,11444,10458,62,214619,204886,93,0.100364
167575,136235,97,38746,30790,89,1735,1489,19,3906,3259,38,8731,7166,54,15116,12439,78,296393,243333,102,0.106327
112915,109223,81,20228,19499,58,1600,1530,17,3024,3019,31,6994,6605,45,10668,10507,57,218794,209343,90,0.106327
211840,158579,99,57848,42005,98,2041,1554,24,5430,3957,44,12256,9336,62,18817,14054,85,405639,304542,107,0.106327
192678,176732,108,62645,58783,89,2657,2687,26,6480,6425,41,14202,13355,65,20626,19457,77,453417,418997,105,0.109308
197349,146970,106,64517,48921,96,1935,1623,22,5092,3959,44,11178,8183,67,17860,13030,83,383199,280793,112,0.110301
124715,119961,90,44767,43103,81,1476,1285,14,3575,3354,32,7637,6999,47,11938,10767,56,241533,226939,95,0.110301
317883,201261,140,88436,56548,120,4279,2716,41,8806,5559,58,19624,12467,89,30823,19058,118,689839,433374,139,0.121232
117751,115473,83,36618,35040,79,1185,1305,12,3278,3136,33,6746,6116,46,10427,10548,59,218252,202952,92,0.128188
221613,160761,111,73494,53238,101,2959,2046,32,5412,3832,51,12172,8830,67,19197,13534,90,422216,309887,114,0.129182
87452,85340,85,29283,28799,76,1047,1141,8,2150,2063,21,5561,5396,41,8185,7579,48,176422,173651,90,0.131169
165473,130494,95,46012,36174,90,1686,1226,16,3873,2920,40,8714,7148,53,14416,12207,73,305774,236329,103,0.132163
217962,160725,118,70947,52451,101,2333,1886,26,4799,3923,43,11309,8635,60,19990,14653,80,393860,285321,117,0.139119
68616,67212,86,23862,23732,65,487,604,0,1452,1116,12,3216,3214,32,5538,5210,42,112184,113983,78,0.143094
138801,122466,90,41998,36642,88,1425,1517,17,3338,2828,33,7821,7042,50,12268,10917,65,256163,234422,100,0.152037
97267,93150,81,32393,31606,78,875,838,0,2382,2152,30,5000,4537,40,8059,7710,51,170963,162873,89,0.155018
73526,71481,77,13325,13021,46,710,759,0,1963,1708,23,3645,3689,32,6133,5628,46,134855,129225,91,0.156012
168225,136865,96,54945,45283,92,2081,1640,25,4434,3678,41,10491,8746,63,15782,13117,70,331208,277814,104,0.157006
96086,92710,87,29055,28582,79,973,1285,10,1780,1809,22,5264,4858,41,8219,8542,46,164328,159457,91,0.16098
113935,110938,82,21611,21096,63,1137,1209,11,3420,3020,34,7114,6600,49,12285,11401,59,229197,214055,94,0.166943
251963,187794,118,60389,45264,113,2594,1963,26,6789,4812,45,12372,9543,67,20271,15682,78,430107,333486,128,0.16893
192246,139670,105,54296,39742,98,2147,1515,26,4736,3409,43,11255,8294,62,18777,13180,88,368117,270594,114,0.169924
96429,92558,82,22462,21852,62,927,975,0,2614,2133,27,5466,5324,41,8166,7392,50,173257,172966,94,0.172905
108078,103491,82,34974,33247,79,1379,1314,15,2858,2776,29,6261,6031,42,9687,9419,49,205515,193290,94,0.174892
79245,76438,81,21176,20868,57,914,943,0,1862,1847,19,4222,4019,36,7616,7762,47,148098,142972,89,0.186817
138186,128884,100,57985,54593,82,1794,1803,18,3372,2806,36,8367,7845,49,14280,13006,69,305030,290397,92,0.187811
97633,93245,86,22853,21681,64,1152,1130,10,2127,2269,23,5209,4858,39,8264,8311,50,168133,159599,96,0.189798
83194,80302,80,28957,27844,77,1094,1025,5,1710,2040,23,5029,4823,38,8150,7630,53,173737,160093,90,0.200729
105470,101900,85,23586,22660,70,1601,1410,20,2802,2904,26,6165,5695,46,10881,10088,59,209999,199015,95,0.20371
94077,88660,96,30784,29721,79,1071,935,0,2065,2023,22,5262,4933,39,7917,7935,46,174599,169706,92,0.204704
163792,137119,93,49001,42113,88,2233,1901,24,3448,3295,35,8645,6954,51,14431,12339,75,295644,252437,101,0.205697
190720,137531,102,54955,39872,98,1957,1538,22,4233,3029,43,11043,8544,61,16855,11738,81,341501,249006,114,0.208678
207864,154039,102,59807,46150,95,2159,1624,22,4500,3645,42,11574,8651,64,18156,13684,76,378153,272173,113,0.210666
90154,86888,86,16265,16159,48,813,856,0,2591,2483,26,5297,4998,43,7970,7749,49,166262,156772,95,0.210666
235267,174633,105,74522,56076,102,2980,2178,31,6349,4713,48,13702,10120,68,22418,16973,98,448088,340296,118,0.216628
150037,126404,93,49614,41914,89,1482,1456,16,3453,3002,32,7554,6200,51,11943,10227,68,238541,199266,104,0.217622
129646,117584,89,41039,36260,84,1245,1290,16,3156,2905,30,8475,7725,51,12404,11468,56,263884,234328,99,0.221597
160483,130615,98,40821,32905,90,1966,1667,22,4228,3693,42,8726,6802,56,15225,12374,72,305906,262757,102,0.221597
