"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
197133,153475,101,61528,48413,98,2619,1903,31,5049,3721,44,9561,7804,58,16464,13154,75,341327,276896,111,0
106657,103301,87,31620,30253,79,1527,1276,12,2864,2382,32,5560,5313,40,9739,9920,50,201507,194556,94,0.000998452
108579,103498,83,27693,26302,79,1343,1235,13,2581,2415,27,5730,5186,43,9782,8921,52,189335,182616,95,0.00499226
149594,135592,88,49151,45398,87,1803,1764,19,3661,2893,36,8121,7443,50,13446,12755,66,279375,262119,97,0.00499226
153984,126317,93,57616,46389,89,2444,1984,25,4032,3540,41,9202,7695,51,15566,13097,75,324059,270733,106,0.00499226
182218,140765,98,57938,44535,94,2539,1947,27,3701,2961,42,9439,7459,57,15306,11499,73,315346,245885,107,0.00698917
262517,215041,120,146699,125414,109,4991,4394,38,8826,7442,55,20594,16998,89,33825,28501,109,695621,552167,116,0.00898607
96314,91147,82,17424,16927,52,1464,1616,17,2161,2160,27,5154,5331,36,8983,9484,47,183157,173226,91,0.00998452
187558,150626,95,70008,57415,94,1963,1916,22,4140,3305,36,9070,7253,56,14273,11393,70,304237,244327,108,0.0129799
154919,139348,89,67783,61253,86,2207,2318,22,4030,3445,37,8610,8049,52,14525,12787,69,297543,265024,102,0.0129799
171192,140089,96,76640,65566,93,1960,1701,19,3612,3074,35,6953,5952,47,10680,9036,63,255973,220893,102,0.0169737
87531,84875,88,24154,23777,69,1362,1178,13,1756,1633,21,4181,4121,35,7086,6854,44,138421,134466,91,0.0229644
208392,162422,112,80076,62378,101,2468,2021,28,5272,4131,45,10558,8003,61,16661,13826,77,380725,304641,117,0.0239629
109526,105664,81,33766,32159,78,1744,1624,18,3093,2855,34,6669,6371,46,11234,11475,57,222757,215488,94,0.0249613
217683,164482,107,112595,88247,105,2817,2171,31,5841,4283,45,12694,9594,68,21224,16836,85,428513,336952,115,0.0259598
97858,95988,90,46696,45308,78,1173,1263,11,2422,2381,29,5106,5057,37,7587,7427,45,175348,166793,91,0.0319505
106087,103030,80,32194,30840,78,1569,1324,16,2056,2323,25,4929,4696,41,8337,8205,48,182343,172805,90,0.0329489
276361,205828,117,108018,80969,117,3681,2877,35,7631,6097,47,14854,11742,66,25782,20721,95,517333,413954,127,0.0359443
153442,142387,88,54558,49932,85,1863,1845,20,3800,3468,33,7789,7206,49,13182,12221,64,290305,260426,98,0.0369427
136648,112979,97,50964,42605,89,1604,1516,19,3147,2679,33,6485,5536,46,11218,9146,57,214540,185955,99,0.0369427
154265,145397,89,49425,46077,86,2398,2305,25,4638,4584,38,9747,9155,58,17130,15312,76,325983,295486,95,0.0399381
116056,104745,88,45500,40451,82,1767,1626,19,2830,2334,31,6143,5544,46,10399,9781,59,205935,189218,96,0.0409365
133095,116444,95,56941,49841,87,1923,1636,22,3314,2995,30,6765,6363,45,11299,9982,58,233945,206936,101,0.0439319
170711,130581,112,51265,38764,112,2339,1863,25,4247,3222,35,7888,5931,55,14092,11068,70,266274,207944,112,0.0439319
266969,187689,114,97964,70941,110,3416,2457,33,6983,5254,51,13660,10368,70,22523,17183,97,480295,347341,123,0.0569118
81933,82358,77,17957,18064,49,1343,1236,15,2204,1806,25,4719,4518,38,6455,6438,41,155175,152795,92,0.0569118
113118,111169,83,68528,66133,83,1530,1379,16,3218,3241,31,6732,6237,48,12377,11691,62,229657,221674,91,0.0629025
109777,104398,89,29453,28605,79,1566,1736,18,2789,2562,30,5836,5521,43,10017,9012,55,197039,187726,96,0.0648994
114559,108177,83,43814,41115,82,1576,1434,16,2586,2348,27,4859,4678,38,7849,7032,48,170134,161375,95,0.0688932
321578,252786,124,209257,168942,123,7978,6027,45,14288,11560,74,29861,23623,111,53825,44335,125,1.04858e+06,862147,135,0.0708901
114191,107249,90,33565,31539,81,1673,1445,19,2608,3198,26,5923,5827,41,10917,10424,59,213253,206974,96,0.0718886
71373,70791,79,16132,15640,51,903,855,0,1645,1389,18,3112,3327,29,5312,5480,40,112724,109497,85,0.0748839
184247,135292,100,66893,49576,95,2444,1696,26,3824,2812,39,8095,6133,58,13791,9480,71,282666,208188,113,0.0758824
156705,126607,102,56266,45337,93,1794,1561,23,3345,2761,34,6621,5637,49,11330,9842,61,251175,199779,108,0.0778793
94440,92844,80,37886,36729,78,1538,1286,13,2302,2438,25,5273,5133,38,7680,7157,52,176634,176179,95,0.0808746
118606,117111,84,57652,55767,82,1860,1773,20,3442,2962,36,6754,6746,44,12048,11306,67,247580,236189,95,0.0848685
88874,87050,80,32841,32054,77,1497,1550,15,2201,2351,28,4734,4713,39,8096,7962,48,156511,154680,87,0.0858669
126287,113021,89,49587,42960,86,1483,1364,15,3220,2738,32,5824,5190,44,10042,9041,62,214790,195911,97,0.0968499
208484,156801,102,60830,46425,98,3121,2153,31,4783,3858,42,10028,7762,57,16616,13229,75,336017,252624,114,0.0968499
132907,106600,104,50384,41075,89,1983,1697,21,3232,2794,31,6895,5733,49,12111,9405,67,243043,191346,106,0.0988468
117197,104129,92,32840,29482,83,1866,1955,19,3127,2586,29,6089,5477,46,9882,8999,56,209427,190537,101,0.0998452
173486,148146,96,54944,46841,89,2294,2056,24,4420,4484,35,9634,8546,54,16091,13978,71,323798,291768,101,0.104838
195258,155372,113,62843,49879,95,2529,1882,26,4487,3232,40,11758,9280,68,18911,15392,84,367644,299902,108,0.107833
108893,106451,89,45287,44096,80,912,999,0,2479,2717,25,5453,5434,38,8865,9377,44,191342,184760,91,0.10983
140777,115320,97,50794,42551,90,1677,1463,19,2859,2514,35,6603,5428,49,11030,9231,62,224873,177452,106,0.116819
149009,119775,92,54201,42418,91,2121,1552,25,3815,2952,36,8311,6627,56,14292,11507,68,272281,219552,108,0.118816
44650,44653,70,13225,13187,45,510,554,0,1194,1142,10,2268,2208,24,3503,3629,30,63784,62146,80,0.118816
169039,130262,97,64599,49849,96,2113,1672,22,3739,2828,43,8083,6400,55,14108,11456,66,291402,227744,111,0.121811
113258,97019,96,41098,34661,86,1014,957,0,2514,2167,27,5627,4944,43,9558,8152,64,192183,165756,100,0.123808
118451,98157,92,47718,39498,87,1708,1548,18,2547,2006,31,6488,5392,47,10189,8277,54,219665,179959,105,0.125805
105876,102487,88,50039,48202,80,1467,1410,16,2347,2283,27,5499,5543,38,9111,8944,51,191933,188021,94,0.129799
143364,118059,93,33790,26530,91,1662,1508,19,2859,2640,34,6426,5143,51,11293,9402,64,226939,189437,106,0.134791
190369,149406,99,53279,39899,92,2212,1982,26,4782,3478,47,9398,7545,56,16842,13358,74,331259,271123,108,0.137786
114368,105931,90,42996,39823,83,1660,1508,16,2314,2126,24,5736,5676,42,8367,8139,48,187148,176522,91,0.139783
72939,69986,80,19507,19176,59,970,1044,5,1788,1773,17,4181,3957,35,6228,6443,40,132102,128115,89,0.142779
210577,157144,101,82624,62401,99,3297,2685,34,4869,3934,43,12257,9288,61,19136,14302,88,404083,340282,103,0.143777
209240,153854,108,77774,58935,103,3485,2280,35,5610,4241,42,11290,8357,71,18838,14548,79,385377,290177,116,0.151765
40840,41565,60,19359,19356,57,581,536,0,1194,859,0,1823,1755,20,3375,3597,30,62699,62492,72,0.157755
80078,76634,93,17786,17452,51,1006,1175,8,2071,1975,23,3893,4027,34,6102,6234,46,137832,135621,89,0.159752
158902,131490,103,55261,44883,90,1667,1594,21,4164,3403,39,8067,6671,52,13025,10973,61,270049,228162,103,0.161749
32461,32043,77,11817,12089,44,287,418,0,960,822,0,1479,1491,17,2547,2755,28,53257,55361,69,0.16774
79015,76867,78,28356,27714,76,739,768,0,1958,1956,21,3803,3621,33,6622,6831,43,122539,118193,87,0.16774
61896,58984,79,18110,18086,54,796,763,0,1625,1510,24,2876,2935,29,4698,4402,39,96537,91381,87,0.172732
84183,81008,84,19020,18542,54,918,978,0,1540,1484,19,3961,3897,35,7103,6745,49,137655,134300,90,0.175728
39233,40357,69,7935,7841,40,513,448,0,714,802,0,1995,1876,24,3367,3666,30,75218,78320,82,0.175728
228036,170790,102,70553,51743,100,2793,2070,31,4833,3700,43,9919,7621,55,16343,12245,75,348433,266362,116,0.177725
124063,109160,92,47135,41716,85,1599,1365,18,2595,2436,28,6094,5146,50,10061,8215,59,200821,175943,97,0.179721
198786,157918,100,82968,68019,96,2556,1951,28,5071,3811,45,9313,7647,55,15972,13049,78,336382,282186,111,0.181718
