"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
107912,100364,85,38394,34505,83,1497,1340,12,2323,2329,27,5192,4800,42,8368,7321,56,178422,164117,91,0.0110469
171581,131487,98,68943,52865,94,2616,2000,30,4922,3810,40,8198,6355,55,15528,11884,69,317780,243009,108,0.0130555
298282,202320,123,105065,71084,122,3810,2453,38,7049,4917,52,15057,10168,73,24705,16852,94,506121,338725,135,0.0230982
127488,118109,93,44981,41397,84,1327,1192,13,2519,2297,30,5497,5381,39,9260,8768,51,205886,193120,94,0.0321366
160052,139719,89,60963,50388,89,1967,1884,21,4144,3164,38,7862,6798,52,13122,10727,68,282138,237764,103,0.041175
171873,133162,105,80671,64608,94,1969,1405,22,3585,2873,41,8170,6863,53,14056,11349,69,308368,241505,102,0.0421793
53057,51811,76,14627,14295,49,628,843,0,956,965,0,2297,2164,26,3454,3381,32,78778,78159,84,0.0482049
177280,142981,95,65260,51591,92,2363,1765,28,3840,3251,37,8821,7082,53,15409,12346,76,305184,248480,102,0.0482049
199053,163027,101,61233,49022,95,2626,2227,29,3985,3372,37,9890,8437,56,17340,13786,77,345463,303346,100,0.0502134
170495,140414,91,67609,55943,90,2080,1469,26,3926,3315,36,7809,6210,51,11792,10215,62,263934,218869,102,0.0512177
104503,102346,81,28494,27753,78,1484,1595,17,2231,2315,29,5564,5428,39,9838,9567,55,187668,184553,91,0.0582476
134636,121218,89,55811,49628,86,1846,1591,22,3186,2801,32,7607,6849,46,13066,11760,63,266388,240177,99,0.0602561
116569,112998,83,56087,54258,82,2342,2146,25,3180,2772,33,7192,7348,42,10982,10560,60,218623,209777,84,0.0773287
121124,106555,95,42704,35386,88,1560,1435,17,2894,2631,30,7170,6252,48,12117,11041,60,233335,203114,96,0.0793372
136395,116187,102,55218,46322,88,1587,1639,17,2827,2467,32,6813,5936,44,11285,9971,56,249389,218479,100,0.0853628
78545,75287,78,18562,18183,54,1124,1053,6,1656,1281,21,4107,3819,35,6949,6226,47,154351,148602,89,0.0863671
147358,126589,90,61327,52017,89,1636,1566,18,2709,2660,29,6659,5724,46,9912,7590,62,198939,163924,101,0.0903841
234765,176521,100,86291,62459,101,2704,1797,32,5756,4236,46,11205,8174,62,18595,13847,79,398978,302674,109,0.0923927
43003,41692,76,13596,13841,47,495,504,0,1007,1145,10,1918,1931,22,3511,3437,32,66285,67869,68,0.097414
