"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
73639,72640,77,18819,18616,52,1008,857,0,1343,1472,15,3553,3929,30,5979,5737,42,139129,137278,86,0
81539,79817,91,31581,30781,77,1017,917,0,1876,1763,23,3152,3111,32,5518,5344,40,109304,106903,78,0.00300257
214368,178813,99,87282,71196,98,3104,2703,31,5461,4543,46,11697,9456,64,17961,15334,76,378935,332542,106,0.0130112
211351,162958,118,79879,59887,102,2951,2056,30,6269,4804,44,11445,8593,67,20254,15674,92,397240,304339,114,0.0200172
185812,156905,95,69136,57274,92,2176,1624,24,3361,2835,34,8832,7634,55,14397,12988,74,306362,280736,94,0.028024
189286,152876,100,83325,66564,97,1888,1364,23,4327,2891,44,8226,7026,49,14352,11861,70,295519,243487,107,0.0310266
150962,122963,96,51053,40726,92,1464,1324,15,2672,2579,28,6718,5737,48,10453,8460,63,223729,173847,104,0.0320275
47386,47027,73,12653,12530,46,548,557,0,462,848,0,1867,1995,22,4356,4462,36,83064,82720,81,0.042036
203404,146985,104,72672,51599,98,2811,1905,30,4344,2838,43,9252,6495,56,14485,10518,68,287234,208920,106,0.0430369
207165,173423,98,100899,83425,95,2979,2487,30,5347,4632,44,10834,9421,53,17970,15065,73,346998,303576,100,0.0430369
330392,235545,129,174259,126002,123,5932,4166,44,9319,6763,62,19512,15145,78,31605,22950,117,633918,487474,132,0.0460395
170659,138805,94,77448,64726,93,2073,1865,22,3947,3349,36,8235,6702,53,13741,11276,68,279207,230063,104,0.0510438
90328,85902,87,28768,27929,77,950,1224,10,1255,1609,18,4444,4208,35,6866,6202,45,160138,150545,89,0.0650558
236730,170971,103,86592,61997,102,2709,1841,30,4975,3704,43,10354,7246,61,17006,12418,86,330003,242705,110,0.0660566
102581,99709,80,38939,38129,78,1359,1171,13,2567,2271,24,4962,4696,39,8112,8027,47,175444,166243,87,0.0710609
173661,149097,95,99343,87736,94,1881,1515,23,3728,3284,36,6674,5921,46,12091,10337,67,235646,206049,95,0.0770661
189886,148147,101,76102,58974,96,2174,1877,25,4007,3436,40,7576,5625,51,13121,9995,69,260797,207276,105,0.0770661
122624,109608,95,64157,58206,86,1554,1420,15,2726,2638,37,5479,5165,40,8354,7854,48,174753,158761,91,0.0840721
114842,106501,83,35335,32630,80,1594,1456,21,2697,2749,26,5601,5394,39,8370,8044,48,181728,170113,92,0.0900772
187715,140349,98,76657,56432,95,2481,1862,30,3585,2619,38,7286,5185,53,11821,8330,64,232110,170377,107,0.0900772
275592,179261,120,90873,59260,112,4181,2590,40,6756,4255,60,13370,9328,70,21207,13695,91,420519,276353,127,0.0990849
108223,96359,88,46172,40356,85,1545,1254,15,2072,1914,26,5329,4507,44,9021,7402,63,197768,172229,95,0.101087
95149,90606,82,37973,36266,80,1265,1339,12,2357,2166,23,4471,4175,38,8632,8502,49,181545,176992,90,0.113097
109462,104644,85,49186,46989,81,1624,1600,17,3253,2798,35,5819,5627,41,9425,8938,55,203611,189972,93,0.120103
208899,170437,98,86728,70291,95,2852,2580,28,4223,3964,38,9354,8006,55,15543,12880,68,331273,282769,102,0.131112
207783,161695,102,75689,61481,97,2666,2324,26,4059,3686,36,9681,7993,59,15787,12395,75,326815,262550,109,0.131112
186548,151283,103,69350,56603,94,1883,1434,17,3710,3039,36,6445,5410,43,11121,9391,58,233823,213359,92,0.145124
407938,291586,152,218607,159185,148,9001,6391,50,13088,9993,62,28424,20861,99,43774,31689,149,868431,650088,159,0.157135
87287,82666,82,32346,31137,79,776,917,0,1464,1391,22,3391,3198,33,5375,4739,43,104933,100552,87,0.161138
174820,134391,94,62019,47056,94,2355,1634,26,3165,2715,31,7949,6198,55,12192,9279,61,247227,191740,103,0.168144
89958,85641,83,18657,17946,54,1349,1399,15,2198,2165,24,4472,4698,35,8262,7905,45,168729,159449,87,0.182156
109492,107581,80,50747,49183,80,1705,1566,20,2744,2566,29,5335,4825,40,9084,9103,50,175128,171294,90,0.184158
92180,89302,89,40882,40473,78,1003,1009,2,1873,1944,24,4458,4289,36,7316,7640,42,152363,147117,87,0.18616
167592,136244,92,55092,42665,91,2168,1665,23,3998,3148,42,8297,6805,50,15751,12662,73,317729,251589,103,0.192165
185289,143921,99,77633,61380,96,2578,2246,29,4793,3073,51,9422,7584,58,14764,11672,74,308402,240557,105,0.208178
128107,113472,89,58538,51777,87,1621,1324,20,2239,2358,26,5285,4837,42,8604,8025,53,190693,170505,94,0.22119
107062,101366,95,28125,27424,78,1374,1488,16,2406,2237,24,5359,5327,40,9029,7934,53,195888,190770,90,0.238204
443368,279003,149,195231,128977,149,7606,5289,49,13688,9000,71,27839,19298,103,41927,27799,148,869091,596815,162,0.247212
107674,103512,85,24336,23926,70,1681,1754,20,2406,2434,24,5850,5743,41,9205,8642,57,203269,191864,91,0.255219
269408,188713,108,110697,78709,106,3722,2560,37,6882,5058,48,13644,10262,65,24298,17748,98,500286,369167,117,0.261224
235383,175934,111,77582,57914,101,3137,2122,33,5090,3887,43,9573,7570,59,14861,11215,74,289210,221825,109,0.263226
99669,95687,80,31251,30262,77,1553,1469,15,1980,2053,24,4299,4210,37,7435,7629,45,177626,168940,89,0.273234
200872,144458,100,78262,56194,97,2303,1668,28,4439,3521,45,10201,7635,58,18170,13278,82,374054,282409,108,0.28024
108656,92962,95,45713,38893,85,1468,1223,14,2312,1630,29,4521,4130,40,8371,6778,49,171522,145015,98,0.281241
59113,58918,73,12684,12654,45,847,747,0,1071,946,0,2440,2461,27,4008,3858,34,80920,82081,81,0.300257
89237,85814,90,24860,24389,76,1191,1165,9,1556,1645,19,3707,3438,34,6291,6154,43,130617,123186,86,0.302259
94201,90805,82,35010,33981,78,1197,1114,9,1857,1666,21,4876,4760,39,8129,7672,55,179519,174470,88,0.302259
140461,123526,90,48729,42773,86,2020,1752,25,2671,2701,31,7375,6046,49,13318,12361,70,269194,240178,98,0.316271
231293,162565,104,82723,59113,102,3377,2411,35,5621,3654,53,11091,7717,65,17227,11107,80,366653,262072,116,0.324278
174818,143354,98,65687,53186,91,2438,1929,27,3989,3409,39,8038,7223,50,13694,11516,66,295938,265201,94,0.327281
199193,150631,103,69613,53211,96,2324,1839,27,4138,3295,41,9262,6841,59,16476,12685,77,329499,252509,106,0.332285
165559,136488,96,55813,44523,93,2444,1926,27,3511,3131,37,8727,7451,53,16140,12801,71,314922,257274,102,0.340292
187166,143313,100,87168,68279,97,2283,1642,23,3651,3047,38,7399,6095,50,12569,9658,72,244702,191206,107,0.341293
188753,148535,97,59308,47239,94,1854,1445,21,4069,3145,39,8487,6473,54,14206,11204,69,308378,235037,107,0.343294
238665,171334,105,95863,70608,101,3092,2051,35,5723,4075,49,11349,8588,61,17198,12430,79,366638,270836,111,0.344295
311984,248730,119,142780,116085,115,6329,5023,42,8962,7653,55,18690,15111,73,30210,24545,111,580886,483633,124,0.345296
97901,94480,82,28470,27564,76,1122,1093,7,2319,2439,26,5023,4344,41,8990,9069,47,177061,174371,90,0.355305
136362,128163,86,35500,33570,80,2080,1834,23,3220,3177,31,6982,7127,45,12127,11338,60,223790,216483,93,0.357306
194053,134326,102,68766,48478,98,2922,2009,33,4107,3241,39,8902,6248,56,14044,9571,74,285021,202005,107,0.363311
155604,119827,94,61358,47537,93,1652,1208,17,2868,2358,34,7009,5678,50,11089,8440,64,230476,174466,104,0.372319
441666,271209,158,213374,134906,158,9482,6086,52,14899,10432,78,31316,21773,116,49886,35046,155,991549,718409,165,0.377323
175237,140859,97,56141,44055,91,2565,1965,26,2894,2342,38,7135,5687,52,11363,9676,61,245360,201429,100,0.381327
196703,147326,98,73396,54227,97,2517,1917,28,4384,3234,41,9453,7550,56,16620,12725,72,337815,259552,108,0.391335
72740,71257,81,25693,25469,74,958,603,0,1413,1269,14,3269,3426,32,5612,5649,37,108504,105973,82,0.393337
245161,187702,107,110272,86540,103,3841,2695,35,5789,4154,49,13330,10329,64,24726,19725,104,470870,371107,114,0.413354
264165,177033,110,92437,64057,107,3453,2221,35,5285,3574,47,11518,7724,64,18074,12498,84,359789,249212,115,0.418359
298036,195651,122,163185,106930,119,4390,2879,40,8153,5448,54,17123,11910,76,28193,18489,120,567415,377345,127,0.421361
144780,128654,95,47455,41464,84,2151,1923,22,3413,2772,33,6859,6247,48,13092,12417,60,266215,245004,96,0.422362
222784,146217,106,85064,56733,105,2638,1795,33,4232,3213,44,10356,6908,60,16367,10633,79,336142,228676,115,0.422362
220900,180014,102,85789,69944,101,3134,2844,29,5188,4180,44,10687,8928,57,18038,15301,75,374568,317847,110,0.424364
296247,181320,120,111884,70064,113,4178,2455,42,6306,3869,51,13489,8703,67,20487,12691,88,419867,267393,120,0.426365
99410,93305,85,40027,36562,82,1298,1191,11,2189,1985,27,4879,4547,38,7891,7443,44,178825,168317,90,0.429368
235423,183715,113,82942,65443,102,3231,2636,31,6242,4733,48,11770,9533,62,18394,15663,75,371297,297884,110,0.435373
106166,98755,88,33581,32191,80,1376,1264,14,2048,2039,23,5409,5127,42,8969,8380,50,203457,194624,90,0.437375
143675,120992,98,57330,47604,90,1804,1477,20,3116,2437,35,7036,5592,45,12105,10212,58,233116,200461,100,0.441378
135939,126738,104,76789,72755,87,1965,1794,21,2843,2364,34,5578,5534,40,9728,8758,55,179949,165790,85,0.44338
134447,109177,90,56855,44665,89,1628,1450,17,3386,2400,38,6380,5069,47,10144,7839,60,193128,150060,95,0.457392
265761,181546,117,87937,59701,113,3192,2252,35,5998,3759,51,9735,6705,63,15447,11655,72,308004,215776,120,0.460395
141815,122722,91,53884,45953,88,2184,1807,24,3033,2221,37,7408,6692,52,12706,11260,63,255407,224234,96,0.460395
93089,92166,84,41923,41442,77,1345,1163,10,2298,1955,29,4166,4143,35,6954,6789,46,133043,132929,79,0.476408
171242,156652,89,56794,51804,86,2063,2131,23,4381,3867,38,8404,7636,47,13093,12368,65,274034,252573,97,0.476408
244902,176003,109,88044,65139,107,3101,2233,32,4909,3406,46,10531,7619,64,17497,12498,76,342764,244665,116,0.476408
79135,78323,79,30868,30276,77,607,791,0,1759,1837,23,4126,3891,34,7996,7611,46,150832,149507,88,0.483414
261587,192501,125,90447,70188,119,3881,2857,36,6223,4665,47,11552,9032,62,20790,16754,89,407955,318908,131,0.48942
157165,140653,100,88789,80193,91,2126,1989,24,4255,3679,39,8560,8083,47,15374,14192,72,306257,279256,98,0.50143
181220,138558,113,57495,44549,95,2634,2407,27,2910,2240,37,7089,5504,48,10997,8730,61,221568,171325,108,0.503432
149951,120329,94,63953,50813,91,1910,1599,23,3470,2616,38,7327,5827,50,11636,9186,63,258512,209072,103,0.504432
121043,106458,87,44873,38898,87,1879,1629,17,2694,2614,34,5391,4375,43,8945,7496,54,170258,150154,98,0.505433
187921,138182,99,74545,57259,95,2403,1813,28,3901,2822,39,7676,5934,51,12268,8408,63,263801,196776,105,0.510438
213274,150265,100,79938,57453,98,3040,1872,35,5240,3498,46,9609,6856,61,14833,10354,81,302084,215495,108,0.515442
117015,110244,86,43897,41866,81,1516,1475,18,2596,2369,30,5307,5069,39,9104,8643,51,170803,159184,90,0.515442
153825,132020,92,62993,53928,90,1944,1554,23,3446,2537,40,6825,5702,46,11077,9490,55,245382,209468,101,0.520446
129684,99225,96,48778,37858,91,2122,1520,24,2378,1871,30,5381,3969,45,7480,5764,49,163158,127269,100,0.52445
94407,92477,85,30143,29656,76,1384,1329,15,2729,2709,28,5387,5390,40,9065,8826,53,193329,186274,88,0.529454
198998,161749,99,84164,68052,97,2284,1783,25,3927,3329,38,9712,8163,56,15741,13443,73,335220,284286,108,0.542465
220289,168052,101,87426,67930,99,3482,2887,33,5469,4202,47,10792,8928,56,16874,13692,73,349815,281496,107,0.546468
177390,136468,95,72061,55255,94,1865,1319,22,4228,2914,39,7771,6095,51,13891,10697,69,298144,226220,105,0.553474
239004,172487,115,76243,54487,105,3105,2236,33,4625,3431,45,9319,7325,54,15188,10981,73,311767,223928,115,0.556477
121554,98797,94,47016,39316,87,1571,1510,18,1840,1811,29,4928,3909,46,7841,6864,50,164837,139688,96,0.557478
223292,166594,111,66966,49247,99,3217,1999,36,4970,3701,47,11141,8140,58,21023,16245,81,401165,307528,111,0.557478
71051,68587,84,12820,12754,46,926,781,0,1395,1261,16,2606,2778,26,4484,4323,36,89751,87547,83,0.570489
143950,112121,97,49406,37702,91,1814,1605,20,3343,2314,41,7022,5553,53,11381,8879,69,239633,188589,100,0.582499
168628,134739,95,66010,52621,93,1823,1432,21,3643,2868,38,7945,6358,54,12346,9932,63,254675,199120,100,0.584501
138429,126804,95,50886,45697,87,2149,2080,24,3293,2918,33,6659,6254,46,12090,10617,65,246640,232731,98,0.600515
76847,74251,79,21311,21007,62,791,657,0,1320,1349,16,3686,3549,33,6368,6632,41,135650,132363,86,0.611524
313059,212656,132,114789,79878,118,3195,2371,35,7056,4536,52,13919,9849,69,23827,17059,95,473595,335864,126,0.616528
95141,92813,82,32695,31876,78,1239,1509,14,1643,1951,20,4393,4257,36,8268,7775,51,165861,159358,86,0.622534
131696,113548,94,42610,35309,87,1851,1578,20,2669,2525,28,5882,5231,43,12080,11391,62,231128,205133,97,0.626537
102170,98828,85,30946,30033,78,1049,1175,10,2110,2176,25,4547,4426,38,8274,7188,48,161865,154610,90,0.639548
163306,131450,94,59360,46997,92,2089,1696,24,3083,2576,36,6738,5372,54,12106,9990,64,241328,195504,100,0.644552
141068,121484,91,53397,44839,89,1671,1558,19,2984,2514,33,6798,5503,47,12452,10485,64,258163,224717,98,0.65356
117822,114942,88,73957,72561,82,1467,1722,17,2841,2844,29,5482,5481,41,9658,9693,51,187051,179294,83,0.655562
285551,174488,131,99122,60196,118,3881,2497,41,6792,4210,53,14054,8759,71,21662,13391,88,453023,284354,130,0.659565
126258,121783,85,45477,44388,81,1751,1607,21,3091,2842,29,6389,6186,46,11518,11032,54,242737,230523,92,0.659565
135198,112624,88,41671,33650,88,1620,1198,12,2429,2035,28,5913,5020,46,8645,7604,55,198531,167657,99,0.660566
156559,121750,95,53523,40334,91,2015,1629,23,3259,2478,35,6718,5527,50,10543,8032,58,209572,162132,98,0.675579
54465,53134,80,17080,16886,51,517,529,0,795,1075,6,2309,2396,25,3648,3556,34,66709,66474,79,0.67658
151930,130914,92,61656,52830,89,1530,1389,18,3622,2686,35,6455,5964,46,9512,7984,52,181175,155225,97,0.677581
339513,229677,140,120610,82604,138,4869,2873,44,7647,5562,54,16422,10603,76,26013,18395,99,509687,357053,148,0.679583
295067,195863,123,99066,67142,116,4058,2585,37,6906,4628,50,13990,9140,76,21268,12992,89,430989,293834,127,0.679583
171247,140237,96,69021,57506,92,1890,1647,24,3010,2428,35,7426,6054,49,11547,8752,64,242507,192192,101,0.679583
72121,69749,92,23867,23599,69,1224,1228,12,1727,1705,19,3352,3346,33,5124,5012,40,97470,91093,78,0.681584
156564,125786,97,61599,49074,91,1960,1797,19,3097,2246,33,6670,5137,51,11028,8878,59,232390,186774,101,0.685588
81087,80544,81,18950,18442,55,1185,1284,11,1626,1560,17,4238,4261,34,6746,6399,45,139186,137351,85,0.698599
194908,144666,100,69320,51015,96,2368,1675,29,3712,2829,39,9439,6853,57,13400,10357,62,293724,222238,104,0.706606
103460,101505,80,29302,28267,77,1295,1243,11,2277,2352,25,5123,5345,37,7967,7449,47,176578,174212,90,0.707607
134457,112114,90,48068,39136,88,1427,1181,12,2508,2455,29,5334,4621,41,9557,7837,56,192494,161272,95,0.719617
96142,93234,82,25791,25096,71,1363,1187,10,1927,1751,20,5163,5053,38,8052,8006,46,178138,175264,90,0.720618
