"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
142504,115618,96,60092,48816,90,1344,993,0,2652,2046,31,6927,5661,53,11238,9954,57,240899,202892,100,0.0107544
79721,76290,85,19016,18561,55,1068,1052,5,1343,1468,15,3880,3791,34,6627,6187,47,131889,127386,87,0.0136875
285963,203665,149,134886,96858,134,3647,2262,39,6677,5380,50,14618,11290,65,25700,19314,108,498314,383974,139,0.0156428
198917,152763,101,74861,57417,97,2259,1777,25,4410,3054,43,9450,7234,57,13983,11086,63,310158,241950,108,0.0273749
112465,103955,88,37971,35686,81,1513,1258,18,3408,2888,34,7394,6771,47,12146,11976,59,248224,235368,94,0.0293303
235734,166404,110,90635,64005,103,1945,1492,23,5470,3625,45,10130,7069,61,16116,11982,72,362978,263158,115,0.0400847
179084,142500,95,71169,56020,94,1698,1502,21,3214,2766,32,7987,6277,51,12797,9716,68,249744,197111,106,0.0430178
144667,116122,94,52612,42278,90,1673,1340,21,2629,2667,31,6475,5360,47,11005,9304,60,231358,184622,101,0.0449731
115433,107271,84,52715,48556,82,1467,1232,15,2973,2019,36,5441,4865,42,8443,8291,47,223307,205343,94,0.0459508
93320,89681,79,34418,33418,77,1018,1132,8,1776,1812,24,4614,4371,38,7623,7344,45,175068,164286,87,0.0469285
143181,130986,90,44651,39799,85,1640,1555,18,3295,2849,31,7192,6382,48,11414,9991,58,250807,227632,96,0.0488838
148464,119014,95,58862,46808,92,1833,1443,21,3044,2812,33,7755,6528,50,11813,9617,65,265065,214081,103,0.0508392
110039,97580,89,39608,34303,84,1245,976,0,2279,2209,25,5559,4861,43,9024,7860,54,204264,179489,97,0.0586606
97497,93476,89,45786,44546,80,1469,1416,17,2819,2257,29,5093,4974,40,8743,7855,50,170890,165318,88,0.0596383
96340,90943,84,35181,32769,80,1201,888,0,2350,1944,25,4624,4457,38,6539,6680,43,153888,144096,93,0.0684373
163884,137694,93,50896,42989,90,1838,1501,20,3783,3020,37,8461,6904,50,12644,10846,62,296144,253713,99,0.0743034
125239,117134,88,50395,46039,84,1510,1218,17,2540,2408,29,6337,6112,43,9124,8768,53,203950,185002,95,0.0752811
118093,106613,90,48212,43089,84,2018,1630,20,2958,2913,34,6278,5939,42,10063,8322,60,228691,202624,96,0.0811471
122832,112682,87,42067,39780,82,1708,1429,18,3092,3012,30,6538,6093,45,11465,10750,63,221327,209839,83,0.0811471
183524,161155,110,90452,82963,94,2244,2232,23,4768,4495,39,9998,9212,54,16512,14810,71,332865,291652,99,0.0821248
134661,112758,93,50900,41793,89,936,887,0,2975,2686,31,5906,4896,45,9761,8379,59,201112,173570,99,0.0840802
120968,106922,90,39573,34721,83,1620,1450,21,2910,2534,36,6124,5659,44,9604,9082,49,200355,187850,92,0.0840802
180503,145673,103,70872,57011,92,2290,1658,27,4832,3880,42,10027,8339,55,17251,14633,69,364099,297927,105,0.0860355
211004,149716,108,80396,57442,99,2900,1973,33,4844,3612,44,10649,7791,63,17443,13019,75,364763,270496,112,0.0899462
120201,106476,88,44764,38686,85,1673,1494,18,2944,3021,27,6571,5993,45,10987,9308,58,242067,215063,96,0.0909239
151892,123578,92,65484,53260,91,1608,1096,18,2965,2330,36,6612,5473,47,10818,8905,61,232621,197140,94,0.0919016
82111,79563,82,31430,30523,77,1026,992,0,1870,1909,18,4099,4178,34,7097,6618,45,147382,142218,88,0.0919016
96666,92813,85,20974,20051,60,1256,1310,13,2064,1868,25,5184,5380,38,8598,8361,49,179455,172905,90,0.0938569
274550,203213,113,166955,135976,108,6075,4849,40,12449,10763,62,28809,24041,104,46865,39948,105,980624,806157,115,0.0948346
120879,104652,88,51130,45183,86,1729,1559,24,3147,2706,30,6892,5849,48,11274,9805,58,233237,205270,93,0.0948346
188843,145144,100,76212,58737,96,1809,1357,20,4148,3241,39,9017,6949,55,13948,10767,67,303895,241059,105,0.0987453
43756,44285,63,18112,18185,51,323,311,0,524,836,0,1446,1552,19,2524,2412,29,66100,67397,80,0.099723
129827,113625,98,49851,43302,87,1445,1295,12,2431,2058,29,5239,4590,42,8621,7243,50,178602,160876,94,0.099723
106582,100850,84,32464,30670,80,1095,951,0,2662,2500,29,5925,5637,42,7996,7875,44,196743,189630,89,0.102656
188932,145885,98,68165,52804,95,2055,1135,23,3641,2910,35,7668,5998,53,12346,9983,66,267218,205533,104,0.103634
137284,121992,88,48034,43441,84,1372,1329,13,3739,3245,35,7219,6526,47,11282,9650,66,252842,224313,96,0.106567
124288,114443,88,39076,36279,84,1814,1608,19,3399,3546,31,7172,6897,45,11762,11475,60,266762,251743,96,0.110477
78324,78262,78,28363,27869,75,493,705,0,2130,1552,20,3507,3639,33,5564,5455,42,133528,129506,85,0.12221
141038,118357,91,56511,47363,90,1257,983,0,2738,2799,31,6202,4976,47,9647,7302,62,206782,174201,101,0.128076
182550,146253,102,79565,64757,93,2056,1720,24,4600,3788,42,9902,8112,54,16095,13392,76,334583,273251,105,0.129053
50395,52394,73,15721,16168,47,523,503,0,1140,1070,7,2360,2375,25,4532,4786,36,86681,87022,82,0.129053
155052,131253,92,61131,51518,90,1545,1318,14,3290,2754,31,7421,6375,48,10858,9182,64,239975,206464,101,0.136875
147316,124290,100,63284,55647,90,1730,1573,19,3251,2976,32,6965,6364,46,11476,9795,57,239050,219590,95,0.142741
208312,158280,101,81316,61439,100,2564,1917,31,4894,3988,42,11393,9189,60,17029,12776,72,371701,290181,110,0.144696
125288,114444,86,38153,34622,81,1410,1388,15,2515,2279,28,6343,5458,44,10432,9755,57,222385,207069,93,0.144696
219686,176961,103,89626,72229,100,2536,2077,30,6179,4794,48,11258,9200,62,18267,14536,79,390478,314967,114,0.149584
93139,89417,83,35326,34438,77,1049,1021,3,2081,1974,22,4148,4204,35,7994,8093,44,157154,149296,88,0.152518
241163,170623,111,103654,74817,108,2344,1788,28,4704,3193,45,10291,7395,62,18055,12861,84,383580,283001,114,0.156428
80493,79788,80,15357,15330,49,968,876,0,1768,1560,21,3660,3899,32,5947,5910,40,126027,121169,86,0.166205
194085,173340,99,79603,72417,92,2401,2013,26,4411,4331,37,8641,7929,53,13788,12747,63,312058,291462,102,0.170116
154197,136520,93,56024,49181,91,1681,1293,15,4026,3232,40,7874,7427,51,11977,11133,58,256722,228642,103,0.171093
228331,173054,113,86580,67801,103,2873,2247,30,5326,3603,51,11930,8984,67,18293,14161,78,405530,314561,115,0.174026
110413,104607,84,28875,27896,79,1085,1079,6,2308,2546,26,6308,6148,42,9052,8249,54,204638,195122,90,0.175982
74055,71597,77,22540,22223,67,921,1079,6,1511,1440,19,3915,3451,36,6427,6305,44,139923,132578,90,0.178915
159262,135830,92,63040,53151,91,2537,2128,25,3916,3617,35,8694,7862,53,14293,12908,67,319664,281446,102,0.18087
292400,215157,125,145119,111576,113,4860,3628,39,10208,7440,64,21661,16584,87,37347,28921,114,747780,597723,125,0.184781
217090,153777,112,84129,61784,102,2713,1847,30,4683,3275,42,10222,7392,60,16026,11810,76,363530,269150,111,0.186736
184201,151733,98,56513,45541,96,2071,1575,23,3902,3151,41,10324,8686,58,16044,13445,68,347991,296473,102,0.196513
85015,81814,81,22633,21891,64,983,1059,6,1846,2008,22,4191,4104,33,6890,6311,49,147410,142971,86,0.197491
110843,100302,100,33883,30228,84,1036,1161,8,1931,2388,22,5672,5390,43,8646,7728,52,198934,186449,93,0.198468
98462,96677,83,30137,29542,77,1061,1014,4,2401,2468,32,5549,5327,42,7241,7001,45,173090,169757,89,0.199446
271015,189976,115,108089,76379,112,3134,2276,35,6280,4377,51,13767,10584,68,21709,15828,84,475090,352417,119,0.200424
97557,95206,83,34389,32851,80,1371,1341,15,1839,2071,22,4628,4628,35,8370,7834,48,167253,160276,94,0.204334
97620,97391,79,51444,49852,80,1236,1321,13,2498,2506,28,5739,5657,39,8742,7959,49,189727,186796,90,0.213133
