"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
214082,154249,103,80158,58608,102,2198,1907,23,4568,3519,43,9795,7485,57,16374,12051,87,371849,275856,111,0.0663442
201976,153562,99,58656,44364,96,2093,1814,26,3913,3184,40,9967,7304,62,15192,11365,77,315268,237818,110,0.0898198
195410,152205,101,57294,44168,96,1797,1365,22,3830,3154,41,8512,6431,56,15664,12358,77,309806,240486,114,0.100027
310820,211010,124,110795,76828,119,3515,2344,35,6919,4902,53,14246,10133,68,24747,16710,104,493225,346309,133,0.103089
102109,99617,90,25603,25306,72,1410,1499,15,2116,2147,23,5772,5705,39,8837,8639,48,179923,172513,96,0.116357
256404,179101,123,95072,65563,120,3243,2330,35,5475,4093,48,12415,9060,65,22322,15710,87,438437,312114,136,0.139833
168257,138701,107,57377,45925,93,1879,1678,21,3638,3138,35,7888,6877,49,12980,10762,70,278826,236837,105,0.207198
126996,118153,91,44735,42267,83,1836,1880,19,2981,2539,27,6549,6072,44,11506,10621,55,218373,200420,96,0.267418
112415,108948,83,46841,45821,80,1429,1223,15,2607,2725,25,5176,5004,39,8651,8609,48,203930,193411,92,0.337845
201322,154225,114,81054,66718,96,2476,1660,27,4295,3119,39,9937,7811,59,16304,12988,75,330204,256004,111,0.364383
248070,168030,112,70142,45904,104,2651,1843,31,4677,3507,44,12946,8867,69,22838,15818,93,451213,320392,120,0.37459
167705,153839,88,71010,65569,87,1826,1604,21,3229,2843,36,8371,7425,53,14197,12911,65,290703,264991,102,0.445016
142382,133229,87,48263,44887,83,2321,1987,22,3212,3489,32,8016,7247,51,14285,13383,64,279757,256367,99,0.455223
90922,90442,78,29509,28999,76,1097,1057,7,1937,1936,21,4530,4337,37,8241,7893,48,160127,153705,91,0.472575
