"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
134849,125328,102,51597,48148,84,1498,1579,15,2930,2799,27,6376,6142,43,10590,10069,54,216251,207476,96,0.0107015
138638,112430,91,42181,34580,87,1337,1187,15,2631,2331,28,5468,4635,43,8425,6390,56,164631,130530,100,0.0107015
179771,153028,96,55192,46180,91,1900,1671,21,3938,3276,36,7257,6542,44,14082,12173,72,259619,220604,108,0.0116743
199784,156524,100,74232,60116,95,3137,2502,31,4230,3020,46,7862,6346,51,12476,10294,59,236178,190712,107,0.0155658
134233,118269,90,43836,38341,86,2206,1994,25,2888,2701,34,6050,5136,48,9492,8499,56,184582,156813,98,0.0204301
160770,141880,90,57197,50248,88,2092,1667,23,3436,3131,31,6827,6476,47,9838,9068,57,198605,186767,94,0.021403
157559,146655,87,47413,43253,85,1966,1939,21,3153,2931,30,6239,5913,44,10780,10229,57,207103,200112,88,0.0243216
187819,155932,95,79147,67692,92,2589,1984,27,4055,3615,37,9756,8060,60,14186,10834,72,268564,221203,106,0.0252944
109202,104056,81,30706,29347,79,1401,1662,17,1919,1986,23,5275,5193,42,9216,9988,45,188747,172379,95,0.0272401
114481,108946,82,31986,29737,81,1242,1102,8,2036,1885,24,4495,4158,37,6925,6240,46,137310,124338,94,0.0291859
135856,129450,87,37791,35376,83,1972,1827,23,3422,3013,30,7356,7137,46,12928,12439,62,263226,246344,101,0.0311316
85231,82947,78,29476,28208,77,928,868,0,1877,1576,19,4639,4425,36,7513,7865,43,156764,148590,90,0.035023
191691,169143,93,66510,58478,91,2708,2389,28,5335,5396,40,10161,9428,56,15985,14287,81,341750,308799,101,0.0359959
144682,120243,97,51105,41598,87,1570,1154,14,2936,1974,38,5545,4480,47,8452,7019,51,173782,144038,101,0.0389145
217933,179618,103,68232,55958,96,2872,2295,29,5279,3910,52,10505,8681,55,17786,14608,88,335343,288717,107,0.0398874
157603,128010,95,58167,47116,91,1826,1495,20,2856,2267,37,6235,4765,49,10869,8517,56,218306,178332,104,0.0457245
170164,131025,95,57763,44472,92,1935,1373,23,3495,2664,38,7789,6357,50,14053,10742,70,280302,223300,106,0.0535074
180540,149283,96,68299,54963,92,2647,2233,29,4165,3712,40,9475,7510,57,14102,11841,67,269873,224895,107,0.0554531
