"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
167112,132834,102,47107,35687,94,2262,1631,25,3549,2879,39,6726,5612,47,10822,8876,65,221891,172444,101,0.0387153
210208,164127,102,69807,56084,97,3052,2333,32,4921,4016,42,11238,9225,61,17416,14637,69,377637,297345,113,0.0590918
81404,80382,79,33610,33001,77,981,963,0,1849,1835,24,3842,3571,33,6023,5920,44,131407,130275,84,0.0815059
120300,112714,85,42581,40121,81,1793,1754,18,2828,2587,25,7066,6676,45,11211,10773,59,251955,238039,95,0.0916942
260141,199048,107,81920,62528,102,3179,2315,32,5392,3986,49,11722,9189,62,17850,13798,78,373131,294336,114,0.0947506
71852,72287,76,25391,25365,73,743,1031,4,1805,1706,26,3538,3554,33,5550,5606,40,110139,106325,81,0.110033
108107,99838,86,40297,35921,82,1396,1339,14,2869,2319,32,6122,5660,42,9409,8325,52,199862,177404,97,0.115127
67141,67151,78,23991,23681,69,751,843,0,1215,1438,13,3250,3166,31,6006,5510,42,117589,115543,86,0.119202
91673,87911,92,13912,13667,49,1219,1141,11,1688,1598,22,4959,4848,39,7639,7401,48,161782,159962,86,0.131428
103655,98046,88,30853,28909,80,1405,1247,16,1969,1830,23,4940,4888,37,7734,6797,55,168349,160809,90,0.133466
95461,92795,92,25516,24885,71,1561,1542,18,1927,1945,26,5886,5695,40,9951,8905,58,202489,197095,94,0.143654
206215,156391,108,64931,48429,100,2572,1948,30,4763,3753,47,11014,8480,58,17224,12511,77,381717,293453,116,0.148748
135366,119553,88,35690,30780,85,1403,1240,16,3565,3060,40,6252,5518,43,10272,9627,52,207590,194339,94,0.153842
147651,132005,91,65606,59239,87,1857,1715,22,3103,2930,31,7168,6319,47,11959,10956,63,244387,219496,95,0.158937
105855,103254,85,42178,40599,81,1513,1492,17,2212,2185,23,5583,5610,38,9410,9027,54,190616,186513,90,0.204784
164793,135797,95,52105,43009,91,2055,1838,21,3761,2911,37,8144,6866,54,13087,10855,65,253489,214910,103,0.206821
89548,88459,93,27255,26791,76,1516,1284,14,2012,1867,20,4530,4254,37,7003,6749,45,160038,149010,87,0.20784
133460,113848,102,41234,35433,87,1709,1268,18,3492,2837,35,5179,5018,43,9434,8307,61,187465,163968,96,0.224141
114972,109520,89,30595,29668,79,1753,1440,22,2940,3005,30,6101,5802,42,10391,9755,52,237877,235318,92,0.228217
107510,102480,84,31608,29638,80,2049,1752,24,3016,2929,36,7176,6646,47,12594,12194,61,250415,241723,94,0.235348
145741,123653,92,59606,50126,91,1831,1453,24,3545,3011,32,7178,6012,48,12991,11442,65,243071,207777,104,0.235348
65036,65201,79,32647,32200,75,658,795,0,1363,1363,17,2681,2671,29,4960,4998,35,97427,93898,84,0.252668
165863,133483,98,59201,46967,94,2397,1921,27,3649,3113,37,9112,7532,58,14051,10954,66,300943,241451,104,0.267951
47994,46115,76,17564,17525,54,573,513,0,1548,1441,15,2530,2585,26,3450,3584,32,80058,78026,82,0.301572
276082,183646,119,94053,64059,117,3374,2074,38,6611,4119,57,13532,9109,72,23408,14920,103,480643,324660,132,0.316854
82756,80804,83,27491,26710,76,953,945,0,1736,1671,19,3826,3854,34,6133,5984,41,134380,131404,90,0.322967
74160,73461,81,28865,28341,76,871,801,0,2108,1971,22,3632,3747,32,6504,6451,46,122289,119038,89,0.348438
104403,100288,82,46475,45534,80,1530,1606,17,2246,2248,27,5637,5146,42,9572,8922,57,183849,173267,92,0.365758
159898,122673,100,48228,36943,92,1853,1442,21,3975,2800,43,8325,6381,51,12847,9889,63,273389,211707,106,0.379003
167714,132268,95,58120,46180,93,1961,1775,24,3354,2925,37,7258,5635,51,12030,9185,59,252123,210396,103,0.384097
187012,151228,96,63355,51998,94,2562,2187,27,4092,3415,41,9668,8034,59,15946,13468,76,329748,268656,108,0.384097
177674,140498,101,66890,53271,94,1944,1430,23,4220,3372,42,7223,5947,50,12895,10511,62,278303,222222,103,0.39021
50596,51170,73,15878,15780,49,550,482,0,1135,1192,11,2191,2286,25,4002,3827,33,78338,74429,82,0.393266
283792,211133,119,91674,68549,114,4212,3004,37,6466,5105,49,15242,11867,69,24761,19689,93,495281,386006,129,0.40753
55287,53046,75,24230,23690,70,629,662,0,1436,1229,12,1654,1752,20,2964,2880,28,57262,56623,82,0.42485
101220,97225,81,22738,22450,61,1371,1253,13,2180,2289,25,5194,4882,36,8510,8561,52,167966,163871,91,0.453377
223601,162210,102,103753,78626,100,3988,3102,35,7187,5612,48,15323,11344,70,25195,18820,100,483234,377190,113,0.461527
77059,75061,86,22598,22286,63,1125,1063,7,1162,1312,12,3554,3478,32,5614,5158,41,126329,122388,91,0.479866
56775,56799,69,14268,14177,47,805,744,0,1248,1417,14,2754,2507,29,4785,4692,36,91106,89426,84,0.495148
156292,127260,97,58509,47468,91,1734,1351,20,3292,3032,35,8065,6579,51,12349,9827,64,260456,215526,102,0.495148
54039,52846,79,13723,13365,47,649,547,0,1090,1011,2,1949,1894,21,3153,3184,32,68544,67752,78,0.503299
120342,110586,91,45418,41987,83,1276,1272,13,2729,2395,31,4879,4463,39,8295,7964,54,158946,149419,95,0.504318
196589,155549,103,96922,77227,96,2593,2058,27,3977,3477,37,8572,6948,55,14921,11556,77,309779,259438,104,0.51145
114879,97473,93,35019,28398,86,1675,1365,16,2416,2002,25,5723,5095,43,8844,7519,56,190990,158876,100,0.520619
