"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
132882,125272,83,34405,33182,80,1642,1538,19,3286,3096,29,6513,6460,43,11047,11131,54,223209,212605,96,0.00198389
184059,142142,98,62614,49460,95,2300,2036,24,4713,3537,45,8747,6860,57,16332,12611,78,308399,242139,107,0.00495973
167708,137863,106,61566,51273,92,2182,1735,25,3351,2928,35,7773,6402,50,13350,10776,65,266393,220819,104,0.00793556
134760,112407,94,46161,38721,88,1639,1634,17,2759,2261,33,6059,5128,44,11019,8794,63,203149,163739,102,0.00892751
242273,189329,107,88401,69701,103,3277,2455,33,5070,4123,42,12098,9600,60,21398,16915,80,421103,325524,110,0.0138872
173770,138830,98,58506,46228,93,1899,1476,22,4055,3276,38,8542,6629,54,13811,11260,67,309983,246940,105,0.0148792
185356,146505,102,67877,54330,95,2050,1601,24,3613,2979,34,10385,8204,59,16834,14043,69,366933,296738,107,0.0317423
111876,106530,84,29842,28529,78,1330,1438,13,2574,2299,29,5605,5184,42,8933,9121,50,194418,183792,94,0.0327342
141397,134151,87,58567,56881,83,2000,1987,23,4001,3632,34,7440,6737,50,12352,11020,57,247781,232846,91,0.0327342
193356,147532,97,72435,55662,96,1788,1546,19,3560,2892,40,8143,6430,53,14522,11195,71,275859,216032,108,0.0347181
89426,86371,79,18769,18160,54,1224,952,0,1697,1942,22,4427,4459,33,7490,7280,47,174323,166342,93,0.03571
225921,163851,109,84423,63264,105,2322,1527,28,4436,3189,45,10547,7765,63,17585,12266,75,391467,284934,121,0.0446375
121952,119856,87,42208,41044,80,1698,1662,20,2836,2834,27,6320,6259,44,10885,10788,55,221106,214916,85,0.0456295
96554,95171,80,22112,21545,60,1218,1372,13,2421,2433,29,5470,5547,39,9911,9168,59,200564,189866,91,0.0505892
109963,104073,85,23620,22852,73,1603,1635,19,2925,2509,31,5563,5550,37,9718,9448,50,202336,188387,94,0.0535651
165200,132019,100,58817,47991,92,2103,1496,26,3578,2966,37,8713,7100,50,14969,12040,66,306413,249317,107,0.054557
124972,119243,89,33616,31912,80,1571,1523,18,3212,2576,32,6469,5579,45,10006,9619,51,220671,216751,96,0.0585248
78660,76727,83,21245,21027,57,1033,884,0,1801,1835,23,4133,4300,34,6617,6651,43,128657,120482,89,0.0605087
125958,118230,86,36429,34789,81,1887,1967,20,2791,2469,30,7049,7013,47,11691,10838,67,254693,241551,91,0.0654684
127443,115624,88,39007,35390,84,1629,1474,18,3203,2922,30,6016,5696,42,9451,8737,53,203409,188190,96,0.0674523
191940,152688,106,63041,50419,94,2055,1500,27,4414,3508,40,8895,6946,55,15880,12041,82,309144,251620,107,0.0674523
99245,90472,88,31977,28656,81,1057,1130,7,2044,2104,24,4632,4413,37,7669,6918,57,172217,157840,90,0.073404
126091,118888,100,55082,52357,83,1813,1887,20,3024,3205,28,6773,6533,44,12214,11381,66,246106,230906,89,0.0743959
104901,98812,91,43996,42542,80,1376,1025,6,2118,2197,29,4735,4550,37,8173,7863,57,161475,154405,92,0.0763798
124295,119129,96,41046,39265,80,1599,1545,17,2863,2424,32,6499,6231,47,10565,10470,53,216590,212634,96,0.0763798
120886,113921,90,51604,49493,81,1557,1285,16,2701,2777,29,5353,4966,38,8584,8052,54,186657,179823,88,0.0763798
81857,80273,77,30077,29551,76,836,840,0,1843,1625,21,3711,3813,33,6764,6580,45,136844,132975,79,0.0823315
133208,125225,92,49906,48028,84,1488,1684,17,3484,3285,34,7780,7222,46,12634,11035,62,258080,241346,92,0.090267
164697,145027,93,53827,47340,88,2148,2225,22,3187,2877,35,7147,6600,48,13688,11408,65,261060,231704,99,0.090267
152095,136652,91,50918,46235,89,2070,1745,22,3034,2948,33,7174,6356,47,12213,10895,61,253867,235097,97,0.091259
127085,118841,87,53850,51689,82,2155,1932,22,3754,3575,34,7639,7025,47,14095,13620,64,291942,274892,97,0.0922509
204416,152630,101,63180,45554,95,2375,1664,29,4339,3082,44,9465,6917,55,15143,11115,69,323901,249739,107,0.0991945
76855,74746,82,24588,23943,74,688,627,0,1594,1823,20,4495,4214,38,6895,6452,45,139511,132395,85,0.100186
185924,146042,98,61963,48431,93,2415,1737,24,4324,3442,44,8725,6730,52,16199,12937,71,311476,258050,107,0.10217
