"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
123998,113277,86,35685,31485,85,1836,1581,21,3280,2992,32,6594,6210,45,10742,9702,63,227463,201996,97,0.00897648
98421,96937,81,44296,42776,78,1664,1650,17,2344,2563,25,5698,5469,38,8675,8574,51,191411,186521,93,0.0109712
132782,108287,107,49153,40783,90,1705,1077,10,2446,2003,28,6510,5260,47,11003,8327,63,230600,188101,104,0.0149608
94016,91479,82,19217,18787,57,1126,1196,10,1935,1931,21,4638,4594,36,7753,7440,47,168475,160003,91,0.0189503
291608,200778,123,71177,52212,118,4054,2790,36,7391,5290,51,16004,11726,78,23820,17013,93,519818,373196,130,0.0199477
273502,185269,121,89470,59739,110,3200,2142,35,5049,3775,51,11411,7919,67,18193,13072,78,383244,274083,127,0.0229399
281298,220059,127,105043,83211,124,4870,3962,37,8938,7408,49,19799,16122,80,32226,26134,121,663803,550197,135,0.0239373
110925,105740,98,40500,38818,82,1492,1566,17,2395,2233,28,6122,5920,43,9758,9464,58,190221,182440,88,0.0299216
175613,156376,96,45485,39672,89,1765,1563,18,4118,4227,34,9372,8621,54,14929,13816,71,322054,289471,102,0.0299216
204828,152815,103,64693,48412,95,2860,2069,32,5405,3867,46,10801,7500,72,17452,13354,83,359712,260439,111,0.0299216
106146,103715,80,49725,48051,80,1249,1102,11,2359,2403,26,6035,5571,43,9510,9341,50,198551,196492,91,0.030919
119915,117023,85,34036,32935,79,1335,1217,12,2720,2662,27,5415,5362,37,7983,8360,45,187791,181786,95,0.0339111
101663,98240,82,22062,21322,60,1153,1218,10,2066,2297,22,4893,4902,37,7756,7079,49,175286,166758,92,0.0349085
116331,105337,88,30678,27113,84,1537,1542,15,2801,2448,33,6057,5586,42,10464,10005,57,223006,206889,100,0.0359059
180699,142628,100,52410,41279,92,1900,1483,21,3697,2659,39,8095,6556,52,12857,10365,62,296869,233379,107,0.0408928
192912,139923,102,68850,50975,97,3358,2252,35,4831,3603,42,10330,7212,60,17809,12927,69,359789,264778,111,0.0468771
136341,129339,85,58016,55747,84,1843,1598,19,2685,2506,28,6401,5756,42,9292,8680,55,221408,205875,101,0.0478745
473804,268245,159,196574,120588,157,6823,4152,46,13296,9283,69,31753,21894,117,53177,36083,159,1.04858e+06,734524,168,0.0558536
93613,91216,79,25136,24487,73,1076,1011,4,1982,2252,23,4827,4638,37,8174,7537,53,170125,162013,89,0.0608406
102827,101517,83,37584,36841,78,1506,1368,18,2882,2654,27,6061,5659,47,8857,8835,48,191777,182536,93,0.0638327
64167,65127,80,13164,13176,46,576,593,0,1521,1458,14,2900,2995,29,4459,4164,38,93367,89197,88,0.0728092
193585,160393,95,74543,61033,92,3001,2035,31,5461,4313,46,12156,10168,62,19892,16787,79,390643,338627,103,0.074804
186160,149168,99,78255,64165,96,1815,1477,23,4138,3525,41,8858,7067,53,13850,11588,67,313483,253665,109,0.0787935
61048,60095,76,19065,18925,55,780,803,0,1126,1216,11,2647,2549,27,3419,3241,32,80898,81067,86,0.0817857
112515,103841,94,41601,38089,81,1464,1369,16,2645,2552,29,5507,5266,41,8936,9042,51,179666,165445,93,0.0977438
91556,89003,95,28496,27976,78,1186,1173,11,1945,2065,24,4657,4450,37,7994,7245,52,154466,151243,88,0.0987412
99085,96577,80,23545,22722,70,1084,1111,8,2155,2339,25,5067,5127,37,7653,7622,47,161361,151725,90,0.101733
129036,112399,92,51955,44423,85,1845,1517,21,3620,3175,36,7493,6795,48,11673,9845,63,262477,228836,103,0.102731
206094,151752,104,62891,45848,100,2974,1881,34,4184,3495,37,9775,7258,57,16586,13258,77,333693,244529,115,0.104726
226023,176738,105,59797,47929,100,2598,1941,27,5592,4416,42,12387,10310,68,18928,15144,76,422226,349195,118,0.10672
197995,150562,112,60651,46509,97,2701,2161,30,4576,3481,53,10666,8024,61,16770,13344,72,341566,266927,112,0.11071
