"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
112805,99560,92,46307,41519,83,1303,1327,17,2523,2082,25,5403,4893,40,8882,8446,52,190080,172636,96,0.0160169
181771,148617,98,79389,67296,94,2105,1655,23,4156,3875,36,8676,7403,52,15383,12972,74,314405,269904,107,0.018019
150857,122634,92,68187,54935,92,1972,1820,22,3204,2512,39,8109,6891,52,12815,10205,58,277698,219939,106,0.0220233
174675,140250,99,64354,53009,93,1870,1656,22,4156,2700,42,8028,6527,52,14088,12078,74,271186,218495,103,0.0270286
97508,94668,81,31587,30535,78,1095,1208,9,1974,2231,24,4712,4923,37,7406,6636,46,156355,146685,93,0.0310328
129581,118599,88,46090,40591,87,1165,944,0,3318,2878,35,5575,5055,42,9513,8905,54,189302,176811,96,0.0320339
123758,113824,89,36903,34568,83,1496,1333,18,2370,2425,26,5179,5227,38,8398,8124,49,188994,177165,95,0.0330349
64025,63339,78,30108,29433,74,744,745,0,1188,1752,14,3051,2915,32,5607,5391,40,120260,116308,87,0.035037
116157,105596,91,46825,41191,86,1587,1698,18,3315,2898,30,5351,4859,39,9420,7980,53,188386,176670,97,0.0490519
182437,145826,110,69145,56423,95,1988,1600,22,3936,2937,38,8570,6818,54,12710,9955,71,281424,227110,109,0.052055
55619,53600,81,20980,20727,59,489,716,0,1011,1352,12,2220,1952,27,3740,3632,34,81982,82549,83,0.0640677
151879,119285,96,67701,53332,93,2038,1530,27,3201,2491,39,7630,6224,49,12467,10554,62,282984,223985,105,0.0640677
80836,77763,84,14180,14133,47,897,823,0,1988,1271,25,3278,3114,32,6092,5977,44,121340,117920,90,0.0770815
179887,144947,98,65108,52386,92,2475,1892,28,3727,3031,37,7911,6437,53,13101,10079,65,260936,215653,103,0.0900952
143543,126320,92,54532,47702,87,1524,1371,20,2887,3034,30,7147,6308,46,11773,10201,58,253261,221655,101,0.101107
138787,126709,84,45585,39186,85,1889,1675,22,3509,3071,34,7279,6401,50,11602,11156,69,252483,222127,98,0.10411
229607,187625,104,105734,87112,100,3758,3157,33,6484,5540,50,12560,11237,59,24077,20631,89,447393,403774,108,0.110116
312195,224328,123,130358,94734,120,4768,3546,39,6544,4855,48,16611,12679,77,26474,20166,106,540842,411057,133,0.110116
123736,103856,88,53591,44398,86,1719,1366,17,3040,2029,39,5065,4296,42,8483,7614,55,172947,147508,98,0.112119
177721,141883,94,65609,52430,94,2362,2088,25,3936,3866,36,9109,7240,56,16155,12459,71,336684,272142,107,0.115122
110585,100597,93,36639,32628,84,1160,1116,12,2047,1535,18,4100,3868,36,7099,6574,46,138538,123496,96,0.117124
94690,94161,80,41555,40666,79,1087,1138,10,2094,2141,25,4399,4276,35,6978,6718,47,138830,135266,81,0.117124
148325,129056,107,47134,41192,89,2073,1627,23,2925,2675,28,7298,6335,48,10894,9763,58,217826,197223,98,0.119126
116522,104748,88,49288,43841,85,1280,1289,12,2763,2404,28,5216,4460,40,7691,7048,46,173762,156803,91,0.122129
118313,114491,94,53514,51706,80,1702,1567,19,2474,2127,27,5875,5745,42,8213,7458,46,189487,184721,87,0.124131
110202,106645,89,45186,43880,80,1384,1492,14,2261,2395,27,5899,5448,41,9102,9017,46,180724,173298,94,0.135143
37709,37013,63,12180,12257,44,437,525,0,820,656,0,1550,1435,18,2747,2535,29,56427,54391,80,0.150159
160712,128350,93,66386,52328,92,1875,1615,22,3339,2252,33,6797,5441,50,11392,8963,64,228780,180933,108,0.150159
151578,128588,93,96757,86167,90,2064,1667,21,3299,2974,33,6054,5491,44,10749,9439,58,206762,176072,102,0.153162
96229,93355,82,37508,36210,78,1487,1565,17,2496,2370,25,5511,5341,41,9056,9026,48,184630,179739,92,0.160169
79597,80237,79,28464,28047,75,1031,1044,6,2080,2169,22,3887,3866,33,6572,6500,42,143505,141221,90,0.160169
176372,146144,97,68586,57397,93,2167,1828,24,4206,3594,41,8922,8075,54,15886,13519,69,302694,270511,98,0.163172
147758,124576,90,46165,38427,88,1792,1558,18,2458,2108,27,6317,5434,49,10054,8377,56,190583,165696,101,0.165175
197190,143383,113,78629,57545,100,2265,1734,27,3547,2902,38,9113,6770,57,14087,10509,69,301412,221318,111,0.166176
