"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
325303,253706,133,147933,118436,130,5653,4882,38,10980,8859,60,23602,19448,85,37718,30374,131,776090,635427,145,0.0113703
123516,106406,90,48839,40642,88,1227,1106,8,2661,2620,27,5783,4862,45,9449,7723,55,192643,163048,104,0.012404
238698,188732,102,101630,80231,101,2931,2282,31,5993,4946,49,12456,10042,62,19405,14671,77,390137,320351,115,0.0155049
159867,146439,92,91518,84041,93,1997,1792,22,4138,3631,40,9289,8428,56,13996,12090,74,279788,229026,92,0.0196396
103015,94811,86,38422,34734,82,893,933,0,2326,2365,26,5022,4879,39,7582,7613,44,176357,166016,90,0.0217069
42529,41718,74,12461,12398,46,407,553,0,853,906,0,2046,1839,24,3600,3669,34,66970,66917,83,0.0310099
89790,77764,97,38704,33657,84,801,781,0,1913,1739,21,4874,4159,42,6947,6037,48,148312,130630,96,0.0361782
208796,155428,99,83681,62021,99,2284,1654,25,4677,3667,41,9736,6960,57,17073,12532,78,350531,261448,113,0.0382455
184683,153336,94,65869,53915,94,1820,1442,21,3764,3375,36,9295,7833,55,13495,10683,68,280120,232223,107,0.0423802
115367,95622,93,54423,45010,86,1221,1136,10,2981,2551,32,4984,4093,40,8241,6654,50,162019,135339,100,0.0475485
263263,199347,119,88332,67457,110,2755,2117,30,5842,4542,43,12097,9882,63,18970,14457,83,365633,294572,117,0.0496158
186419,154928,103,38649,31296,93,1671,1325,17,4190,3394,37,7956,7200,49,12563,10624,61,262264,224667,104,0.0609861
98588,94498,83,22547,21958,62,1247,1201,12,2300,2311,26,5131,4940,38,8632,9217,46,185145,178680,91,0.0671881
95664,94322,80,28126,27527,77,1218,1162,14,2632,2627,28,5707,5121,43,9556,9775,60,196095,192059,92,0.0671881
183982,166773,96,81166,75277,91,2232,2046,24,4854,4076,41,10490,9558,59,16338,14805,78,337639,309509,102,0.0682218
192835,155762,101,68241,53218,99,1765,1592,22,4333,3357,46,9158,7101,54,15195,12434,69,298032,241389,112,0.0744237
58816,57761,78,24150,24063,70,594,684,0,1452,1357,13,1883,2328,21,3926,3837,36,74408,73369,82,0.0775247
175860,130660,97,64334,47574,95,2412,1991,26,3206,2558,37,8781,6567,56,14143,10729,66,283360,214414,109,0.082693
123601,109315,86,46364,40676,84,1462,1287,13,2751,2165,32,6054,5258,45,9931,8886,55,205845,186459,92,0.0868277
179280,137700,98,81606,62379,96,2046,1484,23,4044,3157,39,8933,6762,56,14795,10505,71,312662,244014,109,0.0909623
199660,153189,100,84855,64084,100,2138,1582,26,4650,3464,39,10559,8505,63,15628,12385,77,331204,257550,113,0.095097
356205,219003,148,158738,100348,144,4999,2901,43,9788,6588,60,21767,13636,104,32804,22347,122,681598,449053,156,0.098198
119224,106753,89,32339,27701,82,1931,1705,23,2971,2830,30,6971,6472,47,11337,10871,56,260504,235109,92,0.106467
85960,84261,83,30333,29910,77,870,880,0,1509,1445,21,3854,3725,34,5086,4882,41,125702,124053,82,0.106467
169841,156076,93,77154,72444,91,1819,1674,20,4039,4065,36,8412,7585,49,14286,12448,72,272692,252100,99,0.107501
120258,106395,93,57031,50204,86,1368,1180,12,3235,2702,33,6436,5490,45,9827,8135,52,204848,180235,97,0.110602
135253,115781,92,61409,52244,90,1668,1496,16,3165,2477,32,7625,6504,48,12931,11083,66,264000,225210,102,0.116804
307633,220116,113,167444,122619,114,4468,3160,40,7795,5787,52,18840,14499,81,28716,21009,112,605599,449168,125,0.120939
158614,133169,90,71960,59588,90,1903,1512,20,3575,3062,35,7979,6725,52,12280,10440,63,252497,218370,98,0.121972
231491,153781,112,79889,54405,105,3287,2003,37,5074,3753,44,12120,8446,71,18686,12333,87,391455,262426,120,0.123006
61532,59123,78,26668,26253,75,696,549,0,993,1016,2,2735,2717,29,3991,4198,32,88808,85694,87,0.125073
162134,121757,102,62431,46525,97,1749,1460,19,4182,2826,40,7431,5930,52,11626,9085,64,227800,170529,107,0.130242
261541,170872,115,113652,76061,111,3087,1799,37,6528,4136,50,13243,9007,66,20662,13522,88,454486,295409,121,0.132309
94591,90758,84,36223,35124,78,1180,1148,9,2131,2315,25,5225,4638,41,7357,7104,50,165610,157953,83,0.13541
190125,143733,102,71243,54771,99,2122,1644,24,4298,3032,42,9015,6715,58,15535,11813,80,324290,245543,111,0.150915
266785,176050,126,68793,42211,116,2507,1788,29,6287,4254,44,12571,8400,68,18218,12392,84,381108,258908,127,0.16642
344338,213716,138,109381,69316,128,4235,2848,40,9103,5617,55,17600,11084,73,29143,18190,121,548087,351948,143,0.170554
102243,84287,95,49713,41472,86,813,853,0,2115,1790,28,5002,3990,43,7341,6195,47,163173,131121,101,0.176756
145846,122852,90,61075,50075,89,1471,1337,18,2988,2780,31,7297,6327,51,10785,8391,56,222506,186854,99,0.17779
32598,32621,62,9734,9762,43,324,357,0,217,543,0,1556,1443,17,1947,2222,20,42218,42246,77,0.196396
147010,126739,98,57558,49702,89,1852,1745,19,4006,3269,35,7976,7435,48,12679,10893,60,281115,245640,103,0.198463
