"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
196006,148515,109,80379,59645,100,2568,2221,26,4932,3898,41,10493,8444,56,16636,13113,72,331042,262821,114,0.0020016
148132,128846,92,44329,36913,88,2127,1888,22,3417,3350,33,7716,6898,48,13456,11770,65,283358,250321,104,0.0120096
141177,123476,90,56746,49458,88,1691,1623,19,3376,2636,33,7453,6606,51,12473,11066,61,268015,237641,104,0.0130104
137471,117794,92,42742,36055,87,1723,1438,19,2495,2342,27,5419,4610,43,8555,7467,53,174638,153020,96,0.0220176
78346,76986,82,21874,21530,65,1219,1249,12,1822,1860,25,4348,4398,34,7015,7264,43,148027,142283,89,0.0230184
114501,108487,84,43234,41345,81,1485,1510,18,3191,2734,33,6138,5893,42,10568,10069,52,215315,206390,95,0.02502
221895,159079,114,75085,53941,103,2607,1830,31,5401,3496,50,9923,6921,55,14323,10359,72,303280,215557,119,0.02502
162782,131641,109,62531,52142,91,1817,1513,20,3131,2321,32,6569,5338,48,11450,9077,57,227764,177331,107,0.030024
211339,182311,94,92488,78557,93,2832,2445,29,5762,5537,41,12391,10505,63,17822,15706,70,376759,332416,104,0.030024
106326,99575,90,37624,35164,81,1382,1253,13,2708,2636,26,4548,4312,36,7642,6809,47,157215,145939,96,0.040032
370024,233571,152,148550,95927,147,6228,4327,45,10395,7476,60,21689,15307,90,33583,23314,136,644710,456783,159,0.0410328
97447,99387,78,45943,45593,77,1985,1646,21,2182,2500,28,5361,5405,39,9377,9165,48,202103,195076,91,0.0410328
183996,140875,105,76440,59573,97,2410,1756,28,4084,2833,39,7825,6211,49,14720,11394,71,303880,237320,114,0.0480384
66414,65729,79,17902,17507,53,522,619,0,592,1173,9,3294,3096,32,5537,5507,45,114410,112157,89,0.055044
300137,196777,150,91854,59063,139,4501,3182,38,6879,4681,52,16265,11282,71,26094,17587,104,513346,355640,151,0.0580464
61591,61884,67,13086,12985,46,968,897,0,1102,1021,5,2682,2483,28,4105,4071,34,90636,88598,81,0.0630504
92711,86891,84,38687,36256,80,1364,1325,14,1794,1707,20,4418,4454,37,8140,8033,48,172164,164291,86,0.0640512
169298,136076,95,71489,58200,92,2093,1600,23,3230,2742,36,8737,7169,53,14061,11741,69,299400,247241,106,0.0720576
97929,83116,88,40548,34408,83,1016,830,0,2402,2187,26,4779,4219,40,7002,5838,46,144365,123018,93,0.0780625
225971,167237,104,116341,85475,102,3314,2371,34,5816,4233,47,12956,10297,61,21899,16840,90,447645,338120,114,0.0780625
176001,144057,107,91911,77018,94,2330,1647,26,3690,3174,35,8465,7285,53,14984,12201,74,300399,253567,104,0.0980785
217863,172415,118,77328,62296,100,2565,2052,29,4968,3832,41,11457,9208,65,20798,17104,79,398695,350229,102,0.0990793
312531,229782,123,238258,180638,125,9620,7002,50,13537,10200,70,27611,22106,118,46121,34452,125,937718,756557,136,0.0990793
185144,149247,105,52270,42027,92,1643,1341,21,4306,3311,40,7030,5822,45,11685,9544,66,245445,200638,107,0.105084
367927,223974,144,148642,83530,139,5265,3181,44,10611,6722,65,20694,12824,84,36155,21781,135,710486,431031,151,0.109087
208028,155503,104,83562,63479,98,2421,1925,27,4965,3839,43,10539,7881,61,16256,11835,71,334551,249783,110,0.11209
125697,101072,91,45339,36044,87,1655,1350,16,3023,2585,32,6550,5444,47,10596,8723,61,230198,185786,100,0.116093
96854,93691,83,33960,32997,79,1267,1274,12,2096,2168,20,5528,5524,40,9215,9036,54,200800,193444,93,0.118094
141561,113924,94,58760,47262,92,1513,1250,17,3323,2754,37,6228,5147,45,9053,7745,51,197148,154307,104,0.118094
125439,101928,98,52438,43715,88,1255,1126,10,2408,1619,34,4937,4362,41,9119,7371,61,165263,137034,103,0.119095
331526,215277,146,142606,98602,128,4629,3241,39,9033,5761,59,18096,11543,78,29379,19464,115,552621,373854,141,0.131105
192479,150164,102,69810,55957,98,2334,1776,24,4659,3922,40,8268,6686,53,12671,9271,64,242606,199101,106,0.134107
51275,50048,74,19551,19256,57,739,795,0,1333,1345,14,2356,2456,25,3593,3436,32,71630,67601,85,0.140112
109518,93882,87,44350,34960,85,1319,1043,9,2594,2545,28,5512,4617,44,8059,7002,53,181957,146390,101,0.141113
174772,136155,107,52926,40560,93,2315,1789,23,4054,3030,36,7363,6200,50,11656,8657,64,228944,180134,106,0.145116
10839,10899,44,5598,5255,39,0,102,0,165,225,0,241,242,0,162,227,0,-10,246,0,0.148118
99251,97996,79,36775,35657,78,1163,1186,12,2225,2613,25,5461,5288,40,9491,9268,50,193036,186188,91,0.151121
47127,45882,75,12517,12243,46,322,499,0,1001,1112,6,2087,2458,22,3554,3793,32,74273,71716,84,0.155124
