"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
157605,140209,88,61815,55076,87,1519,1279,18,3044,3144,29,6495,5916,43,9616,9061,56,212952,197641,95,0.00605477
243422,169903,106,71458,49805,103,3521,2431,35,5285,3759,47,10199,7163,65,15269,10758,75,321831,231681,118,0.0070639
137610,118515,90,52074,43794,88,1527,1164,14,3040,3016,30,6616,5524,47,10764,9087,60,221557,187335,103,0.0070639
144523,112451,93,54439,43081,90,2281,1786,25,3589,2882,35,7204,5373,52,10291,8081,60,204805,164329,102,0.0191734
219138,163541,108,79855,60526,101,2577,1783,31,3861,3327,43,9613,7226,58,15000,11257,72,306925,236074,112,0.0222008
92595,89283,80,40771,38635,78,1274,1122,11,2018,2106,26,5333,5077,39,8315,7112,53,165868,153879,89,0.0222008
327495,195517,147,127319,75660,134,4053,2295,42,7584,4540,58,13612,8206,69,21530,13065,92,437321,267876,146,0.0242191
105313,100025,89,41361,40460,80,1524,1142,11,2361,2438,30,5941,5832,42,10324,10615,59,205186,198492,91,0.0262373
65505,63717,76,23727,23604,71,730,749,0,1165,1140,13,2519,2605,26,5160,5085,40,96110,96501,87,0.039356
226221,165558,113,76420,56220,102,2850,2077,32,4645,3576,43,10060,7861,56,16698,12214,81,321721,234698,117,0.0433925
164817,127634,113,66293,51303,113,2446,1975,24,4475,3496,45,9906,7821,61,15369,12852,74,356690,289969,113,0.0433925
297240,219327,122,84553,64789,120,3725,2583,33,7621,6408,46,16246,12313,70,26026,20144,107,629331,498733,136,0.0454108
224402,158537,106,75297,53425,103,2660,1907,33,4846,3012,50,8275,6158,57,14128,9407,72,261116,184129,113,0.0454108
82280,82128,76,31018,30770,76,1491,1302,13,1788,1694,25,4360,4309,35,7585,7632,46,147812,145547,80,0.0464199
