"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
413581,239009,157,295863,194635,154,7630,4579,51,13396,8857,69,28816,18957,108,41980,28286,150,1.04858e+06,721937,162,0.00675067
135354,120677,87,35450,29989,85,1618,1555,17,2840,2665,31,6838,5755,48,9396,8415,53,256874,228722,95,0.00675067
138931,118982,89,51755,43957,87,1496,1236,11,2551,2277,30,5959,5447,44,6994,5732,45,222852,190898,99,0.00675067
50499,49595,82,12318,12246,45,479,416,0,841,734,0,1836,1870,22,2638,2876,24,69309,66160,82,0.010126
151410,133749,91,74102,64310,88,2002,1559,24,3490,2714,35,7933,6954,49,11669,9809,69,314277,273776,96,0.010126
377409,255422,147,184802,129365,145,7245,5069,47,11493,7709,61,24653,18463,97,38563,27784,139,944064,690523,155,0.010126
74666,72777,78,19942,19692,54,638,604,0,1063,1506,14,2805,2902,27,4185,4416,34,112586,110708,86,0.0112511
146312,123823,93,73803,64911,91,1756,1805,19,3991,3686,36,9792,8840,57,14558,12904,67,358222,325675,100,0.0112511
31016,31062,72,9678,9660,41,489,355,0,338,483,0,1207,1174,14,1951,2191,21,47257,45910,76,0.0112511
135478,125619,95,68188,64689,85,1768,1773,19,3111,2680,30,6417,6265,42,10084,9071,57,251427,236891,97,0.0123762
319275,151491,147,138915,66107,143,4294,2155,49,5656,3176,64,13939,7163,83,23232,12389,103,582484,305744,151,0.0146265
122300,100725,91,56414,45883,86,1286,1098,8,1813,1789,20,4744,4044,42,6800,5279,48,179598,151518,97,0.0180018
210856,161987,106,65463,48844,100,2739,2005,31,4349,3511,39,10481,8171,63,16183,12840,72,449199,352882,112,0.0225023
62944,62289,79,22449,22182,65,670,592,0,1123,1189,10,2447,2344,26,3675,3490,33,94672,95392,79,0.0236274
102724,98573,90,38670,37594,78,1452,1281,13,2189,2282,26,5765,5683,40,7713,7403,49,222562,213746,91,0.0247525
150629,131233,90,80604,71323,89,1743,1441,16,3082,2492,35,7238,6142,48,9565,8797,55,260358,228370,99,0.0247525
40659,41669,63,9524,9343,42,400,397,0,513,549,0,1616,1781,18,2548,2405,26,57029,55624,79,0.0270027
67834,65712,86,19083,18535,54,784,759,0,1020,1182,12,2490,2535,27,3940,3549,36,102240,100305,84,0.0281278
319262,215832,129,111066,75975,126,3606,2418,36,7448,5203,53,16246,11333,74,23541,16401,95,627925,455681,136,0.0281278
174800,135966,96,61695,47876,94,2542,1909,26,3756,2913,37,9370,7192,59,14652,10845,69,371350,287361,106,0.0281278
119949,96186,90,57870,46857,89,1449,1101,10,2801,2127,31,5492,4314,44,7837,6642,50,201618,167617,92,0.0326283
152658,137481,90,65250,57443,90,1375,1573,16,2651,2373,29,6297,5661,43,8627,7528,54,236163,211013,93,0.0326283
226289,176700,101,76945,58434,97,2143,1596,27,4505,3699,43,8935,6435,54,13271,10813,75,348877,279924,104,0.0326283
231783,166967,107,90460,65367,102,1899,1517,21,3873,2806,40,9232,6881,59,13452,9852,81,333942,242364,109,0.0360036
202176,152045,106,78442,59332,100,1956,1559,24,3610,3064,37,9119,6857,59,12600,9652,68,325163,255651,106,0.0360036
139119,127652,87,54873,49438,87,1769,1683,17,2539,2524,27,6895,6739,44,11087,9854,59,280186,258222,90,0.0371287
172499,144888,95,56399,46774,92,2054,1670,22,3816,2631,42,7975,6947,50,10991,8889,57,297318,254239,99,0.0382538
220968,172485,116,77397,58754,101,2513,2025,27,5195,4309,40,10612,8485,57,16003,12001,84,420833,334005,116,0.0382538
359368,220522,157,144396,89137,146,4724,2768,42,8340,4647,60,17198,11026,79,23598,14700,92,645529,419690,155,0.040504
77395,76044,85,22465,22183,61,852,1000,1,1509,1385,18,3035,3014,31,5029,4757,41,119237,118436,84,0.040504
235223,175554,112,100812,78100,107,2685,1924,30,4723,3926,39,10579,8252,64,13952,10687,68,412348,308152,119,0.0427543
448076,263292,164,200468,117546,162,6965,4632,49,12590,8239,68,29304,18913,108,44141,28886,161,1.04858e+06,751389,177,0.0427543
106109,104608,83,27473,27717,64,1088,968,0,1618,1903,22,4271,4484,34,6537,6671,40,175418,173559,89,0.0438794
452672,237130,182,191267,107302,167,6410,4000,50,10801,6232,60,22696,13573,90,35432,20660,123,901327,537831,174,0.0450045
149149,120661,94,67113,54108,91,1698,1327,17,2318,2201,23,5404,4974,43,8581,6919,55,214133,171546,99,0.0461296
288562,201864,125,85105,59064,117,3009,2499,31,5589,3803,45,12288,9019,66,16472,11919,74,455873,327236,129,0.0472547
153272,125724,96,61281,50275,92,1843,1266,22,2699,2375,27,6171,5397,45,10040,8591,55,251512,212981,103,0.0472547
170439,137402,99,69647,56492,92,1330,1076,12,3147,2657,34,7594,5880,52,9439,7934,55,287103,239649,100,0.0472547
122719,110625,100,34136,29477,85,1459,1287,12,2344,2067,24,4973,4608,39,7868,6747,47,216761,197890,93,0.0483798
121632,107243,89,45122,38401,88,1968,1515,23,2436,2564,30,6779,6102,47,10274,9157,54,274040,242756,98,0.0483798
244780,201029,103,88179,71920,103,3454,2835,31,5140,3963,43,9667,7915,54,14275,11818,70,355665,300586,109,0.0517552
115839,106354,87,46857,40922,84,1459,1128,11,2606,2306,26,5943,5231,46,8611,7197,56,232023,209591,91,0.0517552
150564,125095,95,61239,49898,91,1845,1369,18,2541,2155,26,5376,4676,40,8424,7493,53,213729,181648,98,0.0551305
55924,55288,79,24037,23950,62,638,590,0,868,1000,1,2199,2156,22,3014,3062,32,76412,74209,82,0.0562556
229385,176292,105,86950,66307,104,2742,2101,30,4250,2878,47,9561,7392,58,14692,11943,72,351191,275370,112,0.0562556
64336,63635,75,25191,24696,73,605,488,0,1070,1138,10,2449,2484,25,3002,2844,28,85234,82404,74,0.0573807
121487,107812,91,51566,45846,85,1183,1126,9,2464,2623,25,4882,4420,39,7680,6614,45,202567,185966,93,0.0618812
109799,105132,90,53536,52192,81,1362,1435,16,2809,2604,26,6320,5857,43,9037,8834,49,238449,227175,87,0.0630063
149630,125387,107,59218,49392,89,1617,1304,17,3185,2992,33,6556,5439,47,9316,7162,55,252219,211830,97,0.0630063
53960,54112,74,12540,11757,56,669,594,0,1925,1714,21,3039,3212,28,1803,1609,21,79981,78620,78,0.0630063
290889,178073,121,118574,74202,117,3125,1978,37,5712,3393,54,12521,7458,68,16944,10480,78,451967,278484,126,0.0652565
84419,82181,83,26682,26050,76,715,847,0,1846,1907,21,4157,4274,37,6009,5729,44,168908,166663,86,0.0675068
116511,112868,84,58946,57121,81,1533,1404,16,2630,2214,35,5112,4932,41,6714,5734,49,184764,175456,84,0.069757
268991,185469,114,93209,63591,107,2907,2095,34,5024,3863,50,10022,6789,62,16303,11221,77,360086,258444,124,0.069757
164818,133254,101,70068,57413,93,1557,1390,18,2662,2089,29,6529,5046,52,9986,8568,57,243155,213082,93,0.0720072
116110,111036,83,57017,54865,83,1620,1607,19,2345,2496,29,5529,5552,40,8649,8301,53,219168,208910,83,0.0776328
187700,146814,101,67690,54395,97,1679,1329,15,2240,2349,30,7133,5735,49,10717,8847,61,280135,228292,106,0.0787579
117135,99791,87,49220,42349,86,1630,1249,17,2746,2060,34,5539,5188,42,7544,5900,50,215179,186338,95,0.079883
116051,101624,88,34133,28491,81,1261,1201,13,1992,2049,25,5369,4661,42,8246,7380,51,217375,187974,96,0.0877588
236509,179203,104,112091,86592,100,2736,1884,28,4273,3355,40,10822,7834,58,15269,11614,79,409855,305558,110,0.0877588
73516,72123,78,35173,34919,75,686,915,0,954,1323,14,3366,3352,32,5457,5639,38,133894,134125,85,0.0888839
214927,156936,104,97429,71904,101,1900,1327,24,4750,3332,44,8399,6518,57,13709,10025,73,340007,249264,110,0.090009
157395,125680,96,75477,60057,95,1380,1022,13,3209,2553,35,6586,5058,49,10227,8010,57,269934,215271,102,0.0911341
165846,133082,96,51209,39931,90,1710,1442,19,3068,2559,31,7628,6234,50,9724,8215,55,287399,231552,100,0.0933843
119271,108048,95,48320,43761,83,1107,1030,6,2207,2254,26,5083,4690,41,7271,6712,52,219956,200796,94,0.0933843
269197,194518,114,87296,62021,110,3108,2083,33,5004,4131,44,11473,8516,62,16888,12865,75,439917,323862,121,0.0990099
167294,134628,98,59245,47641,92,2168,1634,26,3938,3080,38,8129,7011,51,12999,10759,66,338973,269879,100,0.0990099
143469,134888,89,52561,49797,84,1391,1347,11,2798,2640,28,5788,5389,43,9501,8948,56,210261,198905,88,0.10351
75730,76620,78,30178,29760,75,480,606,0,663,1276,10,3073,3029,29,4092,4161,34,112574,113326,81,0.105761
120402,109366,89,49221,42971,84,1880,1682,20,2773,1944,31,6451,5695,45,10111,9350,55,289935,264831,93,0.106886
400228,257958,150,242144,166922,149,7947,5506,49,12585,8841,62,29772,19983,112,43095,28496,147,1.04858e+06,733528,155,0.108011
71380,68976,81,30105,28830,76,967,953,0,1446,1209,13,3424,3055,32,4446,4537,33,119601,117365,81,0.109136
76749,74841,80,13165,12813,47,991,907,0,500,1330,11,3118,3034,30,4758,4661,42,124678,119269,84,0.111386
168669,137522,105,68871,56448,95,1965,1694,21,3278,2710,36,8073,6503,57,12161,10305,64,307824,253301,104,0.112511
72768,70346,75,26249,25373,74,676,721,0,1010,1120,7,2861,2730,29,4690,4581,36,109736,107195,83,0.115887
150559,133132,93,66675,58572,88,1459,1278,13,2737,2363,28,5735,5081,42,8777,7439,49,227655,200897,98,0.118137
140982,122675,95,62411,53568,88,1580,1440,17,2609,2585,26,5920,5085,43,8475,7739,52,213433,192678,94,0.128263
128457,109480,93,55219,47258,88,1295,1140,10,2228,2094,24,5572,5041,41,8842,7297,52,207752,180167,98,0.128263
142557,120424,92,52685,45161,88,1703,1549,17,3349,2693,36,7323,6328,53,11753,10022,60,315558,275279,100,0.129388
82949,81904,80,21615,21389,58,1192,940,0,1706,1848,19,4327,4190,35,6510,6569,42,171928,165159,86,0.129388
110194,105322,86,38907,37669,81,1020,886,0,2030,1860,25,3898,3698,34,7192,6717,43,170835,166995,91,0.131638
104959,102305,85,29537,28757,77,1453,1299,19,2342,2259,28,5496,5681,41,7544,7448,47,216427,208274,88,0.131638
