"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
40337,43320,52,14981,14705,49,878,851,0,920,1053,5,2100,2120,25,3532,3161,33,83665,84111,80,0.00411754
54532,53484,87,25649,25594,68,955,902,0,1005,835,0,2158,2020,24,3145,3022,28,78755,74954,81,0.00514692
253381,180639,116,96878,68944,116,3198,2169,36,5182,3735,43,10354,7695,60,16361,12332,75,403977,293176,124,0.00720569
94925,84803,97,26456,22389,97,1059,991,0,2432,1840,24,4572,4234,38,7865,7291,48,198320,175955,97,0.00823507
265060,190245,105,109065,78766,104,3068,2147,32,5500,3614,52,10816,7655,64,16547,11635,73,432891,306158,114,0.00823507
247853,189144,106,146359,114489,105,4327,3748,36,7169,5284,56,15884,12514,69,22034,17162,99,580649,461172,113,0.00823507
132203,113571,91,52746,45387,88,1604,1210,18,2985,2738,27,6811,6109,45,10083,8677,56,275354,237228,98,0.013382
323980,205820,139,163772,112503,125,6953,4930,46,11750,8008,64,25135,18003,104,39399,29425,123,953916,687284,133,0.0154408
244978,169762,109,89141,62578,104,3411,2318,37,5809,4021,51,11509,8054,63,16596,11867,79,458660,335658,117,0.0164701
71637,68772,79,28168,27682,75,1004,1084,7,1312,1618,17,2941,3131,29,4806,4237,44,120972,116344,78,0.0174995
119677,115447,85,37650,36440,80,1693,1718,21,2870,2948,31,5892,5434,42,9092,7923,58,210215,199459,83,0.0185289
179486,145071,99,65424,53326,92,2155,1694,25,3642,2940,33,7479,6243,49,10751,9170,60,279312,227219,104,0.0195583
178086,148459,98,88556,76435,95,3127,2530,28,4232,3840,33,7785,6961,51,13431,11645,63,309815,279026,105,0.0205877
106782,91607,90,43572,37320,87,1291,1402,13,1794,1780,20,4328,3793,39,7141,5972,47,173708,150461,99,0.0226465
38626,38751,70,11936,12020,44,667,631,0,241,677,0,1477,1558,20,2568,2569,28,67461,67975,81,0.0236758
184472,147158,94,76208,59143,95,2253,1951,25,3704,2972,36,7956,5909,53,13112,10180,69,315011,244667,107,0.0247052
241916,174564,106,111080,79018,107,3211,2171,33,4678,3699,42,12521,8930,67,18482,13431,77,484122,356645,123,0.0247052
226861,174226,106,87255,67329,101,2517,2050,27,3981,3598,36,10045,7709,56,15333,11489,74,386348,306077,113,0.0277934
216171,159929,102,87068,65121,101,2367,1705,27,4556,3438,46,9549,6711,59,15807,11802,76,414778,304889,114,0.0298521
61758,61579,75,12441,12436,44,825,815,0,826,940,0,2447,2718,27,3685,3161,34,108355,108652,82,0.0298521
118012,110092,92,35463,32788,83,1454,1257,14,2196,2204,24,5384,5262,41,7347,7152,43,199452,186514,92,0.0319109
178081,140009,99,69346,55015,97,2259,1765,27,3380,2938,34,7268,6228,50,12269,9890,65,291602,226239,108,0.0329403
175055,149294,94,89276,76572,93,2590,2084,29,3452,3164,35,8085,6837,51,12349,11160,63,305991,264690,101,0.0329403
73508,71941,83,21086,20471,60,702,518,0,1315,1415,15,2542,2437,28,3144,3120,31,102603,100352,85,0.0349991
229789,165548,109,92044,67357,101,3203,2535,30,4303,3066,52,10800,7754,62,17290,12685,70,448172,324963,111,0.0370578
111653,106870,84,29098,27777,78,1535,1597,17,2520,2521,29,5793,5745,39,8895,8176,52,263372,252920,88,0.0391166
159055,135190,96,51024,42452,89,1687,1393,19,2854,2221,31,7095,6463,46,11192,9827,63,294658,253627,100,0.0411754
112001,106646,83,34153,31970,80,1555,1165,17,2030,1909,22,4987,4714,40,7161,6956,47,184509,172982,89,0.0422048
209188,162244,97,78583,60372,97,3051,2446,32,4773,3245,43,11035,8933,59,15839,12501,72,429800,334748,107,0.0432341
187001,149850,98,64004,52067,95,2212,1757,28,3262,2371,34,6995,5434,49,10004,8158,57,238470,193180,104,0.0442635
