"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
155163,129246,92,117690,106601,90,3080,2666,32,5949,5349,43,14773,13676,67,22116,19753,83,543902,484082,106,0.0020004
183243,147087,103,59877,47753,95,1683,1277,16,3018,2364,34,7256,6055,50,12051,9131,62,279054,216082,113,0.0030006
110470,106759,88,47653,45941,82,976,1192,10,2362,2500,26,5987,5688,43,9202,8241,52,236511,223450,98,0.0030006
232426,159085,115,81864,56096,100,2746,1975,32,4559,3317,45,10590,7227,65,17347,12161,79,445906,307479,119,0.005001
285110,196364,123,94155,64742,120,3290,1952,36,6253,3973,50,12206,8413,64,19091,13576,78,432974,299576,138,0.0070014
146765,132255,88,51217,45192,87,1652,1485,17,3365,3243,32,8427,7952,51,14726,13851,61,343391,316337,103,0.0110022
145030,118013,92,50554,39921,92,1132,1028,6,2734,2522,28,5943,4824,44,9529,7749,53,209017,166391,107,0.0130026
305618,210401,134,104741,72974,126,3272,2404,32,5381,3893,48,11929,8204,66,19091,13406,83,395776,282803,141,0.0130026
349133,253408,139,127156,97857,133,4467,3102,38,7834,5593,47,18434,14220,76,30271,23391,116,648784,484018,149,0.0140028
130917,124238,84,45695,41401,83,1106,1029,4,2512,1959,30,4528,4224,39,8257,8109,49,181198,170796,89,0.0190038
116228,111996,85,47634,45713,81,943,942,0,1650,1855,21,5271,4781,44,7273,7175,45,193326,180652,97,0.0190038
242942,188713,112,129062,96604,104,4915,3729,39,9692,6742,61,19678,15074,80,33434,24304,108,704818,542649,119,0.0260052
74331,75400,75,25859,26266,62,770,898,0,1420,1232,13,2331,2723,26,4126,4236,35,94180,91058,87,0.0260052
155841,131283,94,49941,42508,89,1857,1539,22,3348,2944,34,7803,6710,52,12627,11394,71,317120,275079,107,0.0260052
104961,104254,81,52561,51395,81,1315,1386,14,2641,2552,28,5784,5829,39,10440,9979,50,248454,234279,97,0.0290058
167966,138251,92,50910,40338,90,1462,1160,12,2911,2275,35,6024,4823,44,9676,8372,54,241435,193725,108,0.0290058
102584,100210,85,41535,40452,80,979,1146,8,1680,2094,20,4195,4188,36,6766,6091,45,155985,153522,97,0.0330066
395638,228978,140,132541,77424,137,5276,2647,51,10134,6096,63,20432,12199,85,33720,20136,136,714092,405128,155,0.0340068
101252,100967,81,48515,47546,80,1008,1291,11,2251,2015,25,5127,5071,38,7409,7006,44,188731,183059,95,0.035007
167557,138875,96,60555,50336,92,1515,1181,15,2931,2596,32,7048,6122,47,11463,9285,69,272562,222648,109,0.035007
238295,189426,106,106072,86300,107,2648,2094,29,4808,3907,41,11579,9208,59,17931,14152,79,462083,360614,122,0.0390078
388276,222911,161,116026,66658,145,4801,2818,45,8280,4949,64,18436,11292,83,30295,18639,126,619253,376396,159,0.0410082
306448,245187,122,167560,139438,116,6899,5675,43,13466,11790,58,29826,25522,96,47970,41982,116,1.04858e+06,977607,129,0.0440088
202856,158453,103,54782,41864,97,1648,1323,18,3153,2619,39,7870,6168,51,11593,9189,61,311578,250940,114,0.045009
185547,148270,103,62522,48990,94,2544,2096,26,4094,3393,35,9486,7447,57,15034,13162,76,334360,278689,103,0.045009
173112,138402,111,59683,46972,93,1842,1593,18,3674,3009,35,7719,6637,49,13413,11545,60,321054,259946,110,0.0470094
86961,85021,80,23858,23453,68,887,1006,2,1542,1608,18,2976,3034,28,5029,4889,38,104744,97814,95,0.0490098
244656,176471,112,90149,63465,109,2903,2202,30,4994,3784,43,10921,8035,63,17036,12514,72,392067,284240,127,0.0570114
164053,151264,88,79231,71900,87,1863,1762,21,3748,3824,34,7985,7367,50,13099,11620,67,311828,284123,103,0.060012
75608,75012,77,25520,25174,74,743,546,0,769,803,0,2676,2530,29,3931,3646,35,100734,97116,86,0.060012
147297,133110,92,36631,32883,84,1546,1426,19,3531,3572,30,8242,7673,49,14004,12575,63,325329,302482,101,0.0620124
214433,185313,100,101558,88865,97,2517,2326,26,5248,4088,48,10019,8877,58,16880,14904,75,354389,322268,106,0.0660132
150460,131425,96,57437,48876,89,1777,1371,19,3283,3043,30,6532,5530,44,10667,9162,62,276954,242597,102,0.0710142
118384,111790,83,34816,33459,79,1278,1335,13,2101,2043,20,5308,5072,41,8049,7241,47,207161,195913,95,0.0720144
192782,155880,109,59316,47801,95,1688,1520,20,2675,2333,27,6938,5537,47,11378,9544,65,268594,223863,113,0.0740148
188596,147117,96,64618,50347,93,1826,1347,20,3075,2404,34,6326,5098,49,10537,8521,56,261830,200595,107,0.0740148
331781,208637,129,121770,75725,128,4155,2576,39,6719,4588,52,14787,9116,81,24032,13879,99,512529,335628,137,0.075015
161771,132948,94,53155,43857,91,1726,1269,12,2719,2118,30,5947,4702,47,9515,7856,55,208491,163428,106,0.0760152
239425,186511,109,129525,101703,103,4034,3004,35,6809,5575,48,15472,12103,76,26958,21288,106,572546,460312,117,0.0770154
234078,182779,103,76937,59604,99,2587,1892,29,4233,3774,38,8884,7146,54,14557,11878,70,301947,234529,115,0.0790158
112264,109053,82,39529,37666,81,1363,1290,13,2538,2344,25,5985,5713,41,8600,8515,49,232795,219769,98,0.0790158
134668,119807,89,36006,30793,87,1140,1115,9,2841,2290,35,5554,5286,40,8674,7825,51,237337,219953,98,0.080016
248024,187206,104,78116,58790,103,2991,2147,33,4627,3892,46,9751,7529,56,15178,11234,77,328000,249681,117,0.080016
155765,128387,98,52310,42726,91,1098,1329,12,2686,1833,31,5664,4410,47,9404,7634,58,222119,181413,106,0.0820164
316058,201662,155,134095,88275,137,3623,2323,36,7010,4834,50,12940,8827,70,20798,14021,79,449593,294044,151,0.0920184
195245,147844,115,68526,52289,97,1453,1400,15,3664,2684,38,9701,7157,58,14722,10766,76,371392,288827,115,0.0940188
142406,124153,90,47432,40411,87,1017,830,0,1738,2089,23,4652,3936,39,7683,6785,51,160926,142578,97,0.10002
89106,85201,83,37906,36958,78,854,861,0,1657,1707,14,4083,4060,36,6180,6177,42,171274,161202,94,0.103021
193754,158494,96,54333,44169,93,1867,1745,23,3752,2630,37,8116,6510,52,11795,9663,61,288150,222143,112,0.106021
334795,222283,141,95568,64162,121,3706,2922,34,5678,4103,47,11792,8155,65,21473,14449,85,428204,294440,138,0.108022
135320,115765,90,47582,39767,87,1269,1115,9,2023,2326,24,4960,4331,41,7799,6736,56,158758,136334,94,0.108022
130993,124063,86,70564,67913,85,1953,1727,22,2440,2760,28,6532,6121,44,10628,10770,55,216632,208888,91,0.110022
104262,99452,97,29048,28604,78,1038,1055,7,2141,2147,22,5165,5124,38,7497,7607,43,206846,201984,96,0.113023
160143,136207,90,51289,42746,90,1893,1602,21,2483,2221,30,6386,5221,47,9834,8355,56,242940,206708,99,0.115023
238905,189449,104,127632,104617,104,4776,4101,34,8938,7467,54,16367,13672,71,24402,20827,97,538410,451363,112,0.116023
92404,91017,82,25384,24690,76,1037,844,0,1925,1872,22,4364,4376,35,7388,6673,52,179765,171800,92,0.117023
89773,87070,80,31230,30056,76,828,862,0,1421,1275,12,3474,3513,31,5920,5274,43,133097,130030,89,0.117023
254418,181190,117,80483,57660,108,2133,1611,28,3764,2772,37,9348,6593,58,15996,12172,75,338107,248157,122,0.118024
224237,168762,117,73057,55633,98,2239,1719,27,4289,3481,41,8229,6873,50,13874,10442,67,293404,218354,116,0.119024
200339,148235,99,76818,56891,98,2215,1683,26,3774,3123,38,10268,7322,63,16126,12124,73,398800,298824,110,0.120024
302724,215177,119,134465,95437,118,3664,2651,34,6667,4604,49,13524,10009,69,22507,15940,93,491147,349399,134,0.120024
271205,184895,120,84905,57690,114,2984,2162,34,4860,3087,47,11079,7642,67,17999,12315,79,391694,273931,128,0.121024
195476,162760,105,59547,48904,92,1943,1526,20,3489,2988,37,7345,5901,49,11776,9402,59,261033,212887,109,0.122024
241612,200528,113,91721,76926,103,2902,2195,30,4902,4065,43,11391,9825,59,17701,14775,82,412341,353770,116,0.123025
127228,117710,89,49978,45349,85,1329,1207,11,2364,2265,31,5694,5236,42,9822,8876,54,223421,204016,102,0.125025
220052,174189,102,63574,47692,98,2134,2071,23,4537,3937,42,10022,8112,53,15553,12871,77,355149,283931,110,0.127025
240102,173449,110,75820,54413,106,2478,1938,27,3668,3279,37,10998,7878,65,19064,13126,83,461250,334372,125,0.127025
208574,158036,100,79432,58141,99,2624,1892,28,4702,3257,47,9871,7141,61,15726,11859,74,415472,314729,117,0.127025
214688,162785,104,84033,64308,103,2007,1402,25,3490,2652,35,7546,5800,51,12397,9973,66,266279,211035,117,0.128026
228105,172008,104,97794,76990,99,2604,2037,28,3784,3250,42,9401,7199,53,14533,11105,67,383758,297927,116,0.131026
243378,177179,113,86440,64087,109,2356,1942,27,3555,2700,41,8699,6435,55,14253,10100,75,346001,255035,126,0.132026
241080,193566,100,80695,60738,98,4336,3255,38,6578,5621,54,14196,10696,69,21164,17035,78,451527,338923,116,0.134027
151636,132694,92,48236,41543,90,1118,1123,9,2432,2082,22,6002,5118,45,9203,7529,61,213659,187355,106,0.135027
197244,153710,100,106649,83279,99,3203,2547,33,6623,4883,49,14933,11678,74,22254,17780,93,574001,449597,115,0.136027
199956,151467,98,78502,59761,96,1759,1428,20,4054,3361,39,10085,7784,60,16163,11888,76,400636,296541,111,0.137027
308050,207551,121,137770,97821,115,4169,2979,38,8270,5767,57,17629,13502,73,28552,20974,102,616843,453707,130,0.138028
324723,230106,137,174340,130781,130,6469,4989,41,11611,9749,58,24123,18968,87,38303,30555,132,833609,665685,142,0.139028
144286,123218,93,47233,40158,87,1128,799,0,2265,1934,29,5975,4990,42,9242,7987,53,211514,178380,103,0.141028
161597,127985,96,58307,46052,95,2136,1672,23,2877,2803,32,8126,7113,53,13831,11022,65,349582,290034,109,0.142028
103677,100577,83,28247,27304,77,1090,1195,11,2353,2471,26,5290,4976,39,8317,7695,52,205336,203083,95,0.142028
234177,180618,113,137494,118602,105,4805,4224,38,8606,6973,56,17966,15898,75,27176,23228,106,591952,508418,115,0.144029
181887,143979,96,57572,44489,93,1906,1378,17,3193,2699,30,7566,5951,53,11499,9012,68,269257,213377,108,0.146029
318752,220233,139,130079,93609,135,3870,2570,39,7820,5423,60,16391,12056,74,23222,16789,86,574262,415078,146,0.14803
