"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
181572,157496,94,75912,66503,92,2033,1817,24,4279,4128,37,9696,8613,53,15000,13403,69,375192,329468,101,0
112755,107393,89,41816,40369,82,1342,1451,15,1880,2062,24,4528,4147,41,7172,7086,44,153670,146654,89,0.000962994
113686,101575,97,44275,39989,84,1202,1250,12,2203,1979,25,3872,3574,36,6292,5963,42,152657,134370,92,0.00192599
68220,66638,79,23217,22858,63,920,734,0,1097,1160,10,2898,2949,29,5167,4961,39,116450,113394,83,0.00192599
166822,140793,99,50800,42389,90,2074,1996,23,3441,2461,42,6725,5849,45,11045,9102,61,235734,201936,98,0.00288898
251241,192207,107,88068,66731,105,3434,2570,33,6447,4856,45,12659,9980,65,19121,14815,87,413305,323530,116,0.00385197
132391,120604,93,50283,45779,84,982,950,0,1808,1695,25,4719,4141,38,7220,6588,52,184244,164842,94,0.00385197
91820,88992,83,45628,44355,80,973,1055,5,1775,1589,22,3512,3482,34,5206,5198,40,142076,138418,86,0.00481497
51727,50730,82,22895,22733,66,491,583,0,935,1044,5,2245,2122,26,3019,2823,29,67601,66836,79,0.00577796
155651,121433,99,57615,45147,92,1713,1408,18,3227,2712,35,6185,4942,48,10384,8591,57,242784,189450,99,0.00577796
32283,34504,61,13815,14059,45,215,274,0,618,435,0,1454,1640,17,1732,1676,21,49528,50197,77,0.00577796
116899,112872,84,43429,41188,82,1982,1710,22,3357,3228,31,6291,5601,44,9840,9409,51,194698,189067,85,0.00770395
67453,65742,77,23866,23253,71,664,799,0,1147,1287,12,2490,2593,27,3656,3851,32,87315,83284,86,0.00962994
171561,142277,96,71239,58138,94,2354,1494,26,3504,2971,38,7757,6544,53,13425,11652,69,350560,298353,101,0.0105929
119447,114822,98,30617,29565,79,1320,1384,16,3123,2650,29,6407,5997,45,11041,10764,57,265712,253545,94,0.0125189
123542,112897,85,45430,40989,82,1168,1074,6,2463,2131,32,5045,4477,40,8764,7875,50,184590,163698,94,0.0125189
94000,91207,83,37893,36987,79,947,1135,8,1581,1645,22,3918,4001,32,5928,5798,40,148461,138275,89,0.0154079
307623,202743,130,85710,56580,127,3427,2328,37,6375,4538,53,14185,9582,72,21833,14792,91,460630,309221,139,0.0163709
60209,59679,74,23603,23359,69,803,589,0,1425,1360,14,2130,2239,24,3328,3018,31,74794,74188,82,0.0173339
46282,46415,75,19303,19282,59,391,514,0,962,832,0,1611,1707,19,2128,2644,25,52254,52510,74,0.0173339
259773,185921,126,103779,76723,114,3181,2236,34,5312,3445,50,9885,7007,59,15397,10804,72,320679,240649,119,0.0173339
141955,122462,92,40718,33759,88,1797,1606,21,3180,2547,33,5981,5035,45,8819,7197,56,194048,172067,95,0.0192599
315114,190056,131,99193,58342,131,3907,2368,40,7260,4338,57,15064,9204,78,22517,14050,80,477099,291644,141,0.0192599
136499,117941,94,43892,38296,84,1341,1054,6,2558,2465,28,5627,4887,47,7452,6455,51,214958,190813,96,0.0192599
215107,156316,118,74443,54141,103,2187,1724,28,4160,2806,41,9650,7138,58,14517,11377,75,379619,278968,115,0.0202229
112335,107815,88,27480,26413,79,1429,1348,15,2469,3016,24,5848,5617,40,9362,8467,49,229195,222748,94,0.0211859
59856,59496,77,20983,20509,61,767,673,0,918,1107,10,1882,2266,21,3613,3822,31,92725,89727,82,0.0211859
143906,120446,93,53402,44934,89,1482,1371,15,2774,2130,35,6759,5800,48,11043,9259,59,261484,219281,99,0.0221489
335765,211277,139,118990,77329,133,4875,2999,42,8262,5502,59,15525,10302,71,24706,14816,97,559182,359544,145,0.0221489
53891,53797,67,19693,19477,56,517,462,0,1268,1102,7,1688,2082,21,2935,2943,29,68517,69655,75,0.0231118
68112,67118,78,34855,34894,75,478,445,0,1635,1521,16,2346,2212,24,3880,3717,37,90379,90619,83,0.0231118
33963,32968,74,8637,8678,40,320,384,0,859,895,0,1132,1249,12,2460,2530,24,59448,57846,77,0.0240748
92075,88757,81,39882,38683,78,1044,1124,9,2217,2234,23,4334,4023,38,6407,6463,44,189927,186671,89,0.0240748
94000,89183,82,36184,33957,79,746,812,0,1359,1736,18,3789,3564,34,5447,5038,40,126550,116505,88,0.0250378
145686,124568,96,45370,37350,86,1429,1329,13,2882,2811,36,6899,5594,49,10327,9007,59,265493,229663,98,0.0250378
139667,113126,106,44001,35012,92,1557,1312,13,2984,2241,31,5808,4689,43,8252,6971,58,190778,152889,106,0.0250378
45141,45608,70,14820,14900,46,811,772,0,757,863,0,1923,2009,23,2597,2881,28,59798,61341,80,0.0250378
99802,93480,85,40043,38583,80,925,921,0,2139,1819,23,4067,4177,34,7036,6964,42,162639,157560,89,0.0260008
69559,67399,76,15040,14791,48,770,839,0,1690,1406,19,2551,2389,27,3899,3921,34,93089,90544,79,0.0260008
151760,136546,92,66109,60712,89,1237,1336,13,3665,3425,33,7269,6431,48,11924,10955,64,290308,255814,85,0.0279268
233269,173003,113,105413,84612,99,4001,2799,36,7149,5753,49,13882,11074,70,20038,15797,88,508059,405757,110,0.0288898
86166,81652,85,42866,41722,78,1057,1350,11,1616,1647,20,4112,4199,35,6619,6740,41,137627,134153,88,0.0298528
74805,74307,80,29972,29669,75,628,764,0,1426,1640,16,2809,3019,27,4049,4505,34,98048,93543,84,0.0308158
151926,127495,107,41784,34776,88,1767,1484,17,3230,2685,32,6154,5565,46,10340,9047,52,249822,218553,99,0.0308158
107657,102682,84,38712,36986,80,1394,1343,13,2078,2325,23,4746,4437,39,8272,7784,49,186050,179824,89,0.0317788
153091,130999,92,84629,74199,90,1618,1379,16,2918,2593,31,5478,4844,43,9819,8253,54,219252,186663,95,0.0317788
202400,160001,101,69214,53424,99,2822,2454,26,4899,3560,44,10624,8857,55,15096,12387,69,338687,276311,106,0.0327418
131666,122523,92,32207,28845,84,1375,1520,18,2855,2911,31,6702,6503,44,11185,10065,60,286160,269590,92,0.0337048
100521,97353,81,37718,35830,80,1180,996,0,1953,1700,24,4580,4230,38,7196,6667,46,147332,138557,92,0.0337048
193060,161631,107,99383,85356,95,2436,2223,27,5387,4671,40,11361,9572,65,17009,14487,75,420995,365053,103,0.0346678
53723,52612,75,14512,14570,46,856,909,0,1562,1422,13,2703,2691,27,3410,3005,36,74435,74004,80,0.0346678
106184,93450,86,44397,37910,83,1304,965,0,2718,2118,27,5350,4664,41,7527,6591,50,226018,201896,93,0.0356308
148331,121317,91,43084,34197,90,1603,1510,17,2838,1934,35,6055,4535,49,9997,8607,53,216386,175787,101,0.0356308
113053,108660,80,49321,47172,80,1629,1509,18,2568,2157,30,6255,5990,44,9599,9009,52,235696,229011,92,0.0365938
116202,107888,86,27696,26730,81,1393,1351,12,2330,2586,29,5768,5617,40,8791,8641,55,253038,238814,94,0.0394827
176964,151540,93,83062,73602,91,3185,2682,31,5264,4742,50,10936,9766,66,15182,13431,73,354356,333829,89,0.0394827
131486,111704,98,58289,50408,87,1337,1257,13,2470,2115,26,4963,4360,39,7053,6062,45,167151,141230,97,0.0414087
