"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
103538,87767,94,34881,29065,83,1975,1686,22,2070,1666,23,4721,4596,39,7476,5965,54,151106,123832,91,0
161057,133076,99,53789,44421,91,2498,2005,28,3581,3369,32,6772,5747,45,9421,7931,53,209775,175302,100,0.0010219
89510,87174,82,26651,25983,76,1050,1224,11,2083,1567,21,3999,4098,35,7784,7852,53,198860,192416,89,0.00510949
111972,100998,97,43784,39618,84,1443,1221,11,2819,2518,30,5291,4959,40,6295,5514,43,141017,128616,90,0.00715328
118256,105474,91,44630,39015,85,2082,1870,24,2372,2017,25,5659,4946,42,7374,6461,45,188133,164907,92,0.00817518
184434,136660,103,71377,53734,97,2252,1599,26,4714,3001,44,9642,7422,58,15552,11273,70,377306,291833,105,0.0122628
137166,114127,94,48610,40612,88,2011,1761,26,3052,2643,30,6418,5441,47,8444,7169,56,208213,178279,95,0.0183942
346565,197872,135,118846,69412,128,5702,2983,48,8358,4781,60,17217,10130,85,25856,14518,98,511693,301676,134,0.0183942
90223,83937,80,33401,30622,80,1753,1721,20,2592,2240,30,4504,4060,39,5737,5058,45,121361,110757,86,0.0183942
101558,82371,90,36085,29138,85,1342,1369,13,2144,1441,23,4290,3791,39,6816,5460,48,146300,123633,90,0.0214599
180655,140576,104,69860,55644,93,2584,2047,28,3666,2777,38,8536,6859,52,12223,9413,70,317465,255093,102,0.0214599
88283,83128,83,32836,30059,79,1432,1426,17,2208,1942,28,3928,3988,35,5677,5205,40,117111,114112,80,0.0255474
405150,221356,151,131992,72197,146,8258,4488,53,10112,6304,60,21967,12612,88,32783,18914,143,643132,362361,157,0.0265693
98329,95322,81,24974,24532,77,1265,1214,10,2003,2001,28,4917,4750,37,7469,7182,46,200779,192439,89,0.0286131
93583,89853,96,30895,30019,78,1091,1125,7,1445,1853,17,4760,4623,38,6655,6531,44,187492,178070,89,0.0286131
83378,76716,93,29970,27316,78,1258,1182,11,1446,1608,15,3756,3458,35,5309,5062,41,105510,98611,85,0.029635
296683,206046,129,123879,89673,115,7222,5627,47,9367,6602,57,18484,14064,81,26580,19339,99,528585,414036,121,0.0327007
105645,100568,88,40058,38757,80,1337,1323,15,1949,2203,25,5680,5487,40,8319,8230,52,221410,213145,88,0.0337226
195530,147997,103,60496,46184,97,3315,2384,34,4080,2972,42,8777,7123,53,12958,9874,65,265945,204234,107,0.0347445
134165,117105,91,46897,40909,88,1459,999,0,2899,2371,31,7581,6548,49,10561,9438,58,304714,269174,92,0.039854
207448,153810,98,64071,47257,96,3595,2634,36,4809,3753,42,9911,7133,61,13764,9705,69,274209,200175,109,0.0418978
113315,104136,86,32525,29851,81,1686,1560,18,3226,2680,31,5182,5081,39,7729,7337,44,155250,143527,88,0.0429197
36412,36643,70,14933,15127,48,242,291,0,385,636,0,1730,1958,19,2294,2424,26,59289,59613,68,0.0459854
370160,247064,139,191955,133035,136,7613,4836,48,11834,8047,70,23326,15942,89,32450,23022,131,678119,490131,141,0.0510949
74817,69917,80,9338,8928,44,665,528,0,2689,2238,27,1318,1265,14,1039,1144,9,446,652,0,0.0541606
101804,98067,82,20773,19997,63,94,157,0,765,1088,6,645,548,0,613,375,0,285,664,0,0.0551825
191458,148246,101,64140,48843,97,2183,1666,26,4245,3717,42,9513,7731,59,14810,12065,69,384310,321886,105,0.0562044
164726,133276,98,47439,38291,90,1792,1541,20,3115,2696,33,7751,6168,55,11505,8638,65,301822,251636,100,0.0592701
148235,119680,92,30952,24916,87,468,341,0,1495,1210,13,742,529,0,257,463,0,15,169,0,0.0633577
102274,86102,89,30489,24973,84,1923,1824,18,2390,1883,29,4632,4347,38,7718,6224,53,163198,135493,91,0.0643796
261224,180050,116,71294,49158,112,4103,3064,37,6617,4752,50,12608,8552,72,17548,12149,78,353592,253201,120,0.0664234
330026,202608,141,108562,70034,137,6402,4355,44,7511,4682,58,15684,9741,78,22074,14086,88,440346,281133,149,0.0684671
95992,94006,83,24329,23783,71,1106,1145,9,2187,2120,22,5127,4945,40,8149,8130,51,201345,198565,91,0.0705109
136554,110114,92,17443,14260,57,770,626,0,3866,3167,41,2041,1442,21,1226,1273,11,338,472,0,0.0725547
148941,117845,101,53848,42057,91,2479,1947,28,3582,2856,36,7377,6062,51,9760,7430,58,195334,155364,98,0.0735766
143856,125320,95,80954,71424,89,1488,1308,16,2875,2767,28,6638,5531,51,10166,9603,50,271477,230507,99,0.0735766
175928,146098,96,52640,43885,90,3161,2644,31,4691,3280,45,9278,7744,56,11813,9006,70,257760,214776,98,0.0735766
156814,129508,96,47995,37185,93,2202,1936,25,3330,2967,34,6235,5041,46,9090,7614,57,224708,186100,101,0.0745985
134771,118297,105,56043,49702,89,1500,1477,17,3098,2539,35,8000,7138,48,11662,10619,67,319170,287051,97,0.079708
130204,117519,87,44658,39593,85,2212,2168,25,2617,2701,30,6147,5687,42,8969,8595,48,179072,161949,89,0.0827737
145260,116717,94,49656,40189,92,2671,2029,28,3133,2590,32,6181,5402,46,8372,7160,53,200877,163705,97,0.0827737
220993,160661,111,66554,48192,101,3646,2893,36,5352,3942,43,9718,7447,57,13715,10145,67,302923,222899,108,0.0848175
134355,121343,102,47403,42695,87,1559,1292,14,2994,2897,27,6259,5938,44,9355,8952,52,234201,218262,92,0.0858394
124357,115878,88,46005,43508,82,1252,1355,13,2981,3025,33,6530,5638,49,10775,10047,58,265329,249029,92,0.0858394
139461,117793,92,47172,39895,88,2137,1645,22,2758,2305,31,6303,5235,46,8409,7144,58,179426,158395,96,0.0868613
116058,92712,90,36348,28260,87,2055,1680,24,2306,1838,26,5429,4713,43,8455,6049,54,175062,139008,95,0.0929927
153788,136478,90,58112,51270,89,2896,2514,28,3671,3517,37,6821,6193,45,10738,9611,57,211792,193665,96,0.0950365
103421,97752,91,36838,35669,79,1199,1192,13,2347,2332,24,5609,5028,41,8062,8463,50,228790,218626,89,0.0960584
