"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
235167,175541,116,86219,65953,104,2978,2211,32,4788,3675,41,9200,7212,55,14529,10606,67,330995,250982,113,0.0102749
202806,153419,104,91342,68026,99,2053,1617,24,4211,3347,41,8835,6693,55,12125,9247,63,326893,250737,105,0.0133573
52992,53176,74,17753,17629,52,506,509,0,759,1118,7,1966,2105,22,2897,3017,29,78556,75968,84,0.0184947
354177,238420,127,205426,143050,130,5545,3849,42,9779,8016,56,20397,14984,82,28982,21328,123,730117,535212,141,0.0195222
32156,33156,48,14535,14376,48,397,367,0,736,880,0,1456,1500,16,2521,2342,28,59561,56833,77,0.0226047
227671,168913,113,86070,65839,111,3197,2410,32,4023,3275,42,10347,7790,59,14622,11219,85,366798,282982,122,0.0236322
197923,142961,101,69457,50686,96,1571,1411,14,3955,3143,37,8973,6601,58,12146,9325,64,353435,261692,108,0.0267146
76843,77216,77,39348,38811,76,728,857,0,1464,1381,15,3216,2916,34,4572,4570,37,127864,127994,84,0.0267146
175849,147876,111,54125,44835,94,1873,1634,22,3800,3141,41,7638,6623,49,11120,9938,61,269452,239454,101,0.0287696
210791,158536,103,77300,56563,100,2029,1685,24,4251,3333,44,8962,6894,55,14983,12003,79,353732,266977,108,0.035962
148788,119103,95,49964,39633,90,1467,1371,13,3183,2869,29,6326,5230,48,9222,7838,53,241609,195539,96,0.038017
106749,102831,81,24220,23272,64,1291,1009,2,4038,3569,39,5683,5489,42,4888,4903,35,149223,146499,90,0.038017
122706,111124,85,40817,35593,81,1243,1115,10,2673,2333,32,6162,5533,43,8315,7463,53,221778,206797,83,0.0390444
205747,162469,101,83478,64215,97,2429,1643,30,4993,3687,46,10460,8315,60,16059,12745,72,399611,315647,104,0.0431544
181382,150162,106,63658,50972,93,1456,1236,15,2515,2610,28,7307,6277,47,9829,7777,60,261868,217792,101,0.0431544
227888,158468,110,83970,58136,102,2455,1790,26,3841,2750,40,9137,6002,59,13415,10384,65,316850,231287,108,0.0452094
161310,141403,93,59367,50996,89,1937,1865,21,2972,2863,33,9150,8156,55,13223,11777,64,341214,304534,97,0.0462368
168464,139565,93,54217,43243,92,1832,1302,19,3528,3145,33,7880,6532,51,10308,8589,59,274656,230899,99,0.0472643
210349,153313,114,77118,56972,101,1880,1436,22,4002,2945,37,9067,6904,57,13441,10185,67,354571,257564,111,0.0493193
57903,55099,78,19378,19100,57,734,759,0,1154,729,0,1873,1869,23,3718,3790,34,79365,78471,83,0.0503468
156078,128214,98,48474,39480,92,1860,1694,21,3503,3049,34,6780,5984,48,9284,7348,58,248477,203330,107,0.0513743
172088,143152,94,132413,118931,96,3940,3385,32,6823,5833,48,13671,12663,64,20211,17808,76,478132,415924,105,0.0524017
37349,38616,74,24304,24216,71,288,351,0,829,702,0,1908,1913,21,2077,2148,25,61775,63233,74,0.0534292
275557,183693,115,95952,63795,111,3319,2644,30,6054,4310,49,12470,8212,66,18720,13254,93,435548,301837,120,0.0544567
52164,49286,82,21181,20618,61,552,496,0,1314,1067,6,2093,2014,23,2977,2551,35,90300,90572,81,0.0554842
237001,182609,108,85540,66063,102,2715,1892,32,5559,3805,52,10883,8473,56,15058,12548,70,390798,306158,111,0.0575392
50721,52141,66,15170,15110,50,791,678,0,568,383,0,1532,1531,18,2244,2349,26,64607,65795,82,0.0585667
173150,140791,94,59828,49182,92,1785,1484,21,2760,2549,32,7323,5901,50,10228,8809,54,266637,223256,99,0.0606216
132230,118318,93,52312,45497,87,1426,1308,13,2438,2215,31,6339,5616,42,7806,7029,50,236716,205609,98,0.0626766
186917,139054,114,72481,54934,96,2260,1635,25,3850,3077,36,7814,5888,52,12081,9311,61,306308,236730,103,0.0688415
151648,136602,91,95161,87186,90,1697,1548,19,3902,3578,33,7563,6706,48,11486,10132,63,288721,266311,96,0.069869
181774,146694,95,110164,91645,93,2508,1920,30,5211,4245,45,10758,8819,64,16540,13661,67,411127,350391,98,0.069869
