"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
177330,141932,108,57420,45426,93,1872,1719,21,3314,2740,37,6805,5307,49,9388,6961,63,238359,192795,101,0.00291991
59772,56789,82,20875,20738,60,358,515,0,1139,1053,6,2209,2277,24,2961,3242,30,79763,78617,82,0.00486652
164326,133478,97,55643,44409,92,1981,1689,22,3413,2903,38,7367,5991,51,10915,9027,58,253720,206164,101,0.00681313
345183,206021,130,121440,72150,127,5010,3318,43,7810,5071,58,16801,10100,80,26285,16207,98,657519,398446,135,0.00778643
377809,240106,141,160387,100490,138,6253,3882,48,9491,6959,59,21705,14359,95,32005,22056,128,763683,540658,145,0.00778643
160364,129983,110,62251,52979,92,1633,1599,20,3413,2714,32,6350,5080,46,9910,8421,60,215635,176836,96,0.00778643
138847,115854,94,42692,35168,89,1792,1616,20,2899,2391,31,5896,4517,45,8383,7186,51,223836,193936,95,0.00973304
130572,107719,92,45464,37515,89,1287,1284,14,2789,2426,29,5366,4346,44,7786,6665,49,186279,154725,98,0.00973304
100184,96503,82,39718,38641,79,824,961,0,1657,1835,25,5017,5080,37,7643,7705,48,197112,197255,87,0.0107063
155122,139344,90,53077,46436,87,1518,1632,16,3034,2661,32,6413,5575,46,10504,9530,57,247554,223450,95,0.0107063
399597,201238,158,199053,122378,156,5497,2948,48,8761,5080,64,19749,11404,96,30146,17855,128,717937,390144,162,0.0116796
178996,140477,102,63821,49646,94,1585,1395,17,3659,3215,35,7151,5615,51,10119,7929,57,254407,201637,100,0.0116796
225632,161738,108,75606,55105,104,2345,1575,28,4993,3560,44,9800,7571,59,14972,11338,69,353822,262221,112,0.0136263
154624,124635,98,53739,42656,91,1901,1657,20,3327,2320,29,6435,5592,46,10335,8492,62,261273,214619,105,0.0145996
117565,100534,100,44043,37409,85,1464,1269,15,1834,2014,19,5017,4277,42,5897,4858,45,168604,149034,92,0.0175195
