"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
177533,149921,94,71288,59008,91,1734,1471,20,3616,3198,35,7686,6449,51,11927,9734,58,307963,262714,102,0.00210194
136118,118177,90,57878,47583,88,1686,1636,17,2759,2377,30,6895,5923,48,10743,9429,66,267062,229900,105,0.00210194
274096,162258,119,92000,54173,112,3466,1950,41,4689,2599,50,13078,7668,74,21016,12298,100,481942,313377,122,0.00210194
238041,170301,107,68145,49382,104,3608,2471,35,5066,3337,49,10641,7731,62,15099,11120,76,319064,230172,114,0.00315292
90135,86954,81,39633,39088,77,998,882,0,2538,2616,30,4754,4707,37,7424,6900,51,192117,190721,87,0.00420389
243637,190088,103,99771,82467,100,3633,2906,34,5883,4688,48,12320,10261,60,17328,13571,71,399547,319779,112,0.00630583
161016,134624,98,60033,51467,91,1584,1277,16,3316,2987,33,8578,7564,53,11849,10312,60,292325,247639,103,0.0073568
100523,82673,92,38028,31333,85,1340,1052,7,1881,1512,25,3858,3308,37,5761,4704,42,132523,110050,96,0.0073568
104485,100009,83,42944,41123,79,878,879,0,2296,2038,22,4975,4971,37,8632,8359,49,207340,194740,94,0.00840778
238465,176309,117,82534,62186,101,2791,1786,34,6176,4537,47,12382,9509,65,19369,14759,81,461542,354048,113,0.00945875
135552,117278,92,54155,46717,86,1697,1495,16,2938,2365,34,6450,5439,47,9246,8514,56,248188,212724,99,0.0105097
153564,126322,94,48516,39185,89,2038,1750,23,3054,2333,34,6208,5137,45,9257,6947,55,194222,159998,99,0.0105097
88503,81360,83,29386,26607,79,1503,1433,16,1698,1668,19,3679,3026,37,5214,4390,46,107509,100250,86,0.0115607
122771,97577,92,46669,37568,87,1456,1326,14,1777,1589,25,4607,3826,42,7361,5575,48,153736,121855,96,0.0115607
270639,195533,109,74367,54227,105,4395,3175,40,5200,4326,46,11873,8711,69,17649,12735,78,354591,258007,115,0.0115607
104863,95115,85,36633,31846,83,1598,1405,19,2325,1906,28,4699,4128,39,6327,5275,47,144813,129247,90,0.0115607
215974,153462,104,70951,51402,99,2762,1982,33,4858,3560,43,9799,6984,59,14257,9914,72,302963,218130,109,0.0147136
185790,157388,98,57501,48178,94,2753,2314,28,4276,3579,36,9137,7694,51,12780,10796,64,288959,248293,104,0.0168156
65204,63132,84,28970,28858,74,923,836,0,1450,1452,19,2361,2553,27,3586,3668,32,72752,71854,73,0.0168156
313939,206982,136,84287,54936,125,4664,3144,42,6416,4818,50,14217,9562,72,22135,15036,85,434351,297246,135,0.0168156
268551,220443,109,117654,99205,103,5090,4181,40,8460,7532,56,16858,13855,74,23150,19965,100,435546,366990,110,0.0178665
89444,90063,80,16943,15903,50,1433,1330,16,2394,2554,25,4458,4403,37,6028,6114,42,128957,121360,96,0.0178665
261508,185573,115,93656,67494,111,3108,2130,35,5633,4280,46,10761,7644,63,14861,10522,71,299668,220091,118,0.0178665
143294,113741,92,49376,39778,89,2289,1768,26,3108,2254,37,5442,4267,46,8592,7523,55,168322,135900,96,0.0178665
238457,166183,113,76025,51569,109,2466,1543,28,4151,3023,43,9772,7042,58,13630,9716,73,362481,260561,119,0.0189175
264335,196883,112,88974,64128,105,4129,3128,36,5902,4962,46,12213,9052,71,18476,14030,77,349223,256344,111,0.0220704
17382,17993,63,7666,7589,39,355,333,0,659,680,0,991,906,0,1469,1420,16,34408,35017,60,0.0231214
139467,122026,92,50686,42703,87,1442,1400,16,3490,3079,35,7219,6373,47,12592,10731,64,319310,280018,96,0.0241724
47678,49115,73,17975,17779,52,791,855,0,885,887,0,2078,2095,23,3954,3849,36,76595,72377,79,0.0241724
53230,54480,74,15988,15792,49,854,938,0,1159,1220,9,2532,2463,27,3981,3792,34,83319,84057,80,0.0241724
60551,60206,78,21668,21456,62,601,572,0,1112,1325,14,2488,2547,26,3222,2994,33,73214,70646,74,0.0252233
183187,138039,100,60225,45696,94,2736,1859,31,3346,2951,33,7360,5965,50,10895,8515,60,206041,163096,94,0.0262743
111687,87709,103,38128,31043,86,1174,1175,9,2033,1583,27,4128,3035,38,5934,5058,45,120050,97483,95,0.0262743
81098,77845,79,15381,15088,49,1330,1149,11,2143,1905,27,3707,3864,32,5802,5787,41,117654,114843,86,0.0283762
116408,105794,87,31486,27725,84,1288,1087,7,2891,2687,31,6189,5699,44,9431,9272,53,240351,223561,94,0.0304782
267453,184574,129,119036,84235,116,4117,3358,37,7230,5374,50,14240,10136,71,20789,14791,89,447173,329791,124,0.0304782
182432,158468,95,70946,62748,90,2643,2065,29,4106,3491,39,8568,7714,48,12244,10949,57,277060,248879,99,0.0315292
105580,104589,81,77756,76386,80,1718,1614,17,3229,3235,32,7292,7300,46,9542,9224,51,227180,221189,88,0.0315292
314071,219346,132,131778,95915,129,4282,2875,37,7216,5416,48,11750,8464,65,19019,13975,77,437673,318196,136,0.0315292
53262,53192,73,16028,15770,49,394,459,0,1297,1240,14,2089,2346,23,3159,2954,33,75149,73145,80,0.0315292
301590,227852,126,154796,120574,125,7111,5582,44,10220,8102,61,19791,15830,78,30059,22728,122,607271,480227,133,0.0325801
169354,136365,113,65752,52937,96,2187,1806,23,3508,3048,33,8974,7645,52,12546,10804,65,326688,273718,106,0.0336311
167958,135920,95,63545,49480,93,1922,1454,23,4005,3161,40,7899,6805,50,11608,9824,60,313727,260432,103,0.0336311
226972,182532,126,85972,68389,108,3607,2768,34,5940,4781,45,11274,9561,64,16032,13670,77,352677,290576,113,0.0336311
220708,177342,112,120657,101632,103,6427,5560,42,9996,8558,52,19798,16786,85,27569,22929,101,559756,482131,109,0.0357331
124221,102401,90,38671,30896,86,1355,1165,14,1944,1790,24,4057,3458,37,5849,5098,46,142726,117051,93,0.036784
397245,252243,159,154302,102113,153,7667,5076,49,10970,7433,61,23699,15967,91,33493,23110,119,683601,471783,162,0.037835
82608,81941,78,26153,25812,73,977,994,0,1801,1769,20,3076,3232,29,4142,4310,35,96239,94666,84,0.037835
360973,229437,140,134260,88373,135,7521,5237,51,10104,7825,57,21483,15880,83,30166,21795,109,578087,412647,145,0.038886
255392,174587,113,81151,53796,108,3433,2254,34,5656,3619,50,11921,8460,62,16110,11185,74,341924,235091,118,0.038886
167475,142767,94,62870,53723,89,1788,1671,20,3925,3492,36,8138,7060,56,13878,12300,65,332311,285310,102,0.038886
100132,96797,83,39990,39255,79,1434,1394,14,1712,1720,17,5183,5081,40,8294,7912,49,205590,200751,88,0.0399369
225992,180354,115,74080,58789,99,2869,2198,30,6225,5217,44,13733,10221,67,19142,14557,80,495558,393144,113,0.0399369
89421,82097,91,35335,32483,81,772,855,0,1301,1332,14,3469,3052,34,5126,4587,42,99704,91966,88,0.0409879
64268,61831,79,22562,22364,68,1024,877,0,1259,1228,11,2440,2437,25,3383,3505,29,85864,83579,83,0.0420389
218282,171303,101,78832,64538,97,3256,2730,32,4938,4069,45,9144,7261,54,13605,10635,70,289272,230912,102,0.0430899
142332,118854,93,46930,38847,89,2094,1723,22,2912,2183,34,5984,5320,44,7917,6619,49,163140,139911,96,0.0430899
91268,86100,88,35254,32059,81,956,720,0,1979,1750,24,3714,3429,33,5699,5059,40,146886,136782,92,0.0451918
181308,144532,109,82197,66185,95,2539,1920,28,3170,2678,37,7586,6348,53,10765,8835,60,249963,204696,104,0.0451918
34848,38298,50,6139,6104,38,456,545,0,823,704,0,1574,1665,18,2445,2748,24,52361,53985,77,0.0462428
89796,86756,81,34072,32724,78,1150,1145,9,2129,1578,19,3309,3216,32,5493,5128,44,132750,134483,85,0.0483447
112553,108709,82,57228,54833,82,1166,1202,12,2719,3052,26,5851,5775,41,8391,7795,47,225345,216997,90,0.0493957
191570,142889,103,54935,42351,94,2652,1969,31,3679,2582,43,8213,6729,52,12156,8883,59,225491,176351,102,0.0504467
214935,154837,114,82057,60210,106,2704,1992,31,4075,2726,43,10830,8300,62,16916,13004,79,438095,322359,113,0.0514976
49910,49833,76,9005,9275,40,272,363,0,1101,998,0,1845,1813,21,2332,1985,24,67791,62858,81,0.0514976
220911,159271,119,71668,54167,100,2528,1893,28,4286,3351,43,9343,6963,57,13798,10734,68,368053,276577,110,0.0535996
