"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
154429,142447,89,46754,42389,85,1791,1563,15,3177,2790,31,9286,8416,56,11684,11023,61,335087,320929,94,0.00518525
178926,138781,102,50455,39570,92,1382,984,0,2807,2461,32,8848,7054,53,12624,9704,65,334212,267136,101,0.00725936
292394,207748,124,67398,53591,113,930,692,0,3560,2430,38,1610,1167,14,1124,1122,9,644,457,0,0.00933346
113341,106451,93,37996,35282,80,1062,864,0,2702,2548,31,6410,6042,46,8478,8104,47,240753,227039,87,0.0134817
158678,128045,96,49618,39679,91,1561,1171,13,3423,2718,37,7768,5912,55,10996,8375,58,309650,241255,98,0.0176299
191438,168205,93,60896,52129,91,2112,1868,23,4331,3890,39,11168,9970,56,15535,14643,70,449781,399772,100,0.0176299
399192,236953,159,105725,65121,146,4044,2616,40,9848,5702,71,23553,14583,91,33896,20530,146,959818,589215,158,0.0186669
280466,187799,120,87109,60176,113,3230,1975,37,6399,4268,54,14715,9957,73,21553,14779,89,593928,407646,125,0.019704
224061,164981,101,65698,47201,101,1836,1327,21,4048,3134,40,10778,7986,61,15443,11348,71,407945,309028,111,0.0217781
260343,178610,125,59963,41151,119,2316,1601,28,5086,3709,43,12918,9311,64,19819,13398,93,527908,360171,133,0.0228151
366005,220587,137,91099,57212,135,3932,2178,39,8528,5232,56,21735,13188,88,29831,18631,116,835901,514789,149,0.0228151
117105,111709,86,40920,39577,80,992,1029,4,2482,2515,27,6947,6437,46,10173,9467,56,263215,248610,93,0.0238522
86057,83378,80,25044,24655,67,666,807,0,1933,1857,22,3783,4002,33,5667,5571,39,154999,153334,86,0.0248892
293259,195981,124,82551,55370,115,2618,1649,32,5684,3664,49,14621,9518,67,22071,14832,92,573595,386758,128,0.0259263
185656,145742,100,51826,40317,96,2088,1624,22,4195,3521,39,9489,7619,58,14823,11858,68,360970,287142,105,0.0280004
241108,203505,108,87439,75374,102,2748,2438,28,7062,5589,48,16519,14363,78,22873,19045,94,604945,535052,109,0.0300745
376129,247046,142,155434,105038,140,3918,2706,37,9656,6153,63,22230,14454,90,33397,21651,135,873893,585741,149,0.0300745
94170,93836,81,34838,34178,78,996,768,0,1998,1856,20,5304,5333,40,7205,7509,46,200602,199172,83,0.0311115
215585,163665,103,58969,45336,96,1905,1352,20,4429,3684,41,10100,8041,61,14634,12530,70,389458,304283,106,0.0311115
298654,195858,132,84603,54884,125,3160,2092,35,6622,4600,48,15986,10358,75,24379,15168,97,649995,433491,135,0.0331856
148112,137480,99,40971,38222,85,1910,1569,21,3484,3461,32,8640,8042,59,12799,12405,63,334611,315269,97,0.0342227
124224,111525,96,38967,34259,84,1760,1447,18,2780,2792,28,7257,6442,48,10593,9637,56,277583,250570,95,0.0342227
113280,107542,95,45990,44284,82,1495,1333,16,3302,2579,32,6441,6186,42,9789,9435,65,243884,227467,90,0.0373338
136748,122247,98,38533,33967,86,1807,1509,15,2631,2006,34,6993,6708,46,10821,9464,55,294914,265016,95,0.0445932
153801,126318,93,44758,35196,90,1715,1183,12,3507,3244,38,8178,6847,56,12714,9994,68,321403,268456,96,0.0445932
128087,120486,99,32765,31097,80,1394,1284,14,2521,2352,25,6211,6022,41,8472,8312,50,241131,232533,88,0.0456302
227915,164858,119,62407,45250,101,2125,1387,23,4868,3346,43,11179,8320,60,17058,12090,75,441569,321567,114,0.0477043
205162,151875,102,63880,47913,97,2132,1470,23,4330,2999,42,11286,8535,61,15995,11679,79,433314,329795,109,0.0518525
115149,109075,97,27055,26162,77,1180,1150,9,2550,2428,25,5822,5578,43,8087,7354,50,242437,235197,91,0.0539267
376982,228203,148,102813,60861,146,3515,1942,40,9438,5676,61,23271,14292,93,31784,19918,119,880893,549718,157,0.0539267
91449,89043,80,26101,25251,77,858,937,0,1295,1668,18,4733,4578,37,7447,7250,47,192995,183454,89,0.0570378
128201,121173,88,33187,31608,82,1231,1250,12,2430,2136,27,6250,6072,44,9561,9297,55,251435,238346,96,0.0591119
86495,85664,85,29091,28666,75,885,814,0,1928,2192,22,4027,4110,34,6801,6490,45,169237,168019,84,0.0591119
