"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
163889,139241,95,60264,50322,92,2135,1786,25,2981,2270,27,6994,5967,50,12198,9826,68,290947,260597,94,0.00317628
95682,91571,83,34912,33405,78,1002,1172,9,2042,2090,27,5354,4935,39,7174,6915,45,214869,207863,90,0.00423505
397279,280341,140,165170,122175,136,6701,5011,42,11262,8105,59,22636,16538,91,34198,25216,133,841630,621904,148,0.00635257
146685,122855,96,43382,35021,90,1578,1473,17,2686,2282,27,6089,5505,44,9336,7853,54,250732,212114,102,0.00741133
70137,69099,92,37599,37472,75,1089,852,0,1075,1213,11,3383,3200,33,4617,4708,36,117810,117300,83,0.00847009
187711,149799,101,60049,47468,94,2396,1808,26,4010,3175,39,8325,6877,51,12983,10943,77,324339,259492,106,0.00847009
108325,102252,85,41030,39055,80,1640,1311,16,1771,2139,21,5340,4988,41,7878,7337,53,197874,188870,91,0.00847009
225221,170198,101,89669,68568,99,2313,1862,25,4416,3272,45,10341,8094,57,15464,12564,71,386056,305009,111,0.0105876
165533,126697,98,57395,44341,94,2118,1428,23,2911,2389,34,7609,5832,51,12114,9170,72,292453,228804,104,0.0116464
421758,237058,147,203788,120381,145,7341,4675,50,12522,7674,70,26508,16358,100,43088,26501,145,1.03710e+06,638020,156,0.0116464
154767,122333,95,51524,40581,89,1459,1137,13,2893,2502,32,6466,5397,45,11523,9026,61,273144,221067,99,0.0116464
203152,171213,97,98586,83321,94,3944,3359,35,7372,5961,52,15613,14142,72,25760,22172,94,618629,540401,106,0.0127051
70469,66669,90,17661,17050,56,683,540,0,1391,1218,12,2607,2929,25,4037,3937,36,107074,105897,85,0.0137639
211679,159786,101,82496,64190,99,2484,2209,26,3556,2680,42,8553,6898,53,13022,10117,72,326729,239473,110,0.0148227
196929,152270,116,84687,68950,97,2211,1771,26,3968,3134,39,9477,7238,56,13184,10645,60,366983,284227,110,0.0158814
140059,118750,91,41419,33590,89,1622,1228,18,3467,2758,34,6407,5479,45,9046,7500,52,252758,222145,96,0.0158814
262611,175394,114,93706,67238,113,4022,2645,37,6323,4650,46,14092,10439,70,21398,14835,83,516503,371436,120,0.0169402
259773,173139,115,109926,77052,109,3158,2153,34,5353,3776,44,10995,7909,60,17991,11752,82,433621,293298,119,0.0169402
32997,31061,66,12207,12110,45,575,738,0,629,810,0,1664,1566,23,2783,2555,27,62098,59735,77,0.0201165
207333,165274,104,85217,68981,95,2726,1783,30,3981,3243,38,7906,6707,53,12713,10979,65,316042,254443,104,0.0232927
341030,216406,157,216558,154737,141,6197,4182,44,10673,7885,63,23254,16390,89,35296,23943,137,865485,591305,151,0.0254103
111203,97028,93,48811,42815,86,1164,977,0,2731,2377,29,5487,4666,45,7849,7462,51,207926,186361,96,0.0275278
132089,117275,90,53141,46446,88,1877,1776,22,2824,2387,30,6234,5426,44,8991,8170,49,217950,191289,91,0.0285866
129214,113150,92,52200,45743,86,1293,1084,8,2543,2263,27,5292,4715,42,8368,6830,53,206130,181181,95,0.0285866
201682,162189,98,80984,66533,94,2540,1683,27,4510,3289,54,8283,6886,52,12475,10444,58,358454,289735,102,0.0285866
83946,79449,84,17612,17589,51,1324,831,0,1246,1446,15,3809,3753,34,6214,6016,50,154635,152433,83,0.0296453
56058,55600,73,23668,23571,66,537,619,0,924,1019,3,2420,2523,28,3112,3357,30,97025,94106,81,0.0296453
243975,174469,112,72068,51433,108,2618,1953,29,4995,3461,45,10400,7585,57,16410,11403,76,397406,287383,117,0.0307041
143976,116997,90,62944,50235,90,2144,1641,26,3185,2656,33,7355,6002,51,11321,9170,65,287662,239701,97,0.0307041
100075,96144,96,25614,24866,77,710,799,0,1720,1811,23,4339,4324,37,5981,6458,40,170647,163335,88,0.0317628
61142,59474,75,25002,24834,73,472,632,0,1068,1047,5,2283,2169,25,3398,2988,34,91498,90230,83,0.0349391
62736,60555,83,15964,15531,50,768,679,0,1157,1503,13,2639,2506,26,3616,3816,33,96762,92781,84,0.0349391
113287,100728,86,44365,39223,83,1056,1014,5,1891,1775,23,4412,4043,36,6984,6332,46,182118,161811,94,0.0359979
228959,161296,110,91974,64340,102,2875,1851,32,4826,3326,44,10728,7989,60,17408,12545,76,425181,307775,114,0.0359979
237569,181197,118,88083,67666,101,3040,2287,33,4119,3249,38,10103,8068,57,16472,13021,79,397026,313521,115,0.0381154
89453,84352,83,22055,21421,63,1193,1173,8,1334,1164,11,3599,3619,32,5542,5159,38,141964,137517,91,0.0391742
136970,125732,103,32358,29261,83,1803,1722,18,3087,2957,28,6978,6330,47,10970,9707,56,261384,246924,96,0.0402329
228603,187415,108,79412,65835,99,2973,2685,28,5554,4377,45,12161,10642,65,16720,14267,71,456137,398141,108,0.0412917
63022,61753,75,25500,25614,73,485,579,0,1385,1286,12,2341,2363,24,3089,3296,32,86241,82320,83,0.0412917
82853,79726,95,36013,35314,76,766,927,0,1665,1296,20,3409,3479,33,5218,5149,40,143977,137817,85,0.0423504
298931,205512,128,113740,77506,126,4342,3254,36,6830,5040,54,13968,9842,69,23010,17579,88,585971,424759,136,0.0423504
153603,128100,94,61486,52817,90,1970,1588,20,3386,3189,33,7245,5858,49,12816,10788,60,307380,267091,100,0.0434092
440235,245136,169,151860,85218,158,5788,3280,48,8792,5605,57,18926,10511,76,29190,16905,101,703405,414357,170,0.0434092
201221,170705,97,87684,74251,96,2506,1959,27,4561,4017,39,9398,8178,55,12893,12043,61,366650,321266,107,0.044468
348327,173203,149,135343,68501,149,4123,2249,45,6827,3415,73,14643,6856,100,23683,10810,117,586289,282003,159,0.044468
189499,154411,95,71566,58449,94,1872,1768,21,3931,3083,40,9219,7488,55,11707,10061,60,335462,281279,106,0.0455267
287203,206559,115,99392,72208,113,3615,2632,39,5796,4447,47,13623,9951,74,22018,15588,90,509140,395127,117,0.0455267
466672,265732,167,248303,145683,163,8658,5181,53,13756,7847,78,27928,16584,106,45491,27127,165,1.04858e+06,674689,173,0.0455267
125247,118546,84,37143,36174,81,1529,1391,19,2042,2574,24,5361,5152,39,8126,7654,47,212263,198344,94,0.0465855
118626,112728,85,52160,49847,83,1641,1406,15,2102,2357,26,5408,5160,39,8954,8384,52,229259,222138,93,0.0465855
200796,157027,108,76159,59181,99,1969,1571,21,3974,2915,40,8390,6575,56,12775,10365,66,306863,245058,110,0.0476443
283636,192279,121,99947,67701,118,4387,2988,40,6434,4286,48,14762,9792,82,21879,14743,84,548059,382872,130,0.048703
219768,176340,112,78112,64303,97,2585,2210,29,5498,4451,43,11759,9824,62,16556,13978,71,459074,383465,107,0.048703
255927,175918,120,93790,65047,115,2501,1843,27,4215,3422,41,9789,6767,59,15674,11405,68,392955,277177,121,0.0508205
39063,38110,79,10646,10559,42,692,498,0,1200,965,0,1495,1311,17,2814,2801,27,64585,68444,73,0.0508205
