"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
138038,123047,97,63712,57408,86,1024,963,0,2378,2297,24,5147,4812,42,7467,6460,47,204587,185212,96,0.00296896
73909,68763,81,31387,27769,80,1012,1019,4,1148,1162,9,3191,2777,33,4653,4092,42,101291,89970,85,0.00296896
73035,71315,87,28042,26953,76,898,890,0,1093,1095,7,2920,2937,31,3998,3865,37,95177,89534,85,0.00494827
274312,185147,115,74045,49966,107,3490,2287,37,5682,3770,48,11181,8007,62,15766,10308,76,361015,251760,119,0.00593792
82608,80104,85,19274,19061,53,973,905,0,1524,1554,16,3491,3579,30,5051,5252,36,127245,121324,88,0.0128655
332620,211435,140,162613,106199,134,4912,3331,44,7764,4568,53,15916,9884,74,24786,15903,96,601601,397520,148,0.0188034
89374,87093,79,30563,29807,76,1205,1200,11,1913,1555,20,4413,4547,35,5206,4747,40,164181,164516,91,0.0237517
62336,63826,75,20468,20478,57,820,942,0,620,1353,10,2483,2474,27,3877,4049,31,98108,95814,84,0.0277103
151151,116642,104,56037,44191,92,1898,1503,20,2535,2333,33,6499,4779,51,9328,7180,54,251065,200369,100,0.0287
122736,99046,93,44719,36094,88,1111,1098,8,2086,1534,27,4809,3892,45,6667,5583,53,175715,141302,100,0.0287
109806,106165,83,52589,51162,81,1122,1044,7,2808,2872,29,5364,5158,44,8040,7551,50,202654,189188,86,0.0346379
242998,194412,122,136112,115461,105,3786,3274,33,6071,4689,50,12305,9924,69,17754,15944,71,440437,378893,112,0.0356275
142917,133119,91,48986,46527,84,1698,1784,20,2373,2653,28,6482,5849,44,9974,9097,61,231314,218355,95,0.0395861
136074,118713,96,48587,40655,86,1383,1185,12,2509,2049,28,4486,3897,40,6939,5848,48,169635,149776,102,0.0445344
153167,130585,107,47237,39636,91,1709,1344,20,3004,3018,32,7445,6690,48,10779,9080,56,295787,251562,102,0.0445344
217915,175631,121,98683,81252,108,3234,2865,31,6335,5440,43,12584,10809,66,18817,16622,91,430681,363710,121,0.0445344
39252,38090,81,17334,17322,53,266,361,0,554,560,0,1008,1178,11,2423,2765,26,62540,63337,78,0.048493
191255,143748,102,82553,63493,94,2110,1566,27,4116,2903,46,8390,6462,54,13506,10283,80,350616,265608,105,0.048493
