"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
142965,113103,93,49015,39285,91,2028,1802,22,2905,2376,33,5771,4192,47,7263,4902,58,167813,133329,104,0.00547645
150213,130198,90,57728,48549,89,1276,1219,10,3033,2750,30,4454,3802,41,7540,6999,45,166505,138037,100,0.00638919
217623,165729,103,68465,51718,98,2889,1915,32,4103,3398,38,7765,6057,50,10409,8426,57,230849,177622,111,0.00730193
104721,90958,88,41578,36159,84,1149,1160,9,2080,2058,23,4460,4018,39,5928,4605,45,135868,117189,97,0.00730193
341827,250216,136,147919,113097,134,7282,5687,44,10516,8136,61,22554,17323,99,30622,24353,107,648037,504322,146,0.00912742
237036,189725,103,130505,110015,102,5469,4523,38,8849,7926,47,17280,14951,75,24576,21681,93,552722,489000,109,0.0109529
228505,170571,108,69625,54360,104,2550,2219,29,4586,3635,43,9249,6948,59,12920,9111,73,258389,195330,112,0.0136911
154862,123785,97,55860,44262,91,2419,1848,26,3015,1858,32,6488,5027,48,8421,6937,58,213596,170716,103,0.0136911
118287,95904,91,45064,36619,86,1548,1029,8,2578,1813,33,4745,3949,40,6958,5950,48,149357,122531,98,0.0164294
297918,194420,119,95253,61561,116,3962,2895,38,6840,4572,49,13120,8728,68,16508,10746,78,351187,234165,127,0.0164294
141696,128435,89,47933,41652,87,2056,1641,22,3117,2887,33,6427,5611,47,10109,8734,66,197525,177986,97,0.0191676
175077,137889,101,65875,53236,94,2708,2201,28,2891,2428,29,6557,5162,47,9442,7793,54,193584,156711,104,0.0200803
329818,220706,134,108216,73895,133,4919,3185,42,8510,5854,57,16052,11345,75,22874,16036,83,483989,340001,144,0.0200803
97888,94945,82,40498,39065,79,933,1058,5,1944,2127,24,4285,4172,36,6694,6326,43,167175,160632,97,0.0228185
162374,132021,105,67074,54508,94,2105,1685,23,3302,2645,31,6031,5163,45,8531,6774,57,192703,162619,101,0.0273823
94713,86304,82,35760,32012,81,1176,1269,12,1575,2050,21,3911,3562,34,5152,5015,42,115584,111117,83,0.0273823
127589,110319,90,50576,43624,87,1478,1210,12,2421,2468,27,4932,4196,39,6739,6101,45,173630,148550,98,0.0273823
253622,186597,111,90082,64610,109,4323,3200,39,6047,4538,52,12532,8942,63,16720,12596,79,351362,258051,119,0.0301205
82746,80358,79,31177,30658,76,609,561,0,1557,1721,20,3651,3604,33,4871,3897,40,139961,136818,90,0.0310332
232062,169632,110,65369,46548,103,2966,2062,31,4607,3596,42,9360,6809,58,12691,9567,75,262288,186865,117,0.0337714
145028,133625,92,101749,96023,87,1964,1866,21,3700,3102,34,8869,8319,50,14338,14815,64,343412,329124,90,0.0365097
143207,118236,93,41842,33378,87,1704,1190,20,2214,1891,31,4959,4210,42,6633,5235,46,146324,123235,100,0.0365097
246023,183386,110,77313,59738,105,2850,2040,31,4839,3638,42,11952,9176,65,18731,14214,79,507568,391720,120,0.0383352
56039,54438,76,23414,23155,69,635,835,0,954,986,0,2110,1891,24,2758,2578,32,64234,65205,80,0.0392479
100439,89271,86,36143,31614,83,1038,979,0,1750,2054,19,3874,3194,36,6237,5894,43,140510,128698,94,0.0419861
334522,239198,127,219638,146873,128,10429,7251,50,16615,11771,79,34676,24303,126,47086,33990,128,964092,692061,140,0.0419861
145296,116248,95,54158,43457,89,1761,1564,18,2901,2448,34,5704,4383,48,7691,6349,49,182886,150914,99,0.0428989
35448,35162,63,9556,9829,41,463,297,0,730,974,0,1477,1810,16,1978,1962,24,53788,55442,74,0.0428989
199993,151734,98,56675,42109,95,1943,1377,23,4286,2861,45,8889,6723,58,13755,10099,67,369111,278028,108,0.0428989
80808,74738,83,30016,29050,76,740,841,0,1200,1361,12,2818,2722,29,4417,4410,35,91285,90851,83,0.0438116
90296,83217,82,33164,29964,81,1218,1091,8,1595,1608,22,3868,3431,36,4914,4242,41,112973,106782,91,0.0511135
