"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
31400,29325,82,15229,15209,49,164,222,0,560,697,0,994,1326,12,1823,1827,21,42767,43342,69,0.00414706
76849,74278,77,19268,18693,54,960,613,0,1065,978,0,2318,2144,25,3487,3565,33,100158,99374,86,0.00518383
396707,263830,160,244714,175579,148,4901,3580,40,9568,6939,61,21918,15528,86,30156,20317,118,830865,591534,160,0.00829412
106848,103814,82,48913,47935,79,1003,1036,6,2050,2168,26,4857,5015,37,7369,7386,46,209175,201523,93,0.00829412
214475,166797,96,80807,60483,95,2512,2197,25,4514,3488,43,10894,7703,61,13672,10543,63,380271,291921,110,0.0114044
199419,154163,100,59977,45818,97,2002,1609,23,4383,3428,42,9446,7295,59,13243,10349,63,372429,305728,107,0.0114044
152836,129219,98,57329,46801,90,1505,1386,19,2796,2447,30,7319,6370,48,9939,8401,56,280657,239785,101,0.0207353
100587,86969,91,47728,41803,85,957,938,0,1944,1530,24,4028,3392,37,6573,5973,50,169496,149410,94,0.0238456
83592,80587,93,38059,37707,76,632,852,0,1413,1393,14,3327,3425,31,3770,3991,33,115747,112577,89,0.0259191
152100,128702,108,49450,39339,108,1771,1401,16,3466,2736,31,7057,5929,52,10094,8656,56,292262,248310,108,0.0259191
249037,185726,115,100762,78784,108,2781,2259,29,6182,4823,51,14505,11420,71,20355,16054,85,561202,445600,118,0.0279927
236637,175430,114,86958,65397,115,2676,2078,31,5739,4118,45,11991,9350,63,16588,12731,78,441662,352903,123,0.0300662
35017,34227,71,13508,13489,46,300,392,0,671,673,0,1464,1351,13,1957,2002,21,47706,48326,82,0.0321397
186092,155974,96,77646,65461,94,2090,1571,23,3982,3413,40,8088,6670,51,11484,9662,59,308799,267805,108,0.0342133
42880,42622,74,16349,16239,50,392,361,0,820,815,0,1532,1372,15,2853,3039,29,68217,68343,83,0.0342133
43861,44430,72,18530,18375,55,561,469,0,1249,1016,3,1603,1555,20,3185,3093,31,68107,69829,72,0.0383603
147634,118042,93,59227,46843,92,1720,1416,19,2888,2180,30,5725,4818,43,8251,6905,53,211847,175183,105,0.0404338
166109,148267,94,106305,97132,93,1847,1739,22,4567,3926,40,9395,8495,53,13608,12628,65,324655,295727,97,0.0414706
45886,46833,71,22344,22345,62,227,280,0,865,895,0,1713,1681,21,2771,2933,28,68773,69105,83,0.0414706
116544,110332,87,44654,41690,84,1378,1137,11,2629,2354,31,5814,5524,42,7995,7795,45,229462,218946,96,0.0425074
224667,168572,100,80446,59296,98,2157,1625,25,3555,2633,39,8310,6353,56,10938,8881,57,312808,245227,110,0.0425074
185470,143065,99,78597,58666,99,1598,1208,17,4344,2942,38,8553,6784,53,11816,8429,64,336778,265626,110,0.0456177
178353,143402,94,56375,44771,93,1858,1564,16,3299,2748,35,8819,7228,52,11530,9161,60,331803,269939,104,0.0508015
200697,157885,97,89476,72371,95,1976,1329,26,3534,3169,35,8083,6682,51,11220,9094,64,306893,244773,105,0.0508015
200456,163268,112,53141,42518,92,1597,1447,19,3973,3277,38,9246,7497,56,13525,11074,69,365029,297144,104,0.0518383
166381,140212,92,71395,59736,91,1679,1641,18,3257,2897,33,8091,7181,50,12246,10632,64,344370,290108,101,0.0539118
112957,98282,91,44984,38746,86,1129,939,0,1719,1876,22,4260,3759,38,6954,6220,49,161253,138328,94,0.0539118
29690,30203,50,9461,9715,41,355,248,0,708,609,0,1465,1310,13,1501,1676,16,47652,48341,77,0.0539118
231156,166557,108,93281,68923,106,2297,1609,26,4026,2982,40,9539,6602,58,12273,9428,63,377202,276018,119,0.0590956
145709,129078,92,39508,34021,86,1456,1480,20,2888,2737,30,7161,6679,48,9689,8522,56,281957,259467,98,0.0601324
129223,120373,96,69661,65594,85,1719,1446,20,3274,3183,28,7138,6822,48,9977,9358,54,281777,255935,96,0.0611692
164918,143660,93,58981,50096,90,1653,1417,19,3119,2707,30,7399,6248,51,10028,8434,56,293953,255812,102,0.0611692
227957,158930,126,86205,60566,109,2475,1754,26,4380,3113,43,11110,7821,66,16397,11892,74,444111,314361,122,0.0642794
152658,139421,92,55724,49962,85,1355,1444,15,2991,2053,32,6030,5923,43,8686,8228,50,236059,217536,99,0.0653162
50796,50616,75,26435,26257,72,428,672,0,232,433,0,1524,1535,17,2367,2398,28,60760,58661,82,0.0653162
94903,86329,86,39522,35534,81,979,818,0,1387,1883,20,3733,3231,38,5100,4624,42,136068,126897,89,0.066353
99722,85247,90,40021,33677,82,704,795,0,2179,1385,24,3788,3559,35,5517,4918,42,157410,138353,96,0.0684265
228214,170595,106,84995,64348,104,2701,2145,30,4311,3479,39,9986,7379,63,16046,12345,72,372080,289314,113,0.0756839
166385,152672,98,60711,56327,88,1644,1420,22,3343,2733,34,7761,7354,49,11105,10773,56,304090,281905,100,0.0798309
127245,113387,88,48229,42769,86,1332,1105,7,2307,2424,26,5484,5115,42,7897,7016,48,211400,194503,93,0.0808677
29904,30980,61,11284,11082,44,261,328,0,220,433,0,1111,1113,8,1690,1576,22,46634,44420,77,0.0808677
60573,58381,76,25611,25304,74,594,577,0,887,909,0,2161,2140,24,3363,3237,31,95024,92770,84,0.083978
119384,112351,85,39791,37575,81,1371,1239,14,2212,2052,30,5282,5206,39,7463,7031,49,209728,197334,92,0.0870883
113100,108566,86,34206,33150,79,1429,1363,15,2225,2165,23,5451,5324,42,8304,7531,51,223102,210850,93,0.0891618
106670,100613,82,39038,36226,81,1180,1225,12,2520,2112,27,5709,5639,40,8501,7806,52,241334,232550,95,0.0953824
149678,124733,103,62788,51558,94,1605,1272,16,3375,2394,34,6650,5787,46,9618,7986,54,247781,212601,105,0.0974559
220873,168787,100,81464,62836,99,1875,1481,22,4353,3354,41,9297,7541,56,12404,9358,70,342381,270646,114,0.0984927
169744,147449,94,56729,49605,90,2081,2109,21,3680,3367,38,8669,8010,50,13575,11928,67,354566,319667,106,0.100566
229040,181329,109,84646,68207,97,2351,1918,27,5280,4347,47,12752,10831,66,17392,14773,71,477424,404581,108,0.104713
44638,44368,72,21022,21369,56,488,473,0,958,795,0,1748,1685,22,2350,2480,26,69455,69472,79,0.10575
130116,112159,95,60992,52519,88,1592,1269,16,2851,2946,32,6928,5939,50,9673,8054,55,276171,239337,98,0.10575
81494,78873,78,30812,28081,77,907,580,0,1427,1454,18,3207,3110,31,5279,4608,43,136676,127163,89,0.107824
124790,107117,90,55321,48252,87,1284,1154,10,2813,2402,29,7080,5978,47,9467,7986,55,274227,236000,99,0.10886
226747,168354,105,82988,62194,101,2621,2022,27,4781,3574,42,11148,8420,59,16488,12245,68,432863,324260,114,0.110934
79039,75667,85,24584,24147,70,922,825,0,1100,1071,7,2886,2573,32,4637,4344,38,114457,113280,88,0.120265
160867,128973,102,66405,53762,91,1439,1018,4,2719,2506,28,6039,5296,43,8287,6806,50,243520,198263,106,0.123375
252813,185408,111,83140,60847,109,2414,1885,31,5711,4391,43,10962,8319,59,16218,11907,77,430165,322658,119,0.124412
137291,120016,97,46372,40913,86,1785,1477,20,3169,2783,32,7088,6771,44,10661,9310,62,289119,251744,101,0.126485
36986,35524,76,18496,18568,53,387,405,0,485,658,0,910,1136,8,2030,2415,20,42976,43259,78,0.128559
214375,172627,115,82072,66701,97,1673,1444,19,4473,3564,36,8310,6773,51,12066,9764,60,327721,262785,107,0.128559
129081,117933,90,51382,47595,84,1119,927,0,2481,2179,27,4739,4680,39,6956,6033,47,176787,168225,95,0.128559
97729,93973,83,39498,38787,80,837,909,0,2200,2365,24,4644,4646,35,6135,5988,46,159100,156046,90,0.129596
147481,138665,92,66763,63757,87,1624,1345,17,3267,3193,31,6865,6579,43,10142,9844,58,263563,253554,89,0.131669
172288,145761,93,45425,36111,89,1731,1429,21,4274,3645,37,8471,7251,51,11072,9772,57,348058,304233,101,0.131669
147687,127448,91,65532,55312,90,1120,929,0,2420,2160,25,5626,5077,41,8798,7797,53,241564,216271,101,0.132706
137606,113328,94,58865,49090,90,1397,1191,12,2405,2243,27,6287,5513,45,9049,7822,55,250661,213553,102,0.133743
64298,62113,78,19020,18586,57,386,495,0,1001,1211,12,2799,2781,26,3634,3727,30,102177,97597,82,0.135816
48125,48230,82,19930,19935,58,347,370,0,629,840,0,1942,1888,22,2696,2643,31,81200,80800,83,0.13789
173496,140840,98,59853,46768,92,1708,1463,20,3076,2722,33,7636,5923,50,10425,8126,62,288046,240966,105,0.143074
268779,190022,125,109849,78182,109,2701,1871,32,5725,4053,47,12485,8743,68,16898,11660,83,485249,342605,121,0.143074
115021,108362,90,29761,28053,80,1118,1010,2,2327,1987,25,4847,4647,37,6519,6101,42,188850,179839,94,0.145147
120056,110067,91,52821,47376,83,919,982,0,1837,1777,24,5082,4885,40,7037,6446,46,188581,174908,93,0.145147
121935,114528,89,43622,42064,82,1307,1233,11,3161,3036,27,6309,5991,42,8050,7574,51,233073,220560,94,0.145147
93820,91347,82,20864,20635,59,833,1010,3,1926,1596,22,3817,3582,33,6972,6618,47,151417,146724,89,0.146184
269523,188780,120,98732,69011,117,2721,1882,30,6365,4499,47,13147,9595,68,18758,13919,80,524079,388221,127,0.146184
38767,37895,65,19238,18740,55,566,526,0,418,606,0,1325,1430,17,2875,2845,29,58888,56235,80,0.148257
228952,164295,111,95687,69729,104,1879,1618,18,3425,2768,36,9051,7158,56,13189,9867,65,347540,259276,116,0.148257
130149,113039,93,55431,48139,88,1404,1308,15,2654,2269,27,5339,4911,42,7251,6447,47,220801,193146,97,0.151368
215107,166623,104,77228,60005,101,1823,1501,22,4736,3687,42,10212,8056,55,13429,11405,70,381051,310162,110,0.156552
179770,142292,100,79314,63106,95,1468,1035,13,3230,2274,36,6427,5493,45,9607,7780,56,260416,207310,105,0.157588
277357,209283,118,160355,126291,117,3413,2992,32,6785,5407,45,15450,12734,70,20546,16440,78,568486,467077,126,0.158625
164403,140676,93,80810,70550,93,1431,1363,15,3132,2886,32,6922,6389,47,9334,8429,50,276606,250770,103,0.159662
32878,33543,61,12735,12805,45,430,524,0,136,420,0,1274,1549,14,2052,1946,23,49412,52624,77,0.160699
115945,110403,84,32641,31292,81,1259,1266,13,2313,2260,23,5048,5154,39,7079,6922,46,188745,185456,93,0.160699
104092,92726,85,41980,36161,85,806,921,0,1785,1662,20,4025,3573,36,6331,5072,51,153392,134629,97,0.161735
68694,69934,76,24640,24170,69,710,741,0,1404,961,0,2480,2449,24,4082,4252,33,102926,99299,89,0.161735
213106,165101,101,84217,65093,98,2448,1653,28,4256,3349,41,10234,8695,56,14006,10998,71,424330,339506,112,0.164846
120604,103876,90,47374,40995,86,1225,1236,12,2602,2066,27,5311,4550,44,6914,6112,50,209083,182787,98,0.165882
