"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
120670,113940,100,41112,39374,81,968,853,0,1707,1742,22,5115,4954,38,7242,6512,49,206121,199111,80,0.0142139
162333,151653,86,43476,41139,83,1573,1663,16,2730,2611,28,6840,6463,48,11824,10634,60,299899,281688,94,0.0142139
195610,149440,114,69268,53645,95,1992,1675,24,3720,2857,37,9147,7230,55,13730,10687,63,386672,297892,103,0.0172597
200937,158782,115,73024,59334,97,1898,1410,22,3604,2897,38,8138,6248,52,13780,10749,70,338908,264782,107,0.018275
144881,128935,90,54608,47732,89,1472,1364,15,3272,2728,31,6561,5442,47,11593,10510,58,322744,279751,100,0.0203055
120030,113491,91,45461,43321,81,1345,1381,13,2146,2071,22,5176,5172,37,7591,7236,48,219697,208284,90,0.0213208
123559,115717,94,41604,39493,82,1589,1691,17,2565,2240,26,5948,5288,43,9939,9082,51,264807,244410,91,0.0233514
192493,165342,97,84643,73586,96,1859,1619,17,3614,2983,32,7868,7087,48,13142,11566,61,359962,310038,106,0.0284278
160824,145373,89,55588,49115,88,1492,1425,17,2750,2475,28,7773,7052,47,12363,10722,77,323652,284871,98,0.0284278
222742,167551,105,78625,58860,101,2121,1291,24,3522,2876,36,7792,6160,51,13803,10120,68,355877,268683,108,0.0467028
265768,178515,109,98024,66426,108,3062,2027,31,5015,3370,48,10855,7226,73,19041,12949,75,466781,309331,116,0.0487333
281282,195925,125,92690,64595,119,2691,1827,28,5453,4011,48,11928,8447,71,21304,14628,89,529709,378615,131,0.0538097
154032,145262,87,70686,66644,85,2021,1742,23,3501,2889,36,7869,7440,46,12510,11496,56,322501,296803,95,0.0538097
126546,117978,87,30248,28779,81,1166,1209,11,2479,2650,27,5989,5918,42,9672,9867,56,243205,227739,95,0.0578708
356320,246361,136,196065,137188,133,5945,4450,44,11860,8367,73,27449,20936,120,45578,32824,133,1.04858e+06,859240,144,0.0578708
297512,205652,137,100637,71444,120,3162,2053,34,5413,4126,46,12971,9364,69,20002,13974,98,497597,348836,128,0.0588861
229238,178316,103,63746,48225,101,2585,1976,28,4828,3704,42,10856,9027,57,15410,12579,65,415332,322493,111,0.0629472
335683,233729,136,107744,77419,125,2791,1938,32,6669,4535,48,13660,9548,65,22737,15998,86,584141,411320,139,0.0649778
109770,106052,82,37131,35785,80,1135,1089,7,2000,2086,21,4536,4566,37,7647,7186,50,190810,185143,91,0.0680236
100820,99234,82,31204,30454,77,960,903,0,2247,2427,26,4634,4348,38,6807,7228,41,171574,162871,79,0.0700541
117896,112550,86,34130,32941,80,1271,1366,13,1691,1759,23,5213,5044,39,8004,7581,48,224265,214866,92,0.0741153
121964,116620,85,44762,43071,83,1299,1213,11,2878,2642,31,5701,5314,43,8467,8029,56,233722,223430,87,0.0771611
176689,141978,98,64667,51785,95,1860,1335,20,3559,3058,35,8039,6376,51,11605,8786,67,323308,260328,105,0.0812222
299348,209474,114,96496,67010,110,3425,2446,35,6212,4317,52,13672,10041,74,23380,16824,94,607957,444852,119,0.0812222
301924,216045,140,136669,104575,123,3960,2605,37,7250,5387,52,16387,12499,82,24579,18181,99,661806,500248,132,0.091375
186339,155906,97,73349,60887,93,1789,1345,17,3937,3301,34,8238,7317,53,13601,11340,69,348492,291035,102,0.091375
218780,165010,106,67933,49884,101,1697,1464,19,3949,2916,38,9332,7484,53,15556,11695,71,368909,297957,108,0.0954361
270549,188379,116,90850,63839,113,2524,1723,28,4270,3568,37,10481,7813,58,16021,11248,74,445988,317761,123,0.0964514
