"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
136282,126266,88,47513,42902,87,1705,1566,16,2876,2532,34,6114,5462,43,9529,8708,57,257117,235256,96,0.00101317
104255,94547,83,35500,31148,83,1176,1061,7,1806,1537,24,4450,3650,41,6260,5356,43,129576,114547,95,0.00101317
45036,45275,71,16400,16393,49,378,731,0,624,650,0,1409,1323,15,2277,2381,23,55155,57177,77,0.00101317
202132,157225,101,54831,39795,96,2683,2118,28,4693,3460,44,8540,6703,53,11912,8939,64,269396,210274,103,0.00607903
256434,203183,107,91826,75557,102,3425,2699,33,5525,4555,41,11298,8896,62,16127,13537,68,357084,294092,113,0.0070922
94762,89031,82,34066,31932,78,1313,1317,14,1568,1376,17,3566,3207,35,5242,5184,41,123942,113870,88,0.0101317
290507,223302,104,94393,73492,102,4111,3183,37,6405,5344,44,13871,11310,66,17485,13748,80,354167,292486,112,0.0111449
261655,190634,105,101401,74768,101,3524,2488,34,5136,4026,43,8697,6258,58,13522,9227,74,295698,218460,109,0.0131712
173327,143679,94,58605,47008,92,1890,1464,22,4248,3506,39,8436,7601,53,12718,10468,67,327998,274756,101,0.0131712
155703,126434,96,56069,45112,92,1925,1339,22,2536,2397,31,6137,5111,45,8957,7048,57,188822,157730,90,0.0141844
46444,44143,87,11191,11059,44,360,411,0,484,797,0,1894,1812,22,2835,2868,26,77823,76464,81,0.0182371
247070,200450,109,62156,49810,104,2565,2405,27,4957,3926,44,9532,7743,52,12833,10284,72,285441,241632,115,0.0202634
112944,109353,98,52495,50757,81,1838,1844,21,2946,2559,29,4764,4899,36,6474,6281,42,135033,128764,87,0.0222898
104793,101803,82,29623,28371,79,939,840,0,1526,1331,16,3470,3199,35,5171,5234,41,128888,127657,87,0.0243161
80923,78775,78,24089,23745,68,693,642,0,841,888,0,2440,2479,29,3775,4095,32,86534,84343,86,0.0243161
92670,91747,80,26105,25322,76,952,643,0,1586,1857,19,4394,4432,37,7063,7398,42,168500,164693,87,0.0263425
313247,218681,122,184462,153215,120,8763,6557,48,13720,11106,59,28276,22037,117,39367,30750,119,820327,672492,128,0.0273556
88738,85195,82,27750,26723,75,927,981,0,1202,1121,7,2504,2458,30,4428,4200,37,86528,83429,87,0.029382
178557,144858,95,56857,45652,91,2428,1682,23,3189,2248,33,5998,4883,44,9750,8147,55,226021,185524,101,0.0303951
406135,235767,165,120792,70762,161,5898,3429,45,9351,5614,57,18994,11850,78,27544,17338,115,580434,350573,173,0.0334347
91997,91739,80,48244,47785,78,1157,1180,11,1370,1530,17,3798,3713,33,5009,4709,40,99002,94930,82,0.0334347
91462,92561,78,42260,41986,77,1231,1196,11,1832,1919,20,3064,3062,30,5192,4954,41,106155,107627,81,0.0334347
142118,124839,92,52418,45965,87,1859,1702,22,3721,2884,40,6725,6360,46,9695,8781,51,267835,242136,99,0.0344478
370665,181238,204,108449,59499,185,4066,2437,43,6905,3251,66,15909,7196,102,22559,9471,124,524496,236146,219,0.0395137
186241,166441,94,46770,40882,91,2390,2139,27,4081,3668,37,8060,7241,45,11260,10063,66,219396,192584,100,0.0405269
95280,90926,83,28315,27145,79,1048,1098,6,1968,1513,19,3304,3090,32,4818,4583,38,89774,83686,80,0.0405269
254206,187093,119,91106,68718,111,3430,2319,34,5854,4443,48,10716,8210,59,15023,11687,72,334335,257968,119,0.0405269
248265,171928,115,90002,62670,108,2931,2106,33,5205,3237,47,10915,7875,62,19367,13299,82,493737,351269,119,0.04154
179739,134950,102,46210,34234,94,2266,1641,27,3279,2792,32,6857,5380,51,9320,8070,53,187085,153867,92,0.0445795
193454,148811,102,58678,45021,94,2221,1690,24,3580,2801,36,5956,5295,45,8461,6626,53,169548,133011,99,0.047619
116949,111546,90,44736,43215,80,1337,1281,16,2686,2311,30,4996,4585,39,6158,5861,43,147092,140383,87,0.0486322
84538,83173,83,27335,26394,77,1189,1241,15,1239,1154,13,2506,2392,28,3895,3878,33,84760,79189,81,0.0496454
240799,171066,118,68511,48879,109,3285,2272,33,4432,3125,38,9626,6927,59,13265,9892,72,272378,194191,113,0.0496454
171409,131079,103,44607,33008,93,2015,1635,22,2889,2211,30,6443,4988,48,9644,6956,63,190484,153075,101,0.0516717
182490,145996,98,75516,62557,94,2444,1799,27,2962,2260,32,5973,4672,46,8693,6817,53,182644,145868,101,0.0516717
234087,166423,111,96159,69453,105,2499,1922,28,4610,3323,50,10325,7712,59,18358,13374,76,462036,330934,115,0.0536981
258060,178099,119,74934,50651,114,3279,2174,36,4843,3469,42,10362,7253,59,13068,9144,69,266575,185862,123,0.0536981
136689,126287,88,51581,47506,85,1690,1291,16,1922,2166,23,4988,4646,39,8283,7665,52,192020,178957,90,0.0536981
115660,99386,87,41701,35296,86,1360,1210,14,2379,1758,27,4154,3216,39,5644,5299,46,115319,98662,94,0.0557244
74919,72603,78,17588,17288,52,901,1076,7,1517,1449,13,2995,2892,32,4020,4158,36,94034,92594,88,0.0587639
205234,141398,103,64854,46491,99,2699,1863,29,3873,2871,38,8536,5786,58,11632,7985,63,261520,184172,108,0.0628166
225694,176882,112,66294,50592,100,2387,1872,27,3909,2777,40,6968,5805,49,10332,7971,63,198023,154770,110,0.0638298
194010,157678,102,63284,51751,96,1950,1627,23,3744,2906,35,7074,5930,51,9964,8251,54,196738,163621,103,0.064843
