"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
163836,134537,98,59325,49181,91,1903,1444,21,2771,2337,35,5708,4855,46,7968,7187,49,195495,165039,100,0.0010252
252159,193820,105,78383,57764,100,3259,2579,32,7455,5710,51,14749,11546,66,13139,10321,62,410554,322214,112,0.00205041
41863,40256,80,10609,9953,46,514,345,0,2490,1952,31,774,883,0,706,671,0,637,812,0,0.00410081
132465,113728,90,45833,37965,89,1363,1355,17,2614,2293,31,5967,5398,43,7509,6787,52,212959,181554,99,0.00820162
32579,32513,61,6427,6438,37,370,419,0,760,826,0,1430,1420,16,2478,2393,30,57606,57856,72,0.010252
57168,55462,81,24277,23734,73,560,671,0,818,1256,10,2091,1943,23,2931,2946,29,82613,80852,79,0.0133276
62106,59998,81,18550,18158,54,820,978,0,1222,1231,10,2919,2927,28,4195,4230,35,101430,98457,80,0.0143528
383271,223392,141,141007,82524,138,5970,3383,48,8712,5058,64,17576,10744,84,26087,16232,109,624165,367047,147,0.0194789
270971,198676,115,91715,66471,112,3584,2740,34,5856,4302,47,12357,9448,65,17887,13484,79,407632,305350,122,0.0256301
432251,274717,159,249420,159789,159,8768,6362,49,16331,12002,79,33377,25090,124,51192,38267,159,1.04858e+06,927782,168,0.0276805
225361,171705,103,81670,60360,98,2427,1854,26,4307,3473,37,7844,6189,52,13098,9768,69,294786,224432,110,0.0276805
184215,153765,111,67037,55386,94,2523,2275,27,4011,3280,36,7830,6447,51,11067,9408,62,258557,219939,105,0.0287057
195877,150975,106,59893,45058,99,2380,1744,28,3789,2544,36,7372,5743,53,10735,8276,62,256590,195792,111,0.0297309
114404,108229,85,33768,32211,80,1550,1574,17,2371,2103,25,5168,4912,40,7199,6898,44,173821,172271,95,0.0369073
199563,154849,99,67938,52309,97,2130,1844,23,4751,3453,39,10359,8013,58,14456,11355,77,390829,307732,109,0.0369073
74905,73068,80,27883,26874,75,811,786,0,1009,1151,10,3173,3246,31,4535,4186,39,134591,131501,86,0.0379325
123162,113976,90,48277,44743,85,1447,1257,15,2340,2442,26,4953,4432,40,6378,6202,40,142464,128209,92,0.0379325
55969,53820,85,23780,22712,68,785,565,0,1423,979,0,2302,2183,26,3369,3058,35,78303,74382,82,0.0399829
160899,132300,98,53143,41554,92,1616,1292,16,3133,2358,33,5984,5349,43,8684,7344,56,249946,207464,104,0.0440837
46865,45718,72,14140,13849,47,523,767,0,806,981,0,1965,2073,23,2791,2686,28,66895,64884,80,0.0451089
54515,51554,76,12815,12816,45,825,754,0,1010,1081,6,2205,2139,26,3223,3147,31,73456,72514,81,0.0502349
173847,145037,98,55714,47389,91,1906,1616,21,3538,2868,37,7153,6541,48,9342,7815,58,251166,209221,96,0.0512601
375115,212116,212,105855,61062,180,5751,3435,43,8271,5217,64,16575,9987,96,25437,15130,120,555538,338680,222,0.065613
253060,184659,110,106462,78926,110,3025,2039,33,5294,4037,45,12580,9071,65,17741,12923,74,458375,335122,122,0.0676634
156852,126774,97,47120,37726,90,2351,1892,24,3658,2726,40,6608,5470,46,8897,7538,59,216530,179067,97,0.0686886
182748,136405,99,62444,47537,95,2211,1567,26,3699,2456,41,9189,7563,52,13120,9523,71,359144,274202,104,0.070739
124504,106372,95,54049,45069,87,1227,935,0,3076,2714,33,5447,4647,45,7350,5775,50,205809,180858,94,0.0738146
152089,125927,98,56139,45459,90,1541,1075,9,3298,2561,37,5961,4979,44,8649,6708,51,215279,180829,96,0.0748398
418608,269495,155,196123,130424,152,7220,4732,47,13283,8798,76,23987,16922,88,33999,23896,131,768939,557986,157,0.0748398
139537,124757,89,64515,55422,104,1879,1738,20,4014,3353,38,8337,7338,53,11119,9733,61,314125,266485,104,0.075865
123336,108219,100,42245,36413,84,1581,1329,13,2556,2047,29,4977,4207,41,6788,6012,47,195971,166393,93,0.0779154
128838,104804,90,46427,37434,86,1719,1304,21,2658,2064,31,5866,4802,44,9078,7676,55,211344,167373,99,0.0891927
45028,44634,72,10213,10210,43,514,486,0,734,980,0,1968,1987,23,3124,2995,31,70878,70439,80,0.0902179
52214,51314,71,20346,19964,57,634,520,0,1343,1358,14,2508,2584,27,3760,3779,35,83279,80972,82,0.0912431
72128,68704,85,24918,24606,66,937,918,0,1133,1175,10,2543,2623,27,3946,4036,35,89047,85790,85,0.0932935
61248,62809,74,24066,23797,71,507,514,0,1145,1350,11,2866,3011,30,3327,3259,31,97293,100972,81,0.10252
34735,35697,72,13247,13361,46,469,343,0,921,749,0,1478,1532,16,2282,2254,26,53238,51676,75,0.103545
133033,121973,86,49305,45532,84,1996,1785,20,2835,2731,30,5791,5348,44,8659,7641,48,184616,174655,92,0.105596
53347,51416,78,20266,19825,56,698,672,0,432,735,0,1861,1827,22,2982,2909,30,65328,64616,81,0.106621
104209,101311,83,31872,30493,79,1172,956,0,2321,1930,25,4491,4341,37,6506,6749,43,181067,175800,89,0.111747
159074,127128,94,59089,46806,92,2106,1714,22,3014,2308,32,6638,5458,49,9591,7732,57,233467,187252,103,0.123024
156540,131057,98,65763,56161,90,2110,1562,24,3593,2948,35,7987,6956,50,11275,9835,62,339618,287256,103,0.12405
155150,127418,93,54452,42665,90,2273,1705,22,3443,2828,36,8610,7302,51,11013,9233,64,331886,279086,102,0.129176
103193,99146,87,33310,32012,79,1171,1188,10,1531,1685,21,4736,4155,38,6376,6236,42,158584,149003,91,0.131226
266941,192890,122,151851,118529,108,4246,3278,37,7963,5987,54,14938,11108,75,21867,17012,79,549272,423771,119,0.133276
138962,122504,89,56849,49120,88,1332,1220,12,2691,2208,29,5810,4834,43,7830,6856,51,198418,173586,91,0.143528
179804,133020,104,57050,42006,93,1944,1643,25,4029,3293,43,8361,6212,59,12125,8857,73,280277,208853,103,0.143528
178766,137639,100,76771,60644,95,2767,1918,29,4690,3407,48,8761,6643,53,12827,10008,67,306771,237520,104,0.147629
112263,90769,100,42989,35347,86,1360,1269,14,1889,1693,25,4528,3603,38,6475,5600,47,159788,135511,91,0.148654
132658,109662,97,45817,37889,87,1648,1359,20,2271,2050,26,5318,4252,42,7049,6088,50,182963,149331,96,0.14968
145164,124795,92,48892,40865,89,1676,1666,15,3382,2503,31,6645,5792,49,10367,8680,58,269976,235906,99,0.152755
55438,54199,83,21121,20854,61,843,698,0,759,927,0,2035,2181,24,3202,3183,33,76450,73671,82,0.155831
131059,125561,86,49635,47151,83,1963,1804,23,3779,3378,34,7734,7458,47,12222,11131,59,309302,295009,90,0.158906
