"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
109430,106087,83,51242,50404,79,1233,930,0,2423,2345,27,5900,5779,44,9536,9338,53,237832,227214,91,0
214137,162069,107,72854,54603,100,2036,1521,25,3974,3150,38,8645,6629,57,17182,13924,82,398510,313413,102,0.00193582
295338,162859,124,119016,68450,118,3620,2207,41,5203,3287,53,13456,7829,76,22213,12535,102,556204,335172,127,0.00387164
111461,106618,83,48114,44988,81,1389,1344,17,2056,2026,27,5676,5303,42,8745,8968,51,249079,231231,91,0.00387164
126480,121170,95,33758,32546,80,1230,1101,9,2577,2624,27,5817,5372,38,9839,9329,55,249002,234164,94,0.00871119
240500,184459,103,106340,84061,103,2733,2148,29,4509,3394,41,10244,7649,58,17241,12911,81,396359,306050,113,0.00871119
90650,86552,92,35035,33813,79,872,800,0,1731,1568,19,4113,4055,35,7272,6892,44,180078,168531,89,0.0116149
84061,83295,81,31295,30437,77,1177,792,0,1761,1847,20,3372,3463,33,6291,6216,41,138768,139217,83,0.0125828
196920,174978,93,75985,68722,91,1881,1504,20,3819,3271,41,7844,6715,52,12534,10662,61,299039,264369,103,0.0183903
93413,89034,87,28073,27556,76,1240,1311,13,1433,1693,21,4119,4175,34,5903,5502,42,168197,160529,87,0.0241978
239679,175667,112,89484,68413,101,3071,2198,36,5644,4413,46,10191,8020,58,17564,13500,78,445297,327656,113,0.0271015
168454,133360,94,46581,36708,90,1924,1623,21,3645,3139,34,8114,6638,54,13126,10740,67,340963,284855,103,0.0280694
173961,146384,93,60544,49976,91,1974,1618,20,3089,2651,34,7799,6520,52,14379,12247,72,359887,308359,102,0.0300052
170490,153138,93,71122,62222,92,1984,1778,21,3615,3340,36,7890,6957,46,12387,11325,61,332239,292235,102,0.0309731
236029,178880,119,82674,61382,100,2196,1806,26,4757,3321,44,10018,7663,58,15429,12010,71,380344,306341,108,0.031941
115298,105442,87,40803,36904,81,1336,1286,16,2153,1835,23,5164,4708,40,8801,8160,50,189859,175504,89,0.0348448
53433,55287,64,26407,26508,65,492,658,0,1241,1155,9,2049,2161,24,2933,3028,30,68237,68798,78,0.0358127
187199,138245,115,68035,51492,95,1873,1372,23,3420,3128,37,7978,6269,52,12922,9650,67,327718,247098,105,0.0367806
151624,127244,101,49134,40859,94,1837,1654,18,2858,2437,28,6283,5279,46,9565,7840,55,219277,183784,107,0.0416201
258010,179219,124,99709,69893,120,3409,2482,33,4712,3743,41,11541,8237,62,16423,12450,77,430774,312087,130,0.0454918
126553,117235,93,46544,44067,83,1760,1494,16,2502,2451,28,6332,6085,43,11652,11103,55,282260,266514,99,0.0464597
214683,164451,101,66665,51174,96,2446,1900,27,4198,3000,41,9658,7432,55,15555,12600,69,402153,317847,109,0.0474276
141975,132258,92,42650,39750,83,2122,1714,20,2851,2710,30,6473,5711,47,10323,9518,57,233401,217076,95,0.0474276
85223,81965,95,15832,15407,50,898,801,0,1180,1270,12,3881,3715,35,4932,4999,40,147131,143563,90,0.0483955
116058,110270,85,27550,25922,79,1558,1620,19,2209,2301,28,6301,6157,45,10746,10282,57,280257,266843,90,0.0493634
144790,121526,92,48486,41092,89,1637,1397,17,2392,1928,27,5723,5248,41,8586,7271,59,202410,177335,97,0.0493634
142197,131499,86,36852,33389,84,1808,1296,16,2781,2272,29,5301,5146,39,8435,8088,47,198259,192850,83,0.0493634
173177,132456,95,58591,44343,94,2063,1463,25,2916,2316,36,7168,5653,51,11269,8744,65,279450,213538,104,0.0503313
72149,70881,85,21748,21394,61,794,807,0,921,1108,9,2980,2906,28,4746,4665,40,114847,115685,85,0.0512992
278510,198055,121,96617,68185,106,2745,2299,29,4993,3568,45,11875,8968,62,19621,15645,80,448088,332537,116,0.0512992
113409,109961,85,54799,52734,81,1556,1690,17,3103,2275,30,5412,5182,40,8601,7945,49,227137,216920,88,0.0600104
177537,145088,94,59463,48723,93,1686,1219,20,3134,2576,34,6730,5610,46,11132,9104,61,256779,209637,102,0.0609783
202658,160908,110,89976,72519,97,2307,1948,26,4514,3353,42,8340,6885,52,13948,12397,61,336247,278290,106,0.0629142
228998,171947,109,82864,60248,103,2549,1898,28,4565,3622,43,10120,7560,58,16179,13146,73,387031,301715,108,0.0667858
171273,139594,94,54972,43694,92,1921,1444,19,3257,2226,36,6804,5452,48,10449,8708,62,271480,224951,99,0.0677537
244353,179813,121,79196,58871,105,2583,1588,29,4435,2780,47,8559,6618,56,12765,9761,64,299682,228243,112,0.0745291
62208,62921,75,23948,24053,64,746,777,0,1193,1088,8,2578,2549,28,4549,4643,34,107667,104138,84,0.0745291
80134,79655,81,32298,31993,76,923,813,0,1275,1334,20,3442,3266,33,5068,4813,38,110598,109903,85,0.0774328
121517,116535,88,42260,40819,81,1733,1867,19,3245,2949,29,6250,6040,43,10372,10392,54,216292,206659,89,0.0774328
150672,135404,92,57043,49775,91,1729,1530,19,4039,3408,35,7093,6381,47,10688,9344,52,247437,220964,98,0.0793686
197846,153331,102,64063,50498,98,2401,1805,26,4797,3753,44,9571,7648,57,14584,11898,70,332479,282537,106,0.0793686
147931,125319,102,45989,38168,90,1605,1620,19,3305,2551,36,6932,5949,52,10415,8700,56,260325,220803,101,0.0813044
176986,143587,95,60651,48688,92,2167,1606,26,3664,2519,38,7699,6066,53,12384,10182,67,284239,225988,103,0.0842082
121877,110460,101,39867,36002,101,1334,1253,13,3095,2754,32,6054,5900,42,10264,9406,60,243088,220103,101,0.0842082
136888,124403,101,34925,29924,84,1612,1366,15,2625,2329,31,5392,4622,40,9085,7942,52,206549,179378,103,0.0842082
169976,146837,94,57425,48956,91,1926,1575,21,3835,3082,37,8026,6844,54,12322,10253,71,321539,271845,101,0.0842082
116632,111726,88,22073,21288,65,1282,1563,17,2619,2532,27,5882,5843,42,8390,7661,48,191517,187727,88,0.0871119
191012,156043,96,56919,46311,93,2471,2110,26,4121,3291,43,7974,6607,50,12393,10276,68,295843,255842,99,0.0929194
96565,94845,80,35936,35059,78,1362,1218,10,2330,2053,27,4859,4739,37,8972,9053,51,215477,205217,88,0.0938873
106230,103387,81,39810,38013,80,1012,1150,10,2423,2118,28,4499,4297,38,6878,6692,45,159296,157545,80,0.0938873
252278,184558,106,83585,62072,102,3211,2335,34,4708,3560,44,10707,7395,60,17486,12602,81,397831,284533,110,0.0938873
100538,95837,85,27867,26923,77,1239,1183,12,2150,2600,24,5594,5180,43,7834,7328,49,228269,225401,89,0.0948552
100953,96176,88,28682,27391,79,1521,1398,16,2831,2473,28,4948,4808,38,7780,7703,50,187971,182972,88,0.0958231
239704,174220,111,78948,56159,108,3157,2133,32,5074,3710,46,12082,8813,68,21600,16393,95,543543,388558,118,0.0987268
96700,94105,80,22287,21821,64,853,854,0,1959,1843,24,4711,4585,37,8263,8231,53,201197,184080,88,0.0996947
113457,109227,83,38284,37442,79,1361,1524,14,1975,2138,22,5690,5527,42,9197,8889,54,247924,233356,90,0.103566
168848,136871,100,61283,50024,92,1654,1439,17,2613,2482,31,6276,4809,48,9844,8307,54,235797,188190,103,0.104534
64121,61628,78,21996,21572,69,549,417,0,938,790,0,2510,2178,26,3783,3803,34,90920,86821,79,0.107438
147032,122189,91,62024,50748,90,1345,1129,11,1913,1724,25,5934,4813,42,9827,8056,59,250326,211520,100,0.107438
249974,191966,103,103103,79227,102,2983,2034,31,5729,4016,48,11285,8585,61,17504,12600,78,413899,321588,117,0.107438
208923,162229,98,70003,52817,96,2286,1795,28,4187,3148,40,8510,6853,53,14101,10881,76,332202,252716,114,0.107438
127253,123089,84,51388,50227,81,954,1254,11,2854,2323,31,6599,6453,46,11007,9633,61,280977,270962,93,0.108406
177112,139692,100,61388,48453,96,2014,1407,22,3636,2969,35,7665,6577,51,11500,9759,59,287568,223842,108,0.109374
160366,123151,97,55217,43231,92,1807,1697,19,2524,2095,33,6404,5315,48,9419,7714,56,232002,184710,102,0.110342
86269,84709,78,40548,39662,78,1136,933,0,2018,1750,24,3789,3455,33,5279,5201,39,129076,126005,86,0.114213
193053,156208,96,83297,67461,95,2196,1677,28,3674,3043,36,7888,5968,50,11759,9153,68,300585,239050,105,0.114213
182469,141911,99,75121,59251,95,2014,1568,21,3293,2760,35,7521,5966,50,12588,10345,62,327421,261702,103,0.116149
157374,129436,93,62290,52990,91,1456,1175,13,2179,2026,25,5806,4642,46,9805,8160,53,237120,199916,101,0.118085
51850,52251,73,19569,19480,53,650,689,0,723,792,0,2383,2438,26,3207,3339,33,78489,80259,77,0.118085
306720,180550,209,134121,87346,183,3869,2594,29,6838,4422,58,15749,10094,91,27024,15363,129,653969,406604,204,0.120021
119181,112955,85,30577,29123,79,1484,1233,13,2263,2131,28,5605,5314,44,8288,8079,50,239133,229088,99,0.120021
232710,172813,115,87555,66422,107,2746,1858,31,4292,3360,41,9294,6628,59,13969,10565,63,329740,248356,115,0.123892
279633,194222,117,91778,63035,110,3724,2731,38,5930,3853,53,13430,9440,70,21658,15104,85,518447,362855,119,0.123892
115552,107826,83,40664,36969,84,1322,1372,14,1999,2071,23,4945,4391,40,7549,7666,45,173289,163990,89,0.12486
279061,207720,121,133164,98720,119,3717,2563,36,6014,4245,47,14154,10827,77,23953,17383,102,510351,407104,125,0.125828
162472,141760,92,46921,40103,90,1700,1579,19,2898,2550,34,6978,6403,46,11248,10067,57,263421,230571,99,0.127764
115200,111731,81,40764,39228,79,938,833,0,2107,2289,21,5760,5774,40,9452,9442,49,259263,243821,92,0.128732
168878,141558,93,51508,42072,89,1516,1474,16,2844,2602,31,6669,5452,46,11214,10007,61,253286,222943,95,0.130668
60336,58972,77,13772,13595,46,645,669,0,1067,884,0,2620,2639,27,4378,4213,36,106793,101980,85,0.132604
193264,152271,107,64011,50965,96,2195,1696,27,2445,2484,30,8033,6442,53,12671,10301,60,345036,277038,106,0.132604
67202,67101,84,20163,20047,54,752,884,0,1229,847,0,2393,2274,27,3898,3844,35,90765,89279,83,0.133572
279273,203198,123,86960,61341,117,2904,2070,30,5317,3871,45,11556,8608,59,18195,13292,81,437786,321453,125,0.133572
86944,84652,80,29248,28552,78,696,959,0,1788,1745,18,3727,3639,33,5894,5208,44,138483,135365,81,0.133572
155428,127562,99,57176,47184,93,1482,1355,13,2660,2699,28,6290,5624,48,10340,8304,65,245820,204395,102,0.135507
100496,92478,82,38073,33414,82,914,795,0,2125,1674,28,4460,3636,38,6858,6022,45,175056,155194,91,0.137443
155694,135660,93,39280,31826,93,1794,1725,20,3654,2813,35,7552,6174,51,12602,10635,70,328409,284572,108,0.137443
48729,50125,68,10910,10759,44,312,375,0,1126,905,0,1952,1953,22,3685,3678,32,88497,86049,82,0.139379
122409,116704,90,55306,53140,84,1156,1079,8,2636,2422,27,5624,5388,42,9894,8912,60,247838,234482,95,0.139379
