"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
46801,46951,85,12376,12411,45,248,309,0,547,755,0,2245,2059,27,3211,2805,33,76462,75450,77,0.00524691
225400,171646,104,59800,44981,102,2265,1769,25,4470,3039,42,10239,7714,61,12092,9040,69,369919,287672,111,0.00734568
134802,125990,91,56949,53534,85,1532,1616,19,3237,3103,38,7117,6642,46,9946,9012,55,268492,252609,95,0.00944444
159504,140176,91,45855,39070,88,1843,1698,21,3721,3755,33,10125,9264,56,14222,12692,73,376470,332575,100,0.0115432
150114,129882,93,53209,45299,89,1388,1115,12,3457,3391,33,7825,7158,48,9964,8905,61,300744,262250,99,0.0146914
231553,173764,108,140129,111720,105,4641,3723,38,8929,6942,55,19297,15423,78,28790,23067,106,701465,579281,116,0.0209877
187050,150491,99,61896,49011,95,1889,1453,24,3311,2904,34,8292,6522,51,11264,9373,63,280484,233870,105,0.0230864
148703,130020,94,51888,44862,88,1865,1353,19,3525,3168,30,7557,6836,48,10845,9494,59,292860,271545,92,0.0241358
89480,88397,79,45115,44197,79,849,809,0,2118,1817,24,3986,3684,36,5724,5260,44,152469,146425,89,0.027284
226794,175555,105,79804,61841,102,2537,1880,26,4982,3786,40,10224,7955,63,14906,11955,66,395258,323343,110,0.0283333
258773,191113,108,80824,59452,105,2572,1854,31,4689,3161,42,10609,8081,58,15644,11633,67,441034,323154,118,0.0293827
70815,67081,92,23637,23197,64,495,624,0,1531,1333,14,2851,2744,31,4260,4368,35,108285,106916,86,0.0304321
176215,135071,98,53507,40776,93,1679,1214,17,3928,2888,37,8058,6123,55,12484,10208,66,326719,249299,105,0.0314815
150755,134393,91,52915,45948,88,1428,1417,15,2891,2343,31,5705,5385,43,8440,7473,53,239192,218136,98,0.0314815
159593,141468,92,65021,57407,90,1833,1586,20,3295,3320,33,7298,6756,48,9267,9266,50,288519,261820,96,0.0346296
113007,98379,85,41898,36111,85,1188,1174,11,1997,1573,30,4623,4041,41,6801,6083,44,180897,157091,94,0.0346296
246637,180608,106,72932,53852,104,3041,2153,33,4363,3328,41,11265,8045,60,15032,10744,67,416720,319487,114,0.0398765
298993,202588,123,164446,114553,122,5621,3519,46,8434,6300,50,20833,14747,84,30755,21147,112,807685,556303,131,0.0409259
57228,55189,88,17471,17435,52,244,388,0,700,912,0,2025,2113,26,3407,3282,32,79737,78474,83,0.0472222
